date,dailyCases,air_temp,dew_point,RH
2020-01-23,0,NaN,NaN,NaN
2020-01-24,0,NaN,NaN,NaN
2020-01-25,0,NaN,NaN,NaN
2020-01-26,0,NaN,NaN,NaN
2020-01-27,0,NaN,NaN,NaN
2020-01-28,0,NaN,NaN,NaN
2020-01-29,0,NaN,NaN,NaN
2020-01-30,0,NaN,NaN,NaN
2020-01-31,0,NaN,NaN,NaN
2020-02-01,0,NaN,NaN,NaN
2020-02-02,0,NaN,NaN,NaN
2020-02-03,0,13.88888888888889,3.333333333333333,52.175155547963975
2020-02-04,0,1.3194444444444444,-1.4305555555555556,82.2698185693805
2020-02-05,0,-1.0476190476190477,-5.523809523809524,72.48002693467723
2020-02-06,0,NaN,NaN,NaN
2020-02-07,0,NaN,NaN,NaN
2020-02-08,0,NaN,NaN,NaN
2020-02-09,0,NaN,NaN,NaN
2020-02-10,0,NaN,NaN,NaN
2020-02-11,0,NaN,NaN,NaN
2020-02-12,0,NaN,NaN,NaN
2020-02-13,0,NaN,NaN,NaN
2020-02-14,0,NaN,NaN,NaN
2020-02-15,0,NaN,NaN,NaN
2020-02-16,0,NaN,NaN,NaN
2020-02-17,0,NaN,NaN,NaN
2020-02-18,0,NaN,NaN,NaN
2020-02-19,0,NaN,NaN,NaN
2020-02-20,0,NaN,NaN,NaN
2020-02-21,0,NaN,NaN,NaN
2020-02-22,0,NaN,NaN,NaN
2020-02-23,0,NaN,NaN,NaN
2020-02-24,0,NaN,NaN,NaN
2020-02-25,0,NaN,NaN,NaN
2020-02-26,0,NaN,NaN,NaN
2020-02-27,0,NaN,NaN,NaN
2020-02-28,0,NaN,NaN,NaN
2020-02-29,0,NaN,NaN,NaN
2020-03-01,0,NaN,NaN,NaN
2020-03-02,0,NaN,NaN,NaN
2020-03-03,0,NaN,NaN,NaN
2020-03-04,0,NaN,NaN,NaN
2020-03-05,0,NaN,NaN,NaN
2020-03-06,0,NaN,NaN,NaN
2020-03-07,0,NaN,NaN,NaN
2020-03-08,0,20.166666666666664,-2.5,21.663539564431403
2020-03-09,0,11.76388888888889,7.138888888888889,79.48496481259642
2020-03-10,0,4.444444444444445,1.6944444444444444,83.32401596761548
2020-03-11,0,8.065217391304348,4.2898550724637685,79.77261404364829
2020-03-12,0,11.318840579710145,8.68840579710145,84.94740053500678
2020-03-13,0,6.194444444444445,-0.08333333333333327,64.97366318103559
2020-03-14,0,3.210144927536232,0.7971014492753623,85.67931522037044
2020-03-15,0,1.7681159420289856,-0.11594202898550725,87.65683138292087
2020-03-16,0,3.1594202898550723,1.3768115942028984,88.37648627036724
2020-03-17,0,5.675438596491228,3.210526315789474,84.50951005911956
2020-03-18,0,11.714285714285714,9.642857142857142,87.72222662724865
2020-03-19,0,16.055555555555557,15.333333333333334,95.56767295014987
2020-03-20,0,16.333333333333332,12.333333333333334,77.51124944041705
2020-03-21,0,NaN,NaN,NaN
2020-03-22,1,NaN,NaN,NaN
2020-03-23,0,NaN,NaN,NaN
2020-03-24,0,NaN,NaN,NaN
2020-03-25,1,NaN,NaN,NaN
2020-03-26,6,NaN,NaN,NaN
2020-03-27,0,NaN,NaN,NaN
2020-03-28,1,NaN,NaN,NaN
2020-03-29,1,NaN,NaN,NaN
2020-03-30,0,NaN,NaN,NaN
2020-03-31,9,NaN,NaN,NaN
2020-04-01,0,NaN,NaN,NaN
2020-04-02,7,NaN,NaN,NaN
2020-04-03,0,NaN,NaN,NaN
2020-04-04,3,NaN,NaN,NaN
2020-04-05,0,NaN,NaN,NaN
2020-04-06,3,NaN,NaN,NaN
2020-04-07,1,NaN,NaN,NaN
2020-04-08,0,NaN,NaN,NaN
2020-04-09,2,NaN,NaN,NaN
2020-04-10,1,NaN,NaN,NaN
2020-04-11,5,NaN,NaN,NaN
2020-04-12,-4,NaN,NaN,NaN
2020-04-13,8,NaN,NaN,NaN
2020-04-14,0,NaN,NaN,NaN
2020-04-15,0,NaN,NaN,NaN
2020-04-16,0,NaN,NaN,NaN
2020-04-17,3,NaN,NaN,NaN
2020-04-18,0,NaN,NaN,NaN
2020-04-19,0,NaN,NaN,NaN
2020-04-20,2,NaN,NaN,NaN
2020-04-21,2,NaN,NaN,NaN
2020-04-22,0,NaN,NaN,NaN
2020-04-23,0,NaN,NaN,NaN
2020-04-24,1,NaN,NaN,NaN
2020-04-25,0,NaN,NaN,NaN
2020-04-26,0,NaN,NaN,NaN
2020-04-27,1,21.333333333333332,10.88888888888889,51.59466485288183
2020-04-28,0,16.958333333333332,12.472222222222221,76.11293640289998
2020-04-29,0,13.743055555555555,7.222222222222222,67.63898304236682
2020-04-30,0,15.229166666666666,2.9166666666666665,45.68203260851259
2020-05-01,1,17.13888888888889,8.569444444444445,60.089467561720426
2020-05-02,2,21.194444444444446,13.666666666666666,63.37614372802832
2020-05-03,2,19.041666666666668,9.166666666666666,54.39452447787022
2020-05-04,0,12.95138888888889,7.694444444444445,72.1317452971882
2020-05-05,1,14.069444444444445,7.569444444444445,72.95071653514992
2020-05-06,0,11.125,4.722222222222222,67.62299485051483
2020-05-07,2,10.694444444444445,5.694444444444445,74.02186714750349
2020-05-08,0,11.25,5.354166666666667,73.06970385584881
2020-05-09,1,9.458333333333334,1.2638888888888888,61.63784000239425
2020-05-10,0,10.840277777777779,1.2638888888888888,54.065378612661725
2020-05-11,0,8.055555555555555,-0.8194444444444444,55.873726740814156
2020-05-12,2,7.590277777777778,4.402777777777778,81.38427554942135
2020-05-13,0,10.73611111111111,8.88888888888889,88.5239475293677
2020-05-14,4,19.444444444444443,16.125,82.68626479878225
2020-05-15,2,18.22222222222222,15.805555555555555,87.2261982803265
2020-05-16,0,18.125,16.36111111111111,90.08494572180406
2020-05-17,0,18.11111111111111,13.88888888888889,78.40263098108353
2020-05-18,1,14.333333333333334,9.222222222222221,71.8393355422982
2020-05-19,0,14.055555555555555,10.680555555555555,80.88996325804715
2020-05-20,0,16.583333333333332,12.875,79.39092128097079
