date,dailyCases,air_temp,dew_point,RH
2020-01-23,0,-3.3,NaN,NaN
2020-01-24,0,-2.2,NaN,NaN
2020-01-25,0,-1.1,NaN,NaN
2020-01-26,0,-2.8,NaN,NaN
2020-01-27,0,-3.3,NaN,NaN
2020-01-28,0,-7.2,NaN,NaN
2020-01-29,0,-6.7,NaN,NaN
2020-01-30,0,-7.25,NaN,NaN
2020-01-31,0,-6.949999999999999,NaN,NaN
2020-02-01,0,-3.05,NaN,NaN
2020-02-02,0,-1.6500000000000001,NaN,NaN
2020-02-03,0,-1.95,NaN,NaN
2020-02-04,0,-9.5,NaN,NaN
2020-02-05,0,-19.2,NaN,NaN
2020-02-06,0,-11.7,NaN,NaN
2020-02-07,0,-7.8,NaN,NaN
2020-02-08,0,-13.9,NaN,NaN
2020-02-09,0,-11.149999999999999,NaN,NaN
2020-02-10,0,-10.6,NaN,NaN
2020-02-11,0,-5.6,NaN,NaN
2020-02-12,0,-7.2,NaN,NaN
2020-02-13,0,-17.8,NaN,NaN
2020-02-14,0,-21.7,NaN,NaN
2020-02-15,0,-15,NaN,NaN
2020-02-16,0,-9.7,NaN,NaN
2020-02-17,0,-22.8,NaN,NaN
2020-02-18,0,-4.15,NaN,NaN
2020-02-19,0,-13.9,NaN,NaN
2020-02-20,0,-19.450000000000003,NaN,NaN
2020-02-21,0,-12.25,NaN,NaN
2020-02-22,0,-3.9,NaN,NaN
2020-02-23,0,-3.3,NaN,NaN
2020-02-24,0,-2.8,NaN,NaN
2020-02-25,0,-3.3,NaN,NaN
2020-02-26,0,-7.25,NaN,NaN
2020-02-27,0,-11.149999999999999,NaN,NaN
2020-02-28,0,-12.2,NaN,NaN
2020-02-29,0,-19.5,NaN,NaN
2020-03-01,0,-5,NaN,NaN
2020-03-02,0,-1.7,NaN,NaN
2020-03-03,0,-4.4,NaN,NaN
2020-03-04,0,-3.3499999999999996,NaN,NaN
2020-03-05,0,-6.4,NaN,NaN
2020-03-06,0,-6.4,NaN,NaN
2020-03-07,0,-6.1,NaN,NaN
2020-03-08,0,0,NaN,NaN
2020-03-09,0,1.7,NaN,NaN
2020-03-10,0,-8.05,NaN,NaN
2020-03-11,0,NaN,NaN,NaN
2020-03-12,0,0,NaN,NaN
2020-03-13,0,NaN,NaN,NaN
2020-03-14,0,NaN,NaN,NaN
