date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,118.78,0,0
2020-02-16,82.51,2,-1
2020-02-17,108.93,-31,6
2020-02-18,110.2,1,0
2020-02-19,111.88,3,0
2020-02-20,120.31,1,-1
2020-02-21,144.15,3,-1
2020-02-22,139.35,3,-1
2020-02-23,86.08,3,-1
2020-02-24,110.66,2,-1
2020-02-25,113.91,2,-1
2020-02-26,112.28,3,-1
2020-02-27,124.58,3,-2
2020-02-28,148.93,-2,-1
2020-02-29,137.49,3,-1
2020-03-01,88.47,4,-2
2020-03-02,109.39,3,-1
2020-03-03,111.71,3,-1
2020-03-04,113.4,4,-1
2020-03-05,130.77,2,-2
2020-03-06,155.05,3,-1
2020-03-07,141.33,2,0
2020-03-08,87.61,4,-1
2020-03-09,109.7,2,-1
2020-03-10,119.62,2,-1
2020-03-11,115.96,3,-1
2020-03-12,116.26,1,-1
2020-03-13,129.56,0,1
2020-03-14,110.05,0,2
2020-03-15,68.63,-9,3
2020-03-16,94.29,-18,6
2020-03-17,88.89,-27,11
2020-03-18,86.43,-31,12
2020-03-19,88.61,-34,12
2020-03-20,91.42,-37,15
2020-03-21,79.45,-22,8
2020-03-22,57.13,-33,6
2020-03-23,71.42,-43,15
2020-03-24,70.41,-45,17
2020-03-25,67.92,-47,18
2020-03-26,60.1,-53,20
2020-03-27,67.47,-53,23
2020-03-28,59.78,-38,13
2020-03-29,42.63,-43,11
2020-03-30,58.44,-53,20
2020-03-31,67.39,-55,22
2020-04-01,63.96,-54,21
2020-04-02,65.47,-56,21
2020-04-03,71.21,-55,23
2020-04-04,60.8,-40,14
2020-04-05,46.64,-44,11
2020-04-06,64.3,-55,19
2020-04-07,67.67,-55,20
2020-04-08,71.13,-55,20
2020-04-09,73.32,-55,20
2020-04-10,83.09,-56,22
2020-04-11,70.11,-40,13
2020-04-12,41.92,-47,10
2020-04-13,70.33,-53,19
2020-04-14,73.14,-53,20
2020-04-15,75.8,-53,21
2020-04-16,78.91,-53,20
2020-04-17,90.45,-52,21
2020-04-18,80.22,-35,11
2020-04-19,62.11,-39,8
2020-04-20,83.28,-51,17
2020-04-21,82.34,-52,19
2020-04-22,83.18,-51,20
2020-04-23,85.03,-52,20
2020-04-24,96.63,-51,20
2020-04-25,85.12,-33,10
2020-04-26,66.82,-38,6
2020-04-27,83.86,-50,18
2020-04-28,91.56,-51,9
2020-04-29,92.27,-51,18
2020-04-30,91.81,-51,19
2020-05-01,114.37,-49,17
2020-05-02,98.49,-28,7
2020-05-03,74.11,-34,5
2020-05-04,101.82,-46,15
2020-05-05,103.53,-46,15
2020-05-06,99.06,-46,17
2020-05-07,108.37,-47,15
2020-05-08,121.65,-45,16
2020-05-09,111.08,-25,5
2020-05-10,77.73,-28,2
2020-05-11,NA,-44,14
2020-05-12,NA,-44,16
2020-05-13,110.31,-43,16
2020-05-14,112.38,-46,16
2020-05-15,134.01,-44,15
2020-05-16,123.82,-21,5
2020-05-17,92.28,-23,4
2020-05-18,117.1,-42,14
2020-05-19,121.18,-42,15
2020-05-20,119.12,-42,16
2020-05-21,131.47,-42,13
2020-05-22,151.45,-43,13
2020-05-23,132.87,-18,4
2020-05-24,103.92,-23,1
2020-05-25,108.77,-74,15
2020-05-26,137.7,-40,12
2020-05-27,142.89,-38,12
2020-05-28,147.78,-39,11
2020-05-29,163.16,-38,12
2020-05-30,140.38,-10,3
2020-05-31,108.03,-13,1
2020-06-01,139.08,-37,10
2020-06-02,146.68,-37,10
2020-06-03,147.51,-36,11
2020-06-04,154.8,-37,10
2020-06-05,169.29,-38,10
2020-06-06,147.03,-11,5
2020-06-07,108.22,-16,4
2020-06-08,148.73,-37,10
2020-06-09,151.81,-37,11
2020-06-10,157.15,-36,10
2020-06-11,162.41,-37,9
2020-06-12,181.49,-37,9
2020-06-13,155.99,-10,6
2020-06-14,127.53,-12,1
2020-06-15,158.67,-37,10
2020-06-16,154.82,-37,11
2020-06-17,156.46,-36,11
2020-06-18,170.31,-37,8
2020-06-19,192.03,-38,7
2020-06-20,175.56,-8,1
2020-06-21,117.9,-11,-3
2020-06-22,163.78,-39,8
2020-06-23,166.32,-39,10
2020-06-24,168.6,-37,10
2020-06-25,178.65,-39,9
2020-06-26,190.17,-40,10
2020-06-27,169.71,-12,2
2020-06-28,125.93,-13,1
2020-06-29,154.12,-40,12
2020-06-30,167.84,-38,11
2020-07-01,173.66,-38,9
2020-07-02,175.99,-42,8
2020-07-03,164.23,-61,13
2020-07-04,120.18,-28,2
2020-07-05,119.97,-20,0
2020-07-06,166.23,-43,9
2020-07-07,167.62,-41,11
2020-07-08,167.15,-39,10
2020-07-09,174,-40,10
2020-07-10,191.04,-40,10
2020-07-11,170.26,-11,2
2020-07-12,132.61,-14,0
2020-07-13,166.44,-40,10
2020-07-14,166.97,-40,10
2020-07-15,165.25,-39,10
2020-07-16,170.95,-41,10
2020-07-17,184.3,-41,10
2020-07-18,167.94,-13,2
2020-07-19,134.89,-16,0
2020-07-20,163.52,-41,9
2020-07-21,165.33,-41,11
2020-07-22,165.81,-39,11
2020-07-23,172.21,-40,10
2020-07-24,187.81,-40,10
2020-07-25,170.99,-13,2
2020-07-26,135.37,-17,-1
2020-07-27,165.78,-42,9
2020-07-28,168.62,-41,11
2020-07-29,176.23,-40,10
2020-07-30,180.98,-41,10
2020-07-31,188.97,-41,10
2020-08-01,171.08,-12,2
2020-08-02,138.02,-15,0
2020-08-03,168.07,-41,9
2020-08-04,171.13,-41,10
2020-08-05,177.37,-40,10
2020-08-06,179,-41,9
2020-08-07,197.06,-41,9
2020-08-08,178.65,-13,1
2020-08-09,143.45,-17,-1
2020-08-10,176.04,-41,8
2020-08-11,174.75,-41,10
2020-08-12,179.73,-39,9
2020-08-13,186.75,-40,8
2020-08-14,202.74,-41,9
2020-08-15,181.36,-14,1
2020-08-16,140.53,-17,0
2020-08-17,176.05,-41,9
2020-08-18,180.77,-40,10
2020-08-19,188.49,-39,10
2020-08-20,196.85,-40,9
2020-08-21,209.34,-40,9
2020-08-22,183.73,-12,2
2020-08-23,135.45,-19,0
2020-08-24,166.64,-39,9
2020-08-25,167.43,-39,10
2020-08-26,168.66,-37,10
2020-08-27,172.48,-39,9
2020-08-28,196.51,-38,9
2020-08-29,179.69,-11,2
2020-08-30,132.44,-17,0
2020-08-31,163.51,-39,8
2020-09-01,168.62,-39,9
2020-09-02,172.8,-38,9
2020-09-03,182.45,-39,8
2020-09-04,199.97,-41,8
2020-09-05,175.63,-17,1
2020-09-06,138.45,-19,-1
2020-09-07,140.43,-75,14
2020-09-08,166.7,-41,9
2020-09-09,169.99,-38,9
2020-09-10,175.19,-39,8
2020-09-11,195.88,-37,8
2020-09-12,189.99,-9,2
2020-09-13,133.95,-17,1
2020-09-14,164.7,-37,8
2020-09-15,166.28,-36,9
2020-09-16,165.68,-36,9
2020-09-17,173.48,-38,8
2020-09-18,197.28,-37,9
2020-09-19,189.29,-12,1
2020-09-20,130.37,-15,0
2020-09-21,156.6,-37,8
2020-09-22,155.51,-37,9
2020-09-23,158.75,-35,9
2020-09-24,162.57,-37,8
2020-09-25,187.78,-35,8
2020-09-26,175.54,-9,1
2020-09-27,126.06,-16,1
2020-09-28,148.97,-35,8
2020-09-29,150.61,-35,9
2020-09-30,152.19,-35,8
2020-10-01,166.91,-35,8
2020-10-02,189.89,-34,8
2020-10-03,182.21,-11,2
2020-10-04,125.84,-17,0
2020-10-05,150.03,-36,8
2020-10-06,153.06,-35,8
2020-10-07,155.36,-33,9
2020-10-08,164.14,-36,8
2020-10-09,193.26,-35,8
2020-10-10,170.19,-13,4
2020-10-11,120.81,-18,1
2020-10-12,144.32,-39,9
2020-10-13,147.01,-35,9
2020-10-14,153.3,-34,9
2020-10-15,161.47,-35,8
2020-10-16,186.89,-34,8
2020-10-17,183.23,-12,2
2020-10-18,123.75,-18,1
2020-10-19,149.51,-36,8
2020-10-20,149.89,-35,9
2020-10-21,151.73,-33,9
2020-10-22,157.02,-35,9
2020-10-23,181.08,-35,9
2020-10-24,163.38,-11,4
2020-10-25,110.7,-19,3
2020-10-26,136.99,-35,9
2020-10-27,144.96,-34,9
2020-10-28,145.3,-33,9
2020-10-29,155.06,-35,9
2020-10-30,180.94,-34,9
2020-10-31,160.17,-11,3
2020-11-01,105.81,-18,3
2020-11-02,135.14,-35,9
2020-11-03,141.61,-37,10
