date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,172.42,-2,-1
2020-02-16,138.74,1,0
2020-02-17,134.52,-17,4
2020-02-18,101.13,0,0
2020-02-19,107.97,0,0
2020-02-20,115.6,2,0
2020-02-21,140.16,2,1
2020-02-22,173.62,5,-2
2020-02-23,127.89,5,-2
2020-02-24,104.06,3,0
2020-02-25,106.94,2,0
2020-02-26,101.22,1,-1
2020-02-27,110.74,1,1
2020-02-28,131.17,1,1
2020-02-29,147.36,2,-1
2020-03-01,123.85,5,-1
2020-03-02,103.15,4,-1
2020-03-03,104.42,2,0
2020-03-04,115.29,1,-1
2020-03-05,125.96,2,-1
2020-03-06,148.83,2,1
2020-03-07,169.48,4,-1
2020-03-08,134.89,4,-2
2020-03-09,113.32,2,-1
2020-03-10,105.51,1,0
2020-03-11,109.62,-1,0
2020-03-12,107.59,0,0
2020-03-13,120.72,-1,1
2020-03-14,124.79,-3,2
2020-03-15,97,-11,3
2020-03-16,89.43,-14,5
2020-03-17,83.15,-22,9
2020-03-18,86.02,-27,11
2020-03-19,79.3,-30,13
2020-03-20,77.53,-34,17
2020-03-21,67.87,-30,12
2020-03-22,52.47,-33,10
2020-03-23,53.15,-42,19
2020-03-24,59.06,-43,17
2020-03-25,52.28,-43,20
2020-03-26,65.92,-44,19
2020-03-27,67.75,-43,21
2020-03-28,53.4,-37,16
2020-03-29,44.05,-41,NA
2020-03-30,60.82,-42,18
2020-03-31,53.26,-44,19
2020-04-01,50.63,-47,20
2020-04-02,55.46,-47,22
2020-04-03,59.13,-45,23
2020-04-04,54.06,-33,15
2020-04-05,48.2,-39,NA
2020-04-06,62.7,-45,19
2020-04-07,60,-46,19
2020-04-08,62.25,-47,19
2020-04-09,63.31,-48,21
2020-04-10,65.9,-57,27
2020-04-11,65.08,-40,14
2020-04-12,43.26,-48,NA
2020-04-13,56.4,-47,21
2020-04-14,63.96,-44,19
2020-04-15,68.88,-44,19
2020-04-16,67.69,-45,21
2020-04-17,71.17,-44,23
2020-04-18,69.53,-33,14
2020-04-19,63.53,-36,11
2020-04-20,66.06,-42,18
2020-04-21,67.39,-44,19
2020-04-22,69.82,-44,18
2020-04-23,65.44,-44,20
2020-04-24,73.12,-44,24
2020-04-25,86,-33,11
2020-04-26,53.36,-38,NA
2020-04-27,72.51,-40,18
2020-04-28,75.59,-41,12
2020-04-29,82.75,-41,17
2020-04-30,72.35,-44,21
2020-05-01,90.99,-41,19
2020-05-02,108.66,-28,8
2020-05-03,79.66,-31,8
2020-05-04,90.69,-39,15
2020-05-05,87.66,-40,16
2020-05-06,84.37,-40,18
2020-05-07,99.36,-39,15
2020-05-08,97.05,-40,20
2020-05-09,104.52,-30,11
2020-05-10,87.92,-29,6
2020-05-11,NA,-37,15
2020-05-12,NA,-37,15
2020-05-13,110.53,-37,14
2020-05-14,115.77,-38,15
2020-05-15,129.64,-38,16
2020-05-16,135.72,-23,6
2020-05-17,105.81,-28,7
2020-05-18,110.07,-34,13
2020-05-19,114.37,-36,13
2020-05-20,118.2,-36,13
2020-05-21,121.79,-36,13
2020-05-22,136.33,-38,17
2020-05-23,152.51,-22,5
2020-05-24,136.21,-31,4
2020-05-25,129.59,-74,20
2020-05-26,127.76,-33,11
2020-05-27,131.66,-32,12
2020-05-28,121.79,-32,13
2020-05-29,144.85,-32,15
2020-05-30,161.48,-8,4
2020-05-31,131.17,-14,3
2020-06-01,128.78,-28,10
2020-06-02,124.49,-30,10
2020-06-03,128.8,-30,10
2020-06-04,130.68,-30,11
2020-06-05,149.08,-31,12
2020-06-06,172.72,-13,3
2020-06-07,140.65,-17,2
2020-06-08,137.15,-29,9
2020-06-09,134.09,-29,9
2020-06-10,137.04,-30,10
2020-06-11,146.36,-30,9
2020-06-12,178.73,-31,9
2020-06-13,211.77,-11,1
2020-06-14,157.63,-14,1
2020-06-15,147.02,-28,8
2020-06-16,152.21,-28,8
2020-06-17,153.33,-29,8
2020-06-18,153.53,-29,8
2020-06-19,182.18,-31,9
2020-06-20,196.31,-10,1
2020-06-21,150.18,-11,-1
2020-06-22,150.89,-30,9
2020-06-23,149.04,-29,8
2020-06-24,159.48,-28,7
2020-06-25,176.8,-28,7
2020-06-26,203.77,-30,8
2020-06-27,229.66,-8,0
2020-06-28,188.87,-8,0
2020-06-29,168.21,-27,6
2020-06-30,174.01,-29,7
2020-07-01,170.71,-30,6
2020-07-02,203.68,-33,6
2020-07-03,233.71,-60,15
2020-07-04,217.04,-27,2
2020-07-05,172.39,-19,1
2020-07-06,168.49,-34,8
2020-07-07,156.54,-31,8
2020-07-08,158.93,-31,8
2020-07-09,178.54,-29,7
2020-07-10,212.63,-30,9
2020-07-11,232.23,-8,0
2020-07-12,184.4,-11,1
2020-07-13,170.98,-29,7
2020-07-14,171.64,-29,6
2020-07-15,171.97,-28,6
2020-07-16,179.99,-29,7
2020-07-17,207.58,-30,9
2020-07-18,234.78,-7,0
2020-07-19,173.24,-8,1
2020-07-20,167.85,-28,8
2020-07-21,158.62,-29,7
2020-07-22,161.87,-29,9
2020-07-23,168.52,-29,8
2020-07-24,203.63,-30,9
2020-07-25,232.51,-8,0
2020-07-26,179.26,-10,1
2020-07-27,162.89,-29,7
2020-07-28,159.51,-29,8
2020-07-29,174.58,-28,7
2020-07-30,181.07,-29,7
2020-07-31,193.09,-30,9
2020-08-01,218.87,-10,1
2020-08-02,167.63,-12,1
2020-08-03,160.53,-29,8
2020-08-04,148.19,-31,10
2020-08-05,172.01,-30,6
2020-08-06,179.17,-30,8
2020-08-07,202.73,-32,9
2020-08-08,236.56,-7,0
2020-08-09,184.13,-10,0
2020-08-10,178.26,-29,6
2020-08-11,180.81,-30,6
2020-08-12,184.3,-30,7
2020-08-13,183.95,-29,7
2020-08-14,219.61,-30,8
2020-08-15,240.24,-11,1
2020-08-16,185.53,-11,1
2020-08-17,171.74,-28,6
2020-08-18,177.48,-27,5
2020-08-19,178.57,-28,6
2020-08-20,186.28,-27,5
2020-08-21,221.37,-28,7
2020-08-22,237.14,NA,0
2020-08-23,180.78,NA,0
2020-08-24,154.35,-26,6
2020-08-25,158.85,-28,6
2020-08-26,159.88,-27,6
2020-08-27,176.4,-27,6
2020-08-28,199.75,-27,8
2020-08-29,202.14,NA,2
2020-08-30,182.75,NA,-1
2020-08-31,137.82,-26,6
2020-09-01,140.73,-27,6
2020-09-02,147.93,-27,6
2020-09-03,155.57,-27,6
2020-09-04,201.96,-30,5
2020-09-05,254.24,NA,-1
2020-09-06,212.33,NA,-2
2020-09-07,173.13,-72,16
2020-09-08,153.16,-29,4
2020-09-09,149.79,-28,4
2020-09-10,152.75,-28,4
2020-09-11,192.67,-28,4
2020-09-12,234.3,-12,-2
2020-09-13,173.59,-15,-1
2020-09-14,145.42,-23,4
2020-09-15,140.63,-24,3
2020-09-16,151.66,-25,4
2020-09-17,162.13,-26,4
2020-09-18,205.79,-26,5
2020-09-19,250.97,-9,-2
2020-09-20,176.41,-11,-1
2020-09-21,146.1,-25,4
2020-09-22,145.46,-25,5
2020-09-23,152.63,-22,4
2020-09-24,156.07,-23,4
2020-09-25,198.49,-23,5
2020-09-26,243.48,-2,0
2020-09-27,181.18,-6,0
2020-09-28,156.13,-22,5
2020-09-29,144.29,-24,6
2020-09-30,140.24,-23,4
2020-10-01,158.11,-22,4
2020-10-02,191.94,-24,5
2020-10-03,267.65,-8,-2
2020-10-04,177.04,-11,-1
2020-10-05,136.39,-23,4
2020-10-06,141.72,-24,3
2020-10-07,142.31,-23,4
2020-10-08,153.85,-21,4
2020-10-09,197.71,-26,5
2020-10-10,263.34,-6,-1
2020-10-11,167.76,-12,1
2020-10-12,134.99,-31,9
2020-10-13,138,-23,5
2020-10-14,142.81,-21,4
2020-10-15,156.29,-20,4
2020-10-16,194.31,-22,7
2020-10-17,264.97,-6,-1
2020-10-18,185.91,-11,0
2020-10-19,148.63,-20,5
2020-10-20,131.75,-22,5
2020-10-21,140.99,-21,5
2020-10-22,156.16,-21,5
2020-10-23,201.84,-23,5
2020-10-24,254.45,-4,0
2020-10-25,149.68,-10,2
2020-10-26,126.87,-20,6
2020-10-27,126.56,-20,5
2020-10-28,127.27,-21,5
2020-10-29,126.15,-23,9
2020-10-30,167.13,-23,7
2020-10-31,209.64,-7,1
2020-11-01,125.94,-14,3
2020-11-02,113.95,-21,7
2020-11-03,126.62,-24,4
