date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,248.01,-1,NA
2020-02-16,184.15,1,NA
2020-02-17,91.21,0,NA
2020-02-18,100.91,-1,NA
2020-02-19,98.37,2,NA
2020-02-20,93.21,2,NA
2020-02-21,150.91,-3,NA
2020-02-22,212.59,4,NA
2020-02-23,179.08,4,NA
2020-02-24,109.15,0,NA
2020-02-25,94.84,-2,NA
2020-02-26,95.02,2,NA
2020-02-27,127.26,1,NA
2020-02-28,251.09,-2,NA
2020-02-29,264.13,1,NA
2020-03-01,214.86,4,NA
2020-03-02,101.18,-4,NA
2020-03-03,88.86,-3,NA
2020-03-04,113.04,1,NA
2020-03-05,118.3,1,NA
2020-03-06,162.41,2,NA
2020-03-07,177.26,5,NA
2020-03-08,139.13,6,NA
2020-03-09,92.75,3,NA
2020-03-10,100.18,3,NA
2020-03-11,106.25,2,NA
2020-03-12,93.39,-1,NA
2020-03-13,121.29,-1,NA
2020-03-14,127.54,6,NA
2020-03-15,104.53,6,NA
2020-03-16,75.63,-8,NA
2020-03-17,86.23,-14,NA
2020-03-18,79.44,-23,NA
2020-03-19,73.55,-23,NA
2020-03-20,78.71,-28,NA
2020-03-21,92.93,-23,NA
2020-03-22,73.82,-31,NA
2020-03-23,84.06,-27,NA
2020-03-24,76.54,-32,NA
2020-03-25,73.28,-38,NA
2020-03-26,75.82,-37,NA
2020-03-27,98.55,-37,NA
2020-03-28,83.06,-35,NA
2020-03-29,65.94,-36,NA
2020-03-30,88.22,-33,NA
2020-03-31,65.67,-37,NA
2020-04-01,89.49,-37,NA
2020-04-02,101.27,-35,NA
2020-04-03,89.67,-37,NA
2020-04-04,109.69,-32,NA
2020-04-05,89.31,-39,NA
2020-04-06,91.67,-38,NA
2020-04-07,74.28,-41,NA
2020-04-08,91.21,-39,NA
2020-04-09,97.55,-41,NA
2020-04-10,110.51,-48,NA
2020-04-11,104.71,-37,NA
2020-04-12,56.43,-46,NA
2020-04-13,88.5,-38,NA
2020-04-14,84.15,-38,NA
2020-04-15,91.67,-37,NA
2020-04-16,103.17,-36,NA
2020-04-17,124.91,-37,NA
2020-04-18,140.67,-26,NA
2020-04-19,105.34,-34,NA
2020-04-20,100.72,-35,NA
2020-04-21,94.02,-37,NA
2020-04-22,106.97,-38,NA
2020-04-23,114.58,-38,NA
2020-04-24,150,-43,NA
2020-04-25,156.16,-34,NA
2020-04-26,135.33,-35,NA
2020-04-27,115.13,-32,NA
2020-04-28,107.25,-35,NA
2020-04-29,122.64,-37,NA
2020-04-30,145.83,-36,NA
2020-05-01,163.5,-38,NA
2020-05-02,215.67,-30,NA
2020-05-03,187.41,-25,NA
2020-05-04,137.14,-28,NA
2020-05-05,120.02,-31,NA
2020-05-06,137.5,-34,NA
2020-05-07,147.28,-32,NA
2020-05-08,177.08,-32,NA
2020-05-09,189.49,-25,NA
2020-05-10,118.03,-32,NA
2020-05-11,NA,-28,NA
2020-05-12,NA,-32,NA
2020-05-13,141.58,-30,NA
2020-05-14,160.42,-30,NA
2020-05-15,226,-32,NA
2020-05-16,247.55,-21,NA
2020-05-17,178.26,-28,NA
2020-05-18,159.6,-27,NA
2020-05-19,166.21,-26,NA
2020-05-20,192.75,-25,NA
2020-05-21,209.42,-28,NA
2020-05-22,342.21,-33,NA
2020-05-23,353.08,-13,NA
2020-05-24,411.23,-19,NA
2020-05-25,317.66,-62,NA
2020-05-26,170.65,-23,NA
2020-05-27,175,-23,NA
2020-05-28,182.79,-26,NA
2020-05-29,274.73,-24,NA
2020-05-30,353.99,-7,NA
2020-05-31,279.17,-6,NA
2020-06-01,191.85,-22,NA
2020-06-02,189.49,-24,NA
2020-06-03,197.46,-24,NA
2020-06-04,235.51,-23,NA
2020-06-05,318.57,-29,NA
2020-06-06,380.53,-9,NA
2020-06-07,348.46,-8,NA
2020-06-08,238.13,-21,NA
2020-06-09,187.32,-20,NA
2020-06-10,194.29,-22,NA
2020-06-11,255.34,-19,NA
2020-06-12,373.73,-21,NA
2020-06-13,500.09,4,NA
2020-06-14,430.25,1,NA
2020-06-15,281.97,-17,NA
2020-06-16,263.41,-20,NA
2020-06-17,247.01,-17,NA
2020-06-18,303.26,-19,NA
2020-06-19,414.31,-24,NA
2020-06-20,429.89,-1,NA
2020-06-21,394.84,0,NA
2020-06-22,241.49,-23,NA
2020-06-23,267.48,-20,NA
2020-06-24,290.04,-19,NA
2020-06-25,321.01,-18,NA
2020-06-26,420.38,-21,NA
2020-06-27,537.5,1,NA
2020-06-28,503.89,6,NA
2020-06-29,310.78,-20,NA
2020-06-30,303.62,-18,NA
2020-07-01,330.16,-18,NA
2020-07-02,436.5,-23,NA
2020-07-03,634.6,-41,NA
2020-07-04,617.3,-9,NA
2020-07-05,659.87,-4,NA
2020-07-06,330.16,-19,NA
2020-07-07,292.21,-23,NA
2020-07-08,317.57,-19,NA
2020-07-09,316.58,-21,NA
2020-07-10,464.86,-19,NA
2020-07-11,541.85,7,NA
2020-07-12,504.26,8,NA
2020-07-13,288.5,-18,NA
2020-07-14,270.65,-22,NA
2020-07-15,270.02,-16,NA
2020-07-16,356.7,-15,NA
2020-07-17,544.75,-21,NA
2020-07-18,574.91,-2,NA
2020-07-19,520.11,5,NA
2020-07-20,288.95,-14,NA
2020-07-21,276.54,-18,NA
2020-07-22,284.15,-14,NA
2020-07-23,332.7,-16,NA
2020-07-24,479.53,-16,NA
2020-07-25,635.6,1,NA
2020-07-26,548.73,6,NA
2020-07-27,292.48,-14,NA
2020-07-28,278.08,-16,NA
2020-07-29,298.01,-13,NA
2020-07-30,303.99,-17,NA
2020-07-31,419.47,-18,NA
2020-08-01,540.13,0,NA
2020-08-02,501.54,0,NA
2020-08-03,304.8,-20,NA
2020-08-04,281.07,-18,NA
2020-08-05,303.26,-15,NA
2020-08-06,325.72,-17,NA
2020-08-07,458.33,-20,NA
2020-08-08,534.42,5,NA
2020-08-09,496.92,7,NA
2020-08-10,301.63,-21,NA
2020-08-11,278.08,-20,NA
2020-08-12,288.95,-15,NA
2020-08-13,326.27,-20,NA
2020-08-14,469.38,-21,NA
2020-08-15,596.01,2,NA
2020-08-16,506.52,2,NA
2020-09-11,311.14,-10,NA
2020-09-12,385.51,2,NA
2020-09-13,333.06,4,NA
2020-09-14,214.04,-13,NA
2020-09-15,209.96,-15,NA
2020-09-16,203.26,-14,NA
2020-09-17,223.46,-14,NA
2020-09-18,331.61,-12,NA
2020-09-19,370.74,12,NA
2020-09-20,333.97,11,NA
2020-09-21,195.38,-13,NA
2020-09-22,189.13,-17,NA
2020-09-23,203.89,-12,2
2020-09-24,220.29,-13,3
2020-09-25,335.78,-12,4
2020-09-26,423.28,9,NA
2020-09-27,333.51,4,NA
2020-09-28,172.64,-12,5
2020-09-29,170.38,-14,3
2020-09-30,162.59,-14,5
2020-10-01,167.3,-9,2
2020-10-02,256.61,-12,3
2020-10-03,347.37,4,NA
2020-10-04,304.08,2,NA
2020-10-05,151.36,-11,1
2020-10-06,171.2,-11,1
2020-10-07,177.99,-11,1
2020-10-08,200.09,-13,1
2020-10-09,314.4,-12,3
2020-10-10,371.83,7,NA
2020-10-11,306.79,5,NA
2020-10-12,177.08,-14,6
2020-10-13,160.96,-12,3
2020-10-14,163.86,-13,5
2020-10-15,169.57,-14,4
2020-10-16,252.81,-13,5
2020-10-17,287.77,4,NA
2020-10-18,221.11,-4,NA
2020-10-19,148.19,-7,5
2020-10-20,154.35,-13,5
2020-10-21,133.24,-10,4
2020-10-22,133.42,-16,7
2020-10-23,198.28,-11,7
2020-10-24,221.74,3,NA
2020-10-25,176,-4,NA
2020-10-26,119.75,-10,7
2020-10-27,142.12,-13,6
2020-10-28,147.74,-11,6
2020-10-29,137.23,-15,4
2020-10-30,178.44,-17,7
2020-10-31,188.77,4,NA
2020-11-01,152.81,-7,NA
2020-11-02,123.55,-10,5
2020-11-03,116.76,-12,3
