date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,139.79,-2,NA
2020-02-16,124.38,4,NA
2020-02-17,99.21,-24,NA
2020-02-18,101.99,0,NA
2020-02-19,108.82,3,NA
2020-02-20,111.28,2,NA
2020-02-21,128.51,0,NA
2020-02-22,116.04,2,NA
2020-02-23,96.9,4,NA
2020-02-24,103.02,4,NA
2020-02-25,95,2,NA
2020-02-26,110.56,3,NA
2020-02-27,109.05,2,NA
2020-02-28,145.43,3,NA
2020-02-29,149.56,5,NA
2020-03-01,121.13,11,NA
2020-03-02,129.63,9,NA
2020-03-03,112.15,5,NA
2020-03-04,116.28,2,NA
2020-03-05,134.79,4,NA
2020-03-06,184.59,-4,NA
2020-03-07,203.02,2,NA
2020-03-08,159.97,6,NA
2020-03-09,156.63,5,NA
2020-03-10,162.59,2,NA
2020-03-11,159.49,-2,NA
2020-03-12,147.18,2,NA
2020-03-13,161.48,1,NA
2020-03-14,178.87,3,NA
2020-03-15,148.37,0,NA
2020-03-16,150.2,-17,NA
2020-03-17,131.22,-25,NA
2020-03-18,126.61,-24,NA
2020-03-19,90.79,-24,NA
2020-03-20,95.08,-25,NA
2020-03-21,84.03,-11,NA
2020-03-22,80.78,-17,NA
2020-03-23,77.36,-23,NA
2020-03-24,86.58,-30,NA
2020-03-25,85.7,-30,NA
2020-03-26,67.36,-38,NA
2020-03-27,62.43,-34,NA
2020-03-28,64.58,-32,NA
2020-03-29,45.12,-28,NA
2020-03-30,64.58,-36,NA
2020-03-31,70.37,-38,NA
2020-04-01,58.14,-40,NA
2020-04-02,62.67,-41,NA
2020-04-03,66.72,-39,NA
2020-04-04,65.69,-30,NA
2020-04-05,63.22,-17,NA
2020-04-06,70.61,-36,NA
2020-04-07,76.09,-41,NA
2020-04-08,65.13,-41,NA
2020-04-09,69.5,-41,NA
2020-04-10,81.57,-41,NA
2020-04-11,71.17,-24,NA
2020-04-12,49.72,-29,NA
2020-04-13,63.3,-38,NA
2020-04-14,59.81,-38,NA
2020-04-15,65.21,-37,NA
2020-04-16,64.89,-38,NA
2020-04-17,76.57,-33,NA
2020-04-18,83.88,-26,NA
2020-04-19,60.6,-27,NA
2020-04-20,73.55,-34,NA
2020-04-21,63.62,-36,NA
2020-04-22,73.07,-38,NA
2020-04-23,83.64,-39,NA
2020-04-24,82.29,-37,NA
2020-04-25,84.27,-23,NA
2020-04-26,76.49,-26,NA
2020-04-27,82.21,-34,NA
2020-04-28,74.82,-38,NA
2020-04-29,81.02,-40,NA
2020-04-30,99.68,-38,NA
2020-05-01,122.16,-33,NA
2020-05-02,101.19,-23,NA
2020-05-03,86.18,-20,NA
2020-05-04,83.64,-32,NA
2020-05-05,90.23,-33,NA
2020-05-06,87.29,-36,NA
2020-05-07,96.98,-38,NA
2020-05-08,119.7,-36,NA
2020-05-09,122.08,-19,NA
2020-05-10,77.6,-14,NA
2020-05-11,NA,-33,NA
2020-05-12,NA,-34,NA
2020-05-13,103.89,-33,NA
2020-05-14,112.31,-36,NA
2020-05-15,144.88,-36,NA
2020-05-16,157.74,-15,NA
2020-05-17,124.38,-12,NA
2020-05-18,113.11,-28,NA
2020-05-19,118.67,-33,NA
2020-05-20,116.76,-34,NA
2020-05-21,124.78,-32,NA
2020-05-22,183.88,-32,NA
2020-05-23,166.72,-24,NA
2020-05-24,149.64,-19,NA
2020-05-25,144.4,-67,NA
2020-05-26,121.53,-35,NA
2020-05-27,141.14,-33,NA
2020-05-28,155.36,-31,NA
2020-05-29,160.6,-26,NA
2020-05-30,152.26,-5,NA
2020-05-31,135.35,-3,NA
2020-06-01,140.91,-24,NA
2020-06-02,161.16,-33,NA
2020-06-03,195.08,-28,NA
2020-06-04,214.3,-30,NA
2020-06-05,292.45,-29,NA
2020-06-06,259.49,-11,NA
2020-06-07,226.69,-2,NA
2020-06-08,211.04,-26,NA
2020-06-09,219.86,-32,NA
2020-06-10,234.79,-31,NA
2020-06-11,231.69,-31,NA
2020-06-12,303.49,-28,NA
2020-06-13,369.42,-10,NA
2020-06-14,326.21,-4,NA
2020-06-15,240.35,-30,NA
2020-06-16,222.64,-32,NA
2020-06-17,231.45,-30,NA
2020-06-18,284.43,-30,NA
2020-06-19,307.55,-31,NA
2020-06-20,366.56,-4,NA
2020-06-21,290.23,0,NA
2020-06-22,264.58,-31,NA
2020-06-23,268.63,-32,NA
2020-06-24,268.15,-31,NA
2020-06-25,272.28,-30,NA
2020-06-26,367.75,-28,NA
2020-06-27,416.12,-9,NA
2020-06-28,381.65,-1,NA
2020-06-29,306.75,-22,NA
2020-06-30,294.52,-30,NA
2020-07-01,312.63,-28,NA
2020-07-02,343.45,-31,NA
2020-07-03,451.39,-48,NA
2020-07-04,373.55,-25,NA
2020-07-05,415.25,-8,NA
2020-07-06,328.28,-26,NA
2020-07-07,325.18,-30,NA
2020-07-08,328.12,-25,NA
2020-07-09,327.88,-27,NA
2020-07-10,403.89,-26,NA
2020-07-11,452.74,-11,NA
2020-07-12,380.7,-4,NA
2020-07-13,338.92,-26,NA
2020-07-14,303.57,-30,NA
2020-07-15,314.38,-28,NA
2020-07-16,341.3,-28,NA
2020-07-17,379.51,-25,NA
2020-07-18,448.53,-10,NA
2020-07-19,386.18,-8,NA
2020-07-20,358.94,-26,NA
2020-07-21,317.39,-31,NA
2020-07-22,325.81,-30,NA
2020-07-23,368.15,-28,NA
2020-07-24,412.79,-25,NA
2020-07-25,483.16,-11,NA
2020-07-26,423.03,-7,NA
2020-07-27,320.17,-28,NA
2020-07-28,324.7,-29,NA
2020-07-29,322.32,-31,NA
2020-07-30,359.02,-27,NA
2020-07-31,468.07,-25,NA
2020-08-01,445.35,-8,NA
2020-08-02,379.83,-8,NA
2020-08-03,387.05,-27,NA
2020-08-04,329.55,-29,NA
2020-08-05,319.94,-28,NA
2020-08-06,371.17,-31,NA
2020-08-07,465.37,-27,NA
2020-08-08,476.81,-12,NA
2020-08-09,379.03,-10,NA
2020-08-10,372.76,-26,NA
2020-08-11,317.47,-30,NA
2020-08-12,319.46,-30,NA
2020-08-13,367.83,-31,NA
2020-08-14,407.86,-29,NA
2020-08-15,442.1,-9,NA
2020-08-16,383.64,-4,NA
2020-09-11,311.68,-21,NA
2020-09-12,374.03,-8,NA
2020-09-13,285.7,-10,NA
2020-09-14,239.79,-14,NA
2020-09-15,257.74,-20,NA
2020-09-16,263.7,-20,NA
2020-09-17,299.05,-22,NA
2020-09-18,367.12,-22,NA
2020-09-19,373.23,-11,NA
2020-09-20,330.5,-3,NA
2020-09-21,295.31,-19,NA
2020-09-22,261.16,-22,NA
2020-09-23,250.04,-19,1
2020-09-24,302.46,-16,1
2020-09-25,364.5,-20,NA
2020-09-26,362.19,5,NA
2020-09-27,293.17,3,NA
2020-09-28,226.93,-14,1
2020-09-29,224.78,-17,1
2020-09-30,225.97,-16,2
2020-10-01,255.84,-15,0
2020-10-02,327.88,-15,NA
2020-10-03,343.53,-1,NA
2020-10-04,277.28,-4,NA
2020-10-05,229.63,-14,-1
2020-10-06,213.34,-15,1
2020-10-07,228.04,-13,3
2020-10-08,291.98,-10,2
2020-10-09,312.39,-18,NA
2020-10-10,343.84,-5,NA
2020-10-11,284.91,4,NA
2020-10-12,259.65,-15,3
2020-10-13,229.79,-12,3
2020-10-14,237.89,-6,3
2020-10-15,272.68,-9,3
2020-10-16,345.91,-11,NA
2020-10-17,312.31,-2,NA
2020-10-18,241.54,5,NA
2020-10-19,213.42,-7,2
2020-10-20,195.87,-12,2
2020-10-21,225.42,-10,3
2020-10-22,236.46,-11,4
2020-10-23,265.13,-12,NA
2020-10-24,238.2,5,NA
2020-10-25,147.42,2,NA
2020-10-26,123.19,-31,NA
2020-10-27,137.81,-19,8
2020-10-28,159.57,-17,6
2020-10-29,167.36,-17,5
2020-10-30,203.57,-20,NA
2020-10-31,186.97,-7,NA
2020-11-01,128.75,1,NA
2020-11-02,150.2,-16,5
2020-11-03,141.3,-20,5
