date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,175.44,-1,NA
2020-02-16,144.79,-2,NA
2020-02-17,132.17,-10,2
2020-02-18,125.74,4,0
2020-02-19,126.5,1,2
2020-02-20,114.9,0,2
2020-02-21,159.01,-1,3
2020-02-22,169.13,-2,NA
2020-02-23,124.14,-5,NA
2020-02-24,120.95,3,1
2020-02-25,114.87,2,0
2020-02-26,118.94,1,1
2020-02-27,125.44,1,1
2020-02-28,167.3,-6,1
2020-02-29,176.12,-4,NA
2020-03-01,126.05,-1,NA
2020-03-02,114.3,3,-1
2020-03-03,132.02,-1,0
2020-03-04,119.47,5,0
2020-03-05,146.5,0,-1
2020-03-06,215.78,-1,2
2020-03-07,277.72,1,NA
2020-03-08,215.7,3,NA
2020-03-09,184.37,-12,2
2020-03-10,200.46,-11,1
2020-03-11,205.13,-9,2
2020-03-12,218.67,-13,1
2020-03-13,252.7,-11,4
2020-03-14,253.54,-2,NA
2020-03-15,183.88,2,NA
2020-03-16,155.25,-10,3
2020-03-17,142.78,-14,5
2020-03-18,137.76,-10,6
2020-03-19,129.09,-12,5
2020-03-20,135.29,-18,10
2020-03-21,96.81,-21,NA
2020-03-22,84.03,-21,NA
2020-03-23,81.79,-17,NA
2020-03-24,85.36,-23,NA
2020-03-25,80.72,-24,NA
2020-03-26,86.81,-26,NA
2020-03-27,92.09,-30,NA
2020-03-28,74.83,-20,NA
2020-03-29,60.08,-29,NA
2020-03-30,76.05,-29,NA
2020-03-31,80.08,-33,NA
2020-04-01,76.46,-32,NA
2020-04-02,67.26,-33,NA
2020-04-03,75.51,-34,NA
2020-04-04,52.02,-37,NA
2020-04-05,48.59,-34,NA
2020-04-06,69.62,-32,NA
2020-04-07,71.56,-33,NA
2020-04-08,75.48,-33,NA
2020-04-09,70.65,-35,NA
2020-04-10,77.49,-47,NA
2020-04-11,61.79,-27,NA
2020-04-12,52.51,-38,NA
2020-04-13,83.61,-33,NA
2020-04-14,82.55,-32,NA
2020-04-15,91.14,-27,NA
2020-04-16,90.76,-32,NA
2020-04-17,99.05,-32,NA
2020-04-18,77.76,-31,NA
2020-04-19,67.79,-26,NA
2020-04-20,91.52,-24,NA
2020-04-21,86.39,-30,NA
2020-04-22,91.14,-28,NA
2020-04-23,101.44,-29,NA
2020-04-24,115.78,-31,NA
2020-04-25,123.54,-25,NA
2020-04-26,102.36,-28,NA
2020-04-27,94.71,-25,NA
2020-04-28,102.93,-29,NA
2020-04-29,100.72,-28,NA
2020-04-30,120.53,-27,NA
2020-05-01,169.09,-26,NA
2020-05-02,208.52,-18,NA
2020-05-03,163.35,-17,NA
2020-05-04,128.67,-20,NA
2020-05-05,125.02,-22,NA
2020-05-06,145.7,-21,NA
2020-05-07,156.46,-21,7
2020-05-08,205.02,-24,NA
2020-05-09,217.11,-18,NA
2020-05-10,163.19,-14,NA
2020-05-11,NA,-20,NA
2020-05-12,NA,-18,7
2020-05-13,150.72,-19,8
2020-05-14,182.55,-24,NA
2020-05-15,211.94,-22,NA
2020-05-16,216.96,-18,NA
2020-05-17,213.31,-12,NA
2020-05-18,169.85,-15,NA
2020-05-19,177.22,-18,6
2020-05-20,171.14,-16,5
2020-05-21,194.22,-18,5
2020-05-22,334.71,-21,NA
2020-05-23,448.48,-14,NA
2020-05-24,368.14,-10,NA
2020-05-25,272.4,-50,NA
2020-05-26,180.23,-21,7
2020-05-27,182.21,-15,5
2020-05-28,204.6,-16,5
2020-05-29,281.1,-18,7
2020-05-30,339.28,0,NA
2020-05-31,240.8,-6,NA
2020-06-01,174.52,-19,NA
2020-06-02,189.66,-17,4
2020-06-03,196.62,-16,5
2020-06-04,240.46,-14,4
2020-06-05,323.23,-18,6
2020-06-06,374.68,-9,NA
2020-06-07,317.49,-8,NA
2020-06-08,223.23,-14,4
2020-06-09,210.38,-17,5
2020-06-10,239.58,-17,4
2020-06-11,265.13,-17,4
2020-06-12,356.88,-21,6
2020-06-13,399.13,-6,NA
2020-06-14,321.14,-6,NA
2020-06-15,251.03,-13,3
2020-06-16,217.76,-18,4
2020-06-17,232.55,-16,4
2020-06-18,260.08,-20,4
2020-06-19,362.28,-21,5
2020-06-20,374.26,-6,NA
2020-06-21,280.11,-12,NA
2020-06-22,237.41,-18,NA
2020-06-23,224.64,-25,NA
2020-06-24,205.59,-21,NA
2020-06-25,248.02,-20,6
2020-06-26,287.38,-24,NA
2020-06-27,324.3,-10,NA
2020-06-28,263.19,-9,NA
2020-06-29,223.95,-20,NA
2020-06-30,206.5,-23,NA
2020-07-01,215.86,-22,NA
2020-07-02,276.65,-24,5
2020-07-03,324.03,-41,NA
2020-07-04,280.34,-24,NA
2020-07-05,257.64,-14,NA
2020-07-06,231.41,-28,NA
2020-07-07,207.11,-28,NA
2020-07-08,220.46,-22,NA
2020-07-09,246.92,-24,NA
2020-07-10,302.97,-30,NA
2020-07-11,295.36,-18,NA
2020-07-12,274.79,-16,NA
2020-07-13,235.13,-25,NA
2020-07-14,203.35,-27,NA
2020-07-15,230.23,-26,NA
2020-07-16,239.01,-26,NA
2020-07-17,298.29,-31,NA
2020-07-18,314.9,-14,NA
2020-07-19,274.37,-21,NA
2020-07-20,222.32,-24,NA
2020-07-21,209.28,-28,NA
2020-07-22,222.36,-27,NA
2020-07-23,238.21,-24,NA
2020-07-24,238.1,-28,NA
2020-07-25,103.12,-53,NA
2020-07-26,147.72,-27,NA
2020-07-27,157.64,-25,NA
2020-07-28,173.92,-27,NA
2020-07-29,195.02,-23,NA
2020-07-30,238.48,-25,NA
2020-07-31,286.62,-27,NA
2020-08-01,320,-15,NA
2020-08-02,275.93,-13,NA
2020-08-03,232.4,-24,NA
2020-08-04,205.36,-26,NA
2020-08-05,218.63,-23,NA
2020-08-06,239.35,-23,5
2020-08-07,308.78,-26,NA
2020-08-08,321.98,-15,NA
2020-08-09,263.19,-13,NA
2020-08-10,209.54,-24,NA
2020-08-11,192.43,-26,NA
2020-08-12,187.57,-24,NA
2020-08-13,204.3,-21,4
2020-08-14,299.09,-27,NA
2020-08-15,346.84,-17,NA
2020-08-16,258.75,-14,NA
2020-08-20,193.57,NA,5
2020-08-27,167.07,NA,5
2020-09-03,179.81,NA,3
2020-09-11,231.22,-27,NA
2020-09-12,254.45,-21,NA
2020-09-13,201.83,-20,NA
2020-09-14,151.98,-25,NA
2020-09-15,161.6,-28,NA
2020-09-16,147.34,-24,NA
2020-09-17,165.7,-25,NA
2020-09-18,243.46,-28,NA
2020-09-19,254.3,-19,NA
2020-09-20,179.09,-17,NA
2020-09-21,100.76,-39,NA
2020-09-22,112.85,-32,NA
2020-09-23,127.64,-21,5
