date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,103.06,-5,NA
2020-02-16,72.11,3,NA
2020-02-17,93.53,-7,3
2020-02-18,89.29,-1,-1
2020-02-19,94.92,-1,0
2020-02-20,87.81,-1,1
2020-02-21,109.43,-8,NA
2020-02-22,100.54,-7,NA
2020-02-23,75.37,-4,NA
2020-02-24,83.07,-6,3
2020-02-25,80.8,3,3
2020-02-26,94.77,2,0
2020-02-27,98.72,-1,-1
2020-02-28,103.36,-1,-2
2020-02-29,92.69,1,NA
2020-03-01,73.54,1,NA
2020-03-02,98.52,2,-1
2020-03-03,100.74,3,-3
2020-03-04,96.64,1,-2
2020-03-05,102.76,0,-4
2020-03-06,119.74,-8,-1
2020-03-07,110.71,9,NA
2020-03-08,103.7,7,NA
2020-03-09,110.56,-8,3
2020-03-10,102.91,-7,0
2020-03-11,105.92,-7,-1
2020-03-12,99.01,-7,-1
2020-03-13,101.97,-11,NA
2020-03-14,97.53,-1,NA
2020-03-15,72.95,1,NA
2020-03-16,85.19,-13,NA
2020-03-17,82.08,-13,NA
2020-03-18,82.72,-15,NA
2020-03-19,85.64,-17,NA
2020-03-20,79.71,-21,NA
2020-03-21,68.02,-7,NA
2020-03-22,60.27,-13,NA
2020-03-23,69.3,-18,NA
2020-03-24,65.4,-18,NA
2020-03-25,67.52,-20,NA
2020-03-26,72.26,-21,NA
2020-03-27,73.2,-23,NA
2020-03-28,51.58,-17,NA
2020-03-29,54.49,-15,NA
2020-03-30,57.21,-25,NA
2020-03-31,60.46,-31,NA
2020-04-01,65.5,-31,NA
2020-04-02,55.63,-31,NA
2020-04-03,66.83,-31,NA
2020-04-04,50.49,-22,NA
2020-04-05,35.49,-24,NA
2020-04-06,55.28,-29,NA
2020-04-07,62.49,-33,NA
2020-04-08,65.75,-33,NA
2020-04-09,56.07,-34,NA
2020-04-10,61.5,-41,NA
2020-04-11,57.16,-18,NA
2020-04-12,32.92,-38,NA
2020-04-13,63.52,-33,NA
2020-04-14,64.26,-31,NA
2020-04-15,67.03,-28,NA
2020-04-16,66.44,-29,NA
2020-04-17,71.82,-30,NA
2020-04-18,64.17,-20,NA
2020-04-19,54.99,-22,NA
2020-04-20,69.05,-28,NA
2020-04-21,66.88,-29,NA
2020-04-22,61.11,-31,NA
2020-04-23,76.51,-28,NA
2020-04-24,74.83,-32,NA
2020-04-25,69.35,-19,NA
2020-04-26,61.35,-17,NA
2020-04-27,82.58,-26,NA
2020-04-28,70.73,-28,NA
2020-04-29,82.03,-27,NA
2020-04-30,80.55,-27,NA
2020-05-01,91.91,-29,NA
2020-05-02,78.73,-21,NA
2020-05-03,61.06,-11,NA
2020-05-04,88.2,-23,NA
2020-05-05,82.77,-25,NA
2020-05-06,85,-25,NA
2020-05-07,90.82,-25,NA
2020-05-08,109.33,-26,NA
2020-05-09,80.6,-16,NA
2020-05-10,62.14,-8,NA
2020-05-11,NA,-25,NA
2020-05-12,NA,-24,NA
2020-05-13,83.46,-25,NA
2020-05-14,103.11,-24,NA
2020-05-15,95.26,-28,NA
2020-05-16,91.41,-14,NA
2020-05-17,74.53,-17,NA
2020-05-18,101.09,-24,NA
2020-05-19,93.98,-27,NA
2020-05-20,101.78,-26,NA
2020-05-21,117.62,-27,NA
2020-05-22,135,-31,NA
2020-05-23,104.49,-14,NA
2020-05-24,87.22,-19,NA
2020-05-25,78.97,-73,NA
2020-05-26,105.97,-21,NA
2020-05-27,118.95,-21,NA
2020-05-28,122.31,-20,NA
2020-05-29,119.6,-24,NA
2020-05-30,119.45,-4,NA
2020-05-31,99.31,-10,NA
2020-06-01,100.64,-19,NA
2020-06-02,108.69,-21,NA
2020-06-03,119.74,-20,NA
2020-06-04,130.9,-20,NA
2020-06-05,138.3,-24,NA
2020-06-06,131.93,-5,NA
2020-06-07,100,-8,NA
2020-06-08,116.29,-19,NA
2020-06-09,116.83,-21,NA
2020-06-10,116.24,-19,NA
2020-06-11,124.48,-22,NA
2020-06-12,147.33,-21,NA
2020-06-13,191.02,-5,NA
2020-06-14,148.86,-15,NA
2020-06-15,101.88,-20,NA
2020-06-16,112.24,-20,NA
2020-06-17,121.72,-21,NA
2020-06-18,132.77,-19,NA
2020-06-19,140.97,-25,NA
2020-06-20,121.52,-6,NA
2020-06-21,103.8,-9,NA
2020-06-22,126.9,-24,NA
2020-06-23,130.01,-21,NA
2020-06-24,132.18,-22,NA
2020-06-25,153.46,-21,NA
2020-06-26,223.05,-27,NA
2020-06-27,178.58,-10,NA
2020-06-28,125.42,-2,NA
2020-06-29,130.75,-23,NA
2020-06-30,132.18,-20,NA
2020-07-01,138.7,-24,NA
2020-07-02,148.37,-24,NA
2020-07-03,146.59,-49,NA
2020-07-04,95.11,-24,NA
2020-07-05,112.49,-10,NA
2020-07-06,137.51,-28,NA
2020-07-07,139.44,-27,NA
2020-07-08,146.79,-24,NA
2020-07-09,134.95,-25,NA
2020-07-10,194.42,-29,NA
2020-07-11,160.71,-8,NA
2020-07-12,116.19,-8,NA
2020-07-13,123.4,-23,NA
2020-07-14,132.18,-22,NA
2020-07-15,130.16,-24,NA
2020-07-16,132.08,-24,NA
2020-07-17,173.35,-27,NA
2020-07-18,165.6,-3,NA
2020-07-19,107.5,-7,NA
2020-07-20,122.85,-24,NA
2020-07-21,115.2,-23,NA
2020-07-22,125.81,-22,NA
2020-07-23,139.83,-23,NA
2020-07-24,138.2,-26,NA
2020-07-25,129.76,-2,NA
2020-07-26,116.04,-7,NA
2020-07-27,118.07,-23,NA
2020-07-28,121.96,-21,NA
2020-07-29,133.27,-24,NA
2020-07-30,119.4,-25,NA
2020-07-31,148.57,-25,NA
2020-08-01,130.11,-3,NA
2020-08-02,106.52,-3,NA
2020-08-03,126.55,-23,NA
2020-08-04,135.44,-24,NA
2020-08-05,117.03,-23,NA
2020-08-06,132.72,-24,NA
2020-08-07,168.26,-25,NA
2020-08-08,164.41,-4,NA
2020-08-09,125.62,-6,NA
2020-08-10,140.38,-23,NA
2020-08-11,137.22,-24,NA
2020-08-12,151.28,-25,NA
2020-08-13,136.28,-24,NA
2020-08-14,162.88,-22,NA
2020-08-15,152.12,2,NA
2020-08-16,116.88,-1,NA
2020-09-11,195.36,-18,NA
2020-09-12,172.75,-5,NA
2020-09-13,117.42,0,NA
2020-09-14,115.25,-15,NA
2020-09-15,127.25,-15,NA
2020-09-16,139.78,-15,NA
2020-09-17,141.71,-17,NA
2020-09-18,164.81,-13,NA
2020-09-19,146.99,-1,NA
2020-09-20,102.22,-4,NA
2020-09-21,114.91,-17,NA
2020-09-22,126.21,-15,NA
2020-09-23,117.13,-16,2
2020-09-24,126.36,-15,1
2020-09-25,139.39,-12,1
2020-09-26,134.16,1,NA
2020-09-27,112.14,-4,NA
2020-09-28,104.99,-14,3
2020-09-29,111.55,-17,2
2020-09-30,95.16,-17,2
2020-10-01,116.29,-16,0
2020-10-02,123.94,-12,0
2020-10-03,139.83,1,NA
2020-10-04,95.61,-11,NA
2020-10-05,105.43,-15,1
2020-10-06,117.37,-14,-1
2020-10-07,114.36,-14,2
2020-10-08,126.95,-14,1
2020-10-09,157.06,-14,1
2020-10-10,159.77,4,NA
2020-10-11,112.78,-4,NA
2020-10-12,112.83,-19,4
2020-10-13,107.45,-15,2
2020-10-14,116.44,-14,3
2020-10-15,123.89,-15,1
2020-10-16,164.61,-21,3
2020-10-17,163.72,-2,NA
2020-10-18,111.7,-13,NA
2020-10-19,109.43,-15,3
2020-10-20,112.59,-12,3
2020-10-21,104.2,-13,3
2020-10-22,127.34,-13,2
2020-10-23,142.84,-17,4
2020-10-24,145.36,-2,NA
2020-10-25,88.65,-12,NA
2020-10-26,73.64,-14,8
2020-10-27,94.72,-12,5
2020-10-28,99.31,-12,4
2020-10-29,122.75,-13,2
2020-10-30,131.39,-13,1
2020-10-31,104.74,1,NA
2020-11-01,88.94,-11,NA
2020-11-02,102.62,-13,3
2020-11-03,105.63,-13,1
