date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,158.6,2,-1
2020-02-16,132.73,-1,-1
2020-02-17,117.4,-25,6
2020-02-18,105.44,1,0
2020-02-19,102.02,2,3
2020-02-20,111.64,-3,4
2020-02-21,156.3,6,-3
2020-02-22,154.9,3,-1
2020-02-23,126.75,0,0
2020-02-24,108.04,5,0
2020-02-25,108.15,3,-1
2020-02-26,102.51,5,0
2020-02-27,123.38,4,-2
2020-02-28,159.65,6,-4
2020-02-29,182.46,3,-3
2020-03-01,142.22,2,-2
2020-03-02,106.64,4,-1
2020-03-03,107.6,1,-1
2020-03-04,99.75,1,3
2020-03-05,117.27,3,-1
2020-03-06,174.01,6,-4
2020-03-07,181.6,5,-1
2020-03-08,157.56,-1,-1
2020-03-09,123.6,5,0
2020-03-10,125.62,3,-1
2020-03-11,131.53,3,-1
2020-03-12,136.96,2,-1
2020-03-13,159.44,0,-2
2020-03-14,143.91,2,1
2020-03-15,113.03,-5,2
2020-03-16,103.78,-21,6
2020-03-17,93.25,-27,9
2020-03-18,91.84,-28,10
2020-03-19,88.02,-33,12
2020-03-20,85.3,-35,16
2020-03-21,73.5,-24,13
2020-03-22,62.54,-31,11
2020-03-23,72.13,-35,14
2020-03-24,74.05,-39,15
2020-03-25,66.05,-42,18
2020-03-26,65.52,-45,18
2020-03-27,76.22,-42,17
2020-03-28,68.78,-31,14
2020-03-29,60.28,-34,12
2020-03-30,64.45,-45,19
2020-03-31,63.49,-47,18
2020-04-01,64.75,-47,18
2020-04-02,62.64,-48,20
2020-04-03,63.34,-47,21
2020-04-04,51.61,-39,18
2020-04-05,51.17,-39,NA
2020-04-06,61.32,-44,18
2020-04-07,65.63,-47,19
2020-04-08,64.05,-46,19
2020-04-09,64.62,-48,20
2020-04-10,76.03,-52,21
2020-04-11,63.66,-36,16
2020-04-12,58.35,-45,NA
2020-04-13,69.29,-43,17
2020-04-14,70.9,-45,19
2020-04-15,74.79,-43,18
2020-04-16,76.96,-43,18
2020-04-17,83.98,-43,18
2020-04-18,75.23,-31,15
2020-04-19,67.74,-36,NA
2020-04-20,81.04,-42,16
2020-04-21,75.94,-44,18
2020-04-22,72.26,-43,20
2020-04-23,84.08,-42,17
2020-04-24,93.52,-42,16
2020-04-25,97.79,-28,11
2020-04-26,84.48,-35,10
2020-04-27,82.11,-40,16
2020-04-28,82.08,-43,11
2020-04-29,82.18,-44,18
2020-04-30,89.37,-41,16
2020-05-01,106.88,-39,14
2020-05-02,109.27,-25,9
2020-05-03,97.55,-30,8
2020-05-04,93.67,-38,14
2020-05-05,90.53,-40,15
2020-05-06,96.71,-38,15
2020-05-07,98.18,-40,15
2020-05-08,117.8,-36,13
2020-05-09,121.12,-22,7
2020-05-10,97.13,-22,5
2020-05-11,NA,-37,13
2020-05-12,NA,-42,19
2020-05-13,102.61,-38,14
2020-05-14,109.7,-37,14
2020-05-15,124.35,-35,12
2020-05-16,119.84,-22,9
2020-05-17,118.02,-21,7
2020-05-18,107.76,-35,12
2020-05-19,119.58,-37,13
2020-05-20,128.7,-35,13
2020-05-21,123.85,-36,13
2020-05-22,151.87,-35,10
2020-05-23,160.94,-18,6
2020-05-24,116.54,-25,6
2020-05-25,124.71,-69,22
2020-05-26,116.06,-36,13
2020-05-27,112.82,-34,13
2020-05-28,123.01,-34,12
2020-05-29,156.07,-31,9
2020-05-30,155.71,-6,4
2020-05-31,131.15,-12,5
2020-06-01,113.91,-33,10
2020-06-02,121.95,-35,11
2020-06-03,120.03,-33,11
2020-06-04,137.59,-34,11
2020-06-05,174.6,-34,9
2020-06-06,177.08,-11,4
2020-06-07,148.7,-13,4
2020-06-08,127.27,-32,10
2020-06-09,127.98,-35,11
2020-06-10,133.87,-33,11
2020-06-11,142.23,-34,11
2020-06-12,181.99,-32,8
2020-06-13,173.64,-8,3
2020-06-14,161.58,-9,3
2020-06-15,134.27,-33,10
2020-06-16,126.7,-35,10
2020-06-17,130.38,-34,10
2020-06-18,145.66,-35,10
2020-06-19,177.95,-35,7
2020-06-20,172.3,-12,5
2020-06-21,150.4,-11,3
2020-06-22,137.16,-37,11
2020-06-23,115.91,-41,14
2020-06-24,131.19,-35,12
2020-06-25,134.99,-37,11
2020-06-26,157.98,-36,12
2020-06-27,140.11,-13,5
2020-06-28,117.94,-12,5
2020-06-29,126.78,-36,11
2020-06-30,124.98,-38,11
2020-07-01,130.31,-36,11
2020-07-02,148.73,-40,11
2020-07-03,165.27,-52,14
2020-07-04,136.19,-29,9
2020-07-05,142.37,-21,7
2020-07-06,134.55,-40,12
2020-07-07,131.59,-40,12
2020-07-08,125.45,-38,12
2020-07-09,132.81,-39,12
2020-07-10,164.5,-37,10
2020-07-11,159.21,-14,7
2020-07-12,143.64,-17,6
2020-07-13,129.35,-38,12
2020-07-14,124.8,-39,12
2020-07-15,133.9,-37,12
2020-07-16,146.5,-38,12
2020-07-17,168.32,-37,10
2020-07-18,164.05,-15,7
2020-07-19,141.46,-16,6
2020-07-20,130.5,-37,11
2020-07-21,127.98,-39,12
2020-07-22,132.52,-36,12
2020-07-23,144.76,-37,12
2020-07-24,175.09,-34,10
2020-07-25,149.66,-13,8
2020-07-26,135.9,-17,7
2020-07-27,131.16,-36,11
2020-07-28,125.47,-38,12
2020-07-29,133.08,-37,12
2020-07-30,146.95,-39,11
2020-07-31,173.28,-37,10
2020-08-01,172.92,-15,5
2020-08-02,160.82,-17,5
2020-08-03,134.89,-38,10
2020-08-04,133.59,-39,11
2020-08-05,130.57,-37,11
2020-08-06,147.39,-38,11
2020-08-07,178.39,-35,8
2020-08-08,176.36,-14,4
2020-08-09,156.58,-16,4
2020-08-10,144.07,-36,9
2020-08-11,136.96,-38,10
2020-08-12,140.36,-37,10
2020-08-13,146.2,-38,10
2020-08-14,190.16,-35,7
2020-08-15,199.39,-15,5
2020-08-16,170.71,-17,4
2020-08-17,139.49,-37,9
2020-08-18,135.92,-37,11
2020-08-19,131.31,-36,11
2020-08-20,146.05,-36,11
2020-08-21,185.96,-34,8
2020-08-22,172.84,NA,6
2020-08-23,158.41,NA,4
2020-08-24,139.97,-36,10
2020-08-25,166.7,-36,11
2020-08-26,158.33,-35,11
2020-08-27,165.12,-36,11
2020-08-28,200.13,-34,8
2020-08-29,176.08,NA,4
2020-08-30,146.67,NA,4
2020-08-31,124.49,-34,9
2020-09-01,124.55,-37,10
2020-09-02,124,-35,11
2020-09-03,142.96,-36,10
2020-09-04,187.16,-36,10
2020-09-05,184.28,NA,4
2020-09-06,164.99,NA,3
2020-09-07,177.75,-70,19
2020-09-08,126.21,-38,9
2020-09-09,116.98,-38,11
2020-09-10,133.56,-38,8
2020-09-11,166.03,-32,3
2020-09-12,167.42,-17,1
2020-09-13,150.27,-19,3
2020-09-14,124.26,-32,7
2020-09-15,129.45,-32,8
2020-09-16,127.95,-33,9
2020-09-17,140.24,-33,9
2020-09-18,179.87,-30,6
2020-09-19,183.45,-15,3
2020-09-20,152.3,-16,3
2020-09-21,117.35,-35,12
2020-09-22,106.74,-36,13
2020-09-23,113.6,-31,10
2020-09-24,137.74,-31,10
2020-09-25,178.89,-29,6
