date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,154.12,0,-1
2020-02-16,120.33,-2,1
2020-02-17,127.41,-21,4
2020-02-18,118.43,-2,3
2020-02-19,115.76,1,1
2020-02-20,118.79,-1,3
2020-02-21,140.34,1,2
2020-02-22,131.65,3,0
2020-02-23,105.63,2,0
2020-02-24,117.52,2,0
2020-02-25,114.79,1,1
2020-02-26,123.73,1,1
2020-02-27,134.39,3,-1
2020-02-28,165.33,3,-1
2020-02-29,150.92,3,-3
2020-03-01,123.81,4,-1
2020-03-02,125.88,2,-1
2020-03-03,127.51,1,0
2020-03-04,122.85,-1,3
2020-03-05,130.1,-2,4
2020-03-06,160.75,4,0
2020-03-07,158.37,4,-2
2020-03-08,129.83,2,0
2020-03-09,141.34,0,-1
2020-03-10,146.91,0,0
2020-03-11,150.75,0,0
2020-03-12,152.75,1,-1
2020-03-13,167.09,0,0
2020-03-14,161.63,0,-1
2020-03-15,124.66,-4,1
2020-03-16,127.77,-11,5
2020-03-17,115.7,-17,7
2020-03-18,105.89,-23,9
2020-03-19,102.07,-25,10
2020-03-20,102.85,-27,12
2020-03-21,84.17,-25,8
2020-03-22,59.32,-37,10
2020-03-23,72.2,-32,12
2020-03-24,73.82,-35,13
2020-03-25,72.63,-36,14
2020-03-26,71.98,-36,14
2020-03-27,80.23,-35,16
2020-03-28,67.48,-31,10
2020-03-29,55.38,-39,10
2020-03-30,68.55,-37,13
2020-03-31,66.75,-41,16
2020-04-01,66.23,-42,15
2020-04-02,67.48,-42,16
2020-04-03,71.74,-41,17
2020-04-04,60.67,-38,11
2020-04-05,49.07,-45,11
2020-04-06,64.55,-42,15
2020-04-07,63.43,-45,17
2020-04-08,62.92,-45,17
2020-04-09,65.43,-45,17
2020-04-10,71.51,-48,20
2020-04-11,60.26,-38,12
2020-04-12,38.34,-53,13
2020-04-13,62.17,-47,18
2020-04-14,73.29,-42,16
2020-04-15,69.2,-44,18
2020-04-16,75.92,-41,16
2020-04-17,82.07,-42,18
2020-04-18,75.6,-36,10
2020-04-19,48.32,-47,14
2020-04-20,72.17,-42,16
2020-04-21,84.09,-40,15
2020-04-22,82.14,-40,15
2020-04-23,76.23,-42,18
2020-04-24,93.56,-38,17
2020-04-25,88.03,-31,9
2020-04-26,74.61,-42,9
2020-04-27,90.67,-37,13
2020-04-28,90.85,-39,9
2020-04-29,92.52,-41,14
2020-04-30,93.58,-39,15
2020-05-01,113.73,-36,14
2020-05-02,110.64,-29,8
2020-05-03,98.92,-36,7
2020-05-04,115.51,-34,11
2020-05-05,118.32,-35,12
2020-05-06,118.18,-35,12
2020-05-07,122.54,-34,12
2020-05-08,139.1,-33,13
2020-05-09,143.42,-26,6
2020-05-10,113.24,-32,5
2020-05-11,NA,-31,10
2020-05-12,NA,-32,11
2020-05-13,139.45,-32,11
2020-05-14,154.51,-32,9
2020-05-15,177.04,-30,12
2020-05-16,199.95,-22,5
2020-05-17,167.51,-27,6
2020-05-18,169.7,-28,9
2020-05-19,168.48,-28,10
2020-05-20,163.55,-30,12
2020-05-21,181.5,-29,9
2020-05-22,240.73,-27,9
2020-05-23,271.46,-16,3
2020-05-24,229.57,-21,3
2020-05-25,206.1,-61,16
2020-05-26,200.74,-31,12
2020-05-27,186.49,-27,9
2020-05-28,191.75,-24,8
2020-05-29,212.45,-24,10
2020-05-30,229.13,-9,4
2020-05-31,190.95,-16,4
2020-06-01,209.08,-22,6
2020-06-02,201.11,-23,6
2020-06-03,207.09,-24,6
2020-06-04,226.11,-24,7
2020-06-05,238.12,-22,8
2020-06-06,282.3,-11,2
2020-06-07,219.51,-16,4
2020-06-08,219.92,-24,8
2020-06-09,216.52,-23,7
2020-06-10,225.75,-24,7
2020-06-11,232.68,-22,6
2020-06-12,251.07,-26,10
2020-06-13,304.28,-6,2
2020-06-14,230.32,-12,3
2020-06-15,244.07,-23,6
2020-06-16,256.3,-23,6
2020-06-17,233.34,-23,6
2020-06-18,246.74,-23,5
2020-06-19,273.6,-25,7
2020-06-20,336.2,-6,0
2020-06-21,236.98,-12,2
2020-06-22,249.13,-26,5
2020-06-23,252.96,-26,7
2020-06-24,252.6,-25,6
2020-06-25,267.05,-24,6
2020-06-26,270.3,-25,7
2020-06-27,317.02,-9,2
2020-06-28,237.42,-11,3
2020-06-29,244.05,-25,6
2020-06-30,245.31,-24,7
2020-07-01,247.51,-25,7
2020-07-02,270.04,-28,7
2020-07-03,278.89,-43,12
2020-07-04,280.17,-19,4
2020-07-05,244.46,-16,3
2020-07-06,239.79,-28,8
2020-07-07,236.94,-29,10
2020-07-08,237.74,-26,8
2020-07-09,243.99,-25,7
2020-07-10,262.62,-25,8
2020-07-11,314.03,-9,3
2020-07-12,223.84,-13,4
2020-07-13,238.59,-26,6
2020-07-14,238.35,-27,7
2020-07-15,242.04,-26,7
2020-07-16,248.53,-26,7
2020-07-17,272.79,-27,8
2020-07-18,322.62,-13,3
2020-07-19,235.38,-17,4
2020-07-20,236.03,-28,6
2020-07-21,238.83,-29,7
2020-07-22,233.6,-28,7
2020-07-23,245.06,-27,7
2020-07-24,264.17,-27,8
2020-07-25,310.5,-13,2
2020-07-26,225.94,-16,4
2020-07-27,233.97,-28,6
2020-07-28,230.66,-28,8
2020-07-29,227.11,-28,7
2020-07-30,236.03,-28,7
2020-07-31,245.9,-27,7
2020-08-01,293.81,-12,2
2020-08-02,201.69,-16,3
2020-08-03,195.83,-36,12
2020-08-04,208.66,-28,7
2020-08-05,230.66,-29,7
2020-08-06,230.19,-28,7
2020-08-07,253.84,-28,8
2020-08-08,275.89,-10,2
2020-08-09,207.43,-17,4
2020-08-10,209.13,-28,6
2020-08-11,213.33,-28,6
2020-08-12,212.29,-29,7
2020-08-13,221.47,-27,6
2020-08-14,239.46,-27,7
2020-08-15,250.79,-15,2
2020-08-16,190.49,-18,2
2020-08-17,193.32,-27,5
2020-08-18,191.71,-27,6
2020-08-19,189.22,-27,6
