date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,110.08,NA,NA
2020-02-16,96.41,NA,NA
2020-02-17,96.11,-18,NA
2020-02-18,75.65,2,NA
2020-02-19,77.84,6,NA
2020-02-20,78.94,-2,NA
2020-02-21,83.03,-5,NA
2020-02-22,96.01,NA,NA
2020-02-23,81.64,NA,NA
2020-02-24,74.35,6,NA
2020-02-25,83.43,3,NA
2020-02-26,78.04,3,NA
2020-02-27,90.72,3,NA
2020-02-28,124.75,-11,NA
2020-02-29,111.48,NA,NA
2020-03-01,100.9,NA,NA
2020-03-02,78.34,2,NA
2020-03-03,84.53,-2,NA
2020-03-04,84.73,3,NA
2020-03-05,92.81,9,NA
2020-03-06,113.77,-5,NA
2020-03-07,101.4,NA,NA
2020-03-08,87.72,NA,NA
2020-03-09,85.43,2,NA
2020-03-10,69.36,-3,NA
2020-03-11,90.12,-5,NA
2020-03-12,88.82,-5,NA
2020-03-13,107.39,-13,NA
2020-03-14,94.51,NA,NA
2020-03-15,101.4,NA,NA
2020-03-16,123.65,-19,NA
2020-03-17,111.38,-19,NA
2020-03-18,130.04,-23,NA
2020-03-19,119.26,-22,NA
2020-03-20,126.45,-24,NA
2020-03-21,106.89,NA,NA
2020-03-22,100.4,NA,NA
2020-03-23,70.16,-21,NA
2020-03-24,62.48,-23,NA
2020-03-25,87.82,-28,NA
2020-03-26,99.1,-22,NA
2020-03-27,66.87,-31,NA
2020-03-28,65.57,NA,NA
2020-03-29,62.28,NA,NA
2020-03-30,51.7,-27,NA
2020-03-31,60.48,-30,NA
2020-04-01,53.59,-29,NA
2020-04-02,50.2,-31,NA
2020-04-03,54.39,-31,NA
2020-04-04,67.07,NA,NA
2020-04-05,53.99,NA,NA
2020-04-06,52.4,-29,NA
2020-04-07,57.19,-30,NA
2020-04-08,51.8,-35,NA
2020-04-09,59.58,-34,NA
2020-04-10,70.26,-34,NA
2020-04-13,60.88,-25,NA
2020-04-14,46.81,-26,NA
2020-04-15,43.91,-25,NA
2020-04-16,54.29,-23,NA
2020-04-17,79.34,-29,NA
2020-04-20,63.07,-24,NA
2020-04-21,60.78,-22,NA
2020-04-22,65.87,-24,NA
2020-04-23,69.16,-30,NA
2020-04-24,74.05,-30,NA
2020-04-27,74.75,-20,NA
2020-04-28,74.25,-26,NA
2020-04-29,74.15,-21,NA
2020-04-30,80.94,-26,NA
2020-05-01,106.49,-22,NA
2020-05-04,81.74,-19,NA
2020-05-05,78.14,-17,NA
2020-05-06,79.24,-21,NA
2020-05-07,91.22,-18,NA
2020-05-08,98.5,-22,NA
2020-05-11,NA,-20,NA
2020-05-12,NA,-21,NA
2020-05-13,90.02,-19,NA
2020-05-14,113.57,-21,NA
2020-05-15,115.97,-27,NA
2020-05-18,96.61,-17,NA
2020-05-19,86.93,-22,NA
2020-05-20,99.1,-19,NA
2020-05-21,122.46,-17,NA
2020-05-22,161.58,-17,NA
2020-05-25,141.52,-61,NA
2020-05-26,106.99,-24,NA
2020-05-27,114.57,-24,NA
2020-05-28,109.18,-16,NA
2020-05-29,129.14,-23,NA
2020-06-01,118.86,-15,NA
2020-06-02,114.77,-20,NA
2020-06-03,120.16,-19,NA
2020-06-04,136.23,-20,NA
2020-06-05,147.5,-20,NA
2020-06-08,134.13,-16,NA
2020-06-09,146.21,-19,NA
2020-06-10,132.34,-20,NA
2020-06-11,166.77,-17,NA
2020-06-12,174.05,-22,NA
2020-06-15,155.79,-13,NA
2020-06-16,134.13,-17,NA
2020-06-17,156.39,-18,NA
2020-06-18,175.05,-11,NA
2020-06-19,188.12,-22,NA
2020-06-22,197.41,-16,NA
2020-06-23,150.5,-19,NA
2020-06-24,183.63,-20,NA
2020-06-25,204.99,-17,NA
2020-06-26,257.19,-23,NA
2020-06-29,197.21,-16,NA
2020-06-30,206.79,-15,NA
2020-07-01,191.92,-17,NA
2020-07-02,267.27,-15,NA
2020-07-03,281.24,-36,NA
2020-07-06,239.62,-23,NA
2020-07-07,225.75,-21,NA
2020-07-08,222.85,-23,NA
2020-07-09,209.78,-17,NA
2020-07-10,246.71,-23,NA
2020-07-13,234.73,-17,NA
2020-07-14,202.5,-22,NA
2020-07-15,202.79,-19,NA
2020-07-16,249.5,-16,NA
2020-07-17,234.43,-23,NA
2020-07-20,212.28,-18,NA
2020-07-21,230.74,-22,NA
2020-07-22,218.56,-21,NA
2020-07-23,247.01,-16,NA
2020-07-24,298,-24,NA
2020-07-27,197.9,-18,NA
2020-07-28,202.5,-19,NA
2020-07-29,221.26,-21,NA
2020-07-30,246.71,-18,NA
2020-07-31,266.47,-25,NA
2020-08-03,239.92,-23,NA
2020-08-04,206.89,-16,NA
2020-08-05,214.97,-19,NA
2020-08-06,247.8,-20,NA
2020-08-07,272.95,-24,NA
2020-08-10,214.77,-21,NA
2020-08-11,218.56,-16,NA
2020-08-12,247.11,-19,NA
2020-08-13,235.33,-21,NA
2020-08-14,275.15,-23,NA
2020-09-11,255.09,-19,NA
2020-09-14,225.25,-8,NA
2020-09-15,191.52,-8,NA
2020-09-16,191.42,-16,NA
2020-09-17,233.83,-12,NA
2020-09-18,254.89,-21,NA
2020-09-21,174.15,-6,NA
2020-09-22,167.07,-9,NA
2020-09-23,183.53,-13,NA
2020-09-24,187.03,-13,NA
2020-09-25,212.28,-9,NA
2020-09-28,143.81,-11,NA
2020-09-29,120.16,-13,NA
2020-09-30,143.01,-19,NA
2020-10-01,170.26,-19,NA
2020-10-02,192.61,-20,NA
2020-10-05,144.11,-15,NA
2020-10-06,125.05,-17,NA
2020-10-07,130.64,-24,NA
2020-10-08,150.9,-18,NA
2020-10-09,190.52,-20,NA
2020-10-12,126.85,-26,NA
2020-10-13,124.75,-13,NA
2020-10-14,145.61,-20,NA
2020-10-15,156.49,-17,NA
2020-10-16,168.66,-20,NA
2020-10-19,113.67,-13,NA
2020-10-20,103.49,-10,NA
2020-10-21,138.72,-12,NA
2020-10-22,142.42,-15,NA
2020-10-23,192.91,-17,NA
2020-10-26,140.92,-15,NA
2020-10-27,122.75,-16,NA
2020-10-28,121.06,-14,NA
2020-10-29,143.71,-13,NA
2020-10-30,184.83,-16,NA
2020-11-02,117.47,-11,NA
2020-11-03,108.08,-21,NA
