date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,190.76,6,NA
2020-02-16,130.82,6,NA
2020-02-17,121.53,-24,6
2020-02-18,99.25,-5,3
2020-02-19,95.8,0,1
2020-02-20,124.03,1,1
2020-02-21,146.45,0,0
2020-02-22,188.31,-2,NA
2020-02-23,118.83,6,NA
2020-02-24,93.06,4,0
2020-02-25,96.3,2,0
2020-02-26,99.85,4,-1
2020-02-27,106.39,4,0
2020-02-28,148.35,1,0
2020-02-29,180.77,12,NA
2020-03-01,111.84,7,NA
2020-03-02,102.85,5,0
2020-03-03,107.14,3,0
2020-03-04,96.65,1,-2
2020-03-05,117.98,2,2
2020-03-06,151.75,2,0
2020-03-07,170.53,2,NA
2020-03-08,105.99,1,NA
2020-03-09,98.3,3,0
2020-03-10,97.25,4,0
2020-03-11,96.4,2,0
2020-03-12,107.04,3,0
2020-03-13,124.18,-5,3
2020-03-14,125.42,6,NA
2020-03-15,74.53,4,NA
2020-03-16,81.87,0,2
2020-03-17,79.57,-10,7
2020-03-18,73.18,-16,10
2020-03-19,70.13,-19,14
2020-03-20,88.51,-23,16
2020-03-21,69.33,-23,NA
2020-03-22,56.14,-30,NA
2020-03-23,67.88,-24,12
2020-03-24,63.49,-28,16
2020-03-25,81.82,-31,15
2020-03-26,73.43,-32,16
2020-03-27,77.12,-31,NA
2020-03-28,55.94,-32,NA
2020-03-29,46.8,-35,NA
2020-03-30,69.38,-41,NA
2020-03-31,67.98,-42,NA
2020-04-01,67.78,-43,NA
2020-04-02,50.5,-43,NA
2020-04-03,54.95,-45,NA
2020-04-04,68.98,-32,NA
2020-04-05,56.94,-33,NA
2020-04-06,70.18,-40,NA
2020-04-07,69.23,-42,NA
2020-04-08,76.02,-42,NA
2020-04-09,77.62,-44,NA
2020-04-10,92.66,-46,NA
2020-04-11,81.07,-36,NA
2020-04-12,44.66,-41,NA
2020-04-13,78.72,-40,NA
2020-04-14,69.58,-40,NA
2020-04-15,81.47,-39,17
2020-04-16,85.46,-37,19
2020-04-17,101.4,-39,NA
2020-04-18,102.85,-28,NA
2020-04-19,85.71,-32,NA
2020-04-20,83.22,-34,16
2020-04-21,79.57,-36,17
2020-04-22,104.15,-36,14
2020-04-23,93.86,-37,16
2020-04-24,133.22,-37,NA
2020-04-25,130.77,-21,NA
2020-04-26,121.58,-28,NA
2020-04-27,100.95,-34,12
2020-04-28,101.75,-36,9
2020-04-29,114.69,-36,12
2020-04-30,129.32,-35,12
2020-05-01,187.61,-36,NA
2020-05-02,182.52,-20,NA
2020-05-03,118.73,-24,NA
2020-05-04,118.33,-32,12
2020-05-05,131.97,-33,16
2020-05-06,137.76,-34,12
2020-05-07,130.37,-33,14
2020-05-08,178.07,-34,NA
2020-05-09,139.76,-22,NA
2020-05-10,115.28,-19,NA
2020-05-11,NA,-32,11
2020-05-12,NA,-32,12
2020-05-13,125.37,-33,13
2020-05-14,155.09,-34,13
2020-05-15,233.62,-34,NA
2020-05-16,218.93,-15,NA
2020-05-17,186.11,-12,NA
2020-05-18,181.07,-30,9
2020-05-19,164.84,-29,10
2020-05-20,182.62,-31,9
2020-05-21,198.75,-33,11
2020-05-22,284.77,-34,NA
2020-05-23,327.87,-18,NA
2020-05-24,261.84,-20,NA
2020-05-25,236.21,-75,NA
2020-05-26,188.66,-32,11
2020-05-27,217.08,-31,7
2020-05-28,221.43,-30,11
2020-05-29,276.72,-30,11
2020-05-30,275.47,-2,NA
2020-05-31,230.22,-5,NA
2020-06-01,221.38,-26,6
2020-06-02,216.28,-27,9
2020-06-03,212.64,-27,6
2020-06-04,248.7,-26,7
2020-06-05,354.15,-29,7
2020-06-06,390.56,-11,NA
2020-06-07,237.16,-13,NA
2020-06-08,220.13,-26,7
2020-06-09,189.96,-25,11
2020-06-10,212.94,-25,7
2020-06-11,256.19,-23,7
2020-06-12,377.77,-27,6
2020-06-13,441.26,0,NA
2020-06-14,319.53,-2,NA
2020-06-15,241.86,-23,6
2020-06-16,256.29,-24,8
2020-06-17,272.13,-24,5
2020-06-18,240.16,-26,8
2020-06-19,390.91,-26,5
2020-06-20,410.29,-3,NA
2020-06-21,328.57,7,NA
2020-06-22,258.14,-25,6
2020-06-23,259.64,-25,7
2020-06-24,254.35,-23,5
2020-06-25,308.49,-24,7
2020-06-26,446.45,-25,5
2020-06-27,581.67,1,NA
2020-06-28,391.91,12,NA
2020-06-29,266.78,-24,5
2020-06-30,283.87,-24,5
2020-07-01,326.22,-25,3
2020-07-02,463.04,-29,5
2020-07-03,622.58,-58,NA
2020-07-04,611.54,-17,NA
2020-07-05,538.16,-8,NA
2020-07-06,312.09,-29,6
2020-07-07,302.15,-24,6
2020-07-08,297,-23,6
2020-07-09,331.47,-23,7
2020-07-10,418.53,-24,6
2020-07-11,480.37,6,NA
2020-07-12,395.6,11,NA
2020-07-13,255.49,-23,7
2020-07-14,256.49,-21,7
2020-07-15,291.21,-21,5
2020-07-16,307.79,-21,6
2020-07-17,431.02,-25,9
2020-07-18,525.47,2,NA
2020-07-19,422.88,5,NA
2020-07-20,255.64,-19,5
2020-07-21,265.38,-19,7
2020-07-22,273.33,-19,4
2020-07-23,307.79,-21,5
2020-07-24,431.07,-24,7
2020-07-25,470.08,5,NA
2020-07-26,434.22,10,NA
2020-07-27,290.96,-23,5
2020-07-28,278.82,-21,6
2020-07-29,284.17,-21,5
2020-07-30,303.4,-23,5
2020-07-31,436.21,-23,6
2020-08-01,490.06,8,NA
2020-08-02,360.54,10,NA
2020-08-03,283.87,-20,4
2020-08-04,261.94,-17,5
2020-08-05,286.21,-18,4
2020-08-06,320.18,-21,5
2020-08-07,420.78,-24,7
2020-08-08,479.72,-2,NA
2020-08-09,333.27,8,NA
2020-08-10,277.02,-19,4
2020-08-11,269.73,-19,5
2020-08-12,272.63,-19,5
2020-08-13,302.95,-19,6
2020-08-14,358.89,-22,10
2020-08-15,476.07,6,NA
2020-08-16,370.88,15,NA
2020-08-17,252.7,NA,4
2020-08-18,243.11,NA,4
2020-08-19,268.43,NA,4
2020-08-20,296.05,NA,5
2020-08-21,392.76,NA,4
2020-08-24,232.47,NA,5
2020-08-25,227.72,NA,5
2020-08-26,223.68,NA,5
2020-08-27,257.09,NA,5
2020-08-28,335.31,NA,6
2020-08-31,210.69,NA,4
2020-09-01,204.3,NA,5
2020-09-02,227.77,NA,3
2020-09-03,250.5,NA,4
2020-09-04,358.29,NA,4
2020-09-07,283.62,-69,NA
2020-09-08,200.9,NA,5
2020-09-09,201.3,NA,3
2020-09-10,219.43,NA,1
2020-09-11,298.45,-20,1
2020-09-12,276.67,6,NA
2020-09-13,187.56,17,NA
2020-09-14,211.29,-17,1
2020-09-15,197.15,-17,3
2020-09-16,185.81,-17,2
2020-09-17,208.54,-17,4
2020-09-18,276.87,-17,3
2020-09-19,311.49,11,NA
2020-09-20,218.03,15,NA
2020-09-21,194.26,-17,2
2020-09-22,193.56,-14,5
