date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,124.89,6,NA
2020-02-16,97.89,-2,NA
2020-02-17,115.15,-8,NA
2020-02-18,105.88,-1,NA
2020-02-19,98.71,4,NA
2020-02-20,106.7,7,NA
2020-02-21,143.16,-1,NA
2020-02-22,115.06,-2,NA
2020-02-23,101.38,2,NA
2020-02-24,105.69,1,NA
2020-02-25,100.28,3,NA
2020-02-26,101.01,-1,NA
2020-02-27,110.84,1,NA
2020-02-28,114.14,2,NA
2020-02-29,120.11,5,NA
2020-03-01,95.96,-6,NA
2020-03-02,101.84,1,NA
2020-03-03,99.63,2,NA
2020-03-04,91.64,0,NA
2020-03-05,114.88,8,NA
2020-03-06,127.46,-1,NA
2020-03-07,125.71,2,NA
2020-03-08,98.07,-4,NA
2020-03-09,98.26,-2,NA
2020-03-10,112.67,-5,NA
2020-03-11,104.41,0,NA
2020-03-12,112.3,3,NA
2020-03-13,127,0,NA
2020-03-14,111.11,5,NA
2020-03-15,82.28,-15,NA
2020-03-16,89.81,-10,NA
2020-03-17,91.74,-17,NA
2020-03-18,80.44,-19,NA
2020-03-19,88.89,-12,NA
2020-03-20,77.32,-26,NA
2020-03-21,68.23,-11,NA
2020-03-22,62.08,-9,NA
2020-03-23,59.96,-27,NA
2020-03-24,67.68,-28,NA
2020-03-25,61.34,-30,NA
2020-03-26,71.72,-25,NA
2020-03-27,73.19,-31,NA
2020-03-28,64,-19,NA
2020-03-29,59.04,-25,NA
2020-03-30,67.03,-34,NA
2020-03-31,60.06,-33,NA
2020-04-01,69.42,-33,NA
2020-04-02,64.28,-28,NA
2020-04-03,71.44,-32,NA
2020-04-04,53.63,-16,NA
2020-04-05,60.61,-15,NA
2020-04-06,69.24,-37,NA
2020-04-07,64,-40,NA
2020-04-08,75.39,-40,NA
2020-04-09,70.06,-33,NA
2020-04-10,72.27,-44,NA
2020-04-11,62.99,-21,NA
2020-04-12,43.07,-29,NA
2020-04-13,62.17,-46,NA
2020-04-14,73.46,-35,NA
2020-04-15,80.9,-36,NA
2020-04-16,94.4,-28,NA
