date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,165.06,4,-1
2020-02-16,129.32,8,-2
2020-02-17,131.87,-16,5
2020-02-18,123.75,2,0
2020-02-19,136.28,5,-2
2020-02-20,161.7,6,0
2020-02-21,196.12,26,-1
2020-02-22,184.06,7,-3
2020-02-23,124.13,9,-2
2020-02-24,119.82,5,1
2020-02-25,123.72,2,1
2020-02-26,134.8,4,-2
2020-02-27,139.73,5,-1
2020-02-28,181.24,16,0
2020-02-29,195.51,6,-5
2020-03-01,139.62,7,-3
2020-03-02,128.37,6,-1
2020-03-03,136.11,3,-1
2020-03-04,134.61,5,-3
2020-03-05,151.93,5,-2
2020-03-06,189.72,23,-2
2020-03-07,193.16,7,-4
2020-03-08,143.8,9,-3
2020-03-09,127.65,3,2
2020-03-10,142.26,1,-1
2020-03-11,145,-1,-2
2020-03-12,136.48,0,2
2020-03-13,149.41,18,1
2020-03-14,132.19,0,2
2020-03-15,98.67,-3,3
2020-03-16,101.58,-6,5
2020-03-17,98.77,-13,7
2020-03-18,89.46,-25,11
2020-03-19,88.03,-31,15
2020-03-20,94.14,-21,16
2020-03-21,80.03,-23,9
2020-03-22,53.75,-33,11
2020-03-23,69.32,-44,17
2020-03-24,66.73,-49,20
2020-03-25,63.07,-51,20
2020-03-26,69.26,-51,21
2020-03-27,72.05,-41,23
2020-03-28,65.12,-35,13
2020-03-29,59.52,-36,10
2020-03-30,72.02,-49,19
2020-03-31,74.85,-51,21
2020-04-01,75.67,-51,18
2020-04-02,76.66,-51,21
2020-04-03,81.04,-41,23
2020-04-04,66.58,-34,13
2020-04-05,57.1,-35,11
2020-04-06,72.82,-50,20
2020-04-07,79.34,-52,20
2020-04-08,79.92,-52,18
2020-04-09,77.89,-51,22
2020-04-10,87.82,-44,23
2020-04-11,70.87,-34,12
2020-04-12,48.66,-42,11
2020-04-13,77,-50,21
2020-04-14,81.04,-51,21
2020-04-15,85.94,-49,18
2020-04-16,83.13,-50,22
2020-04-17,93,-39,23
2020-04-18,92.29,-29,10
2020-04-19,73.99,-31,8
2020-04-20,89.57,-49,18
2020-04-21,90.35,-50,19
2020-04-22,89.84,-49,18
2020-04-23,93.1,-49,21
2020-04-24,99.05,-38,22
2020-04-25,91.91,-32,11
2020-04-26,82.11,-31,7
2020-04-27,98.93,-46,18
2020-04-28,91.63,-50,14
2020-04-29,94.81,-48,18
2020-04-30,112.18,-47,17
2020-05-01,121.67,-35,17
2020-05-02,109.99,-26,6
2020-05-03,87.65,-29,7
2020-05-04,103.3,-41,17
2020-05-05,115.47,-44,16
2020-05-06,118.18,-41,14
2020-05-07,119.03,-42,16
2020-05-08,141.78,-31,16
2020-05-09,129.71,-21,5
2020-05-10,89.48,-23,4
2020-05-11,NA,-40,15
2020-05-12,NA,-41,16
2020-05-13,124.33,-39,14
2020-05-14,130.1,-40,16
2020-05-15,155.98,-28,15
2020-05-16,144.05,-19,6
2020-05-17,122.59,-23,5
2020-05-18,138.18,-37,14
2020-05-19,140.49,-39,14
2020-05-20,147.13,-38,12
2020-05-21,152.97,-39,13
2020-05-22,171.28,-27,13
2020-05-23,147.85,-18,2
2020-05-24,114.16,-22,2
2020-05-25,112.93,-73,19
2020-05-26,145.4,-39,14
2020-05-27,146.93,-36,12
2020-05-28,147.22,-36,14
2020-05-29,184.43,-23,11
2020-05-30,162.45,-7,2
2020-05-31,132.2,-10,2
2020-06-01,156.29,-33,11
2020-06-02,149.85,-35,11
2020-06-03,150.46,-34,10
