date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,119.53,9,NA
2020-02-16,85.56,5,NA
2020-02-17,108.1,-5,NA
2020-02-18,96.26,1,NA
2020-02-19,101.07,-2,NA
2020-02-20,116.86,6,NA
2020-02-21,130.89,5,NA
2020-02-22,130.16,2,NA
2020-02-23,93.04,3,NA
2020-02-24,98.48,11,NA
2020-02-25,106.34,0,NA
2020-02-26,116.9,-1,NA
2020-02-27,123.13,-3,NA
2020-02-28,133.93,0,NA
2020-02-29,128.84,2,NA
2020-03-01,94.7,7,NA
2020-03-02,101.66,8,NA
2020-03-03,108.34,1,NA
2020-03-04,104.09,0,NA
2020-03-05,119.22,3,NA
2020-03-06,136.67,2,NA
2020-03-07,129.71,2,NA
2020-03-08,92.97,3,NA
2020-03-09,103.05,11,NA
2020-03-10,115.13,-2,NA
2020-03-11,112.26,-1,NA
2020-03-12,105.64,-2,NA
2020-03-13,115.75,-2,NA
2020-03-14,92.9,4,NA
2020-03-15,69.84,-10,NA
2020-03-16,92.62,-7,NA
2020-03-17,88.64,-22,NA
2020-03-18,78.53,-26,NA
2020-03-19,74,-27,NA
2020-03-20,78.74,-25,NA
2020-03-21,64.34,-23,NA
2020-03-22,47.54,-30,NA
2020-03-23,62.33,-26,NA
2020-03-24,69.04,-38,NA
2020-03-25,70.43,-41,NA
2020-03-26,80.99,-40,NA
2020-03-27,74.2,-42,NA
2020-03-28,64.34,-37,NA
2020-03-29,49.24,-38,NA
2020-03-30,67.83,-39,NA
2020-03-31,67.62,-45,NA
2020-04-01,73.3,-47,NA
2020-04-02,70.08,-42,NA
2020-04-03,85.35,-45,NA
2020-04-04,65.24,-38,NA
2020-04-05,54.29,-42,NA
2020-04-06,75.42,-45,NA
2020-04-07,73.89,-48,NA
2020-04-08,76.59,-48,NA
2020-04-09,80.47,-50,NA
2020-04-10,78.95,-51,NA
2020-04-11,82.41,-28,NA
2020-04-12,44.67,-38,NA
2020-04-13,69.43,-38,NA
2020-04-14,72.09,-44,NA
2020-04-15,81.58,-42,NA
2020-04-16,86.5,-40,NA
2020-04-17,86.39,-42,NA
2020-04-18,77.98,-29,NA
2020-04-19,64.3,-39,NA
2020-04-20,97.99,-37,NA
2020-04-21,93.21,-40,NA
2020-04-22,91.9,-43,NA
2020-04-23,88.64,-42,NA
2020-04-24,105.23,-40,NA
2020-04-25,73.13,-27,NA
2020-04-26,64.68,-35,NA
2020-04-27,85.21,-31,NA
2020-04-28,87.12,-42,NA
2020-04-29,90.3,-43,NA
2020-04-30,91.83,-38,NA
2020-05-01,111.39,-37,NA
2020-05-02,99.13,-31,NA
2020-05-03,84.14,-33,NA
2020-05-04,102.18,-28,NA
2020-05-05,99.69,-40,NA
2020-05-06,108.45,-38,NA
2020-05-07,121.19,-39,NA
2020-05-08,112.33,-38,NA
2020-05-09,109.97,-24,NA
2020-05-10,74.79,-26,NA
2020-05-11,NA,-25,NA
2020-05-12,NA,-33,NA
2020-05-13,114.72,-34,NA
2020-05-14,119.7,-31,NA
2020-05-15,140.34,-34,NA
2020-05-16,111.77,-21,NA
2020-05-17,85.84,-27,NA
2020-05-18,120.15,-26,NA
2020-05-19,125.76,-32,NA
2020-05-20,127.39,-32,NA
2020-05-21,142.21,-28,NA
2020-05-22,149.69,-30,NA
2020-05-23,127.98,-16,NA
2020-05-24,104.78,-20,NA
2020-05-25,114.47,-61,NA
2020-05-26,130.23,-30,NA
2020-05-27,140.48,-27,NA
2020-05-28,142,-26,NA
2020-05-29,157.72,-28,NA
2020-05-30,132.62,-14,NA
2020-05-31,99.97,-12,NA
2020-06-01,132.89,-20,NA
2020-06-02,134.63,-27,NA
2020-06-03,135.32,-27,NA
2020-06-04,144.43,-26,NA
2020-06-05,158.48,-27,NA
2020-06-06,131.96,-8,NA
2020-06-07,109.38,-14,NA
2020-06-08,138.37,-20,NA
2020-06-09,141.76,-24,NA
2020-06-10,143.7,-26,NA
2020-06-11,146.64,-23,NA
2020-06-12,171.78,-25,NA
2020-06-13,149.55,-10,NA
2020-06-14,119.32,-20,NA
2020-06-15,148.37,-23,NA
2020-06-16,135.7,-28,NA
2020-06-17,139.44,-27,NA
2020-06-18,141.03,-26,NA
2020-06-19,173.37,-27,NA
2020-06-20,145.6,-9,NA
2020-06-21,106.3,-18,NA
2020-06-22,137.05,-22,NA
2020-06-23,141.2,-31,NA
2020-06-24,144.49,-29,NA
2020-06-25,151.04,-27,NA
2020-06-26,172.75,-24,NA
2020-06-27,136.67,-9,NA
2020-06-28,118.59,-17,NA
2020-06-29,141.69,-23,NA
2020-06-30,157.65,-26,NA
2020-07-01,147.61,-29,NA
2020-07-02,166.83,-32,NA
2020-07-03,165.55,-50,NA
2020-07-04,130.64,-33,NA
2020-07-05,134.97,-18,NA
2020-07-06,160.91,-30,NA
