date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,137.85,NA,NA
2020-02-16,149.66,NA,NA
2020-02-17,123.98,-16,NA
2020-02-18,97.16,0,NA
2020-02-19,108.35,-4,NA
2020-02-20,114.02,-2,NA
2020-02-21,193.72,NA,NA
2020-02-22,155.17,NA,NA
2020-02-23,146.59,NA,NA
2020-02-24,131.42,NA,NA
2020-02-25,98.7,0,NA
2020-02-26,102.38,0,NA
2020-02-27,125.13,-2,NA
2020-02-28,179.54,-11,NA
2020-02-29,148.66,NA,NA
2020-03-01,170.96,NA,NA
2020-03-02,110.88,NA,NA
2020-03-03,107.66,-4,NA
2020-03-04,101.46,-2,NA
2020-03-05,125.98,-2,NA
2020-03-06,202.68,NA,NA
2020-03-07,174.48,NA,NA
2020-03-08,178.24,NA,NA
2020-03-09,146.82,-7,NA
2020-03-10,115.25,-15,NA
2020-03-11,118.62,-21,NA
2020-03-12,158.62,-19,NA
2020-03-13,221.92,-20,NA
2020-03-14,155.94,NA,NA
2020-03-15,159.39,NA,NA
2020-03-16,131.72,-9,NA
2020-03-17,106.36,-19,NA
2020-03-18,97.09,-21,NA
2020-03-19,102.38,-23,NA
2020-03-20,116.09,-20,NA
2020-03-21,89.66,NA,NA
2020-03-22,92.41,NA,NA
2020-03-23,74.41,-19,NA
2020-03-24,81.3,-28,NA
2020-03-25,75.25,-29,NA
2020-03-26,75.02,-27,NA
2020-03-27,68.12,-31,NA
2020-03-28,58.93,NA,NA
2020-03-29,53.49,NA,NA
2020-03-30,49.96,-30,NA
2020-03-31,57.16,-36,NA
2020-04-01,55.25,-38,NA
2020-04-02,57.01,-35,NA
2020-04-03,63.45,-33,NA
2020-04-04,42.38,NA,NA
2020-04-05,45.36,NA,NA
2020-04-06,53.33,-28,NA
2020-04-07,46.21,-38,NA
2020-04-08,56.09,-38,NA
2020-04-09,68.28,-38,NA
2020-04-10,66.59,-44,NA
2020-04-11,50.04,NA,NA
2020-04-12,49.5,NA,NA
2020-04-13,63.83,-38,NA
2020-04-14,57.09,-31,NA
2020-04-15,56.7,-34,NA
2020-04-16,68.66,-32,NA
2020-04-17,78.31,-32,NA
2020-04-18,68.43,NA,NA
2020-04-19,58.54,NA,NA
2020-04-20,62.68,-27,NA
2020-04-21,65.21,-32,NA
2020-04-22,67.05,-35,NA
2020-04-23,65.75,-34,NA
2020-04-24,99.54,-28,NA
2020-04-25,85.67,NA,NA
2020-04-26,68.81,NA,NA
2020-04-27,84.52,-22,NA
2020-04-28,70.8,-24,NA
2020-04-29,67.43,-30,NA
2020-04-30,81.84,-34,NA
2020-05-01,104.44,-27,NA
2020-05-02,87.66,NA,NA
2020-05-03,88.97,NA,NA
2020-05-04,84.52,-18,NA
2020-05-05,77.16,-29,NA
2020-05-06,80.84,-29,NA
2020-05-07,92.11,-31,NA
2020-05-08,126.44,-32,NA
2020-05-09,94.79,NA,NA
2020-05-10,106.21,NA,NA
2020-05-11,NA,-20,NA
2020-05-12,NA,-26,NA
2020-05-13,88.12,-27,NA
2020-05-14,102.99,-31,NA
2020-05-15,128.97,-29,NA
2020-05-16,89.89,NA,NA
2020-05-17,119.85,NA,NA
2020-05-18,97.85,-15,NA
2020-05-19,91.88,-21,NA
2020-05-20,85.52,-20,NA
2020-05-21,112.11,-28,NA
2020-05-22,174.79,-20,NA
2020-05-23,148.74,NA,NA
2020-05-24,108.43,NA,NA
2020-05-25,154.56,-47,NA
2020-05-26,110.19,-21,NA
2020-05-27,96.48,-19,NA
2020-05-28,110.11,-12,NA
2020-05-29,161.38,-25,NA
2020-05-30,121.61,NA,NA
2020-05-31,124.83,NA,NA
2020-06-01,103.83,-15,NA
2020-06-02,108.12,-23,NA
2020-06-03,105.82,-26,NA
2020-06-04,122.84,-24,NA
2020-06-05,160.08,-23,NA
2020-06-06,127.28,NA,NA
2020-06-07,162.07,NA,NA
2020-06-08,127.43,-15,NA
2020-06-09,107.36,-23,NA
2020-06-10,106.13,-22,NA
2020-06-11,139.62,-14,NA
2020-06-12,178.85,-22,NA
2020-06-13,142.45,NA,NA
2020-06-14,175.79,NA,NA
2020-06-15,112.49,-15,NA
2020-06-16,108.74,-20,NA
2020-06-17,110.27,-24,NA
2020-06-18,136.48,-26,NA
2020-06-19,167.82,-21,NA
2020-06-20,142.53,NA,NA
2020-06-21,164.98,NA,NA
2020-06-22,138.93,-19,NA
2020-06-23,110.96,-25,NA
2020-06-24,114.64,-23,NA
2020-06-25,133.79,-23,NA
2020-06-26,164.44,-24,NA
2020-06-27,125.13,NA,NA
2020-06-28,122.22,NA,NA
2020-06-29,117.85,-17,NA
2020-06-30,104.6,-26,NA
2020-07-01,120.69,-25,NA
2020-07-02,137.32,-28,NA
2020-07-03,160.77,-40,NA
2020-07-04,83.98,NA,NA
2020-07-05,134.18,NA,NA
2020-07-06,129.73,-30,NA
2020-07-07,105.82,-31,NA
2020-07-08,107.2,-29,NA
2020-07-09,124.75,-32,NA
2020-07-10,133.1,-34,NA
2020-07-11,112.87,NA,NA
2020-07-12,117.78,NA,NA
2020-07-13,109.27,-21,NA
2020-07-14,97.39,-24,NA
2020-07-15,100.69,-31,NA
2020-07-16,105.98,-32,NA
2020-07-17,128.58,-37,NA
2020-07-18,103.83,NA,NA
2020-07-19,115.56,NA,NA
2020-07-20,98.54,-20,NA
2020-07-21,90.73,-32,NA
2020-07-22,101.15,-29,NA
2020-07-23,106.9,-32,NA
2020-07-24,141.38,-20,NA
2020-07-25,88.66,NA,NA
2020-07-26,112.49,NA,NA
2020-07-27,139.08,-21,NA
2020-07-28,115.94,-30,NA
2020-07-29,129.66,-26,NA
2020-07-30,118.08,-29,NA
2020-07-31,154.41,-32,NA
2020-08-01,138.62,NA,NA
2020-08-02,148.51,NA,NA
2020-08-03,152.64,-21,NA
2020-08-04,140.38,-24,NA
2020-08-05,109.04,-30,NA
2020-08-06,116.86,-29,NA
2020-08-07,156.02,-34,NA
2020-08-08,125.44,NA,NA
2020-08-09,139.31,NA,NA
2020-08-10,118.39,-20,NA
2020-08-11,107.82,-26,NA
2020-08-12,103.6,-34,NA
2020-08-13,139.85,-27,NA
2020-08-14,171.03,-34,NA
2020-08-15,150.57,NA,NA
2020-08-16,155.86,NA,NA
2020-09-11,148.66,-28,NA
2020-09-12,134.94,NA,NA
2020-09-14,117.78,-19,NA
2020-09-15,103.37,-21,NA
2020-09-16,98.47,-24,NA
2020-09-17,130.65,-28,NA
2020-09-18,183.91,-22,NA
2020-09-19,146.59,NA,NA
2020-09-21,103.07,-22,NA
2020-09-22,100.84,-22,NA
2020-09-23,102.53,-24,NA
2020-09-24,115.48,-27,NA
2020-09-25,160.38,-24,NA
2020-09-26,142.76,NA,NA
2020-09-28,115.71,-15,NA
2020-09-29,102.07,-22,NA
2020-09-30,91.26,-28,NA
2020-10-01,98.62,-31,NA
2020-10-02,160.54,-21,NA
2020-10-03,131.26,NA,NA
2020-10-05,95.25,-21,NA
2020-10-06,92.03,-21,NA
2020-10-07,85.29,-24,NA
2020-10-08,117.47,-27,NA
2020-10-09,189.66,-23,NA
2020-10-10,123.75,NA,NA
2020-10-12,115.63,-29,NA
2020-10-13,94.1,-26,NA
2020-10-14,101.61,-38,NA
2020-10-15,124.29,-27,NA
2020-10-16,163.14,-21,NA
2020-10-17,121,NA,NA
2020-10-19,126.59,-16,NA
2020-10-20,102.76,-25,NA
2020-10-21,92.26,-26,NA
2020-10-22,105.36,-31,NA
2020-10-23,169.04,-25,NA
2020-10-24,140,NA,NA
2020-10-26,103.07,-20,NA
2020-10-27,102.53,-25,NA
2020-10-28,123.83,-27,NA
2020-10-29,120,-29,NA
2020-10-30,200.92,-27,NA
2020-10-31,140.23,NA,NA
2020-11-02,100.84,-17,NA
2020-11-03,93.1,-31,NA
