date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,199.06,4,NA
2020-02-16,168.49,NA,NA
2020-02-17,130.57,-13,NA
2020-02-18,119.1,-1,NA
2020-02-19,111.95,1,NA
2020-02-20,125.4,1,NA
2020-02-21,165.19,5,NA
2020-02-22,247.51,18,NA
2020-02-23,175.73,NA,NA
2020-02-24,111.57,5,NA
2020-02-25,113.45,5,NA
2020-02-26,96.8,4,NA
2020-02-27,101.6,3,NA
2020-02-28,151.55,8,NA
2020-02-29,243.56,8,NA
2020-03-01,166.89,NA,NA
2020-03-02,108.84,7,NA
2020-03-03,121.07,4,NA
2020-03-04,126.34,7,NA
2020-03-05,125.59,4,NA
2020-03-06,174.6,7,NA
2020-03-07,276.95,16,NA
2020-03-08,212.32,NA,NA
2020-03-09,114.3,2,NA
2020-03-10,119.29,4,NA
2020-03-11,121.73,4,NA
2020-03-12,112.32,1,NA
2020-03-13,145.34,-1,NA
2020-03-14,141.3,0,NA
2020-03-15,132.74,-7,NA
2020-03-16,107.9,-17,NA
2020-03-17,111.57,-26,NA
2020-03-18,94.92,-29,NA
2020-03-19,90.12,-33,NA
2020-03-20,120.13,-36,NA
2020-03-21,104.05,-22,NA
2020-03-22,84.67,-35,NA
2020-03-23,88.15,-32,NA
2020-03-24,86.17,-39,NA
2020-03-25,83.54,-43,NA
2020-03-26,88.62,-46,NA
2020-03-27,88.71,-45,NA
2020-03-28,113.55,-35,NA
2020-03-29,91.06,-37,NA
2020-03-30,103.67,-40,NA
2020-03-31,77.14,-45,NA
2020-04-01,77.7,-46,NA
2020-04-02,104.61,-46,NA
2020-04-03,146.66,-46,NA
2020-04-04,127.75,-33,NA
2020-04-05,84.38,-42,NA
2020-04-06,82.6,-45,NA
2020-04-07,111.85,-48,NA
2020-04-08,112.14,-48,NA
2020-04-09,79.96,-48,NA
2020-04-10,106.3,-52,NA
2020-04-11,131.8,-39,NA
2020-04-12,54.84,-58,NA
2020-04-13,90.5,-42,NA
2020-04-14,93.04,-45,NA
2020-04-15,110.82,-45,NA
2020-04-16,96.33,-45,NA
2020-04-17,96.8,-46,NA
2020-04-18,169.14,-32,NA
2020-04-19,104.99,-42,NA
2020-04-20,117.22,-41,NA
2020-04-21,119.38,-46,NA
2020-04-22,154.28,-44,NA
2020-04-23,96.33,-47,NA
2020-04-24,166.23,-44,NA
2020-04-25,139.42,-34,NA
2020-04-26,103.57,-45,NA
2020-04-27,130.01,-38,NA
2020-04-28,144.31,-44,NA
2020-04-29,101.22,-42,NA
2020-04-30,108.37,-46,NA
2020-05-01,179.12,-40,NA
2020-05-02,288.99,-30,NA
2020-05-03,129.26,-38,NA
2020-05-04,131.14,-34,NA
2020-05-05,110.16,-39,NA
2020-05-06,151.27,-36,NA
2020-05-07,151.93,-39,NA
2020-05-08,137.72,-39,NA
2020-05-09,207.9,-21,NA
2020-05-10,135.09,-33,NA
2020-05-11,NA,-31,NA
2020-05-12,NA,-34,NA
2020-05-13,160.68,-35,NA
2020-05-14,140.92,-35,NA
2020-05-15,172.81,-35,NA
2020-05-16,238.95,-18,NA
2020-05-17,171.59,-24,NA
2020-05-18,149.58,-32,NA
2020-05-19,146.57,-36,NA
2020-05-20,160.3,-33,NA
2020-05-21,171.78,-30,NA
2020-05-22,280.9,-32,NA
2020-05-23,373,-21,NA
2020-05-24,361.9,-17,NA
2020-05-25,310.82,-71,NA
2020-05-26,207.34,-32,NA
2020-05-27,178.93,-30,NA
2020-05-28,198.21,-31,NA
2020-05-29,258.33,-29,NA
2020-05-30,395.11,-4,NA
2020-05-31,337.91,-16,NA
2020-06-01,193.7,-26,NA
2020-06-02,213.26,-29,NA
2020-06-03,206.11,-24,NA
2020-06-04,198.97,-24,NA
2020-06-05,286.64,-23,NA
2020-06-06,443.09,-5,NA
2020-06-07,372.53,-10,NA
2020-06-08,227.38,-24,NA
2020-06-09,203.2,-26,NA
2020-06-10,209.97,-20,NA
2020-06-11,239.13,-26,NA
2020-06-12,327.56,-24,NA
2020-06-13,479.68,-2,NA
2020-06-14,420.23,-12,NA
2020-06-15,233.49,-24,NA
2020-06-16,231.14,-27,NA
2020-06-17,261.34,-24,NA
2020-06-18,255.03,-27,NA
2020-06-19,360.87,-25,NA
2020-06-20,487.39,0,NA
2020-06-21,307.34,-10,NA
2020-06-22,222.77,-24,NA
2020-06-23,242.05,-26,NA
2020-06-24,268.3,-22,NA
2020-06-25,264.44,-23,NA
2020-06-26,337.54,-25,NA
2020-06-27,376.01,-9,NA
2020-06-29,220.7,-25,NA
2020-06-30,233.96,-27,NA
2020-07-01,239.98,-22,NA
2020-07-02,308.84,-26,NA
2020-07-03,402.16,-52,NA
2020-07-04,392,-14,NA
2020-07-06,258.8,-25,NA
2020-07-07,229.73,-29,NA
2020-07-08,218.53,-22,NA
2020-07-09,256.35,-24,NA
2020-07-10,338.48,-25,NA
2020-07-11,449.29,1,NA
2020-07-13,255.03,-21,NA
2020-07-14,243.93,-26,NA
2020-07-15,251.55,-23,NA
2020-07-16,241.77,-22,NA
2020-07-17,348.07,-22,NA
2020-07-18,452.68,-2,NA
2020-07-20,240.92,-19,NA
2020-07-21,232.17,-27,NA
2020-07-22,225.21,-24,NA
2020-07-23,254.19,-20,NA
2020-07-24,362.46,-20,NA
2020-07-25,462.75,-2,NA
2020-07-27,221.26,-23,NA
2020-07-28,241.49,-25,NA
2020-07-29,249.58,-24,NA
2020-07-30,224.37,-25,NA
2020-07-31,330.95,-24,NA
2020-08-01,336.78,1,NA
2020-08-03,219.19,-21,NA
2020-08-04,242.24,-23,NA
2020-08-05,229.35,-22,NA
2020-08-06,245.34,-22,NA
2020-08-07,341.02,-22,NA
2020-08-08,481.19,2,NA
2020-08-10,205.83,-19,NA
2020-08-11,192.29,-21,NA
2020-08-12,205.08,-17,NA
2020-08-13,226.62,-18,NA
2020-08-14,300,-19,NA
2020-08-15,437.63,6,NA
2020-09-11,294.83,-17,NA
2020-09-12,457.86,-1,NA
2020-09-14,204.99,-15,NA
2020-09-15,194.36,-20,NA
2020-09-16,211.57,-16,NA
2020-09-17,223.14,-16,NA
2020-09-18,366.23,-18,NA
2020-09-19,579.96,-8,NA
2020-09-20,408.94,-6,NA
2020-09-21,241.49,-15,NA
2020-09-22,215.52,-21,NA
2020-09-23,209.6,-16,NA
2020-09-24,217.12,-18,NA
2020-09-25,351.74,-16,NA
2020-09-26,573.94,-4,NA
2020-09-28,183.35,-20,NA
2020-09-29,199.44,-18,NA
2020-09-30,205.83,-19,NA
2020-10-01,215.9,-17,NA
2020-10-02,326.72,-20,NA
2020-10-03,558.04,-4,NA
2020-10-05,238.1,-30,NA
2020-10-06,234.43,-33,NA
2020-10-07,268.96,-32,NA
2020-10-08,301.98,-27,NA
2020-10-09,456.26,-31,NA
2020-10-10,802.07,-5,NA
2020-10-12,327.09,-19,NA
2020-10-13,354.28,-17,NA
2020-10-14,377.89,-19,NA
2020-10-15,301.41,-24,NA
2020-10-16,494.64,-20,NA
2020-10-17,940.55,-8,NA
2020-10-18,420.6,-13,NA
2020-10-19,229.44,-18,NA
2020-10-20,249.95,-18,NA
2020-10-21,242.9,-17,NA
2020-10-22,418.81,-20,NA
2020-10-23,336.78,-19,NA
2020-10-24,579.96,-10,NA
2020-10-26,168.77,-15,NA
2020-10-27,184.29,-24,NA
2020-10-28,195.39,-18,NA
2020-10-29,173.38,-21,NA
2020-10-30,275.26,-17,NA
