date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,139.28,1,0
2020-02-16,104.4,-2,0
2020-02-17,121.89,-2,1
2020-02-18,112.8,2,1
2020-02-19,107.91,-2,2
2020-02-20,104.41,-3,4
2020-02-21,122.98,-14,7
2020-02-22,123.53,3,0
2020-02-23,93.65,0,0
2020-02-24,110.54,2,0
2020-02-25,109.07,2,1
2020-02-26,117.76,1,1
2020-02-27,128.03,4,-1
2020-02-28,143.09,-2,0
2020-02-29,136.55,8,-2
2020-03-01,104.04,7,-1
2020-03-02,118.48,4,-1
2020-03-03,121.14,2,0
2020-03-04,117.59,2,1
2020-03-05,115.82,-1,3
2020-03-06,150.42,2,0
2020-03-07,149.48,7,-1
2020-03-08,115.51,3,-1
2020-03-09,136.32,1,-1
2020-03-10,138.55,3,-1
2020-03-11,139.04,0,-1
2020-03-12,139.58,0,-1
2020-03-13,156.63,0,0
2020-03-14,130.49,5,0
2020-03-15,93.9,-9,3
2020-03-16,109.99,-10,3
2020-03-17,100.4,-17,8
2020-03-18,108.63,-20,7
2020-03-19,110.44,-20,7
2020-03-20,116.57,-22,9
2020-03-21,89.42,-16,8
2020-03-22,64.41,-28,9
2020-03-23,80.16,-25,9
2020-03-24,75.26,-32,14
2020-03-25,80.17,-32,12
2020-03-26,85.97,-31,11
2020-03-27,96.8,-32,13
2020-03-28,77.23,-24,8
2020-03-29,62.82,-33,8
2020-03-30,83.26,-32,10
2020-03-31,77.23,-38,14
2020-04-01,73.88,-40,15
2020-04-02,78.22,-38,13
2020-04-03,82.62,-38,15
2020-04-04,64.57,-31,11
2020-04-05,52.13,-36,9
2020-04-06,76.42,-38,12
2020-04-07,79.24,-41,14
2020-04-08,82.25,-42,13
2020-04-09,87.36,-42,13
2020-04-10,89.34,-50,17
2020-04-11,73.65,-32,10
2020-04-12,49.3,-40,10
2020-04-13,70.3,-46,17
2020-04-14,92.35,-37,12
2020-04-15,85.85,-42,16
2020-04-16,96.66,-37,13
2020-04-17,104.57,-35,14
2020-04-18,83.12,-27,10
2020-04-19,67.48,-34,9
2020-04-20,85.77,-39,14
2020-04-21,102.92,-36,12
2020-04-22,99.31,-37,12
2020-04-23,95.14,-38,14
2020-04-24,111.32,-37,15
2020-04-25,99,-26,9
2020-04-26,81.64,-32,8
2020-04-27,106.12,-33,11
2020-04-28,108.56,-35,7
2020-04-29,114.25,-35,11
2020-04-30,98.72,-39,15
2020-05-01,138.53,-34,12
2020-05-02,128.55,-23,7
2020-05-03,117.47,-27,6
2020-05-04,130.42,-31,9
2020-05-05,121.32,-32,11
2020-05-06,128.89,-33,11
2020-05-07,141.28,-32,10
2020-05-08,155.38,-31,12
2020-05-09,145.49,-19,6
2020-05-10,116.82,-24,4
2020-05-11,NA,-29,8
2020-05-12,NA,-28,9
2020-05-13,157.51,-30,10
2020-05-14,173.81,-28,7
2020-05-15,205.29,-29,10
2020-05-16,207.99,-15,5
2020-05-17,166.92,-21,6
2020-05-18,162.87,-26,8
2020-05-19,156.18,-29,11
2020-05-20,165.37,-28,10
2020-05-21,179.81,-28,11
2020-05-22,248.07,-25,9
2020-05-23,247.62,-8,4
2020-05-24,230.75,-14,3
2020-05-25,225.96,-58,12
2020-05-26,208.87,-24,7
2020-05-27,176.57,-29,12
2020-05-28,196.97,-23,7
2020-05-29,209.02,-22,9
2020-05-30,228.05,-3,5
2020-05-31,194.94,-7,3
2020-06-01,209.7,-20,5
2020-06-02,207.11,-20,6
2020-06-03,214.01,-22,6
2020-06-04,226.44,-22,6
2020-06-05,252.66,-22,8
2020-06-06,291.04,-2,3
2020-06-07,219.82,-11,3
2020-06-08,226.34,-22,6
2020-06-09,219.85,-22,7
2020-06-10,229.71,-23,7
2020-06-11,237.94,-22,6
2020-06-12,266.42,-27,11
2020-06-13,312.64,-4,4
2020-06-14,228.95,-12,5
2020-06-15,218.53,-26,9
