date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,102.76,-2,NA
2020-02-16,74.83,-2,NA
2020-02-17,87.1,-19,5
2020-02-18,88.01,-7,1
2020-02-19,82.07,3,0
2020-02-20,85.45,2,-1
2020-02-21,104.49,1,-1
2020-02-22,95.23,-3,NA
2020-02-23,70.13,-4,NA
2020-02-24,81.51,3,2
2020-02-25,85.19,1,0
2020-02-26,84.63,1,-2
2020-02-27,96.47,3,-2
2020-02-28,107.61,4,-3
2020-02-29,99.07,3,NA
2020-03-01,74.34,4,NA
2020-03-02,87.98,5,-1
2020-03-03,93.35,1,-3
2020-03-04,99.66,4,-3
2020-03-05,99.02,0,-2
2020-03-06,116.43,3,-3
2020-03-07,127.96,3,NA
2020-03-08,79.55,-2,NA
2020-03-09,82.64,2,1
2020-03-10,83.31,0,-1
2020-03-11,87.7,-1,0
2020-03-12,88.6,-2,1
2020-03-13,111.4,-1,-2
2020-03-14,95.13,-4,NA
2020-03-15,71.52,0,NA
2020-03-16,75.81,-9,3
2020-03-17,77.77,-13,3
2020-03-18,71.73,-17,6
2020-03-19,67.89,-17,7
2020-03-20,84.94,-19,7
2020-03-21,61.39,-17,NA
2020-03-22,47.25,-19,NA
2020-03-23,60.41,-21,9
2020-03-24,54.19,-33,12
2020-03-25,57.96,-31,11
2020-03-26,64.48,-33,10
2020-03-27,66.49,-31,10
2020-03-28,54.94,-20,NA
2020-03-29,51.48,-20,NA
2020-03-30,51.41,-34,10
2020-03-31,62.19,-35,12
2020-04-01,59.01,-34,8
2020-04-02,60.33,-36,11
2020-04-03,66.08,-34,10
2020-04-04,52,-20,NA
2020-04-05,46.35,-25,NA
2020-04-06,55.97,-37,12
2020-04-07,62.57,-39,13
2020-04-08,62.26,-40,12
2020-04-09,69.56,-42,12
2020-04-10,68.33,-46,13
2020-04-11,59.66,-22,NA
2020-04-12,34.64,-29,NA
2020-04-13,62.21,-33,12
2020-04-14,62.11,-35,12
2020-04-15,69.9,-34,9
2020-04-16,69.64,-35,11
2020-04-17,80.47,-35,13
2020-04-18,76.99,-16,NA
2020-04-19,55.48,-25,NA
2020-04-20,74.9,-31,9
2020-04-21,72.61,-34,10
2020-04-22,80.96,-35,12
2020-04-23,84.52,-33,13
2020-04-24,82.59,-33,10
2020-04-25,82.77,-20,NA
2020-04-26,68.66,-23,NA
2020-04-27,84.4,-29,9
2020-04-28,84.73,-31,3
2020-04-29,85.27,-30,8
2020-04-30,88.52,-30,7
2020-05-01,105.88,-32,6
2020-05-02,97.91,-11,NA
2020-05-03,67.37,-19,NA
2020-05-04,82.92,-22,4
2020-05-05,96.7,-25,4
2020-05-06,97.88,-25,5
2020-05-07,104.57,-25,5
2020-05-08,115.19,-29,8
2020-05-09,101.91,-8,NA
2020-05-10,71.32,-12,NA
2020-05-11,NA,-21,6
2020-05-12,NA,-24,7
2020-05-13,100.28,-23,7
2020-05-14,102.89,-22,5
2020-05-15,116.58,-24,6
2020-05-16,115.91,-6,NA
2020-05-17,85.14,-13,NA
2020-05-18,107.09,-18,4
