date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,169.79,-6,-1
2020-02-16,135.4,-5,NA
2020-02-17,145.29,-36,7
2020-02-18,109.5,-13,3
2020-02-19,107.59,-1,0
2020-02-20,117.73,0,1
2020-02-21,158.54,-1,2
2020-02-22,149.49,1,-1
2020-02-23,123.76,-2,NA
2020-02-24,106.43,2,0
2020-02-25,99.33,0,2
2020-02-26,109.59,1,1
2020-02-27,127.71,3,-1
2020-02-28,156.17,3,-2
2020-02-29,169.6,2,-3
2020-03-01,136.72,2,-1
2020-03-02,120.59,3,0
2020-03-03,111.39,3,-1
2020-03-04,115.48,1,1
2020-03-05,136.94,2,1
2020-03-06,179.7,1,0
2020-03-07,189.66,0,-3
2020-03-08,151.42,1,NA
2020-03-09,130.96,1,-1
2020-03-10,120.17,1,0
2020-03-11,130.21,0,0
2020-03-12,143.41,0,0
2020-03-13,185.64,0,0
2020-03-14,187.3,2,0
2020-03-15,166.58,-5,NA
2020-03-16,132.51,-3,2
2020-03-17,122.97,-12,6
2020-03-18,152.38,-18,8
2020-03-19,114.51,-20,9
2020-03-20,124.13,-22,11
2020-03-21,114.36,-15,NA
2020-03-22,87.3,-23,NA
2020-03-23,87.08,-29,12
2020-03-24,82.33,-32,13
2020-03-25,79.22,-34,15
2020-03-26,78.69,-37,15
2020-03-27,85.62,-36,16
2020-03-28,86.2,-28,NA
2020-03-29,93.77,-30,NA
2020-03-30,81.14,-35,14
2020-03-31,73.81,-36,16
2020-04-01,69.18,-37,15
2020-04-02,76.7,-37,15
2020-04-03,73.09,-38,18
2020-04-04,66.45,-31,NA
2020-04-05,52.77,-35,NA
2020-04-06,64.71,-38,16
2020-04-07,65.79,-40,16
2020-04-08,64.41,-42,17
2020-04-09,67.64,-41,17
2020-04-10,74.48,-42,20
2020-04-11,69.71,-31,NA
2020-04-12,47.04,-42,NA
2020-04-13,66.45,-39,17
2020-04-14,75.53,-39,18
2020-04-15,69.98,-40,18
2020-04-16,80.02,-38,16
2020-04-17,89.17,-36,17
2020-04-18,88.25,-26,NA
2020-04-19,66.32,-30,NA
2020-04-20,80.75,-36,15
2020-04-21,88.16,-36,15
2020-04-22,94.45,-35,15
2020-04-23,88.19,-38,17
2020-04-24,99.86,-35,17
2020-04-25,105,-22,NA
2020-04-26,83.09,-27,NA
2020-04-27,93.94,-31,13
2020-04-28,97.87,-32,9
2020-04-29,92.97,-31,14
2020-04-30,105.94,-31,15
2020-05-01,122.91,-31,14
2020-05-02,130.77,-18,NA
2020-05-03,105.6,-21,NA
2020-05-04,106.54,-29,11
2020-05-05,104.78,-30,12
2020-05-06,108.8,-30,13
2020-05-07,126.65,-30,13
2020-05-08,136.41,-28,13
2020-05-09,141.2,-16,NA
2020-05-10,104.56,-16,NA
2020-05-11,NA,-27,11
2020-05-12,NA,-27,11
2020-05-13,123.89,-27,11
2020-05-14,138.18,-28,9
2020-05-15,172.16,-29,12
2020-05-16,159.84,-15,5
2020-05-17,136.98,-18,NA
2020-05-18,135.94,-27,9
2020-05-19,129.04,-26,9
2020-05-20,139.6,-29,11
2020-05-21,149.24,-28,10
2020-05-22,199.21,-30,10
2020-05-23,181.59,-16,4
2020-05-24,152.55,-17,NA
2020-05-25,149.73,-66,18
2020-05-26,140.84,-27,11
2020-05-27,144.57,-26,11
2020-05-28,154.73,-25,10
2020-05-29,181.36,-25,12
2020-05-30,181.61,-7,4
2020-05-31,156.48,-11,NA
2020-06-01,143.78,-24,8
2020-06-02,139.23,-24,9
2020-06-03,136.68,-25,9
2020-06-04,153.74,-25,10
2020-06-05,183.25,-24,10
2020-06-06,176.86,-13,4
2020-06-07,148.51,-18,NA
2020-06-08,145.99,-23,9
2020-06-09,149.99,-24,9
2020-06-10,147.24,-24,9
2020-06-11,170.47,-24,8
2020-06-12,199.05,-25,9
2020-06-13,199.8,-6,2
2020-06-14,182.12,-8,NA
2020-06-15,166.03,-25,7
2020-06-16,153.63,-22,8
2020-06-17,159.79,-23,8
2020-06-18,178.23,-23,8
2020-06-19,208.39,-24,7
2020-06-20,231.38,-10,2
2020-06-21,176.95,-8,NA
2020-06-22,168.7,-24,7
2020-06-23,153.69,-26,8
2020-06-24,159.87,-24,8
2020-06-25,184.03,-25,8
2020-06-26,218.12,-25,9
2020-06-27,218.04,-9,3
2020-06-28,188.35,-9,NA
2020-06-29,175.83,-25,8
2020-06-30,157.05,-25,10
2020-07-01,183.58,-26,8
2020-07-02,204.63,-28,8
2020-07-03,210.83,-51,15
2020-07-04,151.89,-21,NA
2020-07-05,192.26,-17,NA
2020-07-06,180.52,-33,11
2020-07-07,155.36,-28,10
2020-07-08,150.99,-27,10
2020-07-09,161.48,-27,9
2020-07-10,192.27,-28,10
2020-07-11,202.92,-10,4
2020-07-12,166.21,-15,NA
2020-07-13,158.45,-29,8
2020-07-14,149.56,-28,10
2020-07-15,156.74,-26,10
2020-07-16,164.31,-26,9
2020-07-17,194.47,-26,10
2020-07-18,203.69,-10,4
2020-07-19,165.19,-14,NA
2020-07-20,156.9,-29,9
2020-07-21,149.33,-27,10
2020-07-22,143.33,-29,9
2020-07-23,157.24,-26,8
2020-07-24,189.54,-28,9
2020-07-25,198.39,-14,3
2020-07-26,159.26,-14,NA
2020-07-27,150.16,-28,9
2020-07-28,144.62,-26,9
2020-07-29,138.68,-27,10
2020-07-30,156.59,-25,8
2020-07-31,192.18,-26,7
2020-08-01,189.1,-6,3
2020-08-02,137.65,-12,NA
2020-08-03,132.43,-33,12
2020-08-04,148.82,-27,7
2020-08-05,140.9,-25,8
2020-08-06,148.98,-26,7
2020-08-07,176.06,-25,8
2020-08-08,185.46,-10,3
2020-08-09,157.66,-15,NA
2020-08-10,145.28,-26,6
2020-08-11,142.06,-25,7
2020-08-12,148.02,-23,7
2020-08-13,149.58,-24,7
2020-08-14,182.03,-23,7
2020-08-15,171.37,-11,3
2020-08-16,151.14,-17,NA
2020-08-17,138.64,-24,7
2020-08-18,130.56,-21,7
2020-08-19,127.7,-22,7
2020-08-20,143.08,-21,6
2020-08-21,170.05,-21,7
2020-08-22,157.42,NA,4
2020-08-24,129.68,-23,7
2020-08-25,128.97,-21,7
2020-08-26,124.43,-21,7
2020-08-27,136.69,-19,6
2020-08-28,166.24,-18,7
2020-08-29,151.02,NA,3
2020-08-31,127.82,-20,5
2020-09-01,136.19,-21,6
2020-09-02,139.05,-22,6
2020-09-03,162.28,-21,6
2020-09-04,212.58,-27,6
2020-09-05,175.98,NA,2
2020-09-07,164.44,-66,15
2020-09-08,137.89,-29,8
2020-09-09,130.79,-22,6
2020-09-10,133.86,-21,5
2020-09-11,156.41,-20,5
2020-09-12,156.98,-12,2
2020-09-13,134.3,-21,NA
2020-09-14,134.32,-20,4
2020-09-15,128.71,-20,6
2020-09-16,131.41,-21,6
2020-09-17,137.51,-21,6
2020-09-18,166.32,-22,6
2020-09-19,156.87,-13,3
2020-09-20,130.19,-17,NA
2020-09-21,120.72,-22,5
2020-09-22,127.86,-21,5
2020-09-23,121.68,-18,5
2020-09-24,141.63,-16,5
2020-09-25,168.37,-18,5
2020-09-26,149.91,-12,2
2020-09-27,135.93,-20,4
2020-09-28,124.47,-19,6
2020-09-29,113.49,-19,6
2020-09-30,130,-17,4
2020-10-01,146.76,-16,3
2020-10-02,162.94,-18,3
2020-10-03,148.96,-11,1
2020-10-04,130.9,-17,3
2020-10-05,123.72,-19,4
2020-10-06,119.99,-18,5
2020-10-07,125.59,-18,4
2020-10-08,148.52,-16,3
2020-10-09,176.58,-18,4
2020-10-10,165.5,-11,2
2020-10-11,130.99,-21,2
2020-10-12,134.88,-44,10
2020-10-13,120.75,-22,6
2020-10-14,125.22,-17,5
2020-10-15,138.7,-15,4
2020-10-16,174.25,-18,5
2020-10-17,160.84,-10,1
2020-10-18,141.99,-16,3
2020-10-19,130.24,-17,5
2020-10-20,118.72,-15,5
2020-10-21,129.55,-17,6
2020-10-22,134.38,-15,4
2020-10-23,167.07,-17,5
2020-10-24,157.56,-8,1
2020-10-25,144.27,-15,3
2020-10-26,124.84,-16,5
2020-10-27,122.88,-14,5
2020-10-28,126.43,-16,5
2020-10-29,133.91,-15,4
2020-10-30,155.05,-17,4
2020-10-31,144.13,-10,2
2020-11-01,130.92,-11,3
2020-11-02,124.89,-17,4
2020-11-03,115.77,-17,5
