date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,114.49,2,NA
2020-02-16,96.98,-5,NA
2020-02-17,107.26,-22,7
2020-02-18,106.92,1,0
2020-02-19,112.49,-1,0
2020-02-20,124.81,1,0
2020-02-21,135.47,1,-1
2020-02-22,133.37,-1,NA
2020-02-23,89.31,4,NA
2020-02-24,96.71,2,5
2020-02-25,116.12,-20,12
2020-02-26,121.45,3,0
2020-02-27,121.89,3,-1
2020-02-28,140.94,4,-3
2020-02-29,116.63,1,NA
2020-03-01,93.92,4,NA
2020-03-02,120.6,5,0
2020-03-03,121.62,6,-1
2020-03-04,125.19,4,0
2020-03-05,128.55,3,-1
2020-03-06,157.37,5,-2
2020-03-07,132.21,1,NA
2020-03-08,98.27,0,NA
2020-03-09,116.8,7,-1
2020-03-10,120.91,4,-1
2020-03-11,123.39,3,-1
2020-03-12,105.7,2,2
2020-03-13,133.91,2,1
2020-03-14,107.23,-4,NA
2020-03-15,95.55,-3,NA
2020-03-16,98.61,-14,6
2020-03-17,119.82,-17,5
2020-03-18,112.76,-20,7
2020-03-19,88.97,-22,13
2020-03-20,107.13,-24,12
2020-03-21,101.9,-18,NA
2020-03-22,79.43,-19,NA
2020-03-23,87.85,-27,12
2020-03-24,94.64,-28,12
2020-03-25,92.6,-32,15
2020-03-26,81.74,-32,16
2020-03-27,107.77,-32,17
2020-03-28,84.52,-24,NA
2020-03-29,71.96,-22,NA
2020-03-30,97.32,-30,11
2020-03-31,99.63,-30,12
2020-04-01,84.11,-32,15
2020-04-02,67.41,-37,21
2020-04-03,93.75,-32,18
2020-04-04,97.96,-25,NA
2020-04-05,69.38,-27,NA
2020-04-06,90.05,-32,15
2020-04-07,102.41,-31,13
2020-04-08,98.34,-35,15
2020-04-09,100.1,-33,14
2020-04-10,125.66,-36,16
2020-04-11,72.98,-28,NA
2020-04-12,50.34,-38,NA
2020-04-13,82.62,-31,18
2020-04-14,82.79,-30,17
2020-04-15,97.52,-32,17
2020-04-16,100.98,-32,17
2020-04-17,119.35,-30,15
2020-04-18,97.42,-25,NA
2020-04-19,83.16,-24,NA
2020-04-20,108.69,-29,14
2020-04-21,107.16,-29,11
2020-04-22,101.53,-30,13
2020-04-23,109.1,-30,16
2020-04-24,129.7,-29,17
2020-04-25,111.68,-20,NA
2020-04-26,89.24,-23,NA
2020-04-27,109.54,-27,12
2020-04-28,111.85,-27,7
2020-04-29,118.57,-30,11
2020-04-30,119.65,-28,12
2020-05-01,130.99,-27,12
2020-05-02,117.21,-17,NA
2020-05-03,100.85,-17,NA
2020-05-04,131.7,-23,11
2020-05-05,120.33,-25,10
2020-05-06,135.61,-24,11
2020-05-07,121.22,-25,14
2020-05-08,151.15,-24,10
2020-05-09,124.37,-15,NA
2020-05-10,92.5,-16,NA
2020-05-11,NA,-21,12
2020-05-12,NA,-20,11
2020-05-13,125.76,-23,10
2020-05-14,144.6,-22,9
2020-05-15,167.85,-21,9
2020-05-16,153.67,-11,NA
2020-05-17,126.41,-9,NA
2020-05-18,142.36,-19,7
2020-05-19,168.3,-19,7
2020-05-20,150.37,-21,9
2020-05-21,169.21,-19,7
2020-05-22,199.36,-24,5
2020-05-23,200.31,-14,NA
2020-05-24,155.84,-14,NA
2020-05-25,152.27,-66,NA
2020-05-26,189.17,-17,5
2020-05-27,166.06,-19,6
2020-05-28,174.3,-18,6
2020-05-29,201.26,-19,5
2020-05-30,197.93,-5,NA
2020-05-31,143.28,-4,NA
2020-06-01,172.91,-15,4
2020-06-02,175.15,-17,4
2020-06-03,187.61,-19,5
2020-06-04,184.35,-20,4
2020-06-05,206.11,-20,4
2020-06-06,177.8,-13,NA
2020-06-07,156.35,-12,NA
2020-06-08,191.82,-16,5
2020-06-09,190.29,-17,5
2020-06-10,195.69,-20,5
2020-06-11,206.99,-21,5
2020-06-12,305.53,-23,2
2020-06-13,298.07,-12,NA
2020-06-14,232.62,-6,NA
2020-06-15,192.74,-18,4
2020-06-16,198.98,-20,5
2020-06-17,203.67,-20,4
2020-06-18,215.24,-21,5
2020-06-19,269.01,-21,4
2020-06-20,255.3,-8,NA
2020-06-21,196.1,-6,NA
2020-06-22,197.15,-20,4
2020-06-23,219.96,-20,4
2020-06-24,224.24,-21,3
2020-06-25,252.51,-20,5
2020-06-26,282.99,-21,2
2020-06-27,261.54,-12,NA
2020-06-28,215.65,-9,NA
2020-06-29,225.76,-19,4
2020-06-30,229.43,-19,6
2020-07-01,235.06,-22,3
2020-07-02,249.97,-24,2
2020-07-03,245.59,-49,7
2020-07-04,190.84,-27,NA
2020-07-05,215.17,-14,NA
2020-07-06,250.24,-24,5
2020-07-07,231.26,-22,4
2020-07-08,255.63,-23,4
2020-07-09,251.6,-23,4
2020-07-10,285.95,-23,4
2020-07-11,261.34,-11,NA
2020-07-12,205.63,-11,NA
2020-07-13,233.88,-20,4
2020-07-14,223.63,-21,5
2020-07-15,233.88,-22,4
2020-07-16,247.11,-22,4
2020-07-17,256.72,-25,3
2020-07-18,248.03,-11,NA
2020-07-19,202.75,-10,NA
2020-07-20,224.61,-21,5
2020-07-21,238.8,-21,4
2020-07-22,241.14,-23,4
2020-07-23,259.3,-22,4
2020-07-24,268.5,-21,2
2020-07-25,263.85,-14,NA
2020-07-26,220.71,-11,NA
2020-07-27,238.32,-21,4
2020-07-28,247.93,-20,4
2020-07-29,229.29,-22,6
2020-07-30,253.19,-23,3
2020-07-31,261.98,-25,2
2020-08-01,255.23,-14,NA
2020-08-02,230.96,-11,NA
2020-08-03,259.64,-23,4
2020-08-04,246.37,-21,3
2020-08-05,270.6,-24,3
2020-08-06,258.11,-24,4
2020-08-07,311.37,-26,3
2020-08-08,282.28,-20,NA
2020-08-09,237.24,-14,NA
2020-08-10,274.58,-25,4
2020-08-11,252.17,-25,3
2020-08-12,264.94,-25,5
2020-08-13,283.1,-26,5
2020-08-14,306.96,-28,3
2020-08-15,281.09,-15,NA
2020-08-16,233.67,-12,NA
2020-08-17,236.69,-22,4
2020-08-18,228.28,-21,4
2020-08-19,232.21,-24,5
2020-08-20,235.54,-23,3
2020-08-21,267.65,-23,2
2020-08-24,212.22,NA,2
2020-08-25,204.72,-21,2
2020-08-26,209.4,-22,2
2020-08-27,214.49,-22,2
2020-08-28,235.23,NA,1
2020-08-31,199.69,NA,2
2020-09-01,198.85,-20,1
2020-09-02,209.37,-22,2
2020-09-03,222.61,-21,1
2020-09-04,273.42,-23,-1
2020-09-07,179.4,-65,NA
2020-09-08,184.01,-21,4
2020-09-09,194.33,-20,2
2020-09-10,205.19,-20,0
2020-09-11,236.73,-18,0
2020-09-12,239.85,-11,NA
2020-09-13,179.23,-11,NA
2020-09-14,194.87,-15,1
2020-09-15,207.09,-15,0
2020-09-16,206.28,-19,1
2020-09-17,208.62,-17,1
2020-09-18,231.4,-16,1
2020-09-19,215.78,-21,NA
2020-09-20,166.67,-16,NA
2020-09-21,186.63,-15,1
2020-09-22,202.14,-15,1
2020-09-23,202.58,-17,2
2020-09-24,212.63,-15,2
2020-09-25,226.65,-12,2
2020-09-26,223.69,-15,2
2020-09-27,155.77,-16,3
2020-09-28,173.9,-15,4
2020-09-29,176.1,-14,2
2020-09-30,184.52,-18,2
2020-10-01,203.67,-15,1
2020-10-02,213.75,-12,1
2020-10-03,206.11,-17,-1
2020-10-04,175.19,-17,-1
2020-10-05,185.71,-13,1
2020-10-06,188.22,-13,1
2020-10-07,172.37,-16,2
2020-10-08,175.59,-14,2
2020-10-09,233.44,-12,1
2020-10-10,282.96,-16,1
2020-10-11,190.53,-18,3
2020-10-12,178.28,-17,5
2020-10-13,173.18,-13,2
2020-10-14,169.04,-15,4
2020-10-15,175.22,-17,4
2020-10-16,181.81,-17,3
2020-10-17,151.77,-23,7
2020-10-18,138.39,-20,6
2020-10-19,154.92,-15,5
2020-10-20,142.12,-14,4
2020-10-21,152.27,-18,3
2020-10-22,164.32,-26,11
2020-10-23,172.4,-24,9
2020-10-24,111,-20,9
2020-10-25,96.98,-23,9
2020-10-26,133.1,-15,7
2020-10-27,131.16,-16,5
2020-10-28,131.03,-18,4
2020-10-29,135.47,-18,4
2020-10-30,150.95,-15,3
2020-10-31,175.7,-15,1
2020-11-01,103.43,-15,3
2020-11-02,121.25,-15,4
2020-11-03,123.86,-17,3
