date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,230.56,3,1
2020-02-16,218.84,-2,NA
2020-02-17,168.6,-17,4
2020-02-18,108.63,3,1
2020-02-19,110.43,1,0
2020-02-20,116.2,1,1
2020-02-21,174.39,2,0
2020-02-22,222.03,8,-1
2020-02-23,177.95,4,NA
2020-02-24,96.78,3,0
2020-02-25,96.34,3,1
2020-02-26,95.57,3,-1
2020-02-27,105.09,3,0
2020-02-28,151.89,1,1
2020-02-29,191.83,6,-1
2020-03-01,161.99,3,NA
2020-03-02,96.61,3,-1
2020-03-03,96.39,4,0
2020-03-04,96.09,3,-1
2020-03-05,125.77,5,-1
2020-03-06,200.05,0,2
2020-03-07,200.94,2,-1
2020-03-08,159.08,4,NA
2020-03-09,106.84,3,-1
2020-03-10,97.31,2,1
2020-03-11,100.35,-2,0
2020-03-12,93.62,0,0
2020-03-13,118.68,-2,2
2020-03-14,135.17,0,2
2020-03-15,114.8,-7,NA
2020-03-16,91.86,-12,4
2020-03-17,73.32,-22,10
2020-03-18,77.77,-26,9
2020-03-19,66.18,-26,13
2020-03-20,73.9,-32,15
2020-03-21,79.48,-24,NA
2020-03-22,64.22,-29,NA
2020-03-23,43.81,-41,17
2020-03-24,54.7,-41,17
2020-03-25,47.88,-42,17
2020-03-26,57.17,-42,17
2020-03-27,59.95,-43,19
2020-03-28,46.83,-36,NA
2020-03-29,45.38,-35,NA
2020-03-30,51.74,-41,16
2020-03-31,48.65,-44,19
2020-04-01,53.17,-45,18
2020-04-02,49.8,-46,20
2020-04-03,53.54,-47,22
2020-04-04,57.18,-36,NA
2020-04-05,54.75,-41,NA
2020-04-06,59.21,-46,17
2020-04-07,54.26,-47,19
2020-04-08,54.89,-48,18
2020-04-09,49.2,-48,20
2020-04-10,55.74,-56,24
2020-04-11,62.57,-38,NA
2020-04-12,44.23,-43,NA
2020-04-13,46.92,-48,20
2020-04-14,60.01,-45,18
2020-04-15,59.85,-45,17
2020-04-16,61.3,-43,18
2020-04-17,66.09,-43,22
2020-04-18,61.75,-33,NA
2020-04-19,71.43,-33,NA
2020-04-20,66.88,-42,16
2020-04-21,58.56,-44,19
2020-04-22,64.93,-44,17
2020-04-23,64.08,-42,19
2020-04-24,69.53,-44,22
2020-04-25,90.43,-30,NA
2020-04-26,54.87,-39,NA
2020-04-27,65.05,-39,16
