date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,222.86,-3,NA
2020-02-16,217.78,5,NA
2020-02-17,188.5,-9,NA
2020-02-18,108.86,3,NA
2020-02-19,122.76,1,NA
2020-02-20,125.35,1,NA
2020-02-21,189.94,1,NA
2020-02-22,194.32,1,NA
2020-02-23,156.47,-3,NA
2020-02-24,126.39,2,NA
2020-02-25,121.22,4,NA
2020-02-26,113.35,2,NA
2020-02-27,143.13,0,NA
2020-02-28,173.9,-2,NA
2020-02-29,185.96,8,NA
2020-03-01,175.85,-2,NA
2020-03-02,117.63,5,NA
2020-03-03,116.68,3,NA
2020-03-04,115.54,-1,NA
2020-03-05,138.89,3,NA
2020-03-06,186.7,5,NA
2020-03-07,222.21,3,NA
2020-03-08,216.83,-5,NA
2020-03-09,172.51,4,NA
2020-03-10,156.52,3,NA
2020-03-11,158.27,0,NA
2020-03-12,177.39,-1,NA
2020-03-13,171.91,-2,NA
2020-03-14,213.25,0,NA
2020-03-15,188.2,-11,NA
2020-03-16,147.86,-13,NA
2020-03-17,114.84,-23,NA
2020-03-18,99.3,-30,NA
2020-03-19,68.38,-34,NA
2020-03-20,67.93,-34,NA
2020-03-21,62.8,-36,NA
2020-03-22,54.78,-42,NA
2020-03-23,59.11,-34,NA
2020-03-24,61.45,-39,NA
2020-03-25,54.73,-39,NA
2020-03-26,47.21,-40,NA
2020-03-27,47.26,-42,NA
2020-03-28,54.68,-45,NA
2020-03-29,46.22,-45,NA
2020-03-30,42.43,-37,NA
2020-03-31,48.11,-39,NA
2020-04-01,52.64,-44,NA
2020-04-02,44.57,-45,NA
2020-04-03,52.44,-42,NA
2020-04-04,58.07,-41,NA
2020-04-05,47.81,-45,NA
2020-04-06,46.71,-36,NA
2020-04-07,60.26,-41,NA
2020-04-08,52.39,-43,NA
2020-04-09,56.42,-45,NA
2020-04-10,66.19,-44,NA
2020-04-11,58.12,-41,NA
2020-04-12,34.81,-50,NA
2020-04-13,44.77,-38,NA
2020-04-14,51.25,-39,NA
