date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,168.86,7,0
2020-02-16,139.68,9,-1
2020-02-17,143.63,-10,4
2020-02-18,126.48,1,0
2020-02-19,134.45,3,-1
2020-02-20,161.33,3,-1
2020-02-21,190.87,11,-2
2020-02-22,194.31,15,-3
2020-02-23,135.92,13,-2
2020-02-24,130.71,11,0
2020-02-25,128.47,2,1
2020-02-26,126.41,0,1
2020-02-27,143.89,3,-1
2020-02-28,176.98,11,-2
2020-02-29,186.68,14,-3
2020-03-01,156.82,15,-3
2020-03-02,134.92,10,-1
2020-03-03,135.26,2,-1
2020-03-04,139.19,2,-2
2020-03-05,158.93,3,-2
2020-03-06,221.13,9,-1
2020-03-07,234.59,15,-3
2020-03-08,169.21,15,-2
2020-03-09,135.3,9,1
2020-03-10,133.53,0,0
2020-03-11,139.42,1,-1
2020-03-12,151.39,-3,1
2020-03-13,165.81,-5,1
2020-03-14,104.72,0,4
2020-03-15,78.63,-7,4
2020-03-16,80.22,-25,10
2020-03-17,83.54,-38,13
2020-03-18,77.26,-42,16
2020-03-19,78,-43,17
2020-03-20,95.49,-40,17
2020-03-21,80.7,-26,11
2020-03-22,47.9,-41,14
2020-03-23,60.61,-50,21
2020-03-24,61.78,-56,23
2020-03-25,65.98,-55,21
2020-03-26,65.49,-55,22
2020-03-27,72.39,-51,24
2020-03-28,62.89,-36,14
2020-03-29,54.2,-40,13
2020-03-30,66.4,-52,20
2020-03-31,65.16,-57,23
2020-04-01,71.39,-56,21
2020-04-02,69.87,-56,21
2020-04-03,80.69,-51,22
2020-04-04,66.92,-33,14
2020-04-05,58.34,-38,12
2020-04-06,70.85,-52,21
2020-04-07,73.25,-57,21
2020-04-08,74.23,-57,21
2020-04-09,70.9,-57,22
2020-04-10,84.56,-56,24
2020-04-11,73.42,-37,12
2020-04-12,46.99,-49,13
2020-04-13,71.47,-52,22
2020-04-14,75.18,-56,22
2020-04-15,78.91,-55,22
2020-04-16,82.26,-55,22
2020-04-17,89.05,-51,25
2020-04-18,88.34,-32,12
2020-04-19,71.2,-36,11
2020-04-20,84.12,-51,20
2020-04-21,86.78,-55,21
2020-04-22,89.18,-55,21
2020-04-23,80.86,-54,23
2020-04-24,102.03,-50,22
2020-04-25,84.96,-32,14
2020-04-26,77.41,-34,11
2020-04-27,90.56,-49,20
2020-04-28,90.08,-55,14
2020-04-29,85.62,-54,23
