date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,170.84,6,-1
2020-02-16,137.72,2,-1
2020-02-17,124.71,-25,6
2020-02-18,112.15,-11,3
2020-02-19,117.7,-7,2
2020-02-20,116.85,-7,2
2020-02-21,147.04,-6,3
2020-02-22,156.26,3,-1
2020-02-23,120.33,8,-2
2020-02-24,107.57,6,0
2020-02-25,111.55,5,0
2020-02-26,107.05,4,-3
2020-02-27,86.26,-26,12
2020-02-28,130.79,-2,4
2020-02-29,140.1,2,2
2020-03-01,130.67,8,-2
2020-03-02,116.11,6,0
2020-03-03,117.43,5,-1
2020-03-04,114.7,4,-1
2020-03-05,118.04,3,-2
2020-03-06,148.64,3,1
2020-03-07,146.78,3,-2
2020-03-08,125.27,7,-3
2020-03-09,118.91,5,-1
2020-03-10,120.45,3,1
2020-03-11,112.05,3,-1
2020-03-12,114.5,2,-1
2020-03-13,138.46,3,1
2020-03-14,125.67,3,0
2020-03-15,94.89,-2,0
2020-03-16,101.44,-10,4
2020-03-17,96.98,-18,7
2020-03-18,94.71,-24,9
2020-03-19,90.32,-27,10
2020-03-20,85.83,-31,14
2020-03-21,73.19,-20,9
2020-03-22,59.52,-25,7
2020-03-23,55.8,-40,17
2020-03-24,63.95,-43,17
2020-03-25,70.73,-44,15
2020-03-26,71.28,-44,15
2020-03-27,75.59,-42,18
2020-03-28,62.58,-30,12
2020-03-29,54.08,-26,8
2020-03-30,64.1,-44,17
2020-03-31,65.85,-45,17
2020-04-01,69.86,-45,15
2020-04-02,69.3,-45,16
2020-04-03,74.52,-44,19
2020-04-04,78.53,-32,10
2020-04-05,55.1,-28,8
2020-04-06,72.5,-43,15
2020-04-07,70.1,-45,16
2020-04-08,73.73,-45,15
2020-04-09,67.83,-46,17
2020-04-10,68.35,-58,24
2020-04-11,74.87,-38,11
2020-04-12,42.79,-36,8
2020-04-13,65.87,-45,18
2020-04-14,73.79,-43,16
2020-04-15,75.14,-44,16
2020-04-16,77.84,-44,18
2020-04-17,86.79,-44,21
2020-04-18,83.77,-27,11
2020-04-19,64.29,-27,8
2020-04-20,83.11,-41,14
2020-04-21,74,-42,17
2020-04-22,83.6,-43,16
2020-04-23,82.26,-43,16
2020-04-24,98.55,-43,18
2020-04-25,101.93,-26,7
2020-04-26,67.15,-27,8
2020-04-27,88.85,-38,13
2020-04-28,95.48,-40,8
2020-04-29,90.94,-40,13
2020-04-30,94.19,-42,15
2020-05-01,107.9,-40,16
2020-05-02,110.27,-25,6
2020-05-03,89.09,-20,3
2020-05-04,93.86,-37,13
2020-05-05,98.12,-38,13
2020-05-06,98.21,-39,13
2020-05-07,103.74,-40,13
2020-05-08,118.45,-38,17
2020-05-09,106.64,-23,10
2020-05-10,79.19,-17,3
2020-05-11,NA,-37,15
2020-05-12,NA,-36,12
2020-05-13,122.58,-36,11
2020-05-14,116.13,-38,13
2020-05-15,129.56,-38,16
2020-05-16,143.41,-18,3
2020-05-17,104.07,-18,4
2020-05-18,115.86,-34,12
2020-05-19,130.68,-34,10
2020-05-20,135.23,-36,9
2020-05-21,144.85,-35,8
2020-05-22,158.56,-38,13
2020-05-23,156.94,-20,5
2020-05-24,143.76,-18,-1
2020-05-25,134.43,-69,14
2020-05-26,150.2,-34,9
2020-05-27,153.17,-33,8
2020-05-28,137.12,-34,11
2020-05-29,153.54,-33,14
2020-05-30,153.79,-10,4
2020-05-31,124.77,-10,2
2020-06-01,139.96,-29,8
2020-06-02,141.14,-31,9
2020-06-03,136.33,-31,9
2020-06-04,155.36,-32,8
2020-06-05,190.29,-31,8
2020-06-06,182.3,-11,1
2020-06-07,156.15,-11,-1
2020-06-08,168.5,-28,7
2020-06-09,173.51,-27,7
2020-06-10,174.21,-30,7
2020-06-11,165.78,-29,7
2020-06-12,184.05,-29,9
2020-06-13,192.31,-9,2
2020-06-14,161.82,-7,0
2020-06-15,160.78,-26,7
2020-06-16,171.94,-26,6
2020-06-17,182.43,-28,5
2020-06-18,176.44,-30,5
2020-06-19,224.2,-31,7
2020-06-20,221.89,-8,0
2020-06-21,175.34,-5,-3
2020-06-22,176.84,-30,7
2020-06-23,169.21,-29,8
2020-06-24,187.65,-28,5
2020-06-25,203.94,-29,6
2020-06-26,239.14,-30,6
2020-06-27,227.02,-10,2
2020-06-28,222.02,-2,-2
2020-06-29,207.9,-29,6
2020-06-30,202.66,-30,5
2020-07-01,219.61,-31,4
2020-07-02,243.11,-34,4
2020-07-03,271.81,-53,9
2020-07-04,239.7,-29,-3
2020-07-05,238.11,-15,-3
2020-07-06,216.29,-34,6
2020-07-07,203.25,-31,6
2020-07-08,199.61,-31,6
2020-07-09,206.48,-31,6
2020-07-10,240.27,-32,8
2020-07-11,222.13,-13,4
2020-07-12,201.95,-5,-1
2020-07-13,194.09,-29,6
2020-07-14,194.71,-28,6
2020-07-15,207.12,-28,5
2020-07-16,198.35,-31,8
2020-07-17,247.53,-30,7
2020-07-18,262.61,-11,-1
2020-07-19,205.79,-10,0
2020-07-20,196.28,-28,6
2020-07-21,192.24,-28,6
2020-07-22,195.51,-29,7
2020-07-23,212.82,-29,6
2020-07-24,257.16,-30,7
2020-07-25,263.19,-12,-1
2020-07-26,214.31,-5,-2
2020-07-27,198.39,-28,7
2020-07-28,199.66,-27,6
2020-07-29,198.39,-28,6
2020-07-30,219.36,-28,5
2020-07-31,244.16,-29,6
2020-08-01,256.76,-13,0
2020-08-02,193.41,-8,0
2020-08-03,205.68,-28,6
2020-08-04,193.83,-27,6
2020-08-05,199.73,-29,5
2020-08-06,218.72,-28,4
2020-08-07,258.3,-29,5
2020-08-08,265.83,-10,-2
2020-08-09,217.11,-5,-3
2020-08-10,206.92,-27,5
2020-08-11,195.52,-27,6
2020-08-12,206.36,-28,5
2020-08-13,224.1,-29,4
2020-08-14,258.69,-30,5
2020-08-15,276.33,-11,-1
2020-08-16,232.99,-7,-2
2020-08-17,213.48,-28,5
2020-08-18,220.77,-26,5
2020-08-19,211.71,-28,4
2020-08-20,231.61,-29,4
2020-08-21,272.15,-29,6
2020-08-22,296.75,-11,-1
2020-08-23,228.92,NA,-2
2020-08-24,211.77,-27,5
2020-08-25,203.51,-28,5
2020-08-26,199.61,-28,5
2020-08-27,200.31,-29,5
2020-08-28,231.7,-29,8
2020-08-29,230.83,-12,2
2020-08-30,197.35,NA,-2
2020-08-31,186.91,-28,5
2020-09-01,191.12,-27,4
2020-09-02,185.89,-28,5
2020-09-03,210.06,-28,3
2020-09-04,267.67,-30,5
2020-09-05,276.62,-17,-1
2020-09-06,238.41,NA,-4
2020-09-07,179.07,-69,15
2020-09-08,180.78,-30,4
2020-09-09,186.62,-29,3
2020-09-10,182.7,-30,3
