date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,121,3,1
2020-02-16,94.86,-1,0
2020-02-17,105.44,-23,5
2020-02-18,102.18,-12,3
2020-02-19,103.87,-6,2
2020-02-20,104.61,-7,2
2020-02-21,123.06,-7,3
2020-02-22,129.83,6,-1
2020-02-23,96.94,0,-1
2020-02-24,98.34,3,0
2020-02-25,100.97,4,-1
2020-02-26,105.96,3,-1
2020-02-27,98.98,2,0
2020-02-28,130.28,2,0
2020-02-29,135.64,6,0
2020-03-01,102.92,9,-1
2020-03-02,109.69,6,0
2020-03-03,109.73,4,-1
2020-03-04,105.83,2,-1
2020-03-05,114.56,5,-2
2020-03-06,127.87,3,0
2020-03-07,136.54,10,0
2020-03-08,100.97,4,-2
2020-03-09,107.98,5,-1
2020-03-10,103.5,3,0
2020-03-11,105.42,3,0
2020-03-12,105.52,3,-1
2020-03-13,116.24,1,1
2020-03-14,109.64,8,2
2020-03-15,78.03,3,2
2020-03-16,89.25,0,2
2020-03-17,82.27,-15,7
2020-03-18,78.53,-23,9
2020-03-19,75.77,-25,11
2020-03-20,80.99,-31,14
2020-03-21,68.12,-19,11
2020-03-22,49.67,-22,9
2020-03-23,52.13,-42,18
2020-03-24,57.9,-43,17
2020-03-25,60.08,-43,18
2020-03-26,68.97,-43,16
2020-03-27,73.86,-44,20
2020-03-28,59.53,-30,14
2020-03-29,50.74,-29,NA
2020-03-30,59.87,-42,18
2020-03-31,64.62,-44,17
2020-04-01,65.39,-45,16
2020-04-02,64.56,-45,17
2020-04-03,75.03,-47,21
2020-04-04,65.2,-26,12
2020-04-05,55.2,-29,NA
2020-04-06,72.54,-45,17
2020-04-07,69.58,-44,15
2020-04-08,72.54,-44,17
2020-04-09,68.23,-45,18
2020-04-10,69.01,-52,24
2020-04-11,69.53,-23,13
2020-04-12,40.61,-30,NA
2020-04-13,60.83,-43,18
2020-04-14,70.34,-43,17
2020-04-15,82.29,-43,17
2020-04-16,75.17,-44,18
2020-04-17,89.15,-43,20
2020-04-18,76.13,-22,13
2020-04-19,68.57,-25,NA
2020-04-20,76.58,-41,16
2020-04-21,76.18,-42,17
2020-04-22,79.37,-44,17
2020-04-23,86.49,-43,18
2020-04-24,91.99,-44,20
2020-04-25,98.42,-19,9
2020-04-26,68.06,-27,NA
2020-04-27,85.5,-40,17
2020-04-28,86.49,-40,9
2020-04-29,92.99,-42,16
2020-04-30,91.02,-41,17
2020-05-01,107.88,-41,17
2020-05-02,101.46,-17,8
2020-05-03,83.73,-20,4
2020-05-04,92.87,-39,15
2020-05-05,94.28,-38,14
2020-05-06,91.99,-39,17
2020-05-07,99.51,-38,15
2020-05-08,110.13,-39,18
2020-05-09,94.8,-18,11
2020-05-10,80.71,-13,6
2020-05-11,NA,-36,16
2020-05-12,NA,-35,14
2020-05-13,107.12,-36,13
2020-05-14,109.01,-35,14
2020-05-15,122.13,-37,16
2020-05-16,122.73,-14,6
2020-05-17,94.94,-16,6
2020-05-18,114.2,-33,13
2020-05-19,117.63,-33,11
2020-05-20,122.68,-34,11
2020-05-21,130.13,-34,10
2020-05-22,142.74,-38,13
2020-05-23,120.56,-14,6
2020-05-24,104.4,-14,1
2020-05-25,101.16,-68,15
2020-05-26,124.66,-32,10
2020-05-27,132.21,-31,11
2020-05-28,128.56,-31,11
2020-05-29,151.77,-32,13
2020-05-30,140.11,-3,4
2020-05-31,112.37,-6,3
2020-06-01,123.59,-28,9
2020-06-02,138.65,-27,10
2020-06-03,133.18,-29,10
2020-06-04,144.34,-27,9
2020-06-05,171.94,-30,10
2020-06-06,150.14,-4,3
2020-06-07,117.19,-6,2
2020-06-08,135.53,-27,8
2020-06-09,140.8,-26,7
2020-06-10,157.71,-28,9
2020-06-11,154.04,-27,8
2020-06-12,174.01,-28,8
