date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,136.01,3,NA
2020-02-16,116.76,2,NA
2020-02-17,112.88,-25,5
2020-02-18,104.46,-5,1
2020-02-19,92.62,3,0
2020-02-20,103.27,1,1
2020-02-21,148.33,3,0
2020-02-22,151.02,-2,NA
2020-02-23,112.17,4,NA
2020-02-24,91.33,3,-1
2020-02-25,90.69,0,0
2020-02-26,91.58,2,-1
2020-02-27,105.13,2,0
2020-02-28,134.12,4,-1
2020-02-29,145.02,4,NA
2020-03-01,119.5,2,NA
2020-03-02,89.86,3,-1
2020-03-03,101.36,3,-1
2020-03-04,99.84,3,-1
2020-03-05,105.17,1,1
2020-03-06,140.42,-3,0
2020-03-07,133.06,1,NA
2020-03-08,108.21,-2,NA
2020-03-09,92.32,-11,1
2020-03-10,97.04,-11,2
2020-03-11,97.88,-11,1
2020-03-12,95.28,-13,3
2020-03-13,104.87,-13,4
2020-03-14,98.6,0,NA
2020-03-15,86.98,-5,NA
2020-03-16,75.17,-14,6
2020-03-17,77.19,-18,9
2020-03-18,67.51,-25,13
2020-03-19,66.89,-30,17
2020-03-20,72.85,-32,18
2020-03-21,75.77,-21,NA
2020-03-22,59.37,-31,NA
2020-03-23,65.26,-32,15
2020-03-24,63.65,-37,18
2020-03-25,55.21,-38,19
2020-03-26,63.05,-39,19
2020-03-27,76.92,-38,20
2020-03-28,50.24,-30,NA
2020-03-29,41.82,-35,NA
2020-03-30,62.2,-44,18
2020-03-31,61.87,-44,20
2020-04-01,61.37,-43,19
2020-04-02,61.6,-46,21
2020-04-03,55.87,-46,26
2020-04-04,72.94,-32,NA
2020-04-05,74.38,-36,NA
2020-04-06,62.56,-43,19
2020-04-07,71.83,-45,19
2020-04-08,67.44,-44,20
2020-04-09,67.23,-47,22
2020-04-10,85.79,-49,24
2020-04-11,90.5,-32,NA
2020-04-12,36.44,-49,NA
2020-04-13,61.35,-43,20
2020-04-14,65.42,-42,21
2020-04-15,66.06,-42,20
2020-04-16,76.31,-42,20
2020-04-17,91.29,-43,21
2020-04-18,113.43,-23,NA
2020-04-19,86.76,-31,NA
2020-04-20,77.97,-41,18
2020-04-21,78.91,-42,18
2020-04-22,98.71,-42,17
2020-04-23,85.38,-42,19
2020-04-24,105.31,-42,20
2020-04-25,132.07,-23,NA
2020-04-26,99.96,-29,NA
2020-04-27,98.25,-40,15
2020-04-28,80.71,-41,15
2020-04-29,97.06,-40,17
2020-04-30,106.41,-42,16
2020-05-01,124.17,-41,18
2020-05-02,165.94,-25,NA
2020-05-03,134.33,-25,NA
2020-05-04,104.3,-37,14
2020-05-05,96.62,-39,16
2020-05-06,107.98,-38,15
2020-05-07,106.07,-40,16
2020-05-08,140.15,-39,17
2020-05-09,126.1,-23,NA
2020-05-10,98.99,-26,NA
2020-05-11,NA,-36,14
2020-05-12,NA,-36,14
2020-05-13,104.8,-37,16
2020-05-14,127.36,-37,15
2020-05-15,190.87,-37,13
2020-05-16,135.5,-21,NA
2020-05-17,112.88,-20,NA
2020-05-18,135.06,-35,12
2020-05-19,137.89,-35,13
2020-05-20,144.42,-35,12
2020-05-21,163.55,-37,12
2020-05-22,249.37,-40,12
2020-05-23,175.95,-17,NA
2020-05-24,152.88,-19,NA
2020-05-25,191.95,-79,NA
2020-05-26,126.26,-35,13
2020-05-27,145.55,-33,12
2020-05-28,161.95,-34,13
2020-05-29,189.91,-34,14
2020-05-30,197.13,-7,NA
2020-05-31,186.53,-10,NA
2020-06-01,149.58,-32,10
2020-06-02,134.91,-34,14
2020-06-03,150.42,-31,10
