date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,153.54,2,0
2020-02-16,124.51,3,-2
2020-02-17,121.54,-21,4
2020-02-18,105.99,1,1
2020-02-19,110.7,1,1
2020-02-20,116.11,6,0
2020-02-21,142.76,2,1
2020-02-22,132.41,2,-1
2020-02-23,102.24,7,-2
2020-02-24,100.22,-12,1
2020-02-25,97.21,-12,2
2020-02-26,99.16,-12,2
2020-02-27,97.56,-9,4
2020-02-28,121.99,-12,3
2020-02-29,122.79,2,-1
2020-03-01,98.96,7,-2
2020-03-02,102.11,-8,1
2020-03-03,117.78,-11,1
2020-03-04,101.63,1,1
2020-03-05,109.57,6,-1
2020-03-06,126.67,1,1
2020-03-07,121.82,2,-1
2020-03-08,94.32,3,-2
2020-03-09,97.21,-5,0
2020-03-10,95.62,-5,1
2020-03-11,92.68,-4,1
2020-03-12,87.24,-1,2
2020-03-13,95.38,-8,5
2020-03-14,92.74,-3,4
2020-03-15,71.19,-6,4
2020-03-16,70.98,-20,8
2020-03-17,63.07,-33,14
2020-03-18,59.57,-42,18
2020-03-19,57.57,-42,19
2020-03-20,58.35,-46,22
2020-03-21,54.15,-31,13
2020-03-22,43.21,-33,10
2020-03-23,43.31,-53,22
2020-03-24,44.82,-55,24
2020-03-25,47.97,-56,24
2020-03-26,44.01,-61,27
2020-03-27,50.43,-62,29
2020-03-28,48.24,-46,15
2020-03-29,31.92,-46,14
2020-03-30,38.72,-65,26
2020-03-31,45.31,-65,26
2020-04-01,44.31,-65,27
2020-04-02,40.9,-64,29
2020-04-03,46.48,-64,30
2020-04-04,48.07,-46,16
2020-04-05,35.95,-46,13
2020-04-06,46.77,-65,25
2020-04-07,48.01,-66,26
2020-04-08,45.69,-66,27
2020-04-09,42.14,-65,29
2020-04-10,48.17,-66,31
2020-04-11,49.06,-48,17
2020-04-12,34.53,-54,NA
2020-04-13,43.19,-65,27
2020-04-14,47.71,-64,27
2020-04-15,53.55,-65,27
2020-04-16,53.36,-62,27
2020-04-17,55.58,-63,29
2020-04-18,63.35,-44,14
2020-04-19,50.14,-42,11
2020-04-20,59.36,-64,24
2020-04-21,54.58,-64,27
2020-04-22,54.38,-64,28
2020-04-23,63.81,-61,25
2020-04-24,69.09,-61,27
2020-04-25,73.35,-43,12
2020-04-26,47.65,-43,12
2020-04-27,52.29,-62,25
2020-04-28,63.76,-62,17
2020-04-29,64.66,-62,24
2020-04-30,62.44,-60,26
2020-05-01,69.25,-59,26
2020-05-02,74.63,-38,11
2020-05-03,62.22,-37,8
2020-05-04,58.71,-60,24
2020-05-05,67.49,-60,23
2020-05-06,71.69,-59,23
2020-05-07,72.06,-58,23
2020-05-08,77.71,-58,25
2020-05-09,71.56,-39,14
2020-05-10,56.67,-36,8
2020-05-11,NA,-58,23
2020-05-12,NA,-57,23
2020-05-13,81.46,-57,22
2020-05-14,89.91,-56,21
2020-05-15,88.01,-57,25
2020-05-16,96.5,-34,10
2020-05-17,80.6,-32,6
2020-05-18,87.9,-55,19
2020-05-19,96.15,-55,20
2020-05-20,100.77,-55,19
2020-05-21,107.14,-52,18
2020-05-22,119.6,-54,18
2020-05-23,107.64,-30,6
2020-05-24,92.46,-28,2
2020-05-25,86.84,-79,21
2020-05-26,108.53,-52,18
2020-05-27,112.87,-51,19
2020-05-28,107.67,-48,18
2020-05-29,110.79,-49,22
2020-05-30,113.83,-16,7
2020-05-31,93.22,-15,5
2020-06-01,115.09,-50,17
2020-06-02,110.86,-50,18
2020-06-03,107.84,-48,19
2020-06-04,122.04,-44,16
2020-06-05,138.14,-46,17
2020-06-06,125.98,-16,7
2020-06-07,111.98,-13,3
