date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,363.71,0,0
2020-02-16,364.98,2,NA
2020-02-17,267.1,-19,2
2020-02-18,175.99,3,-1
2020-02-19,167.65,4,-2
2020-02-20,172.58,2,-2
2020-02-21,230.73,5,-2
2020-02-22,331.69,4,-2
2020-02-23,282.6,5,NA
2020-02-24,144.8,5,-2
2020-02-25,136.54,4,-1
2020-02-26,147.77,7,-2
2020-02-27,171.5,3,-3
2020-02-28,203.39,3,-2
2020-02-29,283.29,1,-2
2020-03-01,286.34,4,NA
2020-03-02,141.93,4,-1
2020-03-03,137.89,1,0
2020-03-04,143.58,6,-2
2020-03-05,134.44,2,-1
2020-03-06,205.04,5,0
2020-03-07,278.03,0,-1
2020-03-08,267.57,-1,NA
2020-03-09,187.22,-1,-1
2020-03-10,162.97,2,-1
2020-03-11,148.51,3,-1
2020-03-12,152.42,0,-1
2020-03-13,177.31,0,1
2020-03-14,192.48,-1,3
2020-03-15,231.31,-6,NA
2020-03-16,169.6,-12,2
2020-03-17,141.93,-21,6
2020-03-18,148.93,-22,6
2020-03-19,156.33,-27,7
2020-03-20,202.4,-28,9
2020-03-21,284.94,-30,NA
2020-03-22,160.49,-30,NA
2020-03-23,72.71,-34,11
2020-03-24,55.26,-43,15
2020-03-25,58.89,-41,13
2020-03-26,53.55,-43,14
2020-03-27,56.31,-46,17
2020-03-28,50.8,-44,NA
2020-03-29,40.56,-44,NA
2020-03-30,43.92,-44,14
2020-03-31,52.34,-44,15
2020-04-01,58.34,-44,14
2020-04-02,53.72,-44,14
2020-04-03,57.32,-43,15
2020-04-04,58.95,-43,NA
2020-04-05,52.78,-47,NA
2020-04-06,53.77,-42,13
2020-04-07,65.8,-43,13
2020-04-08,65.39,-43,12
2020-04-09,71.04,-43,13
2020-04-10,69.47,-44,16
2020-04-11,68.64,-40,NA
2020-04-12,54.46,-49,NA
2020-04-13,68.42,-39,11
2020-04-14,66.88,-41,14
2020-04-15,74.23,-41,12
2020-04-16,71.72,-42,12
2020-04-17,83.56,-41,14
2020-04-18,77.48,-39,NA
2020-04-19,72,-41,NA
2020-04-20,82.32,-39,11
2020-04-21,66,-41,13
2020-04-22,67.15,-41,14
2020-04-23,66.93,-41,13
2020-04-24,80.37,-42,15
2020-04-25,87.75,-40,NA
2020-04-26,83.84,-40,NA
2020-04-27,75.96,-39,12
2020-04-28,85.05,-40,5
2020-04-29,74.89,-39,12
2020-04-30,79.63,-39,11
2020-05-01,95.54,-39,13
2020-05-02,83.65,-44,NA
2020-05-03,87.61,-40,NA
2020-05-04,75.22,-38,11
2020-05-05,88.13,-36,11
2020-05-06,82.96,-39,11
2020-05-07,104.76,-39,10
2020-05-08,151.13,-42,11
2020-05-09,172.96,-36,NA
2020-05-10,118.39,-38,NA
2020-05-11,NA,-37,11
2020-05-12,NA,-37,13
2020-05-13,106.64,-36,11
2020-05-14,107.54,-37,11
2020-05-15,132.98,-36,11
2020-05-16,124.83,-32,NA
2020-05-17,128.74,-29,NA
2020-05-18,114.95,-30,9
2020-05-19,114.37,-32,10
2020-05-20,116.33,-30,9
2020-05-21,125.22,-32,10
2020-05-22,155.01,-33,10
2020-05-23,245.68,-28,NA
2020-05-24,275.22,-25,NA
2020-05-25,188.68,-58,NA
2020-05-26,167.21,-29,8
2020-05-27,228.85,-27,6
2020-05-28,289.59,-26,6
2020-05-29,302.92,-27,8
2020-05-30,249.06,-17,NA
2020-05-31,275.63,-14,NA
2020-06-01,205.01,-23,5
2020-06-02,207.05,-27,7
2020-06-03,212.06,-26,6
2020-06-04,227.56,-25,5
2020-06-05,276.43,-26,6
2020-06-06,334.83,-12,NA
2020-06-07,308.81,-16,NA
2020-06-08,222.94,-23,5
2020-06-09,194.25,-26,8
2020-06-10,218.5,-24,5
2020-06-11,254.13,-23,4
2020-06-12,298.35,-23,7
2020-06-13,389.51,-9,NA
2020-06-14,417.7,-11,NA
2020-06-15,255.92,-23,5
2020-06-16,245.79,-25,5
2020-06-17,311.89,-24,3
2020-06-18,351.13,-23,3
2020-06-19,458.56,-25,3
2020-06-20,457.08,-13,NA
2020-06-21,516.88,-12,NA
2020-06-22,433.34,-23,2
2020-06-23,454.76,-25,4
2020-06-24,371.34,-25,4
2020-06-25,400.55,-24,3
2020-06-26,547.25,-24,4
2020-06-27,528.88,-11,NA
2020-06-28,475.41,-7,NA
2020-06-29,373.51,-21,3
2020-06-30,344.38,-25,6
2020-07-01,335.82,-23,4
2020-07-02,397.69,-22,3
2020-07-03,627.56,-33,6
2020-07-04,588.35,-23,NA
2020-07-05,666.91,-10,NA
2020-07-06,432.87,-25,3
2020-07-07,344.6,-26,5
2020-07-08,386.51,-23,3
2020-07-09,406.86,-23,4
2020-07-10,523.35,-22,4
2020-07-11,665.25,-6,1
2020-07-12,553.61,-8,NA
2020-07-13,425.88,-21,3
2020-07-14,420.13,-23,5
2020-07-15,430.18,-21,3
2020-07-16,442.62,-22,3
2020-07-17,517.95,-21,4
2020-07-18,751.98,-8,0
2020-07-19,738.55,-6,NA
2020-07-20,604.32,-21,2
2020-07-21,448.57,-23,3
2020-07-22,409.25,-19,3
2020-07-23,440.64,-20,3
2020-07-24,510.6,-21,4
2020-07-25,730.51,-9,0
2020-07-26,1131.36,-8,NA
2020-07-27,633.34,-22,3
2020-07-28,451.07,-22,4
2020-07-29,460.38,-19,2
2020-07-30,485.21,-22,2
2020-07-31,570.87,-23,4
2020-08-01,741.71,-7,1
2020-08-02,654.87,-7,NA
2020-08-03,488.79,-21,2
2020-08-04,464.59,-22,4
2020-08-05,476.51,-21,2
2020-08-06,465.12,-21,2
2020-08-07,631.11,-24,3
2020-08-08,759.06,-7,-1
2020-08-09,735.99,-5,NA
2020-08-10,529.1,-21,2
2020-08-11,525.99,-22,4
2020-08-12,480.56,-20,2
2020-08-13,464.92,-22,1
2020-08-14,627.84,-21,3
2020-08-15,1101.93,-5,-1
2020-08-16,1062.17,-4,NA
2020-08-17,543.31,NA,1
2020-08-18,470.51,NA,2
2020-08-19,476.07,NA,2
2020-08-20,458.2,NA,2
2020-08-21,506.69,NA,5
2020-08-22,697.8,NA,0
2020-08-24,490.5,NA,2
2020-08-25,463.55,NA,2
2020-08-26,467.24,NA,1
2020-08-27,493.58,NA,1
2020-08-28,555.26,NA,3
2020-08-29,712.91,NA,1
2020-08-31,395.95,NA,2
2020-09-01,360.49,NA,2
2020-09-02,378.72,NA,1
2020-09-03,440.75,NA,1
2020-09-04,536.15,NA,3
2020-09-05,723.79,NA,0
2020-09-07,765.01,-48,7
2020-09-08,440.39,NA,4
2020-09-09,458.2,NA,3
2020-09-10,384.53,NA,4
2020-09-11,404.43,-22,5
2020-09-12,411.81,-4,2
2020-09-13,381.75,2,NA
2020-09-14,316.38,-20,4
2020-09-15,287.94,-22,5
2020-09-16,280.59,-19,4
2020-09-17,326.62,-21,3
2020-09-18,356.17,-19,5
2020-09-19,431.47,-7,NA
2020-09-20,439.59,-1,NA
2020-09-21,289.79,-19,2
2020-09-22,264.79,-22,3
2020-09-23,214.68,-20,6
