date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,129.84,1,-1
2020-02-16,112.86,0,0
2020-02-17,116.91,-13,3
2020-02-18,116.91,1,1
2020-02-19,108.35,1,0
2020-02-20,121.54,2,0
2020-02-21,145.33,0,1
2020-02-22,147.54,4,-1
2020-02-23,113.78,5,-2
2020-02-24,106.54,2,0
2020-02-25,110.93,2,0
2020-02-26,111.36,2,-1
2020-02-27,109.59,0,2
2020-02-28,138.28,5,0
2020-02-29,162.4,2,0
2020-03-01,114.77,4,-2
2020-03-02,109.95,2,0
2020-03-03,110.11,2,1
2020-03-04,116.93,0,0
2020-03-05,118.65,1,-1
2020-03-06,134.89,3,1
2020-03-07,157.32,6,-1
2020-03-08,118.08,7,-3
2020-03-09,115.38,-1,0
2020-03-10,122.78,0,1
2020-03-11,111.66,0,0
2020-03-12,116.39,0,-1
2020-03-13,133.62,2,1
2020-03-14,123.61,1,0
2020-03-15,106.51,-2,0
2020-03-16,109.41,-14,4
2020-03-17,101.39,-20,7
2020-03-18,103.53,-24,9
2020-03-19,92.43,-24,10
2020-03-20,93.72,-27,13
2020-03-21,86.27,-21,9
2020-03-22,70.16,-21,NA
2020-03-23,65.3,-40,17
2020-03-24,71.88,-38,15
2020-03-25,69.01,-39,16
2020-03-26,73.41,-39,14
2020-03-27,80.91,-38,16
2020-03-28,65.55,-27,13
2020-03-29,56.43,-23,NA
2020-03-30,69.74,-39,15
2020-03-31,71.6,-39,15
2020-04-01,65.04,-40,15
2020-04-02,63.11,-41,16
2020-04-03,68.7,-40,18
2020-04-04,62.38,-30,10
2020-04-05,51.23,-31,NA
2020-04-06,72.16,-41,15
2020-04-07,71.9,-40,15
2020-04-08,72.18,-41,14
2020-04-09,70.37,-40,16
2020-04-10,71.67,-48,22
2020-04-11,67.81,-27,11
2020-04-12,42.68,-33,NA
2020-04-13,72.96,-40,17
2020-04-14,71.01,-38,16
2020-04-15,79.03,-38,15
2020-04-16,75.83,-39,17
2020-04-17,83.78,-39,19
2020-04-18,81.24,-26,11
2020-04-19,67.18,-19,NA
2020-04-20,76.56,-38,13
2020-04-21,75.01,-39,17
2020-04-22,79.29,-39,15
2020-04-23,80.6,-39,15
2020-04-24,90.22,-37,17
2020-04-25,88.27,-22,8
2020-04-26,71.06,-21,NA
2020-04-27,79.99,-36,13
2020-04-28,83.14,-36,9
2020-04-29,89.4,-37,14
2020-04-30,94.73,-38,15
2020-05-01,111.47,-36,14
2020-05-02,105.43,-27,5
2020-05-03,107.43,-18,3
2020-05-04,93.93,-33,12
2020-05-05,96.31,-33,12
2020-05-06,100.35,-34,14
2020-05-07,110.37,-33,12
2020-05-08,128.43,-32,15
2020-05-09,117.89,-19,8
2020-05-10,77.9,-13,2
2020-05-11,NA,-30,12
2020-05-12,NA,-28,11
2020-05-13,124.38,-30,9
2020-05-14,122.22,-30,10
2020-05-15,143.1,-30,11
2020-05-16,137.08,-17,2
2020-05-17,119.35,-17,4
2020-05-18,135.83,-27,9
2020-05-19,129.09,-28,8
2020-05-20,139.1,-29,9
2020-05-21,164.26,-29,8
2020-05-22,185.49,-30,11
2020-05-23,157.18,-14,2
2020-05-24,141.99,-14,-3
2020-05-25,130.71,-68,14
2020-05-26,140.98,-25,6
2020-05-27,147.03,-26,7
2020-05-28,149.52,-24,8
2020-05-29,162.73,-24,9
2020-05-30,160.62,-4,1
2020-05-31,136.37,-3,0
2020-06-01,144.23,-23,6
2020-06-02,149.21,-24,6
2020-06-03,140.02,-24,7
2020-06-04,152.43,-23,6
2020-06-05,182.65,-22,5
2020-06-06,172.04,-4,-1
2020-06-07,144.04,-7,-2
2020-06-08,159.25,-23,4
2020-06-09,153.77,-23,4
2020-06-10,157.7,-25,5
2020-06-11,176.04,-23,4
2020-06-12,193.23,-23,4
2020-06-13,193.23,-6,-2
2020-06-14,161.32,-6,-2
2020-06-15,177.19,-24,5
2020-06-16,171.81,-23,5
2020-06-17,167.51,-24,4
2020-06-18,185.35,-25,4
2020-06-19,234.66,-26,5
2020-06-20,207.1,-6,-2
2020-06-21,155.35,-4,-3
2020-06-22,183.31,-26,6
2020-06-23,166.4,-25,6
2020-06-24,173.9,-24,5
2020-06-25,189.25,-25,4
2020-06-26,229.72,-25,4
2020-06-27,202.42,-5,0
2020-06-28,183.33,0,-3
2020-06-29,188.62,-23,4
2020-06-30,184.62,-23,3
2020-07-01,195.79,-25,3
2020-07-02,212.13,-26,3
2020-07-03,218.32,-48,7
2020-07-04,155.94,-24,-3
2020-07-05,195.72,-13,-3
2020-07-06,203.43,-29,5
2020-07-07,189.44,-27,5
2020-07-08,176.98,-25,5
2020-07-09,197.63,-25,4
2020-07-10,224.24,-26,5
2020-07-11,212.96,-8,1
2020-07-12,180.39,-7,-2
2020-07-13,181.87,-25,4
2020-07-14,194.5,-26,4
2020-07-15,184.95,-25,3
2020-07-16,186.88,-25,5
2020-07-17,222.95,-27,5
2020-07-18,223.09,-10,-2
2020-07-19,194.4,-9,-2
2020-07-20,182.48,-26,4
2020-07-21,170.87,-26,5
2020-07-22,182.51,-26,5
2020-07-23,186.53,-25,5
2020-07-24,223.18,-26,5
2020-07-25,218.32,-11,-2
2020-07-26,188.2,-6,-3
2020-07-27,186.9,-26,5
2020-07-28,193.18,-25,5
2020-07-29,193.63,-26,5
2020-07-30,210.23,-25,4
2020-07-31,237.2,-26,4
2020-08-01,225.68,-11,0
2020-08-02,196.03,-8,-2
2020-08-03,204.84,-25,4
2020-08-04,181.71,-26,5
2020-08-05,195.49,-26,4
2020-08-06,230.61,-26,4
2020-08-07,231.72,-28,4
2020-08-08,241.29,-11,-2
2020-08-09,223.61,-6,-3
2020-08-10,207.57,-26,4
2020-08-11,217.35,-26,4
2020-08-12,197.46,-27,5
2020-08-13,218.65,-26,4
2020-08-14,245.31,-27,3
2020-08-15,238.8,-10,-2
2020-08-16,190.05,-6,-3
2020-08-17,195.39,-27,4
2020-08-18,222.29,-24,4
2020-08-19,199.2,-25,4
2020-08-20,203.15,-25,4
2020-08-21,229.72,-24,4
2020-08-22,235.06,NA,-2
2020-08-23,177.99,NA,-2
2020-08-24,171.38,-25,4
2020-08-25,167.88,-25,5
2020-08-26,176.28,-24,4
2020-08-27,187.49,-24,4
2020-08-28,202.94,-22,5
2020-08-29,197.13,NA,0
2020-08-30,163.91,NA,-2
2020-08-31,165.88,-22,4
2020-09-01,161.11,-21,4
2020-09-02,164.97,-21,4
2020-09-03,174.96,-21,3
2020-09-04,219.68,-23,2
2020-09-05,214.44,NA,-3
2020-09-06,188.83,NA,-6
2020-09-07,173.05,-69,14
2020-09-08,155.96,-23,2
2020-09-09,167.86,-21,2
2020-09-10,176.3,-21,1
2020-09-11,201.2,-20,1
2020-09-12,196.92,-12,-3
2020-09-13,161.3,-12,-2
2020-09-14,151.47,-19,2
2020-09-15,159.18,-18,2
2020-09-16,157.14,-19,3
2020-09-17,170.63,-20,2
2020-09-18,201.06,-19,2
2020-09-19,205.27,-12,-2
2020-09-20,163.25,-5,-2
2020-09-21,173.69,-20,3
2020-09-22,165.98,-19,3
2020-09-23,162.83,-17,3
2020-09-24,174.7,-17,3
2020-09-25,210.18,-17,3
2020-09-26,211.45,-7,-2
2020-09-27,168.68,-5,-2
2020-09-28,158.29,-16,4
2020-09-29,149.33,-17,5
2020-09-30,156.41,-17,3
2020-10-01,173.12,-16,2
2020-10-02,197.6,-16,2
2020-10-03,199.2,-12,-2
2020-10-04,164.75,-11,-2
2020-10-05,154.08,-17,4
2020-10-06,155.58,-16,2
2020-10-07,156.03,-15,3
2020-10-08,169.06,-16,3
2020-10-09,219.92,-15,2
2020-10-10,230.83,-8,-3
2020-10-11,180.58,-7,-1
2020-10-12,170.37,-23,6
2020-10-13,158.59,-15,3
2020-10-14,158.57,-13,3
2020-10-15,177.71,-15,3
2020-10-16,196.73,-13,4
2020-10-17,207.88,-7,0
2020-10-18,169.25,-7,0
2020-10-19,143.12,-16,5
2020-10-20,143.33,-16,4
2020-10-21,157.68,-15,3
2020-10-22,177.4,-15,3
2020-10-23,198.26,-15,3
2020-10-24,173.24,-11,1
2020-10-25,141.76,-7,0
2020-10-26,137.27,-17,5
2020-10-27,127.98,-16,4
2020-10-28,137.34,-16,4
