date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,136.38,NA,NA
2020-02-16,126.96,NA,NA
2020-02-17,121.37,-9,NA
2020-02-18,87.52,2,NA
2020-02-19,88.96,6,NA
2020-02-20,100.19,-1,NA
2020-02-21,132.5,2,NA
2020-02-22,138.15,NA,NA
2020-02-23,118.64,NA,NA
2020-02-24,87.09,6,NA
2020-02-25,82.74,1,NA
2020-02-26,91.54,6,NA
2020-02-27,109.7,6,NA
2020-02-28,137.91,0,NA
2020-02-29,146.27,NA,NA
2020-03-01,126.2,NA,NA
2020-03-02,94.31,5,NA
2020-03-03,123.57,1,NA
2020-03-04,90.49,2,NA
2020-03-05,101.86,3,NA
2020-03-06,163.24,2,NA
2020-03-07,161.28,NA,NA
2020-03-08,146.27,NA,NA
2020-03-09,106.07,-3,NA
2020-03-10,90.06,2,NA
2020-03-11,97.61,4,NA
2020-03-12,112.28,5,NA
2020-03-13,144.41,-2,NA
2020-03-14,147.32,NA,NA
2020-03-15,117.3,NA,NA
2020-03-16,91.44,7,NA
2020-03-17,77.82,-8,NA
2020-03-18,83.89,-11,NA
2020-03-19,86.71,-14,NA
2020-03-20,102.01,-19,NA
2020-03-21,94.12,-7,NA
2020-03-22,70.27,NA,NA
2020-03-23,66.63,-17,NA
2020-03-24,59.03,-22,NA
2020-03-25,71.32,-22,NA
2020-03-26,71.56,-25,NA
2020-03-27,78.06,-33,NA
2020-03-28,81.45,-9,NA
2020-03-29,63.05,NA,NA
2020-03-30,61.71,-24,NA
2020-03-31,55.02,-30,NA
2020-04-01,64.87,-29,NA
2020-04-02,67.07,-32,NA
2020-04-03,68.31,-33,NA
2020-04-04,71.13,-16,NA
2020-04-05,57.98,NA,NA
2020-04-06,52.06,-31,NA
2020-04-07,55.02,-39,NA
2020-04-08,57.79,-36,NA
2020-04-09,65.06,-36,NA
2020-04-10,72.28,-41,NA
2020-04-11,70.22,-14,NA
2020-04-12,39.72,NA,NA
2020-04-13,66.49,-27,NA
2020-04-14,61.62,-26,NA
2020-04-15,70.65,-30,NA
2020-04-16,69.89,-32,NA
2020-04-17,93.4,-30,NA
2020-04-18,93.5,-17,NA
2020-04-19,49.9,NA,NA
2020-04-20,70.32,-24,NA
2020-04-21,70.65,-31,NA
2020-04-22,77.63,-24,NA
2020-04-23,69.55,-31,NA
2020-04-24,98.76,-31,NA
2020-04-25,99.86,-16,NA
2020-04-26,92.73,NA,NA
2020-04-27,78.68,-20,NA
2020-04-28,85.23,-25,NA
2020-04-29,74.09,-26,NA
2020-04-30,84.8,-24,NA
2020-05-01,117.88,-27,NA
2020-05-02,129.73,-15,NA
2020-05-03,112.67,NA,NA
2020-05-04,106.69,-17,NA
2020-05-05,81.6,-22,NA
2020-05-06,95.55,-19,NA
2020-05-07,105.88,-27,NA
2020-05-08,120.51,-29,NA
2020-05-09,148.28,-10,NA
2020-05-10,109.23,NA,NA
2020-05-11,NA,-19,NA
2020-05-12,NA,-20,NA
2020-05-13,173.85,-18,NA
2020-05-14,117.54,-20,NA
2020-05-15,144.84,-20,NA
2020-05-16,146.27,NA,NA
2020-05-17,115.15,NA,NA
2020-05-18,100.81,-14,NA
2020-05-19,100.29,-15,NA
2020-05-20,112.67,-20,NA
2020-05-21,110.76,-18,NA
2020-05-22,166.35,-27,NA
2020-05-23,160.42,-12,NA
2020-05-24,128.82,NA,NA
2020-05-25,138.86,-65,NA
2020-05-26,116.97,-18,NA
2020-05-27,105.31,-19,NA
2020-05-28,107.6,-17,NA
2020-05-29,141.01,-20,NA
2020-05-30,147.47,NA,NA
2020-05-31,123.8,NA,NA
2020-06-01,107.98,-14,NA
2020-06-02,98.61,-19,NA
2020-06-03,112,-14,NA
2020-06-04,121.08,-16,NA
2020-06-05,143.36,-22,NA
2020-06-07,146.61,NA,NA
2020-06-08,163.29,-15,NA
2020-06-09,106.31,-17,NA
2020-06-10,111.38,-18,NA
2020-06-11,122.66,-16,NA
2020-06-12,166.49,-24,NA
2020-06-13,181.31,-9,NA
2020-06-14,159.27,NA,NA
2020-06-15,114.91,-14,NA
2020-06-16,130.78,-20,NA
2020-06-17,118.26,-17,NA
2020-06-18,139.24,-17,NA
2020-06-19,176.15,-25,NA
2020-06-21,154.92,NA,NA
2020-06-22,131.02,-16,NA
2020-06-23,113.05,-14,NA
2020-06-24,120.55,-18,NA
2020-06-25,143.4,-21,NA
2020-06-26,185.99,-20,NA
2020-06-29,142.35,-17,NA
2020-06-30,127.1,-26,NA
2020-07-01,138.72,-25,NA
2020-07-02,175.67,-30,NA
2020-07-03,215.97,-56,NA
2020-07-04,153.44,-28,NA
2020-07-06,138.29,-21,NA
2020-07-07,112.81,-23,NA
2020-07-08,124.95,-21,NA
2020-07-09,146.94,-20,NA
2020-07-10,171.37,-21,NA
2020-07-12,152.82,NA,NA
2020-07-13,128.78,-15,NA
2020-07-14,113.29,-17,NA
2020-07-15,124.19,-21,NA
2020-07-16,141.68,-20,NA
2020-07-17,163.58,-28,NA
2020-07-19,155.74,NA,NA
2020-07-20,121.94,-18,NA
2020-07-21,113.86,-23,NA
2020-07-22,120.6,-21,NA
2020-07-23,133.32,-22,NA
2020-07-24,182.89,-21,NA
2020-07-25,214.87,NA,NA
2020-07-27,125.91,-17,NA
2020-07-28,125.81,-16,NA
2020-07-29,128.11,-21,NA
2020-07-30,138.62,-22,NA
2020-07-31,192.64,-23,NA
2020-08-03,123.14,-18,NA
2020-08-04,126.86,-19,NA
2020-08-05,124.86,-16,NA
2020-08-06,140.39,-22,NA
2020-08-07,163.15,-22,NA
2020-08-09,154.97,NA,NA
2020-08-10,121.7,-18,NA
2020-08-11,108.27,-18,NA
2020-08-12,114.48,-16,NA
2020-08-13,121.22,-19,NA
2020-08-14,182.5,-24,NA
2020-08-15,170.75,-9,NA
2020-09-11,152.68,-24,NA
2020-09-12,163.43,-12,NA
2020-09-13,137.48,NA,NA
2020-09-14,112.43,-14,NA
2020-09-15,99.28,-15,NA
2020-09-16,94.36,-21,NA
2020-09-17,107.27,-18,NA
2020-09-18,179.25,-17,NA
2020-09-19,171.08,-7,NA
2020-09-21,119.31,-10,NA
2020-09-22,109.89,-13,NA
2020-09-23,114.87,-16,NA
2020-09-24,116.63,-11,NA
2020-09-25,162.57,-19,NA
2020-09-26,177.34,-7,NA
2020-09-28,107.41,-7,NA
2020-09-29,98.8,-13,NA
2020-09-30,110.9,-12,NA
2020-10-01,124.33,-10,NA
2020-10-02,170.65,-21,NA
2020-10-03,173.28,-9,NA
2020-10-04,163.72,NA,NA
2020-10-05,182.79,-18,NA
2020-10-06,139.48,-21,NA
2020-10-07,157.31,-22,NA
2020-10-08,141.3,-25,NA
2020-10-09,170.75,-27,NA
2020-10-10,154.21,-22,NA
2020-10-11,137.72,NA,NA
2020-10-12,243.21,-18,NA
2020-10-13,110.61,-15,NA
2020-10-14,121.46,-13,NA
2020-10-15,132.6,-11,NA
2020-10-16,207.5,-17,NA
2020-10-17,223.71,-11,NA
2020-10-19,111.28,-12,NA
2020-10-20,142.54,-13,NA
2020-10-21,228.25,-19,NA
2020-10-22,227.01,-9,NA
2020-10-23,186.33,-22,NA
2020-10-24,186.38,-6,NA
2020-10-26,128.25,-5,NA
2020-10-27,144.22,-13,NA
2020-10-28,102.82,-14,NA
2020-10-29,108.17,-43,NA
2020-10-30,324.62,-29,NA
2020-10-31,156.93,-15,NA
2020-11-01,163.53,NA,NA
2020-11-02,115.44,-14,NA
2020-11-03,104.83,-11,NA
