date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,138.83,4,-1
2020-02-16,101.73,-1,NA
2020-02-17,121.16,-13,3
2020-02-18,102.45,1,0
2020-02-19,105.95,2,-1
2020-02-20,104.62,2,0
2020-02-21,134.1,2,0
2020-02-22,132.59,5,-1
2020-02-23,108.99,2,NA
2020-02-24,96.19,3,2
2020-02-25,103.23,2,-1
2020-02-26,104.8,2,-1
2020-02-27,118.66,5,-2
2020-02-28,158.15,0,0
2020-02-29,152.25,4,-3
2020-03-01,125.79,2,NA
2020-03-02,107.67,5,0
2020-03-03,117.69,2,-2
2020-03-04,116.98,4,-2
2020-03-05,122.94,4,-3
2020-03-06,156.96,0,-2
2020-03-07,163.02,4,-2
2020-03-08,131.11,2,NA
2020-03-09,115.24,6,-1
2020-03-10,110.1,0,0
2020-03-11,118.92,2,-1
2020-03-12,112.49,2,-1
2020-03-13,163.28,-1,0
2020-03-14,146.81,0,0
2020-03-15,110.68,-3,NA
2020-03-16,106.44,-9,4
2020-03-17,107.83,-15,6
2020-03-18,103.9,-16,6
2020-03-19,113.73,-15,6
2020-03-20,119.4,-23,11
2020-03-21,114.14,-13,NA
2020-03-22,75.94,-25,NA
2020-03-23,77.22,-29,13
2020-03-24,70.07,-34,15
2020-03-25,84.04,-34,13
2020-03-26,92.74,-35,12
2020-03-27,101.19,-34,14
2020-03-28,92.28,-22,NA
2020-03-29,79.52,-33,NA
2020-03-30,80.86,-31,12
2020-03-31,66.52,-40,16
2020-04-01,73.22,-37,14
2020-04-02,81.7,-36,13
2020-04-03,81.37,-39,16
2020-04-04,74.76,-28,NA
2020-04-05,61.82,-39,NA
2020-04-06,72.35,-40,14
2020-04-07,69.92,-43,15
2020-04-08,74.63,-42,15
2020-04-09,74.24,-43,15
2020-04-10,84.26,-51,19
2020-04-11,77.91,-32,NA
2020-04-12,43.08,-46,NA
2020-04-13,72.68,-37,15
2020-04-14,74.44,-40,15
2020-04-15,83.67,-39,13
2020-04-16,88.76,-38,13
2020-04-17,100.35,-37,15
2020-04-18,86.14,-23,NA
2020-04-19,61.98,-35,NA
2020-04-20,86.4,-35,13
2020-04-21,90.48,-39,13
2020-04-22,91.35,-40,13
2020-04-23,84.55,-39,16
2020-04-24,100.84,-37,15
2020-04-25,88.09,-23,NA
2020-04-26,72.88,-34,NA
2020-04-27,100.81,-32,12
2020-04-28,95.93,-36,6
2020-04-29,90.09,-37,14
2020-04-30,104.08,-35,12
2020-05-01,127.53,-36,11
2020-05-02,129.96,-17,NA
2020-05-03,106.73,-27,NA
2020-05-04,107.83,-30,9
2020-05-05,110.62,-31,11
2020-05-06,110.87,-31,11
2020-05-07,117.92,-30,10
2020-05-08,129.46,-34,14
2020-05-09,139.99,-14,NA
2020-05-10,116.29,-22,NA
2020-05-11,NA,-26,9
2020-05-12,NA,-27,9
2020-05-13,120.12,-29,9
2020-05-14,150.46,-27,6
2020-05-15,157.15,-30,9
2020-05-16,160.23,-14,NA
2020-05-17,125.63,-26,NA
2020-05-18,118.4,-28,9
2020-05-19,126.8,-31,9
2020-05-20,129.85,-30,10
2020-05-21,146.32,-30,8
2020-05-22,184.87,-33,10
2020-05-23,166.22,-18,NA
2020-05-24,141.13,-24,NA
2020-05-25,153.09,-69,16
2020-05-26,140.34,-27,7
2020-05-27,132.47,-28,10
2020-05-28,147.2,-25,7
2020-05-29,172.12,-25,8
2020-05-30,187.51,-6,0
2020-05-31,152.61,-18,NA
2020-06-01,137.3,-22,6
2020-06-02,137.18,-26,6
2020-06-03,135.66,-26,6
2020-06-04,182.99,-26,6
2020-06-05,172.84,-27,7
2020-06-06,180.92,-10,1
2020-06-07,153.36,-15,NA
2020-06-08,141.46,-23,6
2020-06-09,129.23,-25,6
2020-06-10,145.95,-24,5
2020-06-11,157.86,-23,4
2020-06-12,201.94,-25,5
2020-06-13,202.93,-7,-1
2020-06-14,162.67,-13,NA
2020-06-15,152.2,-20,4
2020-06-16,164.06,-22,4
2020-06-17,157.84,-24,5
2020-06-18,173.74,-24,4
2020-06-19,219.03,-24,4
2020-06-20,218.17,-6,-1
2020-06-21,154.62,-13,NA
2020-06-22,159.94,-23,5
2020-06-23,155.46,-26,6
2020-06-24,162.18,-25,5
2020-06-25,176.75,-24,4
2020-06-26,209.61,-25,6
2020-06-27,198.39,-6,1
2020-06-28,159.97,-13,NA
2020-06-29,149.66,-24,6
2020-06-30,144.76,-27,7
2020-07-01,158.12,-28,6
2020-07-02,191.97,-30,5
2020-07-03,218.99,-53,11
2020-07-04,157.2,-34,NA
2020-07-05,180.62,-26,NA
2020-07-06,173.65,-26,5
2020-07-07,160.21,-27,5
2020-07-08,153.7,-26,5
2020-07-09,170.79,-25,4
2020-07-10,193.04,-26,5
2020-07-11,196.74,-11,0
2020-07-12,144.3,-16,NA
2020-07-13,151.09,-23,5
2020-07-14,162.14,-24,4
2020-07-15,161.8,-24,5
2020-07-16,171.68,-24,4
2020-07-17,197.31,-25,5
2020-07-18,206.08,-13,1
2020-07-19,159.77,-13,NA
2020-07-20,151.1,-23,5
2020-07-21,144.88,-25,5
2020-07-22,151.1,-24,5
2020-07-23,160.12,-24,5
2020-07-24,195.61,-27,6
2020-07-25,210.67,-14,0
2020-07-26,158.68,-13,NA
2020-07-27,155.4,-24,5
2020-07-28,142.56,-24,5
2020-07-29,153.62,-25,4
2020-07-30,158.54,-25,5
2020-07-31,178.89,-25,5
2020-08-01,189.93,-9,1
2020-08-02,163.39,-10,NA
2020-08-03,156.94,-22,3
2020-08-04,140.08,-24,4
2020-08-05,140.74,-24,4
2020-08-06,162.81,-23,3
2020-08-07,192.59,-24,4
2020-08-08,206.02,-9,0
2020-08-09,163.54,-13,NA
2020-08-10,149.79,-23,5
2020-08-11,149.25,-23,3
2020-08-12,147.31,-24,5
2020-08-13,155.76,-22,4
2020-08-14,173.74,-24,6
2020-08-15,183.9,-7,0
2020-08-16,150.52,-16,NA
2020-08-17,148.3,-22,4
2020-08-18,143.82,-22,4
2020-08-19,136.11,-25,4
2020-08-20,150.18,-24,4
2020-08-21,176.18,-25,5
2020-08-22,164.15,NA,1
2020-08-24,140.78,-20,4
2020-08-25,131.27,-25,4
2020-08-26,132.53,-22,4
2020-08-27,145.38,-21,3
2020-08-28,165.96,-24,7
2020-08-29,156.27,NA,0
2020-08-31,136.55,-18,4
2020-09-01,135.07,-21,3
2020-09-02,140.02,-21,3
2020-09-03,157.23,-18,2
2020-09-04,212.92,-23,3
2020-09-05,198.18,NA,NA
2020-09-07,170.96,-68,15
2020-09-08,146.47,-20,2
2020-09-09,140.19,-19,1
2020-09-10,148.3,-21,0
2020-09-11,174.08,-20,0
2020-09-12,175.48,-8,-2
2020-09-13,384.99,-14,NA
2020-09-14,135.43,-15,0
2020-09-15,137.13,-15,1
2020-09-16,132.41,-17,2
2020-09-17,150.31,-17,1
2020-09-18,182.36,-20,1
2020-09-19,191.03,-8,-3
2020-09-20,144.62,-13,NA
