date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,122.16,-2,0
2020-02-16,105.66,-3,0
2020-02-17,125.47,-16,2
2020-02-18,137.21,0,0
2020-02-19,126.31,0,0
2020-02-20,129.53,-1,0
2020-02-21,145.06,-1,1
2020-02-22,125.82,-3,1
2020-02-23,97.09,-2,0
2020-02-24,117.51,1,0
2020-02-25,118.72,0,0
2020-02-26,122.21,0,1
2020-02-27,126.08,-1,0
2020-02-28,130.63,0,1
2020-02-29,116.91,-1,0
2020-03-01,95.21,-1,0
2020-03-02,114.26,1,0
2020-03-03,116.46,1,1
2020-03-04,117.85,1,0
2020-03-05,118.79,0,0
2020-03-06,131.41,0,1
2020-03-07,117.58,-3,0
2020-03-08,95.88,-3,1
2020-03-09,115.3,-11,2
2020-03-10,114.62,-11,3
2020-03-11,114.21,-11,3
2020-03-12,111.22,-13,3
2020-03-13,112.84,-13,4
2020-03-14,99.07,-3,3
2020-03-15,79,-6,3
2020-03-16,95.59,-14,5
2020-03-17,87.9,-19,8
2020-03-18,80.69,-22,10
2020-03-19,74.97,-26,11
2020-03-20,71.46,-28,13
2020-03-21,54.23,-31,12
2020-03-22,39.62,-36,12
2020-03-23,54.99,-33,13
2020-03-24,53.48,-37,15
2020-03-25,51.89,-38,16
2020-03-26,50.79,-39,16
2020-03-27,54.13,-39,18
2020-03-28,40.72,-40,16
2020-03-29,32.46,-44,14
2020-03-30,47.1,-40,15
2020-03-31,47.12,-41,17
2020-04-01,47.27,-42,16
2020-04-02,48.87,-43,16
2020-04-03,44.28,-46,21
2020-04-04,34.07,-46,18
2020-04-05,26.88,-48,16
2020-04-06,41.98,-45,18
2020-04-07,42.7,-47,19
2020-04-08,44.6,-46,19
2020-04-09,45.75,-47,18
2020-04-10,49.78,-49,22
2020-04-11,39.64,-44,17
2020-04-12,25.05,-55,15
2020-04-13,45.46,-45,17
2020-04-14,47.35,-45,18
2020-04-15,48.7,-43,18
2020-04-16,46.83,-45,18
2020-04-17,54.03,-44,19
2020-04-18,45.16,-42,15
2020-04-19,35.19,-45,14
2020-04-20,49.82,-42,16
2020-04-21,51.69,-43,17
2020-04-22,51.75,-42,17
2020-04-23,53.76,-43,17
2020-04-24,57.16,-43,19
2020-04-25,45.77,-42,16
2020-04-26,34.21,-47,15
2020-04-27,55.23,-40,14
2020-04-28,55.59,-42,11
2020-04-29,56.52,-42,16
2020-04-30,53.14,-44,18
2020-05-01,68.07,-40,16
2020-05-02,57.93,-36,12
2020-05-03,48.5,-39,11
2020-05-04,64.68,-35,12
2020-05-05,68.08,-36,13
2020-05-06,68.02,-36,13
2020-05-07,70.47,-38,13
2020-05-08,81.36,-36,14
2020-05-09,82.22,-32,10
2020-05-10,49.13,-36,11
2020-05-11,NA,-33,11
2020-05-12,NA,-34,12
2020-05-13,82.55,-34,12
2020-05-14,81.82,-36,10
2020-05-15,81.8,-35,15
2020-05-16,75.08,-29,10
2020-05-17,62.51,-33,9
2020-05-18,75.49,-32,12
2020-05-19,79.61,-33,12
