date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,150.47,1,NA
2020-02-16,125.78,-3,NA
2020-02-17,132.24,-1,2
2020-02-18,114.64,3,2
2020-02-19,107.75,2,4
2020-02-20,110,-1,4
2020-02-21,139.88,-15,9
2020-02-22,128.18,4,NA
2020-02-23,125.96,5,NA
2020-02-24,120.08,6,1
2020-02-25,112.31,3,0
2020-02-26,114.71,4,0
2020-02-27,131.63,5,-2
2020-02-28,181.59,3,-2
2020-02-29,150.85,9,NA
2020-03-01,133.53,9,NA
2020-03-02,131.38,7,-3
2020-03-03,122.66,4,-2
2020-03-04,120.38,4,0
2020-03-05,130.18,-1,3
2020-03-06,192.73,1,-1
2020-03-07,176.88,11,NA
2020-03-08,149.63,6,NA
2020-03-09,142.77,4,-2
2020-03-10,136.54,4,-2
2020-03-11,136.16,4,-2
2020-03-12,153.63,4,-2
2020-03-13,187.41,3,-1
2020-03-14,165.81,11,NA
2020-03-15,128.44,-2,NA
2020-03-16,119.73,-5,2
2020-03-17,105.7,-8,7
2020-03-18,113.57,-11,6
2020-03-19,125.09,-11,6
2020-03-20,135.86,-15,7
2020-03-21,110.56,-3,NA
2020-03-22,84.83,-17,NA
2020-03-23,89.59,-18,9
2020-03-24,87.72,-22,11
2020-03-25,88.15,-23,10
2020-03-26,99.44,-21,10
2020-03-27,109.9,-24,10
2020-03-28,91.64,-14,NA
2020-03-29,82.07,-23,NA
2020-03-30,84.43,-20,9
2020-03-31,75.94,-26,13
2020-04-01,82.7,-30,14
2020-04-02,82.27,-27,13
2020-04-03,90.96,-27,13
2020-04-04,73.74,-17,NA
2020-04-05,64.5,-32,NA
2020-04-06,84.07,-27,11
2020-04-07,85.77,-28,13
2020-04-08,88.35,-32,13
2020-04-09,92.63,-32,13
2020-04-10,100.46,-46,18
2020-04-11,79.13,-24,NA
2020-04-12,62.88,-29,NA
2020-04-13,84,-39,16
2020-04-14,95.34,-29,11
2020-04-15,94.1,-32,14
2020-04-16,97.11,-29,12
2020-04-17,114.26,-29,13
2020-04-18,96.38,-12,NA
2020-04-19,75.74,-26,NA
2020-04-20,90.12,-28,14
2020-04-21,97.09,-27,11
2020-04-22,99.34,-29,12
2020-04-23,96.45,-29,15
2020-04-24,125.63,-28,13
2020-04-25,102.79,-16,NA
2020-04-26,92.56,-20,NA
2020-04-27,104.15,-23,10
2020-04-28,113.5,-25,5
2020-04-29,121.07,-27,11
2020-04-30,116.46,-30,15
2020-05-01,156.32,-27,11
2020-05-02,131.1,-15,NA
2020-05-03,128.54,-17,NA
2020-05-04,132.29,-23,8
2020-05-05,125.4,-26,11
2020-05-06,133.98,-25,11
2020-05-07,146.16,-25,10
2020-05-08,178.91,-26,11
2020-05-09,160.6,-6,NA
2020-05-10,139.15,-10,NA
2020-05-11,NA,-22,9
2020-05-12,NA,-20,9
2020-05-13,150.95,-23,10
2020-05-14,188.12,-23,7
2020-05-15,231.17,-23,10
2020-05-16,213.8,-11,NA
2020-05-17,225.63,-14,NA
2020-05-18,162.17,-21,8
2020-05-19,138.31,-24,11
2020-05-20,150.57,-26,12
2020-05-21,210.56,-26,12
2020-05-22,322.31,-26,11
2020-05-23,249.3,-2,NA
2020-05-24,201.98,-12,NA
2020-05-25,271.64,-58,NA
2020-05-26,200.33,-20,7
2020-05-27,154.6,-22,12
2020-05-28,176.63,-21,10
2020-05-29,211.04,-22,12
2020-05-30,242.85,2,NA
2020-05-31,200.43,-2,NA
2020-06-01,185.46,-17,4
2020-06-02,173.08,-20,7
2020-06-03,185.14,-22,7
2020-06-04,207.17,-21,6
2020-06-05,249.38,-24,8
2020-06-06,303.09,-2,NA
2020-06-07,240.44,-6,NA
2020-06-08,194.33,-19,6
2020-06-09,171.49,-20,6
2020-06-10,188.73,-21,7
2020-06-11,207.09,-21,7
2020-06-12,287.41,-23,10
2020-06-13,334.97,1,NA
2020-06-14,225.4,-5,NA
2020-06-15,180.53,-21,10
2020-06-16,154.75,-20,10
2020-06-17,183.41,-22,8
2020-06-18,208.08,-22,7
2020-06-19,262.12,-22,7
2020-06-20,365.54,0,NA
2020-06-21,260.17,-4,NA
2020-06-22,228.51,-24,6
2020-06-23,192.4,-23,6
2020-06-24,208.1,-24,8
2020-06-25,204,-23,9
2020-06-26,279.87,-24,7
2020-06-27,372.04,3,NA
2020-06-28,263.46,-7,NA
2020-06-29,204.08,-23,6
2020-06-30,184.02,-24,7
2020-07-01,215.09,-25,7
2020-07-02,260.83,-27,6
2020-07-03,302.18,-46,11
2020-07-04,309.01,-18,NA
2020-07-05,293.47,-11,NA
2020-07-06,218.16,-26,6
2020-07-07,175.11,-26,8
2020-07-08,181.62,-26,9
2020-07-09,204.51,-25,8
2020-07-10,261.08,-25,7
2020-07-11,364.37,-2,NA
2020-07-12,233.98,-11,NA
2020-07-13,186.15,-23,7
2020-07-14,186.98,-21,6
2020-07-15,196.18,-24,7
2020-07-16,212.08,-25,7
2020-07-17,287.67,-25,7
2020-07-18,387.24,-2,NA
2020-07-19,256.19,-5,NA
2020-07-20,199.54,-22,6
2020-07-21,189.16,-24,6
2020-07-22,206.2,-23,8
2020-07-23,222.69,-25,7
2020-07-24,273.87,-26,8
2020-07-25,371.69,-4,NA
2020-07-26,253.74,-7,NA
2020-07-27,200.23,-22,5
2020-07-28,192.5,-24,7
2020-07-29,190.45,-26,8
2020-07-30,210.79,-26,6
2020-07-31,263.99,-24,5
2020-08-01,333.02,-2,NA
2020-08-02,223.35,-6,NA
2020-08-03,160.93,-30,9
2020-08-04,184.5,-39,10
2020-08-05,192.3,-28,8
2020-08-06,210.08,-24,7
2020-08-07,260.22,-24,6
2020-08-08,315.52,1,NA
2020-08-09,241.2,-7,NA
2020-08-10,198.33,-23,4
2020-08-11,188.07,-22,4
2020-08-12,196.1,-25,6
2020-08-13,222.74,-23,5
2020-08-14,271.74,-23,5
2020-08-15,277.34,-4,NA
2020-08-16,214.33,-8,NA
2020-08-17,192.28,NA,3
2020-08-18,166.5,NA,5
2020-08-19,175.13,NA,7
2020-08-20,196.13,NA,5
2020-08-21,252.8,NA,7
2020-08-24,168.07,NA,6
2020-08-25,173.69,NA,6
2020-08-26,182.55,NA,6
2020-08-27,197.39,NA,5
2020-08-28,254.6,NA,6
2020-08-31,161.51,NA,4
2020-09-01,168.68,NA,5
2020-09-02,169.97,NA,5
2020-09-03,219.95,NA,3
2020-09-04,375.03,NA,5
2020-09-07,323.7,-63,NA
2020-09-08,198.58,NA,4
2020-09-09,165.92,NA,6
2020-09-10,193.57,NA,2
2020-09-11,226.06,-22,2
2020-09-12,231.07,-7,NA
2020-09-13,203.7,-8,NA
2020-09-14,183.19,-20,1
2020-09-15,169.16,-20,2
2020-09-16,172.37,-21,5
2020-09-17,183.39,-22,8
2020-09-18,242.16,-20,5
2020-09-19,218.97,-8,NA
2020-09-20,192.96,-13,NA
2020-09-21,167.41,-20,3
2020-09-22,154.57,-19,4
2020-09-23,172.07,-20,5
2020-09-24,184.68,-19,4
2020-09-25,237.38,-18,6
2020-09-26,209.62,-5,1
2020-09-27,187.41,-9,2
2020-09-28,160.62,-17,5
2020-09-29,149.81,-19,5
2020-09-30,175.08,-22,3
2020-10-01,197.67,-18,0
2020-10-02,244.92,-19,1
2020-10-03,239.58,-5,-3
2020-10-04,199.16,-12,0
2020-10-05,158.32,-20,1
2020-10-06,148.67,-20,2
2020-10-07,163,-20,3
2020-10-08,197.44,-18,2
2020-10-09,244.92,-18,3
2020-10-10,224.03,-3,1
2020-10-11,169.74,-14,4
2020-10-12,157,-20,5
2020-10-13,153.81,-18,4
2020-10-14,169.97,-19,5
2020-10-15,184.5,-16,3
2020-10-16,244.92,-20,4
2020-10-17,225.98,-6,0
2020-10-18,189.79,-11,1
2020-10-19,154.06,-15,4
2020-10-20,151.38,-18,4
2020-10-21,154.82,-16,4
2020-10-22,178.68,-17,3
2020-10-23,234.49,-17,2
2020-10-24,221.37,-1,-1
2020-10-25,165.31,-14,3
2020-10-26,148.8,-15,3
2020-10-27,150.06,-17,3
2020-10-28,147.94,-18,4
2020-10-29,170.68,-16,2
2020-10-30,214.05,-15,0
2020-10-31,184.17,-3,-2
2020-11-01,142.34,-12,3
2020-11-02,138.29,-16,3
2020-11-03,144.04,-17,2
