date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,115.21,-2,-1
2020-02-16,89.81,0,-2
2020-02-17,99.55,-48,10
2020-02-18,126.99,-2,0
2020-02-19,111.17,0,0
2020-02-20,114,-1,0
2020-02-21,128.29,0,0
2020-02-22,125.01,2,-1
2020-02-23,94.46,4,-1
2020-02-24,110.69,4,-1
2020-02-25,112.03,4,-1
2020-02-26,113.23,3,-1
2020-02-27,116.47,2,-1
2020-02-28,125.42,3,0
2020-02-29,123.16,1,-1
2020-03-01,88.72,4,0
2020-03-02,107.49,3,-1
2020-03-03,119.74,2,-1
2020-03-04,109.94,2,0
2020-03-05,116.03,1,0
2020-03-06,124.08,1,1
2020-03-07,112.69,-1,2
2020-03-08,83.61,2,1
2020-03-09,103.66,0,1
2020-03-10,107.35,-2,2
2020-03-11,102.75,-4,2
2020-03-12,107.9,-6,3
2020-03-13,107.87,-9,5
2020-03-14,80.79,-8,7
2020-03-15,59.33,-10,7
2020-03-16,79.99,-29,11
2020-03-17,56.85,-50,22
2020-03-18,55.27,-52,23
2020-03-19,56.42,-52,23
2020-03-20,58.68,-51,24
2020-03-21,49.42,-36,16
2020-03-22,39.16,-37,14
2020-03-23,48.3,-54,23
2020-03-24,48.14,-56,26
2020-03-25,49.43,-56,25
2020-03-26,50.85,-56,25
2020-03-27,54.99,-55,26
2020-03-28,44.59,-42,19
2020-03-29,38.04,-41,15
2020-03-30,49.35,-56,23
2020-03-31,52.09,-57,24
2020-04-01,50.8,-57,24
2020-04-02,51.38,-58,25
2020-04-03,57.21,-56,26
2020-04-04,45.65,-43,19
2020-04-05,35.55,-44,17
2020-04-06,46.1,-59,26
2020-04-07,50.19,-59,25
2020-04-08,50.18,-59,26
2020-04-09,51.41,-60,27
2020-04-10,59.27,-59,27
2020-04-11,52.68,-43,17
2020-04-12,36.85,-43,15
2020-04-13,51.05,-57,24
2020-04-14,53.84,-57,25
2020-04-15,55.95,-57,25
2020-04-16,55.49,-57,26
2020-04-17,61.64,-55,26
2020-04-18,59.34,-37,17
2020-04-19,48.11,-37,14
2020-04-20,55.78,-56,23
2020-04-21,57.2,-56,25
2020-04-22,58.82,-56,24
2020-04-23,60.51,-57,25
2020-04-24,67.21,-54,25
2020-04-25,63.56,-37,16
2020-04-26,52.37,-36,13
2020-04-27,59.27,-55,23
2020-04-28,62.87,-55,16
2020-04-29,62.19,-56,24
2020-04-30,64.74,-55,24
2020-05-01,73.58,-53,24
2020-05-02,68.62,-34,15
2020-05-03,58.04,-31,12
2020-05-04,66.54,-52,21
2020-05-05,70.87,-52,22
2020-05-06,70.63,-52,22
2020-05-07,72.32,-52,22
2020-05-08,82.51,-50,22
2020-05-09,82.11,-29,12
2020-05-10,64.94,-27,10
2020-05-11,NA,-51,21
2020-05-12,NA,-51,22
2020-05-13,76.43,-51,22
2020-05-14,78.32,-51,22
2020-05-15,93.83,-49,21
2020-05-16,91.15,-29,13
2020-05-17,69.21,-28,12
2020-05-18,79.88,-49,20
2020-05-19,86.62,-49,20
2020-05-20,86.65,-49,20
2020-05-21,90.74,-49,20
2020-05-22,106.05,-47,20
2020-05-23,100.41,-25,11
2020-05-24,87.26,-25,8
2020-05-25,81.19,-74,24
2020-05-26,94.06,-47,19
2020-05-27,95.01,-47,20
2020-05-28,96.52,-46,20
2020-05-29,107.38,-44,20
2020-05-30,94.47,-20,13
2020-05-31,86.23,-18,10
2020-06-01,95.14,-46,19
2020-06-02,90.5,-47,20
2020-06-03,94.41,-46,19
2020-06-04,99.85,-46,19
2020-06-05,109.54,-43,19
2020-06-06,108.08,-19,10
2020-06-07,88.97,-18,8
2020-06-08,103.77,-43,16
2020-06-09,105.44,-43,17
