date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,90.79,2,NA
2020-02-16,76.42,NA,NA
2020-02-17,86.03,-4,NA
2020-02-18,74.4,3,NA
2020-02-19,91.49,2,NA
2020-02-20,97.35,-1,NA
2020-02-21,111.94,8,NA
2020-02-22,90.48,-2,NA
2020-02-23,60.66,NA,NA
2020-02-24,86.34,4,NA
2020-02-25,92.51,8,NA
2020-02-26,98.91,0,NA
2020-02-27,108.82,3,NA
2020-02-28,123.65,4,NA
2020-02-29,99.22,-2,NA
2020-03-01,89.46,NA,NA
2020-03-02,85.4,11,NA
2020-03-03,112.41,9,NA
2020-03-04,89.46,6,NA
2020-03-05,92.58,4,NA
2020-03-06,120.06,8,NA
2020-03-07,126.15,NA,NA
2020-03-08,80.33,NA,NA
2020-03-09,96.41,8,NA
2020-03-10,101.8,8,NA
2020-03-11,80.95,4,NA
2020-03-12,81.5,3,NA
2020-03-13,91.18,4,NA
2020-03-14,99.38,7,NA
2020-03-15,65.26,NA,NA
2020-03-16,78.06,-5,NA
2020-03-17,74.55,-7,NA
2020-03-18,89.77,-12,NA
2020-03-19,78.45,-12,NA
2020-03-20,76.27,-12,NA
2020-03-21,63,-11,NA
2020-03-22,42.78,NA,NA
2020-03-23,69.01,-22,NA
2020-03-24,63.86,-26,NA
2020-03-25,63.39,-27,NA
2020-03-26,62.22,-25,NA
2020-03-27,73.85,-24,NA
2020-03-28,64.17,-7,NA
2020-03-29,50.04,NA,NA
2020-03-30,63.7,-19,NA
2020-03-31,67.84,-22,NA
2020-04-01,71.74,-26,NA
2020-04-02,73.85,-25,NA
2020-04-03,72.76,-22,NA
2020-04-04,65.73,-17,NA
2020-04-05,46.99,NA,NA
2020-04-06,68.77,-22,NA
2020-04-07,69.32,-27,NA
2020-04-08,82.83,-30,NA
2020-04-09,87.51,-28,NA
2020-04-10,102.11,-32,NA
2020-04-11,66.98,-7,NA
2020-04-13,87.82,-24,NA
2020-04-14,72.6,-23,NA
2020-04-15,89.15,-26,NA
2020-04-16,94.22,-22,NA
2020-04-17,100.62,-21,NA
2020-04-18,82.98,-5,NA
2020-04-20,84.39,-20,NA
2020-04-21,90.32,-26,NA
2020-04-22,72.99,-24,NA
2020-04-23,83.06,-21,NA
2020-04-24,88.29,-20,NA
2020-04-25,82.05,2,NA
2020-04-27,86.96,-21,NA
2020-04-28,84.93,-21,NA
2020-04-29,89.23,-26,NA
2020-04-30,97.27,-21,NA
2020-05-01,113.27,-19,NA
2020-05-02,107.26,5,NA
2020-05-04,92.82,-17,NA
2020-05-05,97.11,-20,NA
2020-05-06,101.41,-22,NA
2020-05-07,104.76,-18,NA
2020-05-08,110.07,-19,NA
2020-05-09,102.73,2,NA
2020-05-11,NA,-17,NA
2020-05-12,NA,-18,NA
2020-05-13,96.25,-21,NA
2020-05-14,115.07,-18,NA
2020-05-15,130.76,-19,NA
2020-05-16,97.58,1,NA
2020-05-18,98.75,-16,NA
2020-05-19,126,-16,NA
2020-05-20,114.83,-21,NA
2020-05-21,121.55,-21,NA
2020-05-22,136.46,-23,NA
2020-05-23,140.75,-8,NA
2020-05-25,105.93,-60,NA
2020-05-26,118.66,-19,NA
2020-05-27,110.93,-21,NA
2020-05-28,121.55,-20,NA
2020-05-29,154.1,-18,NA
2020-05-30,138.95,-2,NA
2020-06-01,120.14,-14,NA
2020-06-02,121.08,-16,NA
2020-06-03,117.41,-17,NA
2020-06-04,140.36,-13,NA
2020-06-05,156.6,-16,NA
2020-06-06,122.56,2,NA
2020-06-08,103.67,-15,NA
2020-06-09,123.97,-14,NA
2020-06-10,123.42,-19,NA
2020-06-11,129.66,-13,NA
2020-06-12,159.95,-10,NA
2020-06-15,133.18,-15,NA
2020-06-16,121,-14,NA
2020-06-17,123.81,-19,NA
2020-06-18,132.01,-15,NA
2020-06-19,151.6,-19,NA
2020-06-20,154.88,-1,NA
2020-06-22,119.83,-16,NA
2020-06-23,130.52,-18,NA
2020-06-24,138.56,-18,NA
2020-06-25,142.31,-19,NA
2020-06-26,175.02,-21,NA
2020-06-27,121.78,2,NA
2020-06-29,117.64,-19,NA
2020-06-30,158.7,-20,NA
2020-07-01,133.57,-22,NA
2020-07-02,157.3,-24,NA
2020-07-03,152.38,-48,NA
2020-07-04,116.08,-16,NA
2020-07-06,147.15,-19,NA
2020-07-07,125.92,-22,NA
2020-07-08,133.8,-24,NA
2020-07-09,133.8,-24,NA
2020-07-10,136.53,-22,NA
2020-07-11,123.73,0,NA
2020-07-13,126.07,-23,NA
2020-07-14,122.48,-24,NA
2020-07-15,111.87,-26,NA
2020-07-16,124.28,-26,NA
2020-07-17,148.63,-22,NA
2020-07-18,145.67,-7,NA
2020-07-20,122.33,-21,NA
2020-07-21,122.4,-22,NA
2020-07-22,112.72,-25,NA
2020-07-23,125.21,-24,NA
2020-07-24,160.27,-21,NA
2020-07-25,140.2,-13,NA
2020-07-27,117.49,-22,NA
2020-07-28,130.68,-23,NA
2020-07-29,132.32,-22,NA
2020-07-30,138.17,-20,NA
2020-07-31,139.11,-21,NA
2020-08-01,116.24,-7,NA
2020-08-03,117.72,-18,NA
2020-08-04,123.81,-21,NA
2020-08-05,124.28,-18,NA
2020-08-06,151.91,-23,NA
2020-08-07,151.76,-20,NA
2020-08-08,126.93,-4,NA
2020-08-10,120.37,-22,NA
2020-08-11,119.91,-20,NA
2020-08-12,133.57,-21,NA
2020-08-13,140.59,-21,NA
2020-08-14,153.86,-19,NA
2020-08-15,132.86,-15,NA
2020-08-16,101.87,-25,NA
2020-09-11,168.23,-15,NA
2020-09-12,141.3,-10,NA
2020-09-14,115.77,-17,NA
2020-09-15,141.3,-13,NA
2020-09-16,144.65,-16,NA
2020-09-17,137.31,-14,NA
2020-09-18,158.7,-17,NA
2020-09-19,158.31,-10,NA
2020-09-21,119.83,-17,NA
2020-09-22,142.7,-11,NA
2020-09-23,105.31,-15,NA
2020-09-24,123.26,-16,NA
2020-09-25,147.62,-12,NA
2020-09-26,139.34,-2,NA
2020-09-28,109.13,-8,NA
2020-09-29,113.11,-7,NA
2020-09-30,106.48,-14,NA
2020-10-01,116.39,-11,NA
2020-10-02,176.66,-12,NA
2020-10-03,126.15,-9,NA
2020-10-05,108.9,-16,NA
2020-10-06,120.61,-8,NA
2020-10-07,107.57,-14,NA
2020-10-08,131.62,-14,NA
