date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,108.9,7,-1
2020-02-16,84.29,-3,NA
2020-02-17,116.75,-34,7
2020-02-18,109.6,4,-2
2020-02-19,97.71,4,0
2020-02-20,106.03,1,2
2020-02-21,132.01,3,-1
2020-02-22,118.08,8,0
2020-02-23,88.71,3,NA
2020-02-24,99.23,3,0
2020-02-25,102.27,2,0
2020-02-26,105.26,1,-1
2020-02-27,113.01,3,-2
2020-02-28,131.51,4,-3
2020-02-29,123.26,7,-3
2020-03-01,95.91,5,NA
2020-03-02,106.73,5,-2
2020-03-03,104.01,2,-1
2020-03-04,100.52,3,-2
2020-03-05,106.68,3,-1
2020-03-06,144.58,2,-3
2020-03-07,160.68,5,-2
2020-03-08,108.75,1,NA
2020-03-09,114.54,3,-1
2020-03-10,111.14,1,-2
2020-03-11,115.68,-8,1
2020-03-12,112.67,1,-1
2020-03-13,141.36,-6,2
2020-03-14,144.38,3,1
2020-03-15,95.24,-5,NA
2020-03-16,125.5,-20,6
2020-03-17,105.73,-23,7
2020-03-18,100.65,-23,8
2020-03-19,91.92,-25,10
2020-03-20,103.54,-26,11
2020-03-21,83.69,-12,NA
2020-03-22,65.05,-19,NA
2020-03-23,77.29,-29,9
2020-03-24,69.23,-37,13
2020-03-25,66.17,-38,14
2020-03-26,69.93,-39,15
2020-03-27,70.66,-39,16
2020-03-28,62.23,-17,NA
2020-03-29,53.25,-25,NA
2020-03-30,65,-35,13
2020-03-31,71.3,-38,13
2020-04-01,74.64,-38,13
2020-04-02,74.97,-38,14
2020-04-03,82.5,-37,15
2020-04-04,70.98,-18,NA
2020-04-05,55.4,-27,NA
2020-04-06,76.74,-37,13
2020-04-07,69.51,-38,12
2020-04-08,71.78,-38,14
2020-04-09,69.81,-39,15
2020-04-10,82.8,-43,18
2020-04-11,70.83,-23,NA
2020-04-12,46.62,-33,NA
2020-04-13,61.88,-37,15
2020-04-14,67.74,-40,17
2020-04-15,88.98,-35,13
2020-04-16,93.97,-35,14
2020-04-17,90.92,-35,14
2020-04-18,81.63,-16,NA
2020-04-19,69.51,-21,NA
2020-04-20,97.61,-35,12
2020-04-21,88.63,-35,12
2020-04-22,85.94,-36,13
2020-04-23,93.62,-36,14
2020-04-24,101.8,-36,13
2020-04-25,88.68,-14,NA
2020-04-26,70.81,-22,NA
2020-04-27,98.28,-33,11
2020-04-28,91.22,-36,4
2020-04-29,90.4,-35,11
2020-04-30,88.91,-35,12
2020-05-01,115.21,-32,11
2020-05-02,104.99,-13,NA
2020-05-03,85.54,-17,NA
2020-05-04,100.62,-34,11
2020-05-05,108.75,-35,10
2020-05-06,106.73,-33,11
2020-05-07,113.29,-36,12
2020-05-08,117.48,-35,12
2020-05-09,105.71,-10,NA
2020-05-10,80.98,-15,NA
2020-05-11,NA,-32,11
2020-05-12,NA,-30,10
2020-05-13,103.32,-32,10
2020-05-14,110.1,-32,11
2020-05-15,117.03,-33,10
2020-05-16,119.42,-11,NA
2020-05-17,95.76,-16,NA
2020-05-18,119.87,-27,9
2020-05-19,121.07,-29,9
2020-05-20,122.86,-28,9
2020-05-21,126.85,-31,9
2020-05-22,154.77,-39,11
2020-05-23,145.9,-7,NA
2020-05-24,110.6,-15,NA
2020-05-25,104.66,-64,19
2020-05-26,126.78,-28,8
2020-05-27,130.37,-28,8
2020-05-28,133.88,-26,9
2020-05-29,170.93,-26,8
2020-05-30,133.91,1,NA
