date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,130.42,-2,0
2020-02-16,94.21,0,NA
2020-02-17,112.27,-6,2
2020-02-18,107.79,0,2
2020-02-19,106.52,1,2
2020-02-20,107.94,-1,2
2020-02-21,136.44,-7,5
2020-02-22,128.07,-1,1
2020-02-23,95.42,8,NA
2020-02-24,102.72,1,2
2020-02-25,106.15,0,1
2020-02-26,115.43,3,-1
2020-02-27,123.53,3,-2
2020-02-28,151.17,-1,-2
2020-02-29,138.77,-2,-2
2020-03-01,108.75,4,NA
2020-03-02,113.41,0,-1
2020-03-03,110.42,2,0
2020-03-04,113.2,2,0
2020-03-05,115.11,1,2
2020-03-06,157.41,0,-1
2020-03-07,150.76,-1,-2
2020-03-08,114.9,4,NA
2020-03-09,123.48,1,-1
2020-03-10,130.39,1,0
2020-03-11,131.83,2,-1
2020-03-12,132.3,2,-1
2020-03-13,158.67,0,-1
2020-03-14,140.47,0,-2
2020-03-15,101.44,6,NA
2020-03-16,115.29,-11,3
2020-03-17,101.72,-14,7
2020-03-18,104.35,-17,8
2020-03-19,101.32,-19,7
2020-03-20,113.59,-23,10
2020-03-21,100.3,-11,NA
2020-03-22,73.31,-17,NA
2020-03-23,82.1,-26,11
2020-03-24,79.77,-29,14
2020-03-25,87.78,-28,12
2020-03-26,91.06,-30,11
2020-03-27,99.61,-31,13
2020-03-28,90.6,-18,NA
2020-03-29,70.42,-22,NA
2020-03-30,85.66,-31,9
2020-03-31,83.78,-32,13
2020-04-01,83.06,-32,12
2020-04-02,86.02,-33,12
2020-04-03,98.21,-34,13
2020-04-04,87.94,-26,NA
2020-04-05,66.93,-22,NA
2020-04-06,83.78,-34,11
2020-04-07,79.36,-35,14
2020-04-08,82.76,-36,14
2020-04-09,88.94,-38,14
2020-04-10,94.46,-52,19
2020-04-11,81.82,-30,NA
2020-04-12,50.55,-26,NA
2020-04-13,84.6,-38,14
2020-04-14,88.16,-34,13
2020-04-15,94.11,-34,13
2020-04-16,95.46,-34,13
2020-04-17,111.1,-36,15
2020-04-18,103.03,-25,NA
2020-04-19,72.82,-22,NA
2020-04-20,88.44,-35,14
2020-04-21,103.96,-34,13
2020-04-22,109.96,-33,13
2020-04-23,99.56,-35,16
2020-04-24,121.41,-34,14
2020-04-25,120.46,-23,NA
2020-04-26,83.18,-21,NA
