date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,138.22,-2,-1
2020-02-16,102,-2,0
2020-02-17,120.49,-2,1
2020-02-18,117.91,2,0
2020-02-19,113.35,3,-1
2020-02-20,98.55,-2,5
2020-02-21,134.59,-13,7
2020-02-22,147.12,3,-1
2020-02-23,106.55,0,0
2020-02-24,112.33,4,1
2020-02-25,119.17,3,0
2020-02-26,116.36,3,-1
2020-02-27,126.99,3,-1
2020-02-28,157.24,2,-2
2020-02-29,166.35,5,-2
2020-03-01,117.54,2,-1
2020-03-02,120.86,4,-1
2020-03-03,118.26,3,-1
2020-03-04,120.52,3,-1
2020-03-05,127.36,3,0
2020-03-06,159.3,2,-1
2020-03-07,166.16,3,-2
2020-03-08,111.49,0,-1
2020-03-09,121.9,4,-1
2020-03-10,124.16,2,-1
2020-03-11,125.03,3,-1
2020-03-12,122.59,1,-1
2020-03-13,138.81,-1,0
2020-03-14,130.71,1,0
2020-03-15,92.8,-8,2
2020-03-16,108.59,-6,4
2020-03-17,100.89,-10,5
2020-03-18,101.56,-14,8
2020-03-19,99.66,-16,8
2020-03-20,114.35,-20,9
2020-03-21,100.37,-13,6
2020-03-22,70.73,-24,7
2020-03-23,82.43,-21,11
2020-03-24,85.36,-23,11
2020-03-25,89.33,-24,12
2020-03-26,88.07,-26,13
2020-03-27,94.9,-28,13
2020-03-28,83.05,-24,9
2020-03-29,66.02,-31,9
2020-03-30,83.34,-29,12
2020-03-31,77.05,-34,16
2020-04-01,80.67,-36,16
2020-04-02,81.97,-36,16
2020-04-03,91.56,-37,16
2020-04-04,84.25,-28,9
2020-04-05,62.98,-33,9
2020-04-06,87.5,-35,14
2020-04-07,83.39,-37,14
2020-04-08,88.01,-38,15
2020-04-09,92.58,-40,16
2020-04-10,95.26,-57,21
2020-04-11,86.13,-35,9
2020-04-12,56.85,-41,11
2020-04-13,92.68,-42,16
2020-04-14,96.37,-35,14
2020-04-15,96.18,-36,14
2020-04-16,102.93,-36,15
2020-04-17,119.72,-39,15
2020-04-18,111.01,-28,9
2020-04-19,83.39,-32,9
2020-04-20,96.08,-33,15
2020-04-21,104.44,-32,13
2020-04-22,107.1,-34,13
2020-04-23,97.45,-35,17
2020-04-24,125.02,-36,14
2020-04-25,106.29,-26,9
2020-04-26,88.74,-31,8
2020-04-27,107.19,-30,12
2020-04-28,110.01,-32,7
2020-04-29,112.17,-33,13
2020-04-30,113.71,-33,15
2020-05-01,133.7,-34,13
2020-05-02,131.56,-23,5
2020-05-03,103.64,-26,5
2020-05-04,119.07,-29,10
2020-05-05,112.1,-29,12
2020-05-06,119.2,-30,12
2020-05-07,128.83,-32,12
2020-05-08,141.81,-33,13
2020-05-09,141.16,-20,5
2020-05-10,104.36,-24,3
2020-05-11,NA,-27,10
2020-05-12,NA,-28,10
2020-05-13,130.44,-29,12
2020-05-14,146.71,-29,9
2020-05-15,165.89,-31,10
2020-05-16,156.56,-17,4
2020-05-17,123.55,-23,4
2020-05-18,136.25,-26,10
2020-05-19,128.41,-28,13
2020-05-20,127.99,-29,13
2020-05-21,134.46,-30,14
2020-05-22,167.56,-30,11
2020-05-23,159.53,-18,3
2020-05-24,125.42,-21,3
2020-05-25,125.22,-67,18
2020-05-26,148.98,-24,7
2020-05-27,138.61,-27,11
2020-05-28,149.88,-25,10
2020-05-29,169.62,-26,10
2020-05-30,167.49,-6,2
2020-05-31,132.29,-13,3
2020-06-01,145.46,-22,7
2020-06-02,149.43,-22,7
2020-06-03,153.44,-24,8
2020-06-04,156.55,-24,8
2020-06-05,179.73,-26,8
2020-06-06,188.36,-8,2
2020-06-07,142.38,-16,2
2020-06-08,156.86,-21,7
2020-06-09,151.52,-22,7
2020-06-10,152.92,-24,8
2020-06-11,163.56,-24,8
2020-06-12,189.28,-26,6
2020-06-13,189.75,-8,0
2020-06-14,146.01,-15,1
2020-06-15,148.03,-24,8
2020-06-16,135.26,-27,11
2020-06-17,149.49,-26,8
2020-06-18,157.11,-26,8
2020-06-19,187.04,-28,7
2020-06-20,186.78,-9,1
2020-06-21,144.11,-13,0
2020-06-22,162.72,-26,6
2020-06-23,162.9,-27,7
2020-06-24,167.5,-26,7
2020-06-25,173.56,-27,7
2020-06-26,196.27,-28,6
2020-06-27,192.25,-12,0
2020-06-28,148.78,-14,2
2020-06-29,166.73,-27,7
2020-06-30,161.91,-27,7
2020-07-01,172.34,-30,7
2020-07-02,182.03,-33,7
2020-07-03,192.88,-58,13
2020-07-04,156.68,-29,2
2020-07-05,140.12,-22,2
2020-07-06,168.26,-31,7
2020-07-07,160.94,-29,8
