date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,151.61,5,NA
2020-02-16,102.04,-2,NA
2020-02-17,113.22,-12,4
2020-02-18,101.26,2,0
2020-02-19,106.48,3,-1
2020-02-20,108.26,2,0
2020-02-21,136.3,4,1
2020-02-22,156.61,10,NA
2020-02-23,113.39,6,NA
2020-02-24,101.04,4,1
2020-02-25,112.09,3,2
2020-02-26,113.26,5,-1
2020-02-27,121.87,2,-1
2020-02-28,141.35,8,-1
2020-02-29,165.7,8,NA
2020-03-01,123.17,4,NA
2020-03-02,105.96,4,0
2020-03-03,110.7,4,-1
2020-03-04,122.22,6,-2
2020-03-05,114.04,1,-1
2020-03-06,152,10,-1
2020-03-07,158.61,10,NA
2020-03-08,118.22,7,NA
2020-03-09,113.04,3,1
2020-03-10,123,2,0
2020-03-11,105.83,3,-1
2020-03-12,115.52,1,-1
2020-03-13,140.39,6,-1
2020-03-14,132.65,-1,NA
2020-03-15,97.91,-2,NA
2020-03-16,93.7,-12,5
2020-03-17,91.17,-17,6
2020-03-18,86.48,-18,8
2020-03-19,85.83,-24,10
2020-03-20,93.17,-19,12
2020-03-21,78.13,-11,NA
2020-03-22,58.35,-22,NA
2020-03-23,72.48,-23,11
2020-03-24,80.26,-27,12
2020-03-25,83.57,-26,11
2020-03-26,89.09,-28,12
2020-03-27,92.83,-28,14
2020-03-28,90.09,-23,NA
2020-03-29,62.83,-24,NA
2020-03-30,83.17,-28,11
2020-03-31,86.35,-30,12
2020-04-01,94.04,-30,10
2020-04-02,100.52,-32,13
2020-04-03,91.48,-31,15
2020-04-04,83.61,-22,NA
2020-04-05,68.13,-27,NA
2020-04-06,80.17,-32,13
2020-04-07,85.87,-34,12
2020-04-08,92.52,-36,12
2020-04-09,99.7,-38,15
2020-04-10,106.26,-41,16
2020-04-11,79.57,-23,NA
2020-04-12,54.74,-38,NA
2020-04-13,85.91,-35,15
2020-04-14,85.7,-34,15
2020-04-15,94.57,-34,13
2020-04-16,93.39,-36,15
2020-04-17,95,-38,18
2020-04-18,95.09,-21,NA
2020-04-19,78,-25,NA
2020-04-20,101.74,-33,13
2020-04-21,96.65,-36,13
2020-04-22,103.22,-34,11
2020-04-23,104.39,-36,13
2020-04-24,116.78,-32,16
2020-04-25,100.83,-22,NA
2020-04-26,91,-29,NA
2020-04-27,106,-32,12
2020-04-28,98.96,-33,7
2020-04-29,94.26,-34,13
2020-04-30,123.78,-34,11
2020-05-01,140.61,-31,11
2020-05-02,115.7,-16,NA
2020-05-03,89.13,-24,NA
2020-05-04,110.26,-29,11
2020-05-05,121.13,-32,14
2020-05-06,110.91,-30,10
2020-05-07,121.87,-33,11
2020-05-08,152.52,-27,11
2020-05-09,138.43,-12,NA
2020-05-10,107.22,-18,NA
2020-05-11,NA,-27,11
2020-05-12,NA,-27,11
2020-05-13,133.61,-28,11
2020-05-14,140.13,-27,12
2020-05-15,167.43,-24,9
2020-05-16,145.65,-7,NA
2020-05-17,115.96,-14,NA
2020-05-18,144.39,-25,10
2020-05-19,140.13,-26,10
2020-05-20,155.13,-24,8
2020-05-21,159.7,-26,8
2020-05-22,180.04,-22,7
2020-05-23,158.7,-3,NA
2020-05-24,152.91,-14,NA
2020-05-25,138.74,-68,NA
2020-05-26,163.09,-25,9
2020-05-27,165.39,-23,8
2020-05-28,161.26,-23,10
2020-05-29,189.7,-19,7
2020-05-30,201.61,0,NA
2020-05-31,132.39,-6,NA
2020-06-01,159.39,-22,6
2020-06-02,165.3,-21,7
2020-06-03,156.13,-20,5
2020-06-04,171.83,-21,6
2020-06-05,197.83,-18,6
2020-06-06,233.74,3,NA
2020-06-07,165.83,-11,NA
2020-06-08,166.35,-22,6
2020-06-09,154.39,-25,10
2020-06-10,170,-23,5
2020-06-11,191.39,-23,5
2020-06-12,217.13,-20,3
2020-06-13,232.74,6,NA
2020-06-14,176.35,-10,NA
2020-06-15,177.35,-19,4
2020-06-16,198.83,-20,5
2020-06-17,193.7,-20,3
2020-06-18,189.48,-23,4
2020-06-19,219.22,-21,5
2020-06-20,236.26,-2,NA
2020-06-21,169.87,-7,NA
2020-06-22,164.09,-24,8
2020-06-23,192.39,-23,6
2020-06-24,201.57,-22,3
2020-06-25,203.65,-23,4
2020-06-26,259.43,-20,4
2020-06-27,253.57,1,NA
2020-06-28,177.52,-6,NA
2020-06-29,176.83,-23,6
2020-06-30,191.09,-25,7
2020-07-01,183.65,-25,5
2020-07-02,201.83,-31,4
2020-07-03,248.39,-48,7
2020-07-04,189.61,-18,NA
2020-07-05,197.39,-12,NA
2020-07-06,185.26,-27,5
2020-07-07,193.96,-24,6
2020-07-08,205.74,-21,4
2020-07-09,199.61,-24,5
2020-07-10,270.65,-21,4
2020-07-11,279.65,0,NA
2020-07-12,181.96,-5,NA
2020-07-13,175.52,-20,5
2020-07-14,207.09,-23,5
2020-07-15,173.17,-23,6
2020-07-16,205.65,-23,4
2020-07-17,244.04,-18,4
2020-07-18,241.04,-2,NA
2020-07-19,182.96,-12,NA
2020-07-20,175.61,-23,5
2020-07-21,176.74,-22,7
2020-07-22,186.26,-21,3
2020-07-23,197.78,-23,4
2020-07-24,228.3,-19,3
2020-07-25,246.57,-4,NA
2020-07-26,185.39,-9,NA
2020-07-27,188.52,-24,5
2020-07-28,178.57,-22,4
2020-07-29,190.04,-23,3
2020-07-30,199.17,-22,4
2020-07-31,231.57,-17,1
2020-08-01,218.48,-1,NA
2020-08-02,162.17,-6,NA
2020-08-03,168.17,-23,4
2020-08-04,184.43,-23,5
2020-08-05,176.74,-21,3
2020-08-06,189.61,-23,3
2020-08-07,227.13,-18,3
2020-08-08,218.57,2,NA
2020-08-09,158.83,-11,NA
2020-08-10,152.52,-24,3
2020-08-11,158.39,-22,0
2020-08-12,190.43,-21,2
2020-08-13,204.74,-24,4
2020-08-14,231.96,-18,2
2020-08-15,236,-6,NA
2020-08-16,181.7,-11,NA
2020-08-17,172.43,NA,4
2020-08-18,170.22,NA,4
2020-08-19,172.61,NA,3
2020-08-20,194.7,NA,3
2020-08-21,214.74,NA,3
2020-08-24,148.09,NA,5
2020-08-25,156.35,NA,6
2020-08-26,152.09,NA,4
2020-08-27,167.65,NA,5
2020-08-28,191.78,NA,5
2020-08-31,142.04,NA,4
2020-09-01,143.65,NA,5
2020-09-02,164,NA,2
2020-09-03,166.22,NA,2
2020-09-04,199.09,NA,2
2020-09-07,142.87,-69,NA
2020-09-08,154,NA,6
2020-09-09,158.13,NA,3
2020-09-10,169.7,NA,4
2020-09-11,206.35,-15,3
2020-09-12,201.04,0,NA
2020-09-13,156.74,-10,NA
2020-09-14,167,-16,2
2020-09-15,163.57,-15,2
2020-09-16,159.22,-15,0
2020-09-17,177.74,-18,1
2020-09-18,231.65,-11,0
