date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,168.51,-7,NA
2020-02-16,140.48,-6,NA
2020-02-17,136.54,-6,NA
2020-02-18,110.9,2,0
2020-02-19,108.82,0,2
2020-02-20,126.78,-2,3
2020-02-21,169,-7,NA
2020-02-22,167.92,-4,NA
2020-02-23,137.51,0,NA
2020-02-24,115.88,2,1
2020-02-25,105.43,2,0
2020-02-26,117.37,2,-2
2020-02-27,138.62,3,-3
2020-02-28,185.88,3,-2
2020-02-29,181.8,5,NA
2020-03-01,161.7,1,NA
2020-03-02,131.31,4,-1
2020-03-03,112.98,3,0
2020-03-04,130.28,1,0
2020-03-05,136.33,-1,2
2020-03-06,204.01,3,NA
2020-03-07,200.8,-4,NA
2020-03-08,179.17,-7,NA
2020-03-09,147.96,1,-1
2020-03-10,137.51,2,-2
2020-03-11,146.16,2,-2
2020-03-12,167.44,0,-2
2020-03-13,279,0,NA
2020-03-14,213.7,-4,NA
2020-03-15,187.79,-1,NA
2020-03-16,163.22,-7,NA
2020-03-17,163.84,-8,NA
2020-03-18,144.91,-8,NA
2020-03-19,138.51,-13,NA
2020-03-20,158.1,-19,NA
2020-03-21,144.39,-9,NA
2020-03-22,105.88,-18,NA
2020-03-23,95.5,-21,NA
2020-03-24,92.39,-21,NA
2020-03-25,88.55,-21,NA
2020-03-26,91.38,-23,NA
2020-03-27,109.34,-25,NA
2020-03-28,108.55,-16,NA
2020-03-29,83.84,-19,NA
2020-03-30,84.53,-20,NA
2020-03-31,86.89,-22,NA
2020-04-01,76.78,-25,NA
2020-04-02,84.22,-28,NA
2020-04-03,96.33,-28,NA
2020-04-04,89.62,-21,NA
2020-04-05,63.25,-17,NA
2020-04-06,75.29,-29,NA
2020-04-07,75.85,-25,NA
2020-04-08,86.75,-29,NA
2020-04-09,81.76,-29,NA
2020-04-10,93.84,-44,NA
2020-04-11,88.34,-30,NA
2020-04-12,59.38,-24,NA
2020-04-13,80.66,-33,NA
2020-04-14,85.85,-32,NA
2020-04-15,86.09,-34,NA
2020-04-16,93.56,-34,NA
2020-04-17,108.96,-34,NA
2020-04-18,103.29,-22,NA
2020-04-19,71.94,-19,NA
2020-04-20,90.8,-29,NA
2020-04-21,94.81,-25,NA
2020-04-22,96.75,-27,NA
2020-04-23,89.31,-27,NA
2020-04-24,117.92,-28,NA
2020-04-25,110.21,-21,NA
2020-04-26,95.95,-24,NA
2020-04-27,96.19,-24,NA
2020-04-28,115.36,-25,NA
2020-04-29,104.15,-27,NA
2020-04-30,116.16,-27,NA
2020-05-01,151.21,-27,NA
2020-05-02,138.86,-20,NA
2020-05-03,111.56,-25,NA
2020-05-04,117.68,-22,NA
2020-05-05,112.39,-23,NA
2020-05-06,117.99,-24,NA
2020-05-07,141.25,-23,NA
2020-05-08,166.68,-29,NA
2020-05-09,156.82,-11,NA
2020-05-10,125.47,-14,NA
2020-05-11,NA,-24,NA
2020-05-12,NA,-22,NA
2020-05-13,148.82,-22,NA
2020-05-14,149.52,-22,NA
2020-05-15,186.47,-29,NA
2020-05-16,207.58,-14,NA
2020-05-17,175.4,-13,NA
2020-05-18,154.84,-22,NA
2020-05-19,148.79,-24,NA
2020-05-20,154.26,-25,NA
2020-05-21,196.37,-26,NA
2020-05-22,251.56,-28,NA
2020-05-23,220.42,-18,NA
2020-05-24,183.6,-19,NA
2020-05-25,199.76,-56,NA
2020-05-26,188.89,-21,NA
2020-05-27,181.73,-24,NA
2020-05-28,174.12,-20,NA
2020-05-29,211.14,-25,NA
2020-05-30,234.39,-8,NA
2020-05-31,204.53,-11,NA
2020-06-01,175.95,-18,NA
2020-06-02,157.02,-20,NA
2020-06-03,165.54,-22,NA
2020-06-04,202.94,-23,NA
2020-06-05,235.99,-27,NA
2020-06-06,252.98,-11,NA
2020-06-07,223.04,-14,NA
2020-06-08,182.49,-24,NA
2020-06-09,168.34,-22,NA
2020-06-10,184.22,-22,NA
2020-06-11,199.38,-24,NA
2020-06-12,254.91,-27,NA
2020-06-13,285.33,-9,NA
2020-06-14,223.88,-11,NA
2020-06-15,187.58,-23,NA
2020-06-16,165.92,-19,NA
2020-06-17,181.73,-19,NA
2020-06-18,202.04,-23,NA
2020-06-19,281.59,-28,NA
2020-06-20,298.1,-18,NA
2020-06-21,232.46,-14,NA
2020-06-22,202.87,-23,NA
2020-06-23,191.35,-24,NA
2020-06-24,190.35,-23,NA
2020-06-25,212.46,-26,NA
2020-06-26,283.91,-29,NA
2020-06-27,324.39,-15,NA
2020-06-28,242.15,-10,NA
2020-06-29,204.01,-26,NA
2020-06-30,203.25,-25,NA
2020-07-01,237.82,-28,NA
2020-07-02,301.73,-30,NA
2020-07-03,430.14,-48,NA
