date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,147.62,0,0
2020-02-16,97.83,-1,-1
2020-02-17,105.84,-28,5
2020-02-18,109.02,-1,1
2020-02-19,119.27,1,1
2020-02-20,120.64,-1,0
2020-02-21,140.28,1,-1
2020-02-22,129.98,6,-1
2020-02-23,77.69,-4,4
2020-02-24,99.33,8,-1
2020-02-25,100.91,1,2
2020-02-26,107.72,2,-1
2020-02-27,113.67,2,-1
2020-02-28,133.19,4,-2
2020-02-29,128.52,6,-1
2020-03-01,92.48,6,0
2020-03-02,99.27,8,-1
2020-03-03,112.99,3,-1
2020-03-04,113.51,2,-1
2020-03-05,116.13,2,-1
2020-03-06,135.57,1,-1
2020-03-07,132.93,5,-1
2020-03-08,94.24,2,0
2020-03-09,105.63,7,-1
2020-03-10,109.39,0,1
2020-03-11,110.27,-1,0
2020-03-12,106.98,-3,2
2020-03-13,100.71,-8,5
2020-03-14,92.86,-4,5
2020-03-15,71.95,-11,5
2020-03-16,79.33,-33,10
2020-03-17,71.43,-46,17
2020-03-18,73.92,-50,18
2020-03-19,57.21,-60,28
2020-03-20,55.96,-59,26
2020-03-21,54.94,-31,14
2020-03-22,45.57,-35,11
2020-03-23,55.61,-53,20
2020-03-24,58.28,-59,24
2020-03-25,58.58,-61,24
2020-03-26,46.48,-65,28
2020-03-27,47.62,-63,29
2020-03-28,43.7,-42,19
2020-03-29,38.5,-43,14
2020-03-30,48.17,-63,24
2020-03-31,52.72,-66,26
2020-04-01,50.85,-66,27
2020-04-02,45.49,-67,30
2020-04-03,51.3,-66,30
2020-04-04,52.27,-44,17
2020-04-05,44.42,-45,13
2020-04-06,53.27,-64,23
2020-04-07,56.05,-67,27
2020-04-08,56.24,-67,27
2020-04-09,57.36,-67,28
2020-04-10,65.87,-66,27
2020-04-11,61.31,-43,15
2020-04-12,25.98,-57,17
2020-04-13,41.8,-66,28
2020-04-14,50.81,-66,28
2020-04-15,59.46,-65,27
2020-04-16,44.53,-68,32
2020-04-17,65.22,-64,28
2020-04-18,61.01,-39,17
2020-04-19,53.41,-41,13
2020-04-20,63.01,-62,23
2020-04-21,62.81,-65,27
2020-04-22,66.45,-65,26
2020-04-23,68.99,-65,27
2020-04-24,79.27,-62,27
2020-04-25,73.44,-37,15
2020-04-26,61.75,-41,11
2020-04-27,78.21,-60,22
2020-04-28,73.91,-63,17
2020-04-29,78.57,-63,24
2020-04-30,79.57,-63,25
2020-05-01,96.51,-60,23
2020-05-02,83.48,-33,14
2020-05-03,74.08,-33,9
2020-05-04,82.45,-57,21
2020-05-05,86.14,-60,23
2020-05-06,86.57,-60,23
2020-05-07,90.59,-60,23
2020-05-08,103.25,-56,22
2020-05-09,100.73,-28,11
2020-05-10,74.74,-29,7
2020-05-11,NA,-54,21
2020-05-12,NA,-57,22
2020-05-13,100.35,-56,22
2020-05-14,102.33,-58,22
2020-05-15,117.32,-56,21
2020-05-16,115.61,-24,10
2020-05-17,99.43,-24,7
2020-05-18,110.1,-53,18
2020-05-19,116.43,-55,21
2020-05-20,117.26,-55,20
2020-05-21,121.16,-56,20
2020-05-22,139.64,-54,18
2020-05-23,120.19,-21,8
2020-05-24,87.97,-26,9
2020-05-25,98.83,-80,21
2020-05-26,119.25,-53,18
2020-05-27,122.16,-53,19
2020-05-28,123.06,-52,18
2020-05-29,138.99,-51,18
2020-05-30,127.06,-7,8
2020-05-31,101.98,-8,6
2020-06-01,122.13,-48,15
2020-06-02,122.77,-50,18
2020-06-03,129.01,-51,17
2020-06-04,128.61,-51,17
2020-06-05,148.21,-49,15
2020-06-06,125.7,-10,8
2020-06-07,114.02,-7,4
2020-06-08,125.29,-47,14
2020-06-09,121.98,-50,19
2020-06-10,138.27,-49,16
2020-06-11,142.31,-49,16
2020-06-12,158.23,-49,14
2020-06-13,141.56,-5,6
2020-06-14,119.47,-5,3
2020-06-15,135.38,-47,13
2020-06-16,139.05,-48,16
2020-06-17,142.89,-49,15
2020-06-18,142.42,-50,15
2020-06-19,154.36,-49,14
2020-06-20,153.31,-5,3
2020-06-21,111.92,-5,1
2020-06-22,139.54,-48,13
2020-06-23,148.3,-50,15
2020-06-24,154.45,-49,15
2020-06-25,152.93,-49,15
2020-06-26,165.44,-49,14
2020-06-27,163.57,-6,4
2020-06-28,134.39,-2,2
2020-06-29,144.61,-46,12
2020-06-30,151.65,-49,14
2020-07-01,151.54,-49,14
2020-07-02,157.5,-52,13
2020-07-03,152.74,-67,15
2020-07-04,115.73,-23,6
2020-07-05,120.99,-10,2
2020-07-06,141.6,-49,12
2020-07-07,146.27,-51,15
2020-07-08,148.4,-50,15
2020-07-09,154.48,-50,15
2020-07-10,180.39,-49,13
2020-07-11,163.23,-4,4
2020-07-12,129.18,-6,3
2020-07-13,142.31,-47,13
2020-07-14,143.18,-50,16
2020-07-15,149.41,-50,15
2020-07-16,152.14,-50,15
2020-07-17,169.75,-49,13
2020-07-18,159.03,-7,4
2020-07-19,128.69,-6,2
2020-07-20,144.53,-48,12
2020-07-21,143.58,-51,15
2020-07-22,152.15,-50,15
2020-07-23,154.58,-50,14
2020-07-24,169.86,-49,13
2020-07-25,157.71,-8,5
2020-07-26,128.92,-8,2
2020-07-27,146.01,-49,12
2020-07-28,145.21,-50,15
2020-07-29,150.8,-50,14
2020-07-30,154.96,-51,14
2020-07-31,171.53,-49,12
2020-08-01,165.52,-8,4
2020-08-02,132.18,-12,2
2020-08-03,144.97,-48,12
2020-08-04,148.04,-50,15
2020-08-05,153.71,-50,15
2020-08-06,156.15,-50,14
2020-08-07,174.28,-49,12
2020-08-08,163.54,-9,4
2020-08-09,134.1,-7,2
2020-08-10,143.98,-48,12
2020-08-11,149.38,-51,15
2020-08-12,160.23,-50,14
2020-08-13,159.88,-50,14
2020-08-14,179.13,-49,12
2020-08-15,171.28,-10,4
2020-08-16,144.3,-9,2
2020-08-17,141.58,-48,12
2020-08-18,142.69,-48,15
2020-08-19,148.11,-48,14
2020-08-20,153.47,-49,14
2020-08-21,166.33,-48,12
2020-08-22,167.4,-7,4
2020-08-23,124.69,-7,3
2020-08-24,127.94,-45,12
2020-08-25,133.29,-48,15
2020-08-26,133.45,-46,14
2020-08-27,139.03,-46,14
2020-08-28,157.99,-46,13
2020-08-29,159.84,-6,4
2020-08-30,127.08,-6,2
2020-08-31,126.4,-44,12
2020-09-01,133.7,-46,14
2020-09-02,135.99,-46,13
2020-09-03,145.6,-47,12
2020-09-04,175.31,-49,12
2020-09-05,161.07,-11,3
2020-09-06,132.8,-9,1
2020-09-07,125.61,-78,16
2020-09-08,101.36,-51,19
2020-09-09,117.38,-47,17
2020-09-10,133.16,-46,14
2020-09-11,160.77,-45,13
2020-09-12,170.08,-4,3
2020-09-13,123.98,-5,2
2020-09-14,130.14,-39,11
2020-09-15,135.54,-42,14
2020-09-16,133.39,-43,13
2020-09-17,141.31,-44,12
2020-09-18,163.62,-46,12
2020-09-19,167.25,-6,3
2020-09-20,118.83,-7,2
2020-09-21,122.13,-42,11
2020-09-22,124.7,-43,14
2020-09-23,128.14,-44,14
2020-09-24,133.9,-43,13
2020-09-25,159.4,-45,13
2020-09-26,162.29,-6,3
2020-09-27,115.28,-10,3
2020-09-28,117.36,-40,12
2020-09-29,120.51,-42,14
2020-09-30,127.39,-44,14
2020-10-01,129.58,-43,13
2020-10-02,153.34,-45,13
2020-10-03,158.55,-5,4
2020-10-04,118.3,-8,3
2020-10-05,119.06,-41,12
2020-10-06,120.24,-42,14
2020-10-07,124.67,-43,14
2020-10-08,133.68,-43,14
2020-10-09,153.96,-46,13
2020-10-10,155.54,-6,3
2020-10-11,109.41,-9,4
2020-10-12,118.27,-48,12
2020-10-13,117.95,-48,14
2020-10-14,121.95,-49,14
2020-10-15,126.06,-50,14
2020-10-16,151.91,-49,13
2020-10-17,150.86,-8,4
2020-10-18,108.22,-8,4
2020-10-19,115.15,-39,12
2020-10-20,117.17,-41,15
2020-10-21,120.48,-41,14
2020-10-22,121.17,-43,15
2020-10-23,141.62,-44,15
2020-10-24,155.4,-3,5
2020-10-25,74.37,-20,11
2020-10-26,85.22,-56,21
2020-10-27,107.86,-43,16
2020-10-28,110.43,-42,15
2020-10-29,120.98,-43,15
2020-10-30,138.35,-45,14
2020-10-31,130.41,-6,6
2020-11-01,96.55,-10,5
2020-11-02,104.34,-40,13
2020-11-03,103.49,-47,17
