date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,191.04,3,NA
2020-02-16,150.21,-5,NA
2020-02-17,123.44,-20,4
2020-02-18,107.56,-7,2
2020-02-19,107.34,-1,1
2020-02-20,126.87,-1,2
2020-02-21,190.09,1,0
2020-02-22,198.57,0,NA
2020-02-23,142.14,-1,NA
2020-02-24,105.62,1,0
2020-02-25,108.99,1,0
2020-02-26,113.34,2,-1
2020-02-27,129.95,0,1
2020-02-28,186.38,3,1
2020-02-29,201.75,5,NA
2020-03-01,138.93,4,NA
2020-03-02,101.37,1,0
2020-03-03,112.86,1,0
2020-03-04,112.77,3,-1
2020-03-05,119.34,0,2
2020-03-06,165.07,3,1
2020-03-07,158.78,7,NA
2020-03-08,124.99,-1,NA
2020-03-09,108.96,0,1
2020-03-10,103.72,-1,1
2020-03-11,105.08,-1,0
2020-03-12,117.88,-2,2
2020-03-13,159.64,1,2
2020-03-14,132.2,2,NA
2020-03-15,103.05,-3,NA
2020-03-16,81.68,-10,5
2020-03-17,85.27,-6,5
2020-03-18,75.39,-21,10
2020-03-19,82.5,-23,14
2020-03-20,88.03,-24,16
2020-03-21,80.41,-23,NA
2020-03-22,65.96,-28,NA
2020-03-23,74.88,-27,12
2020-03-24,81.26,-27,15
2020-03-25,78.34,-28,15
2020-03-26,87.08,-28,15
2020-03-27,92.47,-29,17
2020-03-28,56.37,-27,NA
2020-03-29,51.44,-35,NA
2020-03-30,67.96,-34,16
2020-03-31,64.69,-36,17
2020-04-01,66.88,-36,17
2020-04-02,66.21,-36,21
2020-04-03,65.07,-44,26
2020-04-04,69.77,-31,NA
2020-04-05,54.56,-34,NA
2020-04-06,73.04,-37,17
2020-04-07,78.66,-36,16
2020-04-08,78.44,-36,17
2020-04-09,77.87,-36,20
2020-04-10,91.58,-46,22
2020-04-11,85.42,-27,NA
2020-04-12,43,-45,NA
2020-04-13,73.17,-35,17
2020-04-14,75.23,-34,18
2020-04-15,85.04,-33,16
