date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,121.14,-1,-1
2020-02-16,85.93,-1,0
2020-02-17,101.49,-25,6
2020-02-18,107.92,1,0
2020-02-19,108.13,2,0
2020-02-20,113.37,1,0
2020-02-21,126.32,0,2
2020-02-22,118.28,1,0
2020-02-23,84.72,2,0
2020-02-24,104.96,3,-1
2020-02-25,112.65,0,2
2020-02-26,128.51,1,1
2020-02-27,122.36,2,-2
2020-02-28,136.37,2,-2
2020-02-29,135.2,3,-2
2020-03-01,89.98,3,-1
2020-03-02,110.23,3,-2
2020-03-03,114.8,3,-1
2020-03-04,121.82,2,0
2020-03-05,119.43,1,0
2020-03-06,137.68,0,-1
2020-03-07,127.53,1,-1
2020-03-08,87.7,1,-1
2020-03-09,108.44,-11,1
2020-03-10,110,-11,2
2020-03-11,113.47,-12,2
2020-03-12,114.9,-13,1
2020-03-13,122.38,-15,3
2020-03-14,108.8,-2,1
2020-03-15,78.88,-5,1
2020-03-16,89.46,-17,6
2020-03-17,85.44,-22,8
2020-03-18,81.74,-25,11
2020-03-19,82.05,-27,11
2020-03-20,85.16,-29,13
2020-03-21,70.61,-18,9
2020-03-22,50.04,-26,8
2020-03-23,64.63,-33,13
2020-03-24,64.48,-37,15
2020-03-25,64.88,-39,16
2020-03-26,66.17,-40,16
2020-03-27,72.93,-40,18
2020-03-28,65.06,-27,11
2020-03-29,48.71,-33,10
2020-03-30,60.64,-41,16
2020-03-31,61.18,-43,17
2020-04-01,61.6,-43,17
2020-04-02,64.91,-44,17
2020-04-03,62.11,-46,21
2020-04-04,52.1,-33,14
2020-04-05,38.76,-39,13
2020-04-06,55.84,-46,18
2020-04-07,57.32,-47,19
2020-04-08,57.62,-48,20
2020-04-09,61.35,-48,19
2020-04-10,67.13,-52,22
2020-04-11,58.92,-35,13
2020-04-12,38.8,-44,12
2020-04-13,56.77,-47,19
2020-04-14,58.72,-48,21
2020-04-15,62.31,-48,21
2020-04-16,68.77,-45,18
2020-04-17,76.3,-45,19
2020-04-18,67.69,-30,12
2020-04-19,52.65,-33,10
2020-04-20,66.39,-46,18
2020-04-21,70.29,-45,18
2020-04-22,71.17,-46,18
2020-04-23,71.62,-46,19
2020-04-24,78.47,-46,20
2020-04-25,77.76,-30,10
2020-04-26,59.32,-33,9
2020-04-27,72.63,-43,16
2020-04-28,74.92,-45,12
2020-04-29,77.58,-45,17
2020-04-30,79.27,-45,17
2020-05-01,92.79,-43,17
2020-05-02,86.52,-27,9
2020-05-03,67.42,-28,7
2020-05-04,83.6,-41,14
2020-05-05,87.84,-42,15
2020-05-06,86.19,-42,16
2020-05-07,90.13,-42,15
2020-05-08,105.08,-41,15
2020-05-09,98.67,-22,7
2020-05-10,71.34,-24,5
2020-05-11,NA,-39,13
2020-05-12,NA,-39,14
2020-05-13,95.89,-39,15
2020-05-14,101.01,-39,12
2020-05-15,116.49,-39,14
2020-05-16,112.34,-20,6
2020-05-17,87.04,-20,6
2020-05-18,101.39,-37,12
2020-05-19,103.8,-38,14
2020-05-20,105.23,-38,14
2020-05-21,111.24,-38,13
2020-05-22,128.84,-38,13
2020-05-23,123.42,-17,5
2020-05-24,98.41,-19,4
2020-05-25,87.59,-70,20
2020-05-26,109.11,-39,16
2020-05-27,108.8,-36,14
2020-05-28,110.38,-36,14
2020-05-29,127.66,-35,14
2020-05-30,126.42,-9,5
2020-05-31,88.6,-13,5
2020-06-01,106.6,-35,11
2020-06-02,110.1,-35,12
2020-06-03,111.33,-35,12
2020-06-04,113.41,-36,13
2020-06-05,130.86,-35,12
2020-06-06,124.96,-13,6
2020-06-07,84.46,-22,8
2020-06-08,110.91,-35,12
2020-06-09,113.72,-35,12
2020-06-10,116.15,-35,12
2020-06-11,122.12,-35,11
2020-06-12,141.2,-35,11
2020-06-13,139.82,-10,4
2020-06-14,104.84,-12,3
2020-06-15,117.99,-34,10
2020-06-16,120.79,-34,11
2020-06-17,120.51,-35,11
2020-06-18,127.7,-35,10
2020-06-19,148.64,-36,10
2020-06-20,137.8,-11,3
2020-06-21,97.39,-11,2
2020-06-22,119.34,-37,10
2020-06-23,121.11,-37,12
2020-06-24,122.77,-36,12
2020-06-25,127.51,-36,11
2020-06-26,141.45,-36,12
2020-06-27,131.97,-14,5
2020-06-28,102.65,-12,4
2020-06-29,117.85,-36,11
2020-06-30,117,-37,13
2020-07-01,122.5,-37,12
2020-07-02,130.47,-39,11
2020-07-03,129.26,-57,17
2020-07-04,103.9,-28,7
2020-07-05,91.7,-21,5
2020-07-06,113.39,-41,12
2020-07-07,115.73,-40,13
2020-07-08,119.86,-38,13
2020-07-09,123.18,-38,12
2020-07-10,137.18,-38,13
2020-07-11,128.84,-14,6
2020-07-12,97.33,-16,5
2020-07-13,115.71,-39,11
2020-07-14,116.48,-40,13
2020-07-15,119.57,-38,13
2020-07-16,126.41,-39,12
2020-07-17,139.44,-39,12
2020-07-18,130.88,-14,5
2020-07-19,101.44,-17,4
2020-07-20,118.84,-39,11
2020-07-21,119.41,-40,12
2020-07-22,121.51,-38,13
2020-07-23,125.89,-38,12
2020-07-24,141.55,-38,12
2020-07-25,132.86,-14,5
2020-07-26,100.76,-16,4
2020-07-27,117.79,-39,11
2020-07-28,120.89,-39,12
2020-07-29,121.35,-39,13
2020-07-30,126.31,-39,11
2020-07-31,139.94,-38,11
2020-08-01,133.98,-14,4
2020-08-02,91.82,-18,5
2020-08-03,113.33,-41,13
2020-08-04,121.83,-39,12
2020-08-05,122.24,-38,12
2020-08-06,124.98,-38,12
2020-08-07,141.51,-38,12
2020-08-08,135.96,-14,4
2020-08-09,104.2,-15,4
2020-08-10,122.21,-38,10
2020-08-11,122.41,-39,12
2020-08-12,127.39,-38,11
2020-08-13,133.16,-38,11
2020-08-14,149.97,-38,11
2020-08-15,140.62,-15,4
2020-08-16,107.47,-15,3
2020-08-17,121.53,-38,10
2020-08-18,123.96,-37,11
2020-08-19,126.83,-37,11
2020-08-20,129.07,-38,10
2020-08-21,146.75,-37,10
2020-08-22,133.01,-15,5
2020-08-23,99.26,-16,4
2020-08-24,116.46,-37,9
2020-08-25,119.48,-37,10
2020-08-26,121.6,-36,10
2020-08-27,124.25,-36,9
2020-08-28,140.93,-35,10
2020-08-29,128.05,-14,4
2020-08-30,94.59,-16,4
2020-08-31,115.67,-36,9
2020-09-01,120.18,-36,9
2020-09-02,123.8,-35,10
2020-09-03,131.51,-35,8
2020-09-04,150.8,-37,8
2020-09-05,139.69,-18,3
2020-09-06,104.91,-20,3
2020-09-07,102.29,-70,17
2020-09-08,120.11,-37,10
2020-09-09,120.59,-36,10
2020-09-10,128.21,-35,8
2020-09-11,145.21,-35,9
2020-09-12,135.65,-14,4
2020-09-13,94.6,-17,5
2020-09-14,117.57,-32,8
2020-09-15,119.99,-32,9
2020-09-16,121.73,-34,10
2020-09-17,127.86,-33,9
2020-09-18,145.88,-33,8
2020-09-19,129.84,-16,5
2020-09-20,92.88,-17,4
2020-09-21,113.94,-34,8
2020-09-22,118.28,-33,9
2020-09-23,117.24,-32,10
2020-09-24,129.37,-32,8
2020-09-25,141.65,-32,9
2020-09-26,133.35,-12,3
2020-09-27,91.99,-16,4
2020-09-28,108.28,-31,9
2020-09-29,110.78,-31,10
2020-09-30,116.2,-32,9
2020-10-01,124.27,-30,7
2020-10-02,137.99,-30,7
2020-10-03,127.94,-13,3
2020-10-04,88.34,-16,4
2020-10-05,109.61,-32,9
2020-10-06,112.6,-31,8
2020-10-07,113.51,-31,9
2020-10-08,120.89,-31,8
2020-10-09,136.93,-31,8
2020-10-10,131.52,-11,3
2020-10-11,94.98,-14,3
2020-10-12,109.95,-34,8
2020-10-13,113.33,-30,8
2020-10-14,116.68,-30,9
2020-10-15,122.41,-30,8
2020-10-16,138.83,-34,9
2020-10-17,130.22,-13,3
2020-10-18,96.62,-14,3
2020-10-19,112.8,-31,8
2020-10-20,112.8,-31,9
2020-10-21,115.19,-30,9
2020-10-22,122.05,-30,8
2020-10-23,139.48,-31,8
