date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,143.32,0,0
2020-02-16,112.89,-2,0
2020-02-17,125.75,-19,3
2020-02-18,106.84,2,0
2020-02-19,105.22,2,0
2020-02-20,111.7,0,0
2020-02-21,126.71,-2,4
2020-02-22,121.53,1,1
2020-02-23,102.04,-1,0
2020-02-24,105.25,3,0
2020-02-25,105.91,4,0
2020-02-26,103.69,2,1
2020-02-27,110.42,1,-1
2020-02-28,129.04,0,0
2020-02-29,127.69,3,-1
2020-03-01,102.07,1,-1
2020-03-02,106.54,3,-1
2020-03-03,116.77,4,-1
2020-03-04,109.05,4,-1
2020-03-05,116.75,1,-1
2020-03-06,145.76,1,0
2020-03-07,139.2,2,0
2020-03-08,111.44,0,0
2020-03-09,118.83,2,0
2020-03-10,113.42,4,0
2020-03-11,115.28,2,-1
2020-03-12,151.9,-1,-1
2020-03-13,139.85,-11,3
2020-03-14,130.84,0,1
2020-03-15,109.65,-7,2
2020-03-16,107.98,-16,4
2020-03-17,92.81,-19,6
2020-03-18,91.85,-22,7
2020-03-19,91.86,-26,8
2020-03-20,96.91,-28,11
2020-03-21,80.08,-24,9
2020-03-22,60.49,-30,8
2020-03-23,71.76,-30,11
2020-03-24,70.01,-35,12
2020-03-25,67.67,-36,13
2020-03-26,68.57,-37,13
2020-03-27,73.08,-37,16
2020-03-28,60.79,-34,12
2020-03-29,50.51,-40,10
2020-03-30,64.01,-39,13
2020-03-31,64.15,-39,14
2020-04-01,66.27,-41,13
2020-04-02,62.79,-42,14
2020-04-03,61.18,-45,18
2020-04-04,49.18,-40,14
2020-04-05,36.56,-47,13
2020-04-06,59.58,-43,14
2020-04-07,61.33,-44,15
2020-04-08,60.52,-44,15
2020-04-09,63.3,-45,15
2020-04-10,72.53,-50,19
2020-04-11,57.44,-39,13
2020-04-12,38,-52,12
2020-04-13,63.35,-44,14
2020-04-14,63.11,-44,16
2020-04-15,62.99,-44,16
2020-04-16,65.05,-45,16
2020-04-17,76.79,-43,17
2020-04-18,61.83,-38,13
2020-04-19,54.83,-39,10
2020-04-20,65.88,-43,14
2020-04-21,74.06,-43,14
2020-04-22,72.51,-43,14
2020-04-23,74.33,-43,14
2020-04-24,76.21,-45,18
2020-04-25,73.95,-35,11
2020-04-26,61.8,-38,9
2020-04-27,78.15,-41,12
2020-04-28,77.89,-41,8
2020-04-29,78.46,-42,13
2020-04-30,79.65,-43,14
2020-05-01,99.6,-39,14
2020-05-02,87.87,-31,9
2020-05-03,76.25,-34,8
2020-05-04,86.9,-35,10
2020-05-05,89.34,-36,11
2020-05-06,97.02,-36,12
2020-05-07,97.28,-37,11
2020-05-08,110.37,-36,13
2020-05-09,102.9,-25,8
2020-05-10,75.14,-31,7
2020-05-11,NA,-33,10
2020-05-12,NA,-34,10
2020-05-13,102.32,-34,11
2020-05-14,104.35,-33,9
2020-05-15,119.33,-35,12
2020-05-16,110.41,-23,8
2020-05-17,96.5,-26,6
2020-05-18,105.74,-32,9
2020-05-19,106.25,-31,10
2020-05-20,111.12,-32,9
2020-05-21,113.5,-32,10
2020-05-22,142.71,-33,10
2020-05-23,141.64,-21,6
2020-05-24,113.99,-23,4
2020-05-25,102.69,-64,17
2020-05-26,116.91,-32,11
2020-05-27,119.7,-29,9
2020-05-28,111.9,-31,10
2020-05-29,129.73,-29,11
2020-05-30,131.75,-14,6
2020-05-31,106.1,-18,4
2020-06-01,119.78,-26,7
2020-06-02,116.62,-26,8
2020-06-03,117.34,-28,8
2020-06-04,118.38,-29,9
2020-06-05,137.83,-29,9
2020-06-06,122.3,-17,7
2020-06-07,102.09,-20,7
2020-06-08,116.03,-26,8
2020-06-09,123.18,-25,8
2020-06-10,125.54,-26,7
2020-06-11,131.81,-27,7
2020-06-12,158.87,-27,7
2020-06-13,144.12,-11,5
2020-06-14,120.92,-16,4
2020-06-15,134.61,-25,6
2020-06-16,132.22,-27,6
2020-06-17,129.87,-26,6
2020-06-18,139.65,-29,6
2020-06-19,166.16,-30,9
2020-06-20,153.83,-14,4
2020-06-21,120.48,-15,2
2020-06-22,136,-29,6
2020-06-23,131.68,-29,8
2020-06-24,136.16,-27,7
2020-06-25,143.01,-28,7
2020-06-26,158.64,-29,8
2020-06-27,153.42,-18,6
2020-06-28,128.13,-16,4
2020-06-29,137.13,-27,6
2020-06-30,137.63,-28,7
2020-07-01,144.01,-28,7
2020-07-02,163.28,-30,7
2020-07-03,161.54,-48,12
2020-07-04,123.65,-25,7
2020-07-05,126.31,-23,6
2020-07-06,134.9,-31,8
2020-07-07,131.33,-30,8
2020-07-08,133.69,-28,8
2020-07-09,136.97,-30,7
2020-07-10,154.25,-30,9
2020-07-11,163.82,-14,6
2020-07-12,127.46,-18,5
2020-07-13,137.7,-28,6
2020-07-14,132.12,-31,8
2020-07-15,136.58,-27,7
2020-07-16,143.06,-28,7
2020-07-17,156.42,-30,9
2020-07-18,144.43,-14,5
2020-07-19,125.81,-17,4
2020-07-20,137.5,-28,7
2020-07-21,130.15,-30,8
2020-07-22,134.61,-27,8
2020-07-23,135.7,-29,8
2020-07-24,151.93,-27,9
2020-07-25,148.18,-15,5
2020-07-26,121.4,-21,5
2020-07-27,129.66,-31,8
2020-07-28,129.48,-30,9
2020-07-29,132.95,-29,8
2020-07-30,133.96,-30,7
2020-07-31,149.64,-30,8
2020-08-01,150.02,-13,5
