date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,145.08,-14,NA
2020-02-16,95.03,3,NA
2020-02-17,120.74,-16,NA
2020-02-18,109.42,2,0
2020-02-19,110.9,2,1
2020-02-20,107.04,0,3
2020-02-21,131.8,3,1
2020-02-22,151.8,5,NA
2020-02-23,87.41,-1,NA
2020-02-24,106.51,6,2
2020-02-25,107.35,6,-3
2020-02-26,106.77,5,0
2020-02-27,120.42,5,-1
2020-02-28,137.78,4,-1
2020-02-29,146.83,4,NA
2020-03-01,99.52,9,NA
2020-03-02,118.31,4,2
2020-03-03,112.28,5,-3
2020-03-04,113.92,3,-1
2020-03-05,128.41,4,-2
2020-03-06,136.61,2,0
2020-03-07,153.97,-4,NA
2020-03-08,96.56,6,NA
2020-03-09,117.2,8,-1
2020-03-10,121.06,4,-1
2020-03-11,110.42,7,-1
2020-03-12,123.81,8,-2
2020-03-13,126.35,3,0
2020-03-14,123.39,-2,NA
2020-03-15,75.5,1,NA
2020-03-16,95.82,-1,4
2020-03-17,86.88,-8,3
2020-03-18,89.15,-10,5
2020-03-19,97.46,-11,5
2020-03-20,90.79,-14,NA
2020-03-21,91.01,-4,NA
2020-03-22,70.53,-11,NA
2020-03-23,75.19,-21,NA
2020-03-24,87.14,-25,NA
2020-03-25,94.81,-26,NA
2020-03-26,98.47,-26,NA
2020-03-27,94.81,-30,NA
2020-03-28,89.26,-18,NA
2020-03-29,63.28,-14,NA
2020-03-30,84.81,-26,NA
2020-03-31,74.18,-28,NA
2020-04-01,79.42,-26,NA
2020-04-02,81.32,-27,NA
2020-04-03,86.67,-29,NA
2020-04-04,69.58,-10,NA
2020-04-05,59.21,-21,NA
2020-04-06,75.4,-29,NA
2020-04-07,77.78,-31,NA
2020-04-08,80.48,-30,NA
2020-04-09,75.56,-31,NA
2020-04-10,97.72,-39,NA
2020-04-11,81.43,-21,NA
2020-04-12,41.69,-31,NA
2020-04-13,83.39,-25,NA
2020-04-14,85.34,-22,NA
2020-04-15,98.15,-21,NA
2020-04-16,90.58,-24,NA
2020-04-17,104.29,-29,NA
2020-04-18,93.54,-14,NA
2020-04-19,58.84,-19,NA
2020-04-20,96.88,-20,NA
2020-04-21,101.06,-22,NA
2020-04-22,86.46,-24,NA
2020-04-23,96.51,-23,NA
2020-04-24,113.33,-25,NA
2020-04-25,99.26,-16,NA
2020-04-26,84.87,-20,NA
2020-04-27,91.48,-21,NA
2020-04-28,95.29,-23,NA
2020-04-29,98.25,-24,NA
2020-04-30,104.13,-23,NA
2020-05-01,122.17,-27,NA
2020-05-02,130.37,-8,NA
2020-05-03,101.75,-14,NA
2020-05-04,110.05,-21,NA
2020-05-05,116.51,-23,NA
2020-05-06,114.29,-24,NA
2020-05-07,118.68,-22,NA
2020-05-08,116.46,-28,NA
2020-05-09,124.44,-13,NA
2020-05-10,97.41,-14,NA
2020-05-11,NA,-18,NA
2020-05-12,NA,-22,NA
2020-05-13,131.22,-22,NA
2020-05-14,145.4,-22,NA
2020-05-15,148.99,-27,NA
2020-05-16,149.05,-6,NA
2020-05-17,115.45,-13,NA
2020-05-18,138.52,-17,NA
2020-05-19,140.11,-22,NA
2020-05-20,135.08,-19,NA
2020-05-21,136.93,-22,NA
2020-05-22,161.01,-25,NA
2020-05-23,172.43,-18,NA
2020-05-24,135.87,-18,NA
2020-05-25,125.08,-65,NA
2020-05-26,132.7,-20,NA
2020-05-27,132.8,-19,NA
2020-05-28,135.71,-20,NA
2020-05-29,156.51,-19,NA
2020-05-30,164.02,8,NA
2020-05-31,116.14,0,NA
2020-06-01,134.97,-17,NA
2020-06-02,131.16,-19,NA
2020-06-03,138.47,-20,NA
2020-06-04,138.57,-20,NA
2020-06-05,168.52,-20,NA
2020-06-06,175.45,-6,NA
2020-06-07,128.15,-7,NA
2020-06-08,118.94,-15,NA
2020-06-09,139.37,-16,NA
2020-06-10,163.07,-17,NA
2020-06-11,151.38,-18,NA
2020-06-12,178.47,-21,NA
2020-06-13,182.54,0,NA
2020-06-14,132.59,0,NA
2020-06-15,141.32,-16,NA
2020-06-16,138.68,-19,NA
2020-06-17,147.41,-19,NA
2020-06-18,149.1,-20,NA
2020-06-19,190.48,-21,NA
2020-06-20,210.42,-2,NA
2020-06-21,121.64,-9,NA
2020-06-22,144.81,-19,NA
2020-06-23,137.94,-18,NA
2020-06-24,138.57,-19,NA
2020-06-25,144.23,-17,NA
2020-06-26,173.81,-22,NA
2020-06-27,190.53,-1,NA
2020-06-28,139.89,-2,NA
2020-06-29,146.61,-28,NA
2020-06-30,140.74,-30,NA
2020-07-01,127.72,-33,NA
