date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,121.33,0,NA
2020-02-16,84.43,2,NA
2020-02-17,105.37,-13,4
2020-02-18,105.31,3,2
2020-02-19,116.79,1,0
2020-02-20,122.56,1,0
2020-02-21,135.49,2,-1
2020-02-22,145.04,5,NA
2020-02-23,87.58,4,NA
2020-02-24,100.03,1,2
2020-02-25,120.02,4,0
2020-02-26,115.62,0,0
2020-02-27,123.59,-4,2
2020-02-28,139.27,0,-1
2020-02-29,148.11,-4,NA
2020-03-01,92.6,4,NA
2020-03-02,100.06,0,1
2020-03-03,112.7,3,-1
2020-03-04,111.61,1,-1
2020-03-05,122.91,1,-1
2020-03-06,135.81,-1,1
2020-03-07,123.77,-6,NA
2020-03-08,85.34,0,NA
2020-03-09,100.77,-1,1
2020-03-10,112.58,0,1
2020-03-11,109.64,-2,0
2020-03-12,99.32,-3,1
2020-03-13,108.6,-4,1
2020-03-14,85.88,-6,NA
2020-03-15,64.87,-10,NA
2020-03-16,78.43,-12,7
2020-03-17,69.6,-17,8
2020-03-18,63.73,-24,10
2020-03-19,62.69,-28,12
2020-03-20,73.6,-32,14
2020-03-21,56.84,-26,NA
2020-03-22,49.02,-34,NA
2020-03-23,58.22,-38,15
2020-03-24,58.16,-41,17
2020-03-25,61.73,-43,16
2020-03-26,61.27,-44,16
2020-03-27,64.3,-47,18
2020-03-28,61.8,-32,NA
2020-03-29,50.47,-36,NA
2020-03-30,62.34,-48,17
2020-03-31,59.86,-49,19
2020-04-01,58.99,-51,19
2020-04-02,64.04,-52,19
2020-04-03,72.34,-51,20
2020-04-04,63.65,-36,NA
2020-04-05,49.59,-39,NA
2020-04-06,60.85,-52,20
2020-04-07,61.37,-53,19
2020-04-08,59.13,-54,19
2020-04-09,65.24,-55,20
2020-04-10,66.22,-60,24
2020-04-11,62.06,-37,NA
2020-04-12,36.27,-45,NA
2020-04-13,57.68,-55,22
2020-04-14,64.13,-53,21
2020-04-15,68.73,-52,19
2020-04-16,72.94,-52,20
2020-04-17,74.32,-52,23
2020-04-18,72.81,-36,NA
2020-04-19,60.94,-34,NA
2020-04-20,73.6,-51,19
2020-04-21,74.73,-52,19
2020-04-22,73.98,-53,18
2020-04-23,64.48,-55,24
2020-04-24,84.22,-52,21
2020-04-25,71.06,-37,NA
2020-04-26,54.06,-37,NA
2020-04-27,79.89,-50,18
2020-04-28,79.24,-50,12
2020-04-29,73.5,-52,20
2020-04-30,81.04,-52,20
2020-05-01,96.18,-50,18
2020-05-02,100.5,-34,NA
2020-05-03,67.95,-29,NA
2020-05-04,83.34,-47,16
2020-05-05,74.98,-49,19
2020-05-06,86.67,-48,17
2020-05-07,93.72,-48,17
2020-05-08,90.54,-49,21
2020-05-09,93.42,-27,NA
2020-05-10,69.56,-21,NA
2020-05-11,NA,-44,18
2020-05-12,NA,-46,16
2020-05-13,89.19,-45,17
2020-05-14,104.33,-44,13
2020-05-15,115.87,-45,17
2020-05-16,100.86,-28,NA
2020-05-17,90.5,-22,NA
2020-05-18,92.45,-42,17
2020-05-19,97.1,-42,16
2020-05-20,97.17,-42,14
2020-05-21,105.61,-42,15
2020-05-22,125.77,-42,13
2020-05-23,115.47,-22,NA
2020-05-24,96.23,-21,NA
2020-05-25,98,-73,NA
2020-05-26,114.85,-39,13
2020-05-27,113.29,-39,12
2020-05-28,119.53,-39,13
2020-05-29,131.73,-39,13
2020-05-30,121.74,-10,NA
