date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,143.57,-1,-1
2020-02-16,113.68,-2,-2
2020-02-17,121.79,-39,7
2020-02-18,113.52,2,-1
2020-02-19,113.23,0,-2
2020-02-20,122.38,-1,-1
2020-02-21,146.9,4,-2
2020-02-22,147.46,0,-2
2020-02-23,105.84,-3,-1
2020-02-24,112.82,3,-2
2020-02-25,119.27,3,-2
2020-02-26,121.28,3,-3
2020-02-27,122.56,2,-3
2020-02-28,143.07,3,-3
2020-02-29,150.35,0,-3
2020-03-01,114.42,0,-3
2020-03-02,113.43,4,-2
2020-03-03,117.21,3,-2
2020-03-04,117.06,1,-3
2020-03-05,124.76,1,-3
2020-03-06,149.97,0,-3
2020-03-07,150.29,4,-2
2020-03-08,116.29,-1,-2
2020-03-09,113.72,-12,0
2020-03-10,110.73,3,-2
2020-03-11,117.16,-1,-1
2020-03-12,112.25,1,-2
2020-03-13,126.24,1,0
2020-03-14,99.92,-3,5
2020-03-15,80.44,-12,4
2020-03-16,97.58,-5,2
2020-03-17,98.86,-26,8
2020-03-18,104.72,-30,8
2020-03-19,100.44,-32,9
2020-03-20,108.34,-33,10
2020-03-21,98.78,-12,6
2020-03-22,68.97,-22,NA
2020-03-23,89.05,-37,12
2020-03-24,84.8,-41,13
2020-03-25,79.25,-43,15
2020-03-26,74.37,-47,17
2020-03-27,80.82,-46,17
2020-03-28,68.28,-24,12
2020-03-29,57.13,-33,NA
2020-03-30,73.42,-47,16
2020-03-31,70.35,-48,17
2020-04-01,69.72,-50,16
2020-04-02,75.61,-50,17
2020-04-03,83.64,-48,17
2020-04-04,72.73,-33,12
2020-04-05,57.44,-34,NA
2020-04-06,76.8,-49,15
2020-04-07,82.76,-51,16
2020-04-08,83.48,-52,16
2020-04-09,83.14,-52,16
2020-04-10,94.34,-52,17
2020-04-11,82.65,-34,11
2020-04-12,55.52,-39,NA
2020-04-13,84.37,-46,15
2020-04-14,86.64,-46,16
2020-04-15,86.87,-47,15
2020-04-16,97.4,-47,15
2020-04-17,106.4,-45,15
2020-04-18,94.9,-32,9
2020-04-19,78.95,-31,NA
2020-04-20,103.08,-46,13
2020-04-21,93.75,-45,14
2020-04-22,92.96,-46,16
2020-04-23,99.44,-46,14
2020-04-24,117,-44,14
2020-04-25,100.28,-25,9
2020-04-26,84.77,-28,NA
2020-04-27,101.07,-43,13
2020-04-28,107.57,-43,5
2020-04-29,107.18,-46,12
2020-04-30,116.51,-44,13
2020-05-01,132.83,-41,11
2020-05-02,112.82,-22,7
2020-05-03,93.11,-26,NA
2020-05-04,114.4,-43,11
2020-05-05,122.6,-42,11
2020-05-06,114.96,-43,13
2020-05-07,125.28,-42,11
2020-05-08,144.84,-39,10
2020-05-09,139.86,-19,3
2020-05-10,102.16,-19,2
2020-05-11,NA,-39,10
2020-05-12,NA,-39,12
2020-05-13,125.06,-40,11
2020-05-14,134.4,-40,11
2020-05-15,164.85,-37,8
2020-05-16,149.28,-18,4
2020-05-17,115.13,-20,5
2020-05-18,134.9,-38,10
2020-05-19,139.94,-38,11
2020-05-20,141.53,-40,14
2020-05-21,144.01,-40,11
2020-05-22,173.26,-38,9
2020-05-23,164.3,-15,2
2020-05-24,134.89,-20,1
2020-05-25,131.17,-68,15
2020-05-26,150.25,-37,9
2020-05-27,147.88,-38,9
2020-05-28,155.82,-38,9
2020-05-29,179.99,-33,7
2020-05-30,142.72,-7,4
2020-05-31,131.4,-10,3
2020-06-01,147.13,-35,7
2020-06-02,144.5,-36,8
2020-06-03,149.82,-36,8
2020-06-04,161.44,-35,7
2020-06-05,187.36,-33,7
2020-06-06,183.68,0,1
2020-06-07,139.74,-10,3
2020-06-08,155.99,-34,7
2020-06-09,150.62,-36,11
2020-06-10,163.18,-37,7
2020-06-11,172.97,-37,7
2020-06-12,191.34,-35,6
2020-06-13,174.19,-12,5
2020-06-14,154.04,-13,1
2020-06-15,163.07,-38,9
2020-06-16,169.67,-37,8
2020-06-17,170.34,-38,7
2020-06-18,172.62,-39,6
2020-06-19,212.94,-37,5
2020-06-20,187.4,-8,0
2020-06-21,151.39,-11,-1
2020-06-22,175.53,-40,7
2020-06-23,177.6,-41,7
2020-06-24,173.74,-40,7
2020-06-25,182.74,-39,7
2020-06-26,206.68,-38,6
2020-06-27,198.46,-15,1
2020-06-28,162.5,-16,2
2020-06-29,180.39,-37,6
2020-06-30,178.86,-40,8
2020-07-01,191.93,-40,7
2020-07-02,196.57,-43,6
2020-07-03,208.03,-53,7
2020-07-04,154.83,-26,0
2020-07-05,167.61,-21,0
2020-07-06,184.91,-41,6
2020-07-07,180.57,-41,7
2020-07-08,178.3,-41,7
2020-07-09,185.21,-41,6
2020-07-10,219.01,-39,5
2020-07-11,192.84,-9,0
2020-07-12,172.04,-19,0
2020-07-13,183.25,-39,6
2020-07-14,179.78,-40,7
2020-07-15,183.53,-40,6
2020-07-16,196.02,-41,7
2020-07-17,221.97,-40,5
2020-07-18,195.66,-15,0
2020-07-19,166.33,-17,0
2020-07-20,175.76,-40,6
2020-07-21,181.97,-41,7
2020-07-22,183.96,-40,6
2020-07-23,191.84,-39,6
2020-07-24,213.65,-38,4
2020-07-25,199.9,-9,-1
2020-07-26,166.91,-16,-1
2020-07-27,181.07,-39,6
2020-07-28,182.86,-40,7
2020-07-29,188.39,-40,7
2020-07-30,203.33,-41,6
2020-07-31,225.22,-40,5
2020-08-01,198.44,-10,-1
2020-08-02,173.11,-16,-1
2020-08-03,184.5,-38,5
2020-08-04,187.1,-40,6
2020-08-05,185.81,-41,6
2020-08-06,189.64,-40,5
2020-08-07,221.72,-38,3
2020-08-08,204.07,-12,-2
2020-08-09,174.48,-13,-1
2020-08-10,186.93,-39,5
2020-08-11,180.44,-38,6
2020-08-12,182.12,-38,5
2020-08-13,186.74,-39,4
2020-08-14,210.83,-38,3
2020-08-15,200.15,-8,-2
2020-08-16,170.44,-11,-1
2020-08-17,181.89,-39,6
2020-08-18,182.59,-37,6
2020-08-19,186.88,-39,5
2020-08-20,183.39,-38,5
2020-08-21,205.1,-37,4
2020-08-22,201.57,NA,-2
2020-08-23,169.92,NA,-2
2020-08-24,166.38,-38,4
2020-08-25,168.32,-37,5
2020-08-26,179.83,-38,4
2020-08-27,179.48,-36,4
2020-08-28,200.51,-38,3
2020-08-29,191.21,NA,-2
2020-08-30,161.52,NA,-2
2020-08-31,173.01,-37,4
2020-09-01,171.44,-38,5
2020-09-02,176.71,-39,5
2020-09-03,187.57,-40,4
2020-09-04,230.73,-38,2
2020-09-05,188.93,NA,-3
2020-09-06,165.45,NA,-4
2020-09-07,196.42,-70,13
2020-09-08,185.39,-39,5
2020-09-09,174.3,-39,3
2020-09-10,179.22,-39,4
2020-09-11,204.17,-36,4
2020-09-12,170.1,-20,3
2020-09-13,136.89,-16,2
2020-09-14,156.45,-40,8
2020-09-15,159.3,-40,9
2020-09-16,155.54,-41,7
2020-09-17,162.4,-38,6
2020-09-18,190.91,-35,5
2020-09-19,187.21,-8,-2
