date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,138.23,-10,NA
2020-02-16,104.2,6,NA
2020-02-17,108.86,-8,NA
2020-02-18,102.33,1,NA
2020-02-19,104.72,2,NA
2020-02-20,118.43,2,NA
2020-02-21,141.79,-2,NA
2020-02-22,148.84,0,NA
2020-02-23,102.33,8,NA
2020-02-24,108.28,2,NA
2020-02-25,101.68,1,NA
2020-02-26,95.15,-4,NA
2020-02-27,114.94,-10,NA
2020-02-28,149.61,2,NA
2020-02-29,151.88,3,NA
2020-03-01,115.78,6,NA
2020-03-02,114.29,1,NA
2020-03-03,117.34,2,NA
2020-03-04,118.24,2,NA
2020-03-05,119.53,2,NA
2020-03-06,161.38,-1,NA
2020-03-07,164.29,6,NA
2020-03-08,136.16,6,NA
2020-03-09,102.33,3,NA
2020-03-10,114.81,-1,NA
2020-03-11,105.5,0,NA
2020-03-12,114.68,1,NA
2020-03-13,139.33,-7,NA
2020-03-14,114.94,-5,NA
2020-03-15,100.52,2,NA
2020-03-16,92.56,-9,NA
2020-03-17,101.42,-16,NA
2020-03-18,81.69,-19,NA
2020-03-19,85.25,-22,NA
2020-03-20,101.42,-26,NA
2020-03-21,86.68,-25,NA
2020-03-22,60.48,-21,NA
2020-03-23,70.5,-22,NA
2020-03-24,80.21,-27,NA
2020-03-25,81.05,-36,NA
2020-03-26,66.95,-37,NA
2020-03-27,70.89,-37,NA
2020-03-28,61.45,-29,NA
2020-03-29,53.62,-31,NA
2020-03-30,65.91,-36,NA
2020-03-31,62.68,-36,NA
2020-04-01,72.38,-37,NA
2020-04-02,82.79,-39,NA
2020-04-03,101.16,-41,NA
2020-04-04,67.4,-37,NA
2020-04-05,56.21,-17,NA
2020-04-06,78.65,-39,NA
2020-04-07,67.72,-39,NA
2020-04-08,76.58,-39,NA
2020-04-09,79.82,-39,NA
2020-04-10,99.03,-52,NA
2020-04-11,71.93,-35,NA
2020-04-12,49.61,-22,NA
2020-04-13,76.46,-35,NA
2020-04-14,91.33,-36,NA
2020-04-15,81.31,-38,NA
2020-04-16,80.85,-36,NA
2020-04-17,86.03,-41,NA
2020-04-18,89.84,-27,NA
2020-04-19,71.02,-24,NA
2020-04-20,94.24,-33,NA
2020-04-21,84.48,-35,NA
2020-04-22,94.76,-37,NA
2020-04-23,105.37,-35,NA
2020-04-24,117.21,-36,NA
2020-04-25,91.53,-26,NA
2020-04-26,78.27,-21,NA
2020-04-27,98.45,-32,NA
2020-04-28,91.72,-35,NA
2020-04-29,91.4,-36,NA
2020-04-30,90.56,-34,NA
2020-05-01,128.46,-35,NA
2020-05-02,114.68,-33,NA
2020-05-03,88.1,-20,NA
2020-05-04,104.79,-32,NA
2020-05-05,108.93,-33,NA
2020-05-06,114.42,-31,NA
2020-05-07,114.62,-32,NA
2020-05-08,131.37,-34,NA
2020-05-09,144.18,-20,NA
2020-05-10,89.46,-12,NA
2020-05-11,NA,-26,NA
2020-05-12,NA,-24,NA
2020-05-13,126.58,-26,NA
2020-05-14,123.8,-27,NA
2020-05-15,151.03,-30,NA
2020-05-16,145.99,-17,NA
2020-05-17,105.82,-16,NA
2020-05-18,122.9,-22,NA
2020-05-19,129.37,-23,NA
2020-05-20,149.94,-23,NA
2020-05-21,141.59,-26,NA
2020-05-22,199.03,-28,NA
2020-05-23,198.12,-23,NA
2020-05-24,167.34,-14,NA
2020-05-25,143.66,-74,NA
2020-05-26,152.01,-22,NA
2020-05-27,145.92,-22,NA
2020-05-28,145.8,-20,NA
2020-05-29,179.3,-24,NA
2020-05-30,181.63,-3,NA
2020-05-31,134.73,-1,NA
2020-06-01,137.06,-19,NA
2020-06-02,147.61,-21,NA
2020-06-03,144.95,-22,NA
2020-06-04,167.14,-21,NA
2020-06-05,213.45,-26,NA
2020-06-06,221.86,-2,NA
2020-06-07,160.54,-2,NA
2020-06-08,165.91,-20,NA
2020-06-09,154.27,-23,NA
2020-06-10,153.62,-23,NA
2020-06-11,174.19,-18,NA
2020-06-12,207.44,-22,NA
2020-06-13,205.63,-10,NA
2020-06-14,176.52,-1,NA
2020-06-15,160.16,-21,NA
2020-06-16,160.67,-21,NA
2020-06-17,168.18,-22,NA
2020-06-18,168.95,-27,NA
2020-06-19,225.29,-27,NA
2020-06-20,236.42,-15,NA
2020-06-21,172.9,-5,NA
2020-06-22,173.74,-25,NA
2020-06-23,176.97,-21,NA
2020-06-24,184.35,-20,NA
2020-06-25,219.53,-19,NA
2020-06-26,240.75,-27,NA
2020-06-27,234.99,-5,NA
2020-06-28,206.34,3,NA
2020-06-29,180.92,-25,NA
2020-06-30,183.96,-24,NA
2020-07-01,200,-22,NA
2020-07-02,240.88,-29,NA
2020-07-03,277.88,-57,NA
2020-07-04,213.84,-34,NA
2020-07-05,247.28,-8,NA
2020-07-06,189.46,-32,NA
2020-07-07,200.84,-29,NA
2020-07-08,192.11,-25,NA
2020-07-09,197.22,-25,NA
2020-07-10,237.32,-28,NA
2020-07-11,251.81,-2,NA
2020-07-12,191.66,-6,NA
2020-07-13,176.91,-24,NA
2020-07-14,175.74,-28,NA
2020-07-15,182.92,-26,NA
2020-07-16,187.84,-27,NA
2020-07-17,247.87,-26,NA
2020-07-18,253.3,-13,NA
2020-07-19,194.57,-5,NA
2020-07-20,161.9,-25,NA
2020-07-21,184.48,-24,NA
2020-07-22,186.55,-24,NA
2020-07-23,170.18,-26,NA
2020-07-24,242.37,-24,NA
2020-07-25,271.93,-1,NA
2020-07-26,214.49,-1,NA
2020-07-27,161.64,-21,NA
2020-07-28,176.84,-21,NA
2020-07-29,196.57,-23,NA
2020-07-30,175.42,-22,NA
2020-07-31,235.9,-24,NA
2020-08-01,210.74,-10,NA
2020-08-02,187.71,1,NA
2020-08-03,162.42,-23,NA
2020-08-04,171.6,-24,NA
2020-08-05,168.76,-21,NA
2020-08-06,183.44,-22,NA
2020-08-07,231.37,-19,NA
2020-08-08,242.11,-7,NA
2020-08-09,194.95,1,NA
2020-08-10,175.68,-21,NA
2020-08-11,172.25,-23,NA
2020-08-12,162.74,-22,NA
2020-08-13,183.38,-19,NA
2020-08-14,232.6,-22,NA
2020-08-15,224.58,-6,NA
2020-08-16,180.72,-2,NA
2020-09-11,219.92,-14,NA
2020-09-12,218.89,-3,NA
2020-09-13,171.54,-6,NA
2020-09-14,193.73,-11,NA
2020-09-15,193.53,-14,NA
2020-09-16,188.81,-16,NA
2020-09-17,205.89,-14,NA
2020-09-18,246.38,-13,NA
2020-09-19,248.71,-8,NA
2020-09-20,191.46,-2,NA
2020-09-21,176.78,-16,NA
2020-09-22,167.59,-17,NA
2020-09-23,169.21,-15,1
2020-09-24,181.44,-12,0
2020-09-25,232.15,-10,-2
2020-09-26,250.71,-6,NA
2020-09-27,173.74,-3,NA
2020-09-28,153.1,-10,3
2020-09-29,156.21,-11,1
2020-09-30,156.27,-14,2
2020-10-01,175.61,-9,-1
2020-10-02,229.43,-15,0
2020-10-03,224.45,-4,NA
2020-10-04,153.3,-7,NA
2020-10-05,152.33,-14,-1
2020-10-06,166.3,-16,0
2020-10-07,153.04,-14,-1
2020-10-08,184.15,-18,-1
2020-10-09,223.61,-14,0
2020-10-10,236.61,-2,NA
2020-10-11,169.73,-4,NA
2020-10-12,146.31,-19,3
2020-10-13,137.9,-19,2
2020-10-14,152.26,-16,2
2020-10-15,164.94,-19,2
2020-10-16,201.81,-26,3
2020-10-17,194.37,-7,NA
2020-10-18,155.37,-8,NA
2020-10-19,147.8,-16,5
2020-10-20,142.56,-17,3
2020-10-21,150.58,-12,2
2020-10-22,157.31,-13,0
2020-10-23,190.43,-18,2
2020-10-24,206.08,-1,NA
2020-10-25,137.52,-8,NA
2020-10-26,126.97,-10,1
2020-10-27,132.79,-13,4
2020-10-28,149.87,-10,2
2020-10-29,136.42,-12,2
2020-10-30,167.53,-13,1
2020-10-31,158.8,-2,NA
2020-11-01,122.32,-5,NA
2020-11-02,132.6,-13,2
2020-11-03,130.72,-20,3
