date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,130.82,2,NA
2020-02-16,95.27,0,NA
2020-02-17,101.51,-1,NA
2020-02-18,111.26,-2,NA
2020-02-19,105.58,6,NA
2020-02-20,110.86,-2,NA
2020-02-21,139.77,1,NA
2020-02-22,154.15,0,NA
2020-02-23,111.66,2,NA
2020-02-24,120.41,-14,NA
2020-02-25,104.32,-14,NA
2020-02-26,118.45,2,NA
2020-02-27,119.71,1,NA
2020-02-28,153.24,0,NA
2020-02-29,159.23,0,NA
2020-03-01,105.73,8,NA
2020-03-02,123.73,6,NA
2020-03-03,113.37,0,NA
2020-03-04,113.27,-2,NA
2020-03-05,132.68,3,NA
2020-03-06,178.13,-2,NA
2020-03-07,181.05,3,NA
2020-03-08,119.56,4,NA
2020-03-09,129.86,-3,NA
2020-03-10,116.09,0,NA
2020-03-11,138.66,0,NA
2020-03-12,140.37,1,NA
2020-03-13,174.26,-1,NA
2020-03-14,213.47,7,NA
2020-03-15,129.01,2,NA
2020-03-16,133.58,-12,NA
2020-03-17,109.2,-16,NA
2020-03-18,113.37,-15,NA
2020-03-19,121.97,-15,NA
2020-03-20,119.66,-23,NA
2020-03-21,102.71,-17,NA
2020-03-22,67.87,-26,NA
2020-03-23,84.72,-25,NA
2020-03-24,78.18,-25,NA
2020-03-25,95.73,-27,NA
2020-03-26,100,-25,NA
2020-03-27,92.91,-23,NA
2020-03-28,90.8,-17,NA
2020-03-29,71.44,-28,NA
2020-03-30,92.26,-26,NA
2020-03-31,92.11,-28,NA
2020-04-01,87.28,-28,NA
2020-04-02,86.68,-28,NA
2020-04-03,88.19,-32,NA
2020-04-04,70.44,-22,NA
2020-04-05,55.61,-22,NA
2020-04-06,80.14,-30,NA
2020-04-07,66.47,-31,NA
2020-04-08,78.93,-36,NA
2020-04-09,88.34,-39,NA
2020-04-10,97.79,-49,NA
2020-04-11,83.96,-29,NA
2020-04-12,45.55,-32,NA
2020-04-13,84.97,-37,NA
2020-04-14,86.17,-30,NA
2020-04-15,91.3,-29,NA
2020-04-16,107.94,-30,NA
2020-04-17,123.48,-35,NA
2020-04-18,95.32,-15,NA
2020-04-19,68.93,-28,NA
2020-04-20,92.46,-23,NA
2020-04-21,96.38,-26,NA
2020-04-22,105.73,-25,NA
2020-04-23,105.23,-36,NA
2020-04-24,115.08,-26,NA
2020-04-25,124.59,-11,NA
2020-04-26,80.09,-18,NA
2020-04-27,103.92,-24,NA
2020-04-28,118.2,-23,NA
2020-04-29,95.32,-30,NA
2020-04-30,128.61,-24,NA
2020-05-01,142.53,-24,NA
2020-05-02,135.44,-16,NA
2020-05-03,98.64,-19,NA
2020-05-04,124.43,-19,NA
2020-05-05,117.04,-17,NA
2020-05-06,130.82,-20,NA
2020-05-07,155.56,-20,NA
2020-05-08,165.21,-23,NA
2020-05-09,163.45,-4,NA
2020-05-10,105.58,-5,NA
2020-05-11,NA,-17,NA
2020-05-12,NA,-16,NA
2020-05-13,150.23,-17,NA
2020-05-14,161.24,-16,NA
2020-05-15,183.86,-23,NA
2020-05-16,201.56,-8,NA
2020-05-17,139.12,-5,NA
2020-05-18,151.03,-12,NA
2020-05-19,156.36,-14,NA
2020-05-20,156.56,-16,NA
2020-05-21,185.72,-19,NA
2020-05-22,237.86,-19,NA
2020-05-23,247.16,-5,NA
2020-05-24,160.43,-14,NA
2020-05-25,173.35,-49,NA
2020-05-26,153.85,-13,NA
2020-05-27,164.25,-14,NA
2020-05-28,188.59,-13,NA
2020-05-29,209.05,-19,NA
2020-05-30,258.27,-4,NA
2020-05-31,186.63,1,NA
2020-06-01,166.16,-11,NA
2020-06-02,146.81,-15,NA
2020-06-03,144.65,-17,NA
2020-06-04,170.54,-14,NA
2020-06-05,203.62,-16,NA
2020-06-06,246.3,7,NA
2020-06-07,139.06,-8,NA
2020-06-08,134.89,-22,NA
2020-06-09,153.65,-13,NA
2020-06-10,173.55,-14,NA
2020-06-11,182.25,-17,NA
2020-06-12,242.94,-17,NA
2020-06-13,270.94,1,NA
2020-06-14,181.25,-12,NA
2020-06-15,191.15,-15,NA
2020-06-16,165.31,-13,NA
2020-06-17,180.29,-19,NA
2020-06-18,205.23,-19,NA
2020-06-19,233.38,-20,NA
2020-06-20,286.17,3,NA
2020-06-21,177.12,-8,NA
2020-06-22,187.98,-18,NA
2020-06-23,175.41,-16,NA
2020-06-24,171.59,-18,NA
2020-06-25,212.92,-18,NA
2020-06-26,255.86,-22,NA
2020-06-27,275.77,-5,NA
2020-06-28,203.77,1,NA
2020-06-29,192.81,-23,NA
2020-06-30,172.5,-22,NA
2020-07-01,189.69,-21,NA
2020-07-02,213.73,-26,NA
2020-07-03,251.23,-42,NA
2020-07-04,188.69,-17,NA
2020-07-05,216.14,-15,NA
2020-07-06,216.99,-21,NA
2020-07-07,189.39,-22,NA
2020-07-08,181.15,-25,NA
2020-07-09,208.9,-19,NA
2020-07-10,250.93,-21,NA
2020-07-11,298.69,-5,NA
2020-07-12,182.4,-13,NA
2020-07-13,177.88,-19,NA
2020-07-14,172.25,-22,NA
2020-07-15,178.48,-19,NA
2020-07-16,197.18,-21,NA
2020-07-17,245,-20,NA
2020-07-18,296.43,3,NA
2020-07-19,188.99,-16,NA
2020-07-20,183.16,-19,NA
2020-07-21,182.15,-20,NA
2020-07-22,176.22,-17,NA
2020-07-23,204.07,-14,NA
2020-07-24,233.28,-18,NA
2020-07-25,274.16,4,NA
2020-07-26,188.08,-11,NA
2020-07-27,186.63,-21,NA
2020-07-28,167.62,-15,NA
2020-07-29,168.43,-25,NA
2020-07-30,191.6,-24,NA
2020-07-31,233.03,-24,NA
2020-08-01,271.14,4,NA
2020-08-02,173.6,-5,NA
2020-08-03,173.2,-20,NA
2020-08-04,152.34,-21,NA
2020-08-05,175.06,-21,NA
2020-08-06,194.12,-23,NA
2020-08-07,217.45,-26,NA
2020-08-08,255.86,-8,NA
2020-08-09,163.85,-9,NA
2020-08-10,166.57,-21,NA
2020-08-11,156.11,-22,NA
2020-08-12,168.83,-18,NA
2020-08-13,180.74,-24,NA
2020-08-14,213.52,-19,NA
2020-08-15,223.03,-3,NA
2020-08-16,166.31,-8,NA
2020-09-11,206.59,-22,NA
2020-09-12,236.85,-14,NA
2020-09-13,163.65,-19,NA
2020-09-14,135.95,-24,NA
2020-09-15,77.58,-71,NA
2020-09-16,116.04,-64,NA
2020-09-17,205.93,-19,NA
2020-09-18,209.85,-17,NA
2020-09-19,184.46,-10,NA
2020-09-20,138.46,-7,NA
2020-09-21,149.82,-19,NA
2020-09-22,153.59,-17,NA
2020-09-23,154.35,-16,NA
2020-09-24,168.33,-16,NA
2020-09-25,199.95,-14,NA
2020-09-26,175.01,-15,NA
2020-09-27,148.16,-15,NA
2020-09-28,140.93,-14,NA
2020-09-29,159.23,-11,NA
2020-09-30,156.06,-16,NA
2020-10-01,158.32,-14,NA
2020-10-02,198.89,-17,NA
2020-10-03,197.39,-17,NA
2020-10-04,126.14,-19,NA
2020-10-05,146.61,-18,NA
2020-10-06,150.08,-15,NA
2020-10-07,153.8,-15,NA
2020-10-08,160.94,-11,NA
2020-10-09,169.18,-18,NA
2020-10-10,151.43,-14,NA
2020-10-11,148.77,-14,NA
2020-10-12,159.13,-27,NA
2020-10-13,152.19,-15,NA
2020-10-14,160.48,-11,NA
2020-10-15,173.76,-11,NA
2020-10-16,202.77,-17,NA
2020-10-17,238.26,-7,NA
2020-10-18,127.6,-20,NA
2020-10-19,141.83,-17,NA
2020-10-20,136.8,-18,NA
2020-10-21,146.35,-13,NA
2020-10-22,170.59,-16,NA
2020-10-23,180.39,-17,NA
2020-10-24,225.44,-11,NA
2020-10-25,139.52,-19,NA
2020-10-26,150.58,-14,NA
2020-10-27,136.2,-15,NA
2020-10-28,100.05,-31,NA
2020-10-29,119.61,-73,NA
2020-10-30,157.97,-56,NA
2020-10-31,154.2,-25,NA
2020-11-01,129.96,-17,NA
2020-11-02,166.62,-28,NA
2020-11-03,156.91,-18,NA
