date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,127.7,1,0
2020-02-16,102.58,2,-1
2020-02-17,109.52,-28,6
2020-02-18,105.54,3,0
2020-02-19,106.62,3,0
2020-02-20,110.87,2,0
2020-02-21,135.66,2,1
2020-02-22,137.68,5,-1
2020-02-23,99.5,3,-1
2020-02-24,105.98,3,0
2020-02-25,105.61,2,0
2020-02-26,109.03,2,0
2020-02-27,113.92,1,0
2020-02-28,136.41,2,0
2020-02-29,135.76,4,-1
2020-03-01,98.93,3,-1
2020-03-02,108.77,3,0
2020-03-03,109.14,2,-1
2020-03-04,113.95,2,-1
2020-03-05,119.33,2,-1
2020-03-06,131.83,1,2
2020-03-07,139.3,6,-1
2020-03-08,104.18,1,-1
2020-03-09,111.92,3,0
2020-03-10,107.71,2,0
2020-03-11,110.58,1,0
2020-03-12,108.82,0,1
2020-03-13,117.97,-5,3
2020-03-14,107.27,1,2
2020-03-15,77.37,-6,4
2020-03-16,81.26,-17,8
2020-03-17,71.36,-30,13
2020-03-18,73.12,-35,15
2020-03-19,66.27,-38,17
2020-03-20,76.59,-39,18
2020-03-21,60.95,-23,12
2020-03-22,39.72,-34,13
2020-03-23,46.85,-49,22
2020-03-24,55.62,-50,21
2020-03-25,50.45,-51,23
2020-03-26,59.01,-51,22
2020-03-27,65.55,-50,23
2020-03-28,48.79,-35,17
2020-03-29,42.89,-36,13
2020-03-30,54.32,-51,21
2020-03-31,54.78,-53,22
2020-04-01,57.98,-53,22
2020-04-02,59.21,-54,23
2020-04-03,66.62,-53,25
2020-04-04,57.2,-36,16
2020-04-05,47.33,-37,12
2020-04-06,60.79,-53,21
2020-04-07,59.9,-55,22
2020-04-08,63.5,-55,22
2020-04-09,61.89,-56,24
2020-04-10,71.73,-61,27
2020-04-11,64.73,-37,15
2020-04-12,36.59,-46,14
2020-04-13,50.9,-57,25
2020-04-14,68.53,-53,22
2020-04-15,68.99,-54,23
2020-04-16,71.32,-54,23
2020-04-17,80.98,-52,25
2020-04-18,69.33,-33,16
2020-04-19,59.2,-33,12
2020-04-20,69.24,-52,21
2020-04-21,67.15,-53,23
2020-04-22,74.57,-53,22
2020-04-23,72.07,-53,23
2020-04-24,78.11,-53,26
2020-04-25,79.86,-31,12
2020-04-26,53.01,-36,13
2020-04-27,69.31,-51,22
2020-04-28,78.75,-51,14
2020-04-29,77.51,-52,21
2020-04-30,75.05,-53,23
2020-05-01,90.32,-50,22
2020-05-02,89.51,-27,10
2020-05-03,69.8,-29,9
2020-05-04,83.47,-48,19
2020-05-05,85.66,-49,19
2020-05-06,80.93,-50,21
2020-05-07,92.67,-50,19
2020-05-08,96.64,-48,22
2020-05-09,96.77,-26,12
2020-05-10,73.19,-25,7
2020-05-11,NA,-48,19
2020-05-12,NA,-48,19
2020-05-13,100.44,-47,19
2020-05-14,101.58,-48,19
2020-05-15,125.35,-47,19
2020-05-16,113.21,-24,9
2020-05-17,86.62,-24,8
2020-05-18,100.79,-46,18
2020-05-19,106.79,-46,18
2020-05-20,107.4,-46,18
2020-05-21,115.85,-46,18
2020-05-22,117.39,-46,20
2020-05-23,104.4,-21,11
2020-05-24,92.47,-21,6
2020-05-25,86.72,-75,23
2020-05-26,114.25,-45,16
2020-05-27,116.32,-45,16
2020-05-28,115.27,-45,18
2020-05-29,132.96,-43,18
2020-05-30,124.43,-10,7
2020-05-31,102.5,-13,6
2020-06-01,117.88,-43,15
2020-06-02,114.73,-43,16
2020-06-03,113.36,-43,16
2020-06-04,127.73,-44,16
2020-06-05,137.49,-42,17
2020-06-06,136.78,-11,6
2020-06-07,117.38,-12,4
2020-06-08,124.96,-40,13
2020-06-09,129.03,-41,14
2020-06-10,132.41,-41,14
2020-06-11,121.95,-43,17
2020-06-12,154.8,-41,14
2020-06-13,149.34,-7,4
2020-06-14,115.48,-7,3
2020-06-15,132.59,-39,12
2020-06-16,138.71,-40,12
2020-06-17,137.53,-41,13
2020-06-18,139.31,-41,14
2020-06-19,165.32,-40,12
2020-06-20,149.18,-7,4
2020-06-21,110.04,-5,2
2020-06-22,141.58,-42,12
2020-06-23,145.07,-42,12
2020-06-24,149.17,-39,11
2020-06-25,152.29,-40,12
2020-06-26,173.27,-39,12
2020-06-27,161.91,-8,3
2020-06-28,132.59,-3,2
2020-06-29,151.51,-39,10
2020-06-30,150.48,-39,11
2020-07-01,150.21,-39,12
2020-07-02,168.68,-41,10
2020-07-03,160.38,-59,17
2020-07-04,125.62,-21,4
2020-07-05,122.53,-12,3
2020-07-06,136.6,-44,13
2020-07-07,153.23,-41,11
2020-07-08,152.4,-40,11
2020-07-09,156.61,-40,11
2020-07-10,153.93,-44,18
2020-07-11,165.56,-5,3
2020-07-12,137.06,-5,2
2020-07-13,150.32,-40,10
2020-07-14,154.42,-40,10
2020-07-15,156.14,-40,10
2020-07-16,161.27,-39,10
2020-07-17,173.09,-39,12
2020-07-18,174.54,-5,3
2020-07-19,134.28,-8,2
2020-07-20,144.71,-41,11
2020-07-21,152.3,-40,11
2020-07-22,147.85,-39,12
2020-07-23,158.03,-39,11
2020-07-24,171.38,-39,13
2020-07-25,176.78,-5,2
2020-07-26,136.27,-6,2
2020-07-27,151.34,-40,10
2020-07-28,150.53,-40,11
2020-07-29,154.2,-40,11
2020-07-30,159.27,-41,11
2020-07-31,164.09,-40,13
2020-08-01,172.53,-7,2
2020-08-02,131.33,-8,3
2020-08-03,146.79,-40,10
2020-08-04,122.18,-47,16
2020-08-05,163.31,-40,9
2020-08-06,155.75,-40,12
2020-08-07,172.39,-40,13
2020-08-08,173.88,-8,2
2020-08-09,138.2,-8,2
2020-08-10,153.69,-40,10
2020-08-11,152.73,-40,10
2020-08-12,155.04,-40,11
2020-08-13,152.29,-41,12
2020-08-14,178.1,-40,11
2020-08-15,166.5,-8,2
2020-08-16,122.04,-15,5
2020-08-17,155.91,-40,10
2020-08-18,154.55,-39,9
2020-08-19,150.45,-39,11
2020-08-20,159.64,-39,9
2020-08-21,185.08,-40,10
2020-08-22,169.64,-10,1
2020-08-23,130.86,-12,2
2020-08-24,150.46,-40,10
2020-08-25,149.86,-40,10
2020-08-26,153.92,-38,9
2020-08-27,158.38,-40,10
2020-08-28,175.36,-40,11
2020-08-29,155.48,-15,6
2020-08-30,146.93,-9,0
2020-08-31,148.41,-40,10
