date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,169.77,7,NA
2020-02-16,134.53,-4,NA
2020-02-17,146.47,-21,NA
2020-02-18,108.47,1,NA
2020-02-19,112.5,-2,NA
2020-02-20,106.5,1,NA
2020-02-21,150.49,1,NA
2020-02-22,155.79,5,NA
2020-02-23,130.23,0,NA
2020-02-24,112.5,1,NA
2020-02-25,110.45,2,NA
2020-02-26,113.91,-2,NA
2020-02-27,115.4,2,NA
2020-02-28,143.43,5,NA
2020-02-29,153.53,5,NA
2020-03-01,136.44,4,NA
2020-03-02,112.92,1,NA
2020-03-03,126.84,-1,NA
2020-03-04,116.88,2,NA
2020-03-05,130.72,0,NA
2020-03-06,163.35,2,NA
2020-03-07,168.08,9,NA
2020-03-08,138.98,-6,NA
2020-03-09,119.63,-2,NA
2020-03-10,132.42,-1,NA
2020-03-11,129.17,-3,NA
2020-03-12,134.53,-4,NA
2020-03-13,157.06,-8,NA
2020-03-14,137.43,0,NA
2020-03-15,99.58,-15,NA
2020-03-16,108.19,-20,NA
2020-03-17,95.97,-29,NA
2020-03-18,101.91,-31,NA
2020-03-19,107.06,-34,NA
2020-03-20,114.34,-34,NA
2020-03-21,92.87,-18,NA
2020-03-22,81.99,-27,NA
2020-03-23,73.73,-37,NA
2020-03-24,75,-37,NA
2020-03-25,77.4,-44,NA
2020-03-26,79.38,-39,NA
2020-03-27,107.13,-39,NA
2020-03-28,84.46,-23,NA
2020-03-29,76.27,-33,NA
2020-03-30,96.33,-40,NA
2020-03-31,78.04,-43,NA
2020-04-01,77.68,-47,NA
2020-04-02,81.5,-43,NA
2020-04-03,93.43,-45,NA
2020-04-04,84.11,-27,NA
2020-04-05,75.07,-33,NA
2020-04-06,87.78,-43,NA
2020-04-07,84.04,-45,NA
2020-04-08,81.21,-46,NA
2020-04-09,85.95,-48,NA
2020-04-10,97.81,-48,NA
2020-04-11,96.33,-29,NA
2020-04-12,55.37,-45,NA
2020-04-13,76.55,-45,NA
2020-04-14,87.71,-47,NA
2020-04-15,102.61,-46,NA
2020-04-16,90.96,-45,NA
2020-04-17,96.68,-43,NA
2020-04-18,100.56,-21,NA
2020-04-19,89.19,-37,NA
2020-04-20,95.69,-42,NA
2020-04-21,96.96,-43,NA
2020-04-22,96.47,-45,NA
2020-04-23,87.78,-45,NA
2020-04-24,105.65,-42,NA
2020-04-25,98.87,-23,NA
2020-04-26,83.55,-39,NA
2020-04-27,106.07,-41,NA
2020-04-28,101.06,-45,NA
2020-04-29,111.94,-47,NA
2020-04-30,87.92,-46,NA
2020-05-01,115.11,-40,NA
2020-05-02,128.88,-21,NA
2020-05-03,88.98,-37,NA
2020-05-04,122.74,-40,NA
2020-05-05,104.1,-42,NA
2020-05-06,114.05,-41,NA
2020-05-07,123.94,-39,NA
2020-05-08,126.98,-40,NA
2020-05-09,146.12,-22,NA
2020-05-10,101.98,-25,NA
2020-05-11,NA,-40,NA
2020-05-12,NA,-42,NA
2020-05-13,123.38,-40,NA
2020-05-14,135.17,-39,NA
2020-05-15,156.64,-39,NA
2020-05-16,146.05,-16,NA
2020-05-17,104.73,-36,NA
2020-05-18,120.06,-39,NA
2020-05-19,117.23,-41,NA
2020-05-20,138.06,-41,NA
2020-05-21,117.58,-41,NA
2020-05-22,145.76,-38,NA
2020-05-23,177.61,-15,NA
2020-05-24,145.97,-23,NA
2020-05-25,146.05,-73,NA
2020-05-26,141.88,-39,NA
2020-05-27,152.82,-38,NA
2020-05-28,143.36,-36,NA
2020-05-29,169,-39,NA
2020-05-30,164.9,-12,NA
2020-05-31,141.67,-25,NA
2020-06-01,145.69,-37,NA
2020-06-02,135.59,-35,NA
2020-06-03,148.45,-38,NA
2020-06-04,148.73,-36,NA
2020-06-05,166.24,-35,NA
2020-06-06,183.05,-14,NA
2020-06-07,171.61,-15,NA
2020-06-08,152.4,-36,NA
2020-06-09,152.26,-36,NA
2020-06-10,151.84,-36,NA
2020-06-11,152.9,-37,NA
2020-06-12,188.91,-35,NA
2020-06-13,197.03,-19,NA
