date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,145.3,NA,NA
2020-02-16,152.14,NA,NA
2020-02-17,140.08,NA,NA
2020-02-18,113.65,NA,NA
2020-02-19,110.84,NA,NA
2020-02-20,131.93,NA,NA
2020-02-21,155.19,NA,NA
2020-02-22,146.31,NA,NA
2020-02-23,147.05,NA,NA
2020-02-24,109.04,NA,NA
2020-02-25,113.69,NA,NA
2020-02-26,117.27,NA,NA
2020-02-27,134.18,NA,NA
2020-02-28,156.46,NA,NA
2020-02-29,161.14,NA,NA
2020-03-01,160.16,NA,NA
2020-03-02,120.86,NA,NA
2020-03-03,120.49,NA,NA
2020-03-04,119.67,NA,NA
2020-03-05,143.05,NA,NA
2020-03-06,192.42,NA,NA
2020-03-07,276.37,NA,NA
2020-03-08,220.98,NA,NA
2020-03-09,150.92,NA,NA
2020-03-10,158.53,NA,NA
2020-03-11,169.82,NA,NA
2020-03-12,193.52,NA,NA
2020-03-13,309.08,NA,NA
2020-03-14,342.89,NA,NA
2020-03-15,261.1,NA,NA
2020-03-16,209.94,NA,NA
2020-03-17,222.28,NA,NA
2020-03-18,219.35,NA,NA
2020-03-19,208.64,NA,NA
2020-03-20,218.04,NA,NA
2020-03-21,216.78,NA,NA
2020-03-22,158.86,NA,NA
2020-03-23,118.13,NA,NA
2020-03-24,113.65,NA,NA
2020-03-25,104.4,NA,NA
2020-03-26,94.58,NA,NA
2020-03-27,96.09,NA,NA
2020-03-28,106.48,NA,NA
2020-03-29,103.05,NA,NA
2020-03-30,75.72,NA,NA
2020-03-31,93.4,NA,NA
2020-04-01,86.23,NA,NA
2020-04-02,77.43,NA,NA
2020-04-03,83.91,NA,NA
2020-04-04,104.97,NA,NA
2020-04-05,84.32,NA,NA
2020-04-06,62.97,NA,NA
2020-04-07,71.36,NA,NA
2020-04-08,69.29,NA,NA
2020-04-09,72.55,NA,NA
2020-04-10,72.46,NA,NA
2020-04-11,81.51,NA,NA
2020-04-12,66.48,NA,NA
2020-04-13,69.37,NA,NA
2020-04-14,71.41,NA,NA
2020-04-15,73.56,NA,NA
2020-04-16,80.65,NA,NA
2020-04-17,84.2,NA,NA
2020-04-18,95.72,NA,NA
2020-04-19,85.54,NA,NA
2020-04-20,65.3,NA,NA
2020-04-21,72.75,NA,NA
2020-04-22,80.37,NA,NA
2020-04-23,85.91,NA,NA
2020-04-24,94.22,NA,NA
2020-04-25,117.72,NA,NA
2020-04-26,102.44,NA,NA
2020-04-27,90.75,NA,NA
2020-04-28,88.96,NA,NA
2020-04-29,94.26,NA,NA
2020-04-30,113.52,-36,NA
2020-05-01,136.21,NA,NA
2020-05-02,144.64,NA,NA
2020-05-03,113.65,NA,NA
2020-05-04,92.34,NA,NA
2020-05-05,97.56,NA,NA
2020-05-06,112.18,NA,NA
2020-05-07,114.75,NA,NA
2020-05-08,129.12,NA,NA
2020-05-09,136.13,NA,NA
2020-05-10,108.27,NA,NA
2020-05-11,NA,NA,NA
2020-05-12,NA,NA,NA
2020-05-13,114.09,NA,NA
2020-05-14,135.07,NA,NA
2020-05-15,148.47,NA,NA
2020-05-16,161.1,NA,NA
2020-05-17,165.21,NA,NA
2020-05-18,125.25,NA,NA
2020-05-19,119.23,NA,NA
2020-05-20,154.58,NA,NA
2020-05-21,174.87,NA,NA
2020-05-22,210.22,NA,NA
2020-05-23,222.97,NA,NA
2020-05-24,204.93,NA,NA
2020-05-25,168.72,-52,NA
2020-05-26,138.82,NA,NA
2020-05-27,149.25,NA,NA
2020-05-28,163.99,NA,NA
2020-05-29,196.09,NA,NA
2020-05-30,211.69,NA,NA
2020-05-31,200.45,NA,NA
2020-06-01,144.15,NA,NA
