date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,147.82,1,NA
2020-02-16,99.72,-1,NA
2020-02-17,122.5,-9,3
2020-02-18,120.78,1,1
2020-02-19,130.79,3,0
2020-02-20,121.17,3,5
2020-02-21,133.06,-11,8
2020-02-22,138.58,2,NA
2020-02-23,97.62,1,NA
2020-02-24,122.39,5,0
2020-02-25,120.18,3,0
2020-02-26,126.87,4,-1
2020-02-27,134.27,4,0
2020-02-28,160.09,4,-2
2020-02-29,157.66,7,NA
2020-03-01,108.07,8,NA
2020-03-02,127.09,6,0
2020-03-03,126.87,2,-1
2020-03-04,119.57,4,-1
2020-03-05,129.46,6,-2
2020-03-06,164.07,6,-1
2020-03-07,152.63,4,NA
2020-03-08,107.68,4,NA
2020-03-09,122.11,3,-1
2020-03-10,131.34,4,-1
2020-03-11,139.14,5,-2
2020-03-12,130.79,6,-2
2020-03-13,157.27,6,-2
2020-03-14,130.9,4,NA
2020-03-15,84.25,-4,NA
2020-03-16,102.27,-8,3
2020-03-17,109.12,-9,4
2020-03-18,107.68,-15,6
2020-03-19,108.73,-14,6
2020-03-20,113.05,-15,7
2020-03-21,96.85,-14,NA
2020-03-22,75.29,-24,NA
2020-03-23,87.06,-22,NA
2020-03-24,91.71,-22,11
2020-03-25,82.14,-25,12
2020-03-26,79.82,-25,NA
2020-03-27,97.01,-25,NA
2020-03-28,85.68,-18,NA
2020-03-29,60.59,-28,NA
2020-03-30,86.84,-24,NA
2020-03-31,87.06,-27,NA
2020-04-01,82.59,-28,NA
2020-04-02,87.56,-26,NA
2020-04-03,108.46,-28,NA
2020-04-04,86.62,-21,NA
2020-04-05,62.8,-25,NA
2020-04-06,89.22,-28,NA
2020-04-07,102.49,-28,NA
2020-04-08,96.79,-29,NA
2020-04-09,96.9,-30,NA
2020-04-10,101.49,-36,NA
2020-04-11,102.82,-24,NA
2020-04-12,58.65,-31,NA
2020-04-13,91.27,-36,NA
2020-04-14,106.08,-30,NA
2020-04-15,105.47,-30,NA
2020-04-16,106.25,-28,NA
2020-04-17,133.5,-28,NA
2020-04-18,112.16,-23,NA
2020-04-19,76.12,-34,NA
2020-04-20,106.69,-29,NA
2020-04-21,113.38,-26,NA
2020-04-22,106.63,-30,NA
2020-04-23,104.04,-29,NA
2020-04-24,125.21,-27,NA
2020-04-25,104.92,-16,NA
2020-04-26,85.13,-22,NA
2020-04-27,119.46,-24,NA
2020-04-28,114.32,-27,4
2020-04-29,124.43,-28,10
2020-04-30,107.57,-27,NA
2020-05-01,131.56,-24,NA
2020-05-02,123.99,-16,NA
2020-05-03,96.08,-14,NA
2020-05-04,121.72,-24,7
2020-05-05,111.44,-24,NA
2020-05-06,139.25,-25,9
2020-05-07,135.1,-24,8
2020-05-08,142.56,-26,NA
2020-05-09,131.01,-16,NA
2020-05-10,97.29,-14,NA
2020-05-11,NA,-23,9
2020-05-12,NA,-22,7
2020-05-13,153.51,-24,8
2020-05-14,152.96,-24,5
2020-05-15,162.63,-27,NA
2020-05-16,146.55,-10,NA
2020-05-17,113.99,-11,NA
2020-05-18,137.92,-20,9
2020-05-19,136.15,-22,11
2020-05-20,132.06,-25,11
2020-05-21,143.95,-22,11
2020-05-22,171.86,-24,NA
2020-05-23,254.95,-13,NA
2020-05-24,199.78,-13,NA
2020-05-25,145.55,-62,NA
2020-05-26,152.4,-20,6
2020-05-27,136.21,-21,10
2020-05-28,149.25,-19,7
2020-05-29,169.21,-22,NA
2020-05-30,169.65,-6,NA
2020-05-31,132.61,-13,NA
2020-06-01,149.25,-19,6
2020-06-02,153.34,-18,5
2020-06-03,150.3,-21,5
2020-06-04,158.49,-20,6
2020-06-05,172.75,-22,NA
2020-06-06,175.9,-5,NA
2020-06-07,136.54,-7,NA
2020-06-08,156.94,-19,5
2020-06-09,166.78,-18,6
2020-06-10,152.24,-21,7
2020-06-11,166.22,-19,6
2020-06-12,171.25,-19,NA
2020-06-13,172.97,-7,NA
2020-06-14,143.12,-8,NA
2020-06-15,154.67,-22,10
2020-06-16,156.99,-21,9
2020-06-17,160.97,-25,10
2020-06-18,173.19,-20,6
2020-06-19,183.47,-25,NA
2020-06-20,166.89,-3,NA
2020-06-21,127.47,-8,NA
2020-06-22,176.06,-21,5
2020-06-23,178.16,-21,5
2020-06-24,174.68,-21,4
2020-06-25,169.54,-20,5
2020-06-26,197.9,-21,NA
2020-06-27,185.3,-4,NA
2020-06-28,145.27,-7,NA
2020-06-29,180.43,-21,5
2020-06-30,163.79,-18,6
2020-07-01,173.08,-22,4
2020-07-02,181.04,-24,5
2020-07-03,198.12,-47,NA
2020-07-04,185.13,-22,NA
2020-07-05,156.38,-15,NA
2020-07-06,180.43,-29,NA
2020-07-07,176.95,-25,6
2020-07-08,178.16,-24,6
2020-07-09,202.27,-21,5
2020-07-10,224.71,-24,NA
2020-07-11,226.15,-5,NA
2020-07-12,158.49,-11,NA
2020-07-13,175.4,-24,6
2020-07-14,168.55,-24,5
2020-07-15,187.29,-26,6
2020-07-16,193.03,-24,6
2020-07-17,211.17,-27,NA
2020-07-18,252.52,-7,NA
2020-07-19,165.56,-12,NA
2020-07-20,184.36,-24,6
2020-07-21,170.43,-24,6
2020-07-22,169.76,-24,6
2020-07-23,186.24,-26,6
2020-07-24,219.96,-23,NA
2020-07-25,212.77,-7,NA
2020-07-26,154.34,-11,NA
2020-07-27,178.16,-25,6
2020-07-28,152.18,-22,6
2020-07-29,188.89,-25,5
2020-07-30,183.69,-23,5
2020-07-31,194.25,-22,NA
2020-08-01,201,-5,NA
2020-08-02,168.66,-9,NA
2020-08-03,165.17,-25,6
2020-08-04,168.82,-25,7
2020-08-05,183.69,-25,5
2020-08-06,184.41,-23,4
2020-08-07,212.88,-23,NA
2020-08-08,233.83,-6,NA
2020-08-09,181.87,-15,NA
2020-08-10,178.88,-24,5
2020-08-11,167.99,-25,4
2020-08-12,178.77,-24,6
2020-08-13,190.11,-23,4
2020-08-14,191.93,-25,NA
2020-08-15,170.92,-6,NA
2020-08-16,159.59,-13,NA
2020-08-17,179.99,NA,4
2020-08-18,179.05,NA,3
2020-08-19,183.42,NA,2
2020-08-20,196.57,NA,2
2020-08-24,177.56,NA,4
2020-08-25,173.19,NA,4
2020-08-26,172.8,NA,3
2020-08-27,176.62,NA,4
2020-08-31,164.62,NA,6
2020-09-01,164.34,NA,3
2020-09-02,168.77,NA,3
2020-09-03,185.68,NA,0
2020-09-08,179.66,NA,3
2020-09-09,164.34,NA,3
2020-09-10,169.32,NA,0
2020-09-11,209.18,-22,NA
2020-09-12,196.19,-5,NA
2020-09-13,155.5,-12,NA
2020-09-14,158.93,-17,1
2020-09-15,173.02,-16,3
2020-09-16,162.3,-17,1
2020-09-17,159.92,-20,6
2020-09-18,201.88,-19,NA
2020-09-19,176.78,-4,NA
2020-09-20,134.49,-9,NA
2020-09-21,158.32,-20,5
2020-09-22,157.88,-18,4
2020-09-23,171.42,-18,5
2020-09-24,181.81,-19,4
2020-09-25,189.44,-19,7
2020-09-26,191.65,-4,NA
2020-09-27,146.93,-16,NA
2020-09-28,165.34,-18,5
2020-09-29,132.5,-15,5
2020-09-30,150.8,-21,3
2020-10-01,187.73,-14,-1
2020-10-02,193.37,-17,1
2020-10-03,189.99,-5,NA
2020-10-04,132.61,-15,NA
2020-10-05,158.43,-19,2
2020-10-06,156.27,-18,2
2020-10-07,158.6,-22,2
2020-10-08,163.13,-14,2
2020-10-09,193.59,-19,4
2020-10-10,155.72,-7,NA
2020-10-11,113.65,-17,NA
