date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,127.29,0,-1
2020-02-16,89.05,0,-1
2020-02-17,98.47,-19,5
2020-02-18,105.52,1,1
2020-02-19,109.29,1,0
2020-02-20,113.53,1,0
2020-02-21,134.86,2,0
2020-02-22,132.46,4,-2
2020-02-23,88.06,2,-1
2020-02-24,99.6,5,0
2020-02-25,111.18,1,0
2020-02-26,112.12,1,0
2020-02-27,113.12,1,0
2020-02-28,144.91,1,-1
2020-02-29,136.41,1,-3
2020-03-01,93.7,3,-2
2020-03-02,103.5,5,0
2020-03-03,111.32,2,-1
2020-03-04,115.19,1,-1
2020-03-05,119.99,2,-1
2020-03-06,136.51,1,0
2020-03-07,134.6,4,-3
2020-03-08,95.21,1,-2
2020-03-09,113.53,4,-1
2020-03-10,110.46,0,1
2020-03-11,108.05,0,0
2020-03-12,101.62,-1,1
2020-03-13,110.39,-7,3
2020-03-14,86.8,-6,5
2020-03-15,62.03,-9,4
2020-03-16,72.28,-21,9
2020-03-17,68.38,-30,12
2020-03-18,65.49,-34,15
2020-03-19,64.2,-37,17
2020-03-20,72.22,-38,17
2020-03-21,58.68,-27,12
2020-03-22,44.61,-31,9
2020-03-23,56.94,-41,16
2020-03-24,48.45,-51,22
2020-03-25,54.65,-51,21
2020-03-26,55.72,-52,22
2020-03-27,60.35,-51,23
2020-03-28,55.02,-36,13
2020-03-29,46.6,-37,10
2020-03-30,55.58,-50,19
2020-03-31,54.45,-53,22
2020-04-01,56.09,-53,21
2020-04-02,60.58,-53,22
2020-04-03,69.07,-52,22
2020-04-04,59.65,-36,12
2020-04-05,44.68,-40,12
2020-04-06,58.37,-50,19
2020-04-07,60.47,-53,21
2020-04-08,63.39,-54,20
2020-04-09,65.63,-54,21
2020-04-10,72.02,-57,24
2020-04-11,64.65,-38,13
2020-04-12,41.38,-44,12
2020-04-13,58.52,-51,21
2020-04-14,63.67,-52,21
2020-04-15,68.68,-52,21
2020-04-16,74.54,-52,21
2020-04-17,74.23,-51,24
2020-04-18,74.03,-33,12
2020-04-19,56.54,-36,11
2020-04-20,73.42,-49,18
2020-04-21,72.44,-51,20
2020-04-22,76.01,-51,19
2020-04-23,77.28,-53,23
2020-04-24,87.06,-51,21
2020-04-25,75.16,-34,12
2020-04-26,55.35,-37,12
2020-04-27,76.48,-47,17
2020-04-28,80.02,-51,12
2020-04-29,74.78,-51,21
2020-04-30,80.18,-51,21
2020-05-01,98.14,-49,19
2020-05-02,91.78,-31,7
2020-05-03,61.96,-35,11
2020-05-04,86.99,-45,15
2020-05-05,82.24,-49,19
2020-05-06,87.59,-48,18
2020-05-07,94.85,-48,18
2020-05-08,97.31,-48,21
2020-05-09,97.2,-28,8
2020-05-10,69.68,-29,6
2020-05-11,NA,-44,17
2020-05-12,NA,-45,17
2020-05-13,98.93,-46,17
2020-05-14,106.35,-46,17
2020-05-15,116.78,-45,18
2020-05-16,108.06,-25,8
2020-05-17,85.86,-25,7
2020-05-18,98.43,-42,17
2020-05-19,106.88,-45,18
2020-05-20,110.03,-44,16
2020-05-21,112.88,-44,17
2020-05-22,133.93,-43,14
2020-05-23,115.54,-22,5
2020-05-24,92.57,-25,3
2020-05-25,90.29,-74,19
2020-05-26,118.28,-43,13
2020-05-27,120.38,-42,14
2020-05-28,126.16,-41,14
2020-05-29,139.75,-41,14
2020-05-30,131.55,-11,3
2020-05-31,101.57,-14,3
2020-06-01,116.46,-38,11
2020-06-02,117.42,-40,12
2020-06-03,124.46,-39,12
2020-06-04,121.81,-40,14
2020-06-05,142.72,-38,12
2020-06-06,133.76,-13,3
2020-06-07,107.85,-15,2
2020-06-08,122.35,-36,10
2020-06-09,124.69,-38,12
2020-06-10,126.65,-39,12
2020-06-11,136.4,-38,11
2020-06-12,153.22,-38,10
2020-06-13,140,-11,2
2020-06-14,110.33,-13,2
2020-06-15,126.49,-36,10
2020-06-16,135.21,-37,10
2020-06-17,135.7,-38,10
2020-06-18,140.73,-39,11
2020-06-19,160.35,-39,9
2020-06-20,147.36,-11,1
2020-06-21,101.18,-13,1
2020-06-22,126.64,-38,10
2020-06-23,140.77,-40,11
2020-06-24,146.53,-39,10
2020-06-25,152.42,-39,11
2020-06-26,166.27,-39,10
2020-06-27,148.35,-14,3
2020-06-28,112.57,-13,3
2020-06-29,135.54,-36,10
2020-06-30,141.94,-39,12
2020-07-01,150.51,-39,10
2020-07-02,158.46,-41,9
2020-07-03,146.61,-60,13
2020-07-04,116.77,-30,3
2020-07-05,104.57,-20,2
2020-07-06,130.59,-41,11
2020-07-07,140.84,-40,11
2020-07-08,140.11,-40,11
2020-07-09,143.91,-40,12
2020-07-10,163.29,-40,11
2020-07-11,145.7,-13,2
2020-07-12,111.24,-15,2
2020-07-13,134.52,-37,9
2020-07-14,140.47,-40,10
2020-07-15,144.2,-39,10
2020-07-16,145.74,-40,11
2020-07-17,162.11,-38,10
2020-07-18,158.78,-13,2
2020-07-19,112.84,-16,3
2020-07-20,131.77,-38,10
2020-07-21,136.66,-40,11
2020-07-22,134.81,-39,12
2020-07-23,141.17,-39,12
2020-07-24,166.06,-38,10
2020-07-25,149.88,-12,1
2020-07-26,117.17,-14,2
2020-07-27,129.38,-39,10
2020-07-28,139.82,-39,10
2020-07-29,142.04,-39,10
2020-07-30,142.95,-41,13
2020-07-31,156.02,-39,10
2020-08-01,140.23,-14,4
2020-08-02,113.43,-14,2
2020-08-03,134.02,-38,9
2020-08-04,142.02,-39,10
2020-08-05,146.92,-40,9
2020-08-06,149.64,-40,10
2020-08-07,167.32,-39,9
2020-08-08,156.55,-12,1
2020-08-09,121.63,-14,1
2020-08-10,133.27,-38,9
2020-08-11,139.26,-39,10
2020-08-12,145.08,-39,10
2020-08-13,149.69,-39,10
2020-08-14,166.48,-39,10
2020-08-15,157.65,-14,2
2020-08-16,121.17,-16,2
2020-08-17,138.66,-37,8
2020-08-18,138.51,-39,11
2020-08-19,149.08,-38,9
