date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,157.6,-2,NA
2020-02-16,140.72,0,NA
2020-02-17,135.99,-22,NA
2020-02-18,110.6,-2,NA
2020-02-19,109.93,-1,NA
2020-02-20,116.81,1,NA
2020-02-21,160.03,1,NA
2020-02-22,140.18,2,NA
2020-02-23,126.2,6,NA
2020-02-24,100.74,7,NA
2020-02-25,104.73,2,NA
2020-02-26,126.2,4,NA
2020-02-27,135.25,3,NA
2020-02-28,188.79,3,NA
2020-02-29,183.93,8,NA
2020-03-01,149.36,4,NA
2020-03-02,123.84,8,NA
2020-03-03,121.94,2,NA
2020-03-04,132.28,0,NA
2020-03-05,154.49,-1,NA
2020-03-06,214.79,-1,NA
2020-03-07,200.54,-5,NA
2020-03-08,172.38,11,NA
2020-03-09,149.83,11,NA
2020-03-10,125.86,4,NA
2020-03-11,149.7,3,NA
2020-03-12,169.07,-2,NA
2020-03-13,228.63,1,NA
2020-03-14,249.7,0,NA
2020-03-15,198.11,4,NA
2020-03-16,163.4,-1,NA
2020-03-17,152.46,-9,NA
2020-03-18,147.87,-14,NA
2020-03-19,153.14,-15,NA
2020-03-20,164.28,-18,NA
2020-03-21,143.21,-12,NA
2020-03-22,95.14,-13,NA
2020-03-23,92.37,-18,NA
2020-03-24,89.06,-23,NA
2020-03-25,100.54,-21,NA
2020-03-26,101.82,-24,NA
2020-03-27,104.93,-26,NA
2020-03-28,106.62,-17,NA
2020-03-29,83.19,-23,NA
2020-03-30,84.88,-23,NA
2020-03-31,99.39,-28,NA
2020-04-01,87.17,-27,NA
2020-04-02,95.61,-27,NA
2020-04-03,93.25,-36,NA
2020-04-04,77.65,-27,NA
2020-04-05,73.67,-23,NA
2020-04-06,78.06,-29,NA
2020-04-07,72.52,-33,NA
2020-04-08,89.94,-31,NA
2020-04-09,76.03,-32,NA
2020-04-10,87.37,-47,NA
2020-04-11,79.41,-22,NA
2020-04-12,48.21,-38,NA
2020-04-13,121.54,-47,NA
2020-04-14,109.72,-39,NA
2020-04-15,101.69,-35,NA
2020-04-16,104.66,-38,NA
2020-04-17,112.22,-32,NA
2020-04-18,119.85,-19,NA
2020-04-19,56.18,-24,NA
2020-04-20,84.94,-30,NA
2020-04-21,101.76,-29,NA
2020-04-22,85.01,-28,NA
2020-04-23,81.3,-31,NA
2020-04-24,109.79,-31,NA
2020-04-25,104.86,-16,NA
2020-04-26,88.18,-18,NA
2020-04-27,94.87,-23,NA
2020-04-28,102.57,-25,NA
2020-04-29,107.7,-29,NA
2020-04-30,109.45,-29,NA
2020-05-01,133.02,-29,NA
2020-05-02,127.41,-18,NA
2020-05-03,107.97,-15,NA
2020-05-04,106.55,-25,NA
2020-05-05,101.15,-28,NA
2020-05-06,113.17,-26,NA
2020-05-07,119.65,-29,NA
2020-05-08,148.68,-27,NA
2020-05-09,162.05,-15,NA
2020-05-10,116.34,-24,NA
2020-05-11,NA,-21,NA
2020-05-12,NA,-24,NA
2020-05-13,131.2,-25,NA
2020-05-14,168.47,-27,NA
2020-05-15,164.15,-24,NA
2020-05-16,164.55,-8,NA
2020-05-17,140.31,-16,NA
2020-05-18,125.32,-19,NA
2020-05-19,130.32,-23,NA
2020-05-20,130.72,-27,NA
2020-05-21,173.94,-26,NA
2020-05-22,225.66,-26,NA
2020-05-23,205.06,-11,NA
2020-05-24,151.25,-15,NA
2020-05-25,166.58,-62,NA
2020-05-26,150.37,-25,NA
2020-05-27,142.74,-20,NA
2020-05-28,162.19,-22,NA
2020-05-29,182.78,-23,NA
2020-05-30,202.23,-8,NA
2020-05-31,170.49,-5,NA
2020-06-01,157.26,-18,NA
2020-06-02,146.79,-20,NA
2020-06-03,152.13,-21,NA
2020-06-04,174.95,-24,NA
2020-06-05,204.66,-22,NA
2020-06-06,264.48,-10,NA
2020-06-07,178.06,-5,NA
2020-06-08,167.66,-19,NA
2020-06-09,203.38,-21,NA
2020-06-10,145.64,-22,NA
2020-06-11,162.59,-22,NA
2020-06-12,213.57,-26,NA
2020-06-13,275.08,-9,NA
2020-06-14,178.8,-7,NA
2020-06-15,161.38,-18,NA
2020-06-16,223.36,-23,NA
2020-06-17,161.92,-22,NA
2020-06-18,235.52,-23,NA
2020-06-19,231.13,-25,NA
2020-06-20,293.65,-8,NA
2020-06-21,197.97,-13,NA
2020-06-22,194.94,-21,NA
2020-06-23,166.04,-25,NA
2020-06-24,170.76,-24,NA
2020-06-25,178.39,-26,NA
2020-06-26,234.5,-28,NA
2020-06-27,281.03,-15,NA
2020-06-28,208.64,-3,NA
2020-06-29,172.18,-18,NA
2020-06-30,174.75,-23,NA
2020-07-01,214.18,-26,NA
2020-07-02,240.65,-25,NA
2020-07-03,225.93,-48,NA
2020-07-04,182.44,-15,NA
2020-07-05,234.17,-5,NA
2020-07-06,179.74,-28,NA
2020-07-07,149.7,-27,NA
2020-07-08,147.33,-26,NA
2020-07-09,178.6,-23,NA
2020-07-10,202.97,-30,NA
2020-07-11,313.71,-13,NA
2020-07-12,187.37,-6,NA
2020-07-13,159.69,-23,NA
2020-07-14,153.88,-23,NA
2020-07-15,159.08,-26,NA
2020-07-16,191.76,-23,NA
2020-07-17,213.44,-30,NA
