date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,143.82,-2,-1
2020-02-16,107.42,-2,0
2020-02-17,124.75,-20,4
2020-02-18,111.15,0,0
2020-02-19,105.69,0,1
2020-02-20,96.54,-15,10
2020-02-21,119.76,-27,13
2020-02-22,136.7,3,0
2020-02-23,102.25,2,0
2020-02-24,112.43,3,0
2020-02-25,111.29,-1,0
2020-02-26,113.7,4,-1
2020-02-27,124.19,2,-1
2020-02-28,150.64,3,-2
2020-02-29,150.16,3,-3
2020-03-01,108.59,4,-2
2020-03-02,113.56,4,-2
2020-03-03,118.35,-6,1
2020-03-04,118.31,2,-1
2020-03-05,124.23,1,1
2020-03-06,181.96,2,-1
2020-03-07,148.41,3,-2
2020-03-08,112.6,1,-1
2020-03-09,124.3,3,-1
2020-03-10,120.57,1,0
2020-03-11,121.13,1,0
2020-03-12,122.88,0,0
2020-03-13,143.98,-3,0
2020-03-14,153.42,4,0
2020-03-15,98.19,-10,3
2020-03-16,111.2,-16,5
2020-03-17,120.44,-20,8
2020-03-18,101.48,-23,10
2020-03-19,102.48,-25,11
2020-03-20,116.6,-26,11
2020-03-21,100.2,-15,8
2020-03-22,74.9,-23,8
2020-03-23,89.1,-34,13
2020-03-24,85.19,-35,14
2020-03-25,89.63,-36,15
2020-03-26,90.71,-37,15
2020-03-27,98.87,-37,15
2020-03-28,90.15,-22,8
2020-03-29,72.14,-32,8
2020-03-30,83.91,-38,13
2020-03-31,76.11,-42,17
2020-04-01,77.72,-43,17
2020-04-02,81.94,-42,18
2020-04-03,94.52,-42,18
2020-04-04,84.43,-26,11
2020-04-05,66.04,-35,10
2020-04-06,88.83,-42,15
2020-04-07,86.19,-45,17
2020-04-08,88.24,-44,17
2020-04-09,87.36,-45,18
2020-04-10,100.99,-56,21
2020-04-11,90.11,-28,10
2020-04-12,57.88,-39,11
2020-04-13,83.71,-49,19
2020-04-14,94.77,-42,16
2020-04-15,93.86,-43,17
2020-04-16,101.71,-42,17
2020-04-17,114.24,-43,16
2020-04-18,99.16,-28,10
2020-04-19,81.27,-34,9
2020-04-20,92.82,-44,17
2020-04-21,102.5,-42,15
2020-04-22,102.07,-42,16
2020-04-23,100.09,-44,20
2020-04-24,118.16,-41,16
2020-04-25,107.91,-26,10
2020-04-26,88.88,-35,9
2020-04-27,105.87,-39,14
2020-04-28,109.97,-41,9
2020-04-29,109.37,-41,15
2020-04-30,104.15,-43,18
2020-05-01,131.36,-39,14
2020-05-02,122.48,-19,7
2020-05-03,99.5,-29,6
2020-05-04,115.55,-37,12
2020-05-05,104.96,-38,14
2020-05-06,114.03,-37,14
2020-05-07,119.93,-36,14
2020-05-08,132.68,-37,14
2020-05-09,137.5,-18,6
2020-05-10,102.63,-24,5
2020-05-11,NA,-33,11
2020-05-12,NA,-34,12
2020-05-13,125.08,-34,12
2020-05-14,133.2,-35,11
2020-05-15,158.54,-34,12
2020-05-16,152.65,-16,5
2020-05-17,119.71,-22,5
2020-05-18,132.83,-32,10
2020-05-19,122.64,-36,15
2020-05-20,124,-36,15
2020-05-21,131.7,-37,16
2020-05-22,180.71,-38,13
2020-05-23,157,-10,4
2020-05-24,130.25,-21,4
2020-05-25,138.44,-69,18
2020-05-26,143.68,-31,9
2020-05-27,131.15,-31,13
2020-05-28,139.43,-30,13
2020-05-29,155.7,-31,13
2020-05-30,155.96,-6,4
2020-05-31,127.01,-16,5
2020-06-01,139.16,-27,8
2020-06-02,145.01,-28,9
2020-06-03,144.02,-29,9
2020-06-04,149.63,-29,9
2020-06-05,166.9,-31,10
2020-06-06,174.98,-8,3
2020-06-07,139.57,-17,3
2020-06-08,141.52,-26,8
2020-06-09,145.8,-28,8
2020-06-10,150.75,-30,9
2020-06-11,152.61,-31,11
2020-06-12,184.13,-32,9
2020-06-13,177.11,-5,1
2020-06-14,140.47,-16,3
2020-06-15,135.87,-34,12
2020-06-16,139.53,-33,12
2020-06-17,147.36,-31,10
2020-06-18,157.21,-30,9
2020-06-19,175.96,-32,9
2020-06-20,178.89,-9,2
2020-06-21,138.38,-17,1
2020-06-22,157.65,-32,8
2020-06-23,148.47,-32,8
2020-06-24,158.95,-30,9
2020-06-25,159.82,-31,10
2020-06-26,191.19,-30,8
2020-06-27,188.5,-10,2
2020-06-28,148.45,-17,3
2020-06-29,157.26,-31,8
2020-06-30,156.46,-33,8
2020-07-01,163.94,-32,9
2020-07-02,180.71,-35,8
2020-07-03,182.77,-57,13
2020-07-04,155.24,-24,4
2020-07-05,148.35,-21,3
2020-07-06,174.34,-38,9
2020-07-07,145.51,-34,10
2020-07-08,153.51,-33,10
2020-07-09,164.45,-33,9
2020-07-10,186.1,-33,8
2020-07-11,189.75,-8,2
2020-07-12,140.88,-17,3
2020-07-13,154.81,-31,8
2020-07-14,163.74,-32,8
2020-07-15,160.89,-31,9
2020-07-16,165.38,-31,9
2020-07-17,189.46,-32,9
2020-07-18,187.41,-7,2
2020-07-19,143.12,-17,3
2020-07-20,154.03,-32,8
2020-07-21,159.22,-33,9
2020-07-22,156.16,-31,9
2020-07-23,160.75,-33,10
2020-07-24,182.32,-32,9
2020-07-25,188.32,-11,2
2020-07-26,145.85,-19,3
2020-07-27,160.77,-32,7
2020-07-28,157.78,-33,9
2020-07-29,154.49,-33,9
2020-07-30,172.33,-33,9
2020-07-31,186.13,-32,7
2020-08-01,186.22,-11,2
2020-08-02,145.42,-18,2
2020-08-03,139.81,-32,9
2020-08-04,152.43,-36,11
2020-08-05,159.61,-32,9
2020-08-06,170.97,-32,9
2020-08-07,183.5,-33,8
2020-08-08,182.9,-11,2
2020-08-09,146.08,-18,3
2020-08-10,157.54,-32,7
2020-08-11,155.83,-34,7
2020-08-12,161.85,-32,7
2020-08-13,163.53,-32,8
2020-08-14,196.36,-33,7
2020-08-15,183.08,-12,3
2020-08-16,149.33,-19,3
2020-08-17,161.12,-32,6
2020-08-18,162.37,-29,6
2020-08-19,152.79,-29,8
2020-08-20,163.8,-30,7
2020-08-21,184.56,-30,8
2020-08-22,188.4,NA,2
2020-08-23,142.39,NA,2
2020-08-24,150.56,-27,7
2020-08-25,149.82,-29,7
2020-08-26,160.92,-26,8
2020-08-27,158.21,-26,8
2020-08-28,183.01,-25,7
2020-08-29,170.56,NA,3
2020-08-30,145.64,NA,2
2020-08-31,148.66,-26,7
2020-09-01,158.16,-26,7
2020-09-02,155.54,-26,7
2020-09-03,170.04,-26,6
2020-09-04,205.29,-31,6
2020-09-05,185.8,-9,0
2020-09-06,151.2,NA,0
2020-09-07,163.35,-68,14
2020-09-08,156.17,-28,6
2020-09-09,156.13,-25,7
2020-09-10,160.33,-25,6
2020-09-11,184.35,-24,5
2020-09-12,179.38,-4,0
2020-09-13,145.77,-12,1
2020-09-14,150.29,-22,4
2020-09-15,155.85,-23,5
2020-09-16,158.98,-24,5
2020-09-17,147.05,-26,10
2020-09-18,189.92,-24,8
2020-09-19,185.88,0,0
2020-09-20,141.46,-8,1
2020-09-21,142.67,-24,6
2020-09-22,143,-23,6
