date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,154.38,2,NA
2020-02-16,96.63,-2,NA
2020-02-17,106.17,-15,3
2020-02-18,106.85,2,0
2020-02-19,100.25,2,-1
2020-02-20,107.42,0,2
2020-02-21,137.63,6,-1
2020-02-22,136.59,3,NA
2020-02-23,93.04,-1,NA
2020-02-24,95.7,4,1
2020-02-25,95.23,1,3
2020-02-26,109.4,3,-2
2020-02-27,117.22,1,-2
2020-02-28,152.3,0,-2
2020-02-29,158.32,5,NA
2020-03-01,95.48,1,NA
2020-03-02,107.17,6,-1
2020-03-03,109.58,3,-1
2020-03-04,110.87,2,-3
2020-03-05,124.93,2,-1
2020-03-06,169.15,2,-2
2020-03-07,155.38,2,NA
2020-03-08,101.29,-6,NA
2020-03-09,112.63,-1,2
2020-03-10,111.05,2,0
2020-03-11,124.21,4,-2
2020-03-12,122.49,0,-2
2020-03-13,137.02,-9,3
2020-03-14,121.2,5,NA
2020-03-15,91.86,-16,NA
2020-03-16,98.85,-16,7
2020-03-17,90.24,-20,8
2020-03-18,86.55,-21,7
2020-03-19,88.2,-21,9
2020-03-20,89.78,-24,11
2020-03-21,77.3,-18,NA
2020-03-22,57.21,-32,NA
2020-03-23,67.14,-21,11
2020-03-24,76.08,-23,12
2020-03-25,72.96,-26,10
2020-03-26,67.68,-27,13
2020-03-27,73.6,-27,14
2020-03-28,60.44,-22,NA
2020-03-29,54.59,-31,NA
2020-03-30,59.4,-33,14
2020-03-31,69.51,-36,16
2020-04-01,68.22,-36,14
2020-04-02,66.57,-37,15
2020-04-03,65.14,-39,19
2020-04-04,58.36,-30,NA
2020-04-05,44.33,-37,NA
2020-04-06,67.18,-37,15
2020-04-07,75.61,-37,15
2020-04-08,78.26,-37,13
2020-04-09,73.53,-40,16
2020-04-10,79.23,-49,19
2020-04-11,65.96,-27,NA
2020-04-12,36.48,-41,NA
2020-04-13,69.3,-34,16
2020-04-14,73.35,-34,17
2020-04-15,72.81,-33,12
2020-04-16,73.96,-33,16
2020-04-17,82.39,-34,17
2020-04-18,84.97,-23,NA
2020-04-19,69.58,-32,NA
2020-04-20,84.94,-35,14
2020-04-21,83.54,-32,14
2020-04-22,80.27,-32,15
2020-04-23,91.18,-32,13
2020-04-24,92.43,-32,16
2020-04-25,93.9,-18,NA
2020-04-26,80.63,-33,NA
2020-04-27,92.93,-29,12
2020-04-28,101.36,-31,7
2020-04-29,94.3,-31,11
2020-04-30,108.21,-31,11
2020-05-01,125.22,-33,12
2020-05-02,107.35,-25,NA
2020-05-03,82.42,-34,NA
2020-05-04,94.94,-26,11
2020-05-05,100.47,-26,11
2020-05-06,103.26,-27,9
2020-05-07,109.07,-29,13
2020-05-08,134.04,-29,11
2020-05-09,130.06,-20,NA
2020-05-10,89.53,-22,NA
2020-05-11,NA,-27,14
2020-05-12,NA,-26,13
2020-05-13,102.47,-26,12
2020-05-14,125,-26,10
2020-05-15,129.27,-24,11
2020-05-16,130.24,-15,NA
2020-05-17,113.59,-26,NA
2020-05-18,126.26,-23,7
2020-05-19,128.37,-24,8
2020-05-20,142.68,-23,5
2020-05-21,141.28,-27,9
2020-05-22,170.34,-31,9
2020-05-23,151.97,-15,NA
2020-05-24,112.45,-23,NA
2020-05-25,105.95,-75,NA
2020-05-26,136.05,-24,11
2020-05-27,130.06,-20,6
2020-05-28,143.76,-22,7
2020-05-29,161.84,-19,5
2020-05-30,152.83,-2,NA
2020-05-31,121.81,-19,NA
2020-06-01,132.07,-21,7
2020-06-02,131.21,-22,7
2020-06-03,134.79,-21,4
2020-06-04,154.66,-23,6
2020-06-05,176.54,-26,6
2020-06-06,179.48,-6,NA
2020-06-07,122.42,-18,NA
2020-06-08,152.22,-21,6
2020-06-09,158.43,-21,7
2020-06-10,156.53,-20,4
2020-06-11,165.1,-19,5
2020-06-12,192.9,-21,4
