date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,98.09,6,NA
2020-02-16,70.86,0,NA
2020-02-17,82.24,-14,4
2020-02-18,94.39,3,1
2020-02-19,88.66,2,0
2020-02-20,85.59,-1,5
2020-02-21,106.51,3,1
2020-02-22,104.83,5,NA
2020-02-23,76.31,1,NA
2020-02-24,83.56,4,2
2020-02-25,101.29,5,0
2020-02-26,90.81,3,-2
2020-02-27,96.81,0,1
2020-02-28,104.71,2,0
2020-02-29,100.82,4,NA
2020-03-01,81.26,4,NA
2020-03-02,100.08,3,0
2020-03-03,104.09,-6,1
2020-03-04,102.06,3,-2
2020-03-05,107.75,3,-1
2020-03-06,106.19,2,0
2020-03-07,106.78,5,NA
2020-03-08,77.87,4,NA
2020-03-09,97.12,3,-1
2020-03-10,97.51,1,1
2020-03-11,98.29,3,-1
2020-03-12,98.17,2,0
2020-03-13,97.08,3,0
2020-03-14,86.95,6,NA
2020-03-15,65.25,6,NA
2020-03-16,84.89,0,2
2020-03-17,85.2,-10,6
2020-03-18,86.91,-12,5
2020-03-19,86.72,-16,7
2020-03-20,77.68,-19,9
2020-03-21,67.98,-8,NA
2020-03-22,56.25,-16,NA
2020-03-23,62.6,-25,12
2020-03-24,71.06,-26,11
2020-03-25,73.82,-30,10
2020-03-26,84.65,-31,11
2020-03-27,88,-32,12
2020-03-28,75.46,-18,NA
2020-03-29,58.51,-25,NA
2020-03-30,73.35,-30,11
2020-03-31,57.38,-35,15
2020-04-01,61.67,-35,12
2020-04-02,81.61,-35,13
2020-04-03,75.5,-34,13
2020-04-04,64.94,-20,NA
2020-04-05,56.84,-30,NA
2020-04-06,71.68,-34,13
2020-04-07,71.06,-36,12
2020-04-08,71.83,-37,12
2020-04-09,78.3,-38,13
2020-04-10,85.43,-49,18
2020-04-11,73.28,-19,NA
2020-04-12,46.51,-30,NA
2020-04-13,78.54,-34,13
2020-04-14,78.5,-34,12
2020-04-15,81.57,-36,11
2020-04-16,91.12,-34,12
2020-04-17,100.43,-35,12
2020-04-18,93.46,-17,NA
2020-04-19,68.6,-21,NA
2020-04-20,96.81,-32,13
2020-04-21,89.64,-34,12
2020-04-22,96.3,-35,11
2020-04-23,86.87,-36,14
2020-04-24,102.77,-34,13
2020-04-25,89.52,-17,NA
2020-04-26,74.06,-30,NA
2020-04-27,94.59,-30,11
2020-04-28,97.9,-31,4
2020-04-29,90.69,-34,11
2020-04-30,100.27,-32,12
2020-05-01,115.74,-29,10
2020-05-02,105.92,-11,NA
2020-05-03,92.05,-19,NA
2020-05-04,107.83,-29,8
2020-05-05,106.12,-30,10
2020-05-06,105.88,-30,10
2020-05-07,114.73,-30,9
2020-05-08,113.95,-29,12
2020-05-09,113.83,-7,NA
2020-05-10,81.92,-14,NA
2020-05-11,NA,-26,9
2020-05-12,NA,-27,9
2020-05-13,115.04,-29,9
2020-05-14,130.81,-28,8
2020-05-15,137.94,-27,8
2020-05-16,146.75,-7,NA
2020-05-17,116.67,-16,NA
2020-05-18,125.32,-26,8
2020-05-19,122.95,-26,10
2020-05-20,113.63,-28,9
2020-05-21,125.36,-29,8
2020-05-22,141.37,-28,9
2020-05-23,135.88,-8,NA
2020-05-24,117.02,-19,NA
2020-05-25,129.29,-63,16
2020-05-26,124.97,-27,6
