date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,127.95,4,NA
2020-02-16,96.61,3,NA
2020-02-17,110.08,-10,4
2020-02-18,107.5,2,0
2020-02-19,102.38,4,0
2020-02-20,89.11,-1,6
2020-02-21,131.02,-8,6
2020-02-22,150.13,12,NA
2020-02-23,97.59,6,NA
2020-02-24,104.4,5,1
2020-02-25,105.32,4,-1
2020-02-26,113.05,5,-1
2020-02-27,121.92,3,0
2020-02-28,146.22,4,-1
2020-02-29,140.08,12,NA
2020-03-01,117.06,8,NA
2020-03-02,118.88,7,0
2020-03-03,126.94,3,-2
2020-03-04,117.51,4,-1
2020-03-05,124.27,3,0
2020-03-06,145.21,4,0
2020-03-07,146.31,12,NA
2020-03-08,109.78,3,NA
2020-03-09,118.62,4,0
2020-03-10,119.54,2,0
2020-03-11,124.53,1,0
2020-03-12,122.18,3,-1
2020-03-13,127.79,1,0
2020-03-14,119.63,10,NA
2020-03-15,84.87,-1,NA
2020-03-16,107.76,-4,4
2020-03-17,100.16,-10,5
2020-03-18,103.1,-11,7
2020-03-19,101.83,-10,6
2020-03-20,106.56,-14,8
2020-03-21,92.17,-8,NA
2020-03-22,69.02,-22,NA
2020-03-23,75.15,-18,11
2020-03-24,78.93,-19,10
2020-03-25,86.53,-23,12
2020-03-26,82.55,-21,11
2020-03-27,95.86,-22,11
2020-03-28,86.92,-18,NA
2020-03-29,68.66,-28,NA
2020-03-30,87.35,-23,11
2020-03-31,78.31,-29,13
2020-04-01,74.59,-28,14
2020-04-02,82.91,-27,13
2020-04-03,86.4,-27,13
2020-04-04,85.36,-16,NA
2020-04-05,62.56,-25,NA
2020-04-06,82.58,-29,12
2020-04-07,89.27,-32,13
2020-04-08,94.49,-32,13
2020-04-09,86.79,-34,13
2020-04-10,98.7,-46,17
2020-04-11,89.69,-26,NA
2020-04-12,57.86,-41,NA
2020-04-13,87.83,-40,17
2020-04-14,92.24,-30,12
2020-04-15,101.21,-29,12
2020-04-16,103.85,-28,12
2020-04-17,106.16,-28,13
2020-04-18,95.83,-21,NA
2020-04-19,84.93,-29,NA
2020-04-20,95.69,-30,13
2020-04-21,105.58,-30,11
2020-04-22,108.12,-30,11
2020-04-23,104.53,-29,15
2020-04-24,117.22,-29,12
2020-04-25,99.15,-19,NA
2020-04-26,87.12,-26,NA
2020-04-27,109.03,-27,11
2020-04-28,102.61,-27,5
2020-04-29,105.68,-27,11
2020-04-30,112.1,-28,12
2020-05-01,131.93,-28,11
2020-05-02,112.79,-17,NA
2020-05-03,100.46,-21,NA
2020-05-04,111.38,-24,9
2020-05-05,104.27,-26,10
2020-05-06,111.15,-27,11
2020-05-07,120.74,-27,10
2020-05-08,136.43,-28,12
2020-05-09,124.33,-15,NA
2020-05-10,100.36,-20,NA
2020-05-11,NA,-25,10
2020-05-12,NA,-26,10
2020-05-13,128.67,-25,11
2020-05-14,130.1,-25,8
2020-05-15,149.9,-27,10
2020-05-16,146.35,-12,NA
2020-05-17,123.71,-17,NA
2020-05-18,122.34,-23,10
2020-05-19,125.54,-26,11
2020-05-20,115.56,-29,13
2020-05-21,124.72,-28,13
2020-05-22,171.43,-27,11
2020-05-23,161.58,-3,NA
2020-05-24,132.55,-15,NA
2020-05-25,137.38,-65,NA
2020-05-26,138,-25,8
2020-05-27,136.86,-25,11
2020-05-28,149.9,-22,9
2020-05-29,156.29,-23,10
2020-05-30,161.77,-2,NA
2020-05-31,120.19,-9,NA
2020-06-01,132.13,-22,7
2020-06-02,139.82,-24,7
2020-06-03,162.43,-24,7
2020-06-04,152.05,-24,7
2020-06-05,184.28,-25,8
2020-06-06,171.53,0,NA
2020-06-07,132.88,-9,NA
2020-06-08,153.46,-24,7
2020-06-09,161.97,-25,7
2020-06-10,165.39,-24,8
2020-06-11,160.5,-21,7
2020-06-12,184.8,-23,6
2020-06-13,189.76,0,NA
2020-06-14,147.68,-12,NA
2020-06-15,150.82,-23,9
2020-06-16,141.19,-24,9
2020-06-17,142.34,-25,9
2020-06-18,147.16,-22,7
2020-06-19,172.5,-25,8
2020-06-20,178.11,2,NA
2020-06-21,141.49,-15,NA
2020-06-22,150.95,-24,8
2020-06-23,156.62,-25,7
2020-06-24,161.12,-24,7
2020-06-25,164.91,-22,7
2020-06-26,185.19,-24,7
2020-06-27,179.32,-4,NA
2020-06-28,142.3,-14,NA
2020-06-29,166.99,-24,7
2020-06-30,157.44,-26,6
2020-07-01,164.35,-27,7
2020-07-02,170.61,-28,6
2020-07-03,195.47,-51,11
2020-07-04,180.46,-27,NA
2020-07-05,156.59,-17,NA
2020-07-06,173.84,-27,7
2020-07-07,150.88,-26,6
2020-07-08,162.04,-27,7
2020-07-09,170.61,-26,7
2020-07-10,188.65,-28,8
2020-07-11,203.78,4,NA
2020-07-12,161.45,-10,NA
2020-07-13,174.1,-24,6
2020-07-14,164.06,-26,6
2020-07-15,166.18,-26,7
2020-07-16,164.94,-24,7
2020-07-17,191.98,-27,7
2020-07-18,202.67,-3,NA
2020-07-19,151.6,-12,NA
2020-07-20,168.1,-25,6
2020-07-21,155.74,-26,7
2020-07-22,161.9,-26,7
2020-07-23,166.96,-23,6
2020-07-24,189.17,-25,6
2020-07-25,195.79,-4,NA
2020-07-26,154.14,-14,NA
2020-07-27,156.1,-26,7
2020-07-28,145.96,-25,6
2020-07-29,164.22,-26,6
2020-07-30,174.14,-25,6
2020-07-31,181.02,-24,6
2020-08-01,196.09,-4,NA
2020-08-02,139.73,-18,NA
2020-08-03,147.46,-28,7
2020-08-04,154.24,-27,6
2020-08-05,164.77,-27,6
2020-08-06,163.44,-27,6
2020-08-07,198.14,-25,5
2020-08-08,210.53,-2,NA
2020-08-09,178.86,-16,NA
2020-08-10,147.06,-26,6
2020-08-11,160.24,-26,5
2020-08-12,160.57,-26,7
2020-08-13,162.92,-25,6
2020-08-14,173.29,-25,7
2020-08-15,170.25,-11,NA
2020-08-16,145.5,-17,NA
2020-08-17,149.93,-26,6
2020-08-18,149.48,-23,4
2020-08-19,161.32,-24,5
2020-08-20,172.93,-22,4
2020-08-21,234.47,-24,8
2020-08-24,162.72,-23,6
2020-08-25,155.28,-24,4
2020-08-26,157.93,-23,5
2020-08-27,156.85,-21,5
2020-08-28,179.62,-21,5
2020-08-31,130.23,-23,7
2020-09-01,152.05,-24,4
2020-09-02,150.75,-23,5
2020-09-03,178.41,-23,3
2020-09-04,199.54,-23,3
2020-09-07,149.54,-67,NA
2020-09-08,157.01,-24,4
2020-09-09,148.17,-23,4
2020-09-10,160.24,-22,2
2020-09-11,181.87,-21,2
2020-09-12,196.31,1,NA
2020-09-13,154.57,-12,NA
2020-09-14,136.66,-19,2
2020-09-15,154.27,-19,2
2020-09-16,153.98,-21,4
2020-09-17,141.59,-22,6
2020-09-18,183.37,-19,4
2020-09-19,193.8,-3,NA
2020-09-20,155.84,-11,NA
2020-09-21,140.08,-20,4
2020-09-22,149.18,-20,3
2020-09-23,146.44,-21,4
2020-09-24,153.98,-19,5
2020-09-25,165.79,-20,7
2020-09-26,173.52,0,0
2020-09-27,132.65,-12,1
2020-09-28,135.94,-20,5
2020-09-29,132.09,-20,5
2020-09-30,154.53,-19,2
2020-10-01,155.41,-18,1
2020-10-02,182.06,-19,0
2020-10-03,177.59,-6,-4
2020-10-04,147.23,-14,-2
2020-10-05,138.45,-19,2
2020-10-06,132.32,-20,1
2020-10-07,138.55,-19,3
2020-10-08,153.26,-18,3
2020-10-09,180.01,-19,3
2020-10-10,174.2,-7,2
2020-10-11,112.04,-21,5
2020-10-12,133.59,-24,7
2020-10-13,134.31,-20,4
2020-10-14,140.28,-20,4
2020-10-15,156.82,-19,4
2020-10-16,166.99,-19,4
2020-10-17,182.45,-3,0
2020-10-18,143.48,-12,1
2020-10-19,146.31,-20,3
2020-10-20,145.6,-19,3
2020-10-21,151.89,-18,4
2020-10-22,156.69,-18,3
2020-10-23,202.58,-18,4
2020-10-24,190.48,-5,0
2020-10-25,129.39,-14,3
2020-10-26,145.99,-17,5
2020-10-27,158.71,-20,4
2020-10-28,153.82,-18,4
2020-10-29,148.63,-25,6
2020-10-30,213.21,-17,3
2020-10-31,205.87,0,-2
2020-11-01,133.95,-6,1
2020-11-02,129.88,-19,5
2020-11-03,132.78,-25,4
