date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,148.35,3,NA
2020-02-16,106.53,1,NA
2020-02-17,109.23,-14,4
2020-02-18,105.89,2,0
2020-02-19,107.6,3,0
2020-02-20,109.08,4,-1
2020-02-21,139.31,6,0
2020-02-22,155.37,3,NA
2020-02-23,105.62,11,NA
2020-02-24,111.36,7,0
2020-02-25,116.67,6,-1
2020-02-26,86.71,-15,7
2020-02-27,119.52,-9,5
2020-02-28,135.13,-2,0
2020-02-29,153.63,6,NA
2020-03-01,108.17,7,NA
2020-03-02,106.27,5,-1
2020-03-03,116.71,5,-2
2020-03-04,118.08,4,-1
2020-03-05,123.89,5,-2
2020-03-06,141.13,4,0
2020-03-07,148.27,2,NA
2020-03-08,100.8,3,NA
2020-03-09,109.53,-1,1
2020-03-10,110.22,2,-2
2020-03-11,113.75,4,-1
2020-03-12,104.41,3,-1
2020-03-13,109.95,3,1
2020-03-14,113.1,1,NA
2020-03-15,83.14,2,NA
2020-03-16,89.56,-12,5
2020-03-17,91.83,-14,6
2020-03-18,81.73,-18,8
2020-03-19,78.85,-18,10
2020-03-20,101.44,-25,13
2020-03-21,82.42,-20,NA
2020-03-22,63.77,-28,NA
2020-03-23,65.1,-33,13
2020-03-24,55.98,-45,20
2020-03-25,61.56,-46,19
2020-03-26,62.13,-48,20
2020-03-27,63.24,-49,24
2020-03-28,58.18,-38,NA
2020-03-29,48.8,-38,NA
2020-03-30,62.63,-51,20
2020-03-31,66.96,-52,20
2020-04-01,61.11,-53,21
2020-04-02,67.41,-53,21
2020-04-03,73.91,-52,22
2020-04-04,70.15,-38,NA
2020-04-05,60.05,-38,NA
2020-04-06,64.76,-52,19
2020-04-07,64.53,-52,19
2020-04-08,74.63,-52,19
2020-04-09,67.38,-54,22
2020-04-10,73.87,-58,NA
2020-04-11,71.97,-41,NA
2020-04-12,40.9,-46,NA
2020-04-13,61.03,-50,22
2020-04-14,69.2,-50,22
2020-04-15,67.34,-50,21
2020-04-16,76.83,-50,21
2020-04-17,69.01,-53,27
2020-04-18,76,-31,NA
2020-04-19,62.44,-32,NA
2020-04-20,74.93,-48,17
2020-04-21,75.28,-49,20
2020-04-22,83.59,-47,20
2020-04-23,79.11,-48,21
2020-04-24,93.16,-47,22
2020-04-25,86.14,-36,NA
2020-04-26,65.89,-31,NA
2020-04-27,89.37,-46,17
2020-04-28,92.33,-48,10
2020-04-29,91.04,-46,19
2020-04-30,99.01,-47,20
2020-05-01,116.37,-44,17
2020-05-02,116.67,-28,NA
2020-05-03,94.53,-26,NA
2020-05-04,115.04,-43,13
2020-05-05,110.48,-43,15
2020-05-06,110.98,-43,15
2020-05-07,114.55,-43,15
2020-05-08,129.59,-42,17
2020-05-09,138.85,-26,NA
2020-05-10,94.42,-24,NA
2020-05-11,NA,-38,15
2020-05-12,NA,-40,13
2020-05-13,136.61,-39,12
2020-05-14,131.41,-40,16
2020-05-15,152.22,-39,17
2020-05-16,157.8,-23,NA
2020-05-17,107.82,-23,NA
2020-05-18,125.26,-35,14
2020-05-19,138.63,-36,13
2020-05-20,140.68,-34,12
2020-05-21,151.8,-35,11
2020-05-22,178.35,-39,13
2020-05-23,184.62,-25,NA
2020-05-24,169.31,-30,NA
2020-05-25,145.08,-71,NA
2020-05-26,149.64,-31,10
2020-05-27,153.44,-31,11
2020-05-28,152.75,-32,12
2020-05-29,172.73,-29,11
2020-05-30,190.7,-6,NA
2020-05-31,145.61,-6,NA
2020-06-01,146.03,-26,7
2020-06-02,162.02,-26,6
2020-06-03,156.97,-26,7
2020-06-04,167.38,-26,6
2020-06-05,190.01,-27,9
2020-06-06,209.53,-11,NA
2020-06-07,166.84,-7,NA
2020-06-08,162.78,-23,4
2020-06-09,166.5,-23,6
2020-06-10,163.69,-25,7
2020-06-11,188.3,-25,6
2020-06-12,198.03,-23,6
2020-06-13,226.24,0,NA
2020-06-14,182.83,-2,NA
2020-06-15,170.49,-22,5
2020-06-16,189.56,-25,4
2020-06-17,195.67,-24,4
2020-06-18,182.3,-24,4
2020-06-19,223.47,-28,5
2020-06-20,262.13,-6,NA
2020-06-21,174.25,-3,NA
2020-06-22,183.44,-26,5
2020-06-23,186.94,-25,5
2020-06-24,186.67,-22,5
2020-06-25,195.33,-24,3
2020-06-26,228.83,-22,6
2020-06-27,244.89,0,NA
2020-06-28,188.76,2,NA
2020-06-29,195.14,-25,5
2020-06-30,194.19,-25,4
2020-07-01,207.9,-25,4
2020-07-02,221.08,-35,4
2020-07-03,242.42,-58,10
2020-07-04,253.25,-31,NA
2020-07-05,224.72,-14,NA
2020-07-06,180.17,-28,6
2020-07-07,191.99,-26,5
2020-07-08,192.9,-24,5
2020-07-09,194.61,-25,5
2020-07-10,206.65,-26,8
2020-07-11,260.16,5,NA
2020-07-12,188.53,-2,NA
2020-07-13,184.73,-25,4
2020-07-14,202.77,-23,4
2020-07-15,196.09,-22,4
2020-07-16,193.66,-24,6
2020-07-17,247.17,-24,6
2020-07-18,286.1,2,NA
2020-07-19,201.41,-1,NA
2020-07-20,203.27,-24,5
2020-07-21,189.75,-25,6
2020-07-22,198.67,-23,5
2020-07-23,204.14,-24,4
2020-07-24,245.92,-24,5
2020-07-25,249.94,-2,NA
2020-07-26,186.02,-9,NA
2020-07-27,186.02,-24,6
2020-07-28,193.62,-23,5
2020-07-29,200.95,-23,5
2020-07-30,200.87,-23,4
2020-07-31,244.36,-25,5
2020-08-01,228.29,-6,NA
2020-08-02,173.11,1,NA
2020-08-03,188.72,-23,5
2020-08-04,192.06,-23,4
2020-08-05,192.59,-24,5
2020-08-06,199.89,-22,4
2020-08-07,239.16,-24,5
2020-08-08,258.91,-1,NA
2020-08-09,191.53,0,NA
2020-08-10,182.07,-25,5
2020-08-11,191.23,-24,4
2020-08-12,198.03,-23,4
