date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,126.75,1,0
2020-02-16,93.28,-1,NA
2020-02-17,104.26,-18,3
2020-02-18,102.56,3,1
2020-02-19,101.23,2,1
2020-02-20,111.38,0,0
2020-02-21,138.69,2,-1
2020-02-22,132.63,-2,0
2020-02-23,91.38,-4,NA
2020-02-24,109.69,2,0
2020-02-25,113.34,2,1
2020-02-26,113.4,2,-1
2020-02-27,117.51,2,-1
2020-02-28,149.21,2,-2
2020-02-29,140.89,0,-2
2020-03-01,99.05,-3,NA
2020-03-02,118.55,1,-1
2020-03-03,114.75,2,0
2020-03-04,99.03,-2,2
2020-03-05,123.88,1,-2
2020-03-06,144.13,3,-1
2020-03-07,141.22,0,-1
2020-03-08,93.84,-1,NA
2020-03-09,116.04,-13,2
2020-03-10,128.99,-15,1
2020-03-11,131.08,-15,0
2020-03-12,124.93,-16,0
2020-03-13,116.74,-16,5
2020-03-14,109.92,-1,4
2020-03-15,75.11,-7,NA
2020-03-16,95.91,-18,7
2020-03-17,90.58,-21,8
2020-03-18,94.2,-24,9
2020-03-19,89.15,-25,9
2020-03-20,91.78,-26,13
2020-03-21,72.2,-18,NA
2020-03-22,51.25,-29,NA
2020-03-23,79.19,-32,12
2020-03-24,81.22,-34,13
2020-03-25,81.06,-37,12
2020-03-26,77.21,-38,14
2020-03-27,88.67,-38,16
2020-03-28,74.88,-29,NA
2020-03-29,58,-35,NA
2020-03-30,71.21,-39,15
2020-03-31,78.25,-39,15
2020-04-01,77.7,-37,13
2020-04-02,78,-40,14
2020-04-03,80.9,-40,19
2020-04-04,61.56,-30,NA
2020-04-05,50.8,-33,NA
2020-04-06,73.06,-38,15
2020-04-07,83.32,-40,15
2020-04-08,86.69,-41,14
2020-04-09,93.51,-42,14
2020-04-10,94.28,-44,17
2020-04-11,71.02,-29,NA
2020-04-12,54.72,-41,NA
2020-04-13,83.01,-38,15
2020-04-14,83.28,-38,16
2020-04-15,98.48,-38,13
2020-04-16,99.48,-37,13
2020-04-17,103.68,-36,16
2020-04-18,89.67,-24,NA
2020-04-19,72.04,-33,NA
2020-04-20,94.99,-35,12
2020-04-21,94.32,-36,14
2020-04-22,100.6,-38,14
2020-04-23,106.24,-36,12
2020-04-24,119.07,-36,13
2020-04-25,112.34,-23,NA
2020-04-26,88.76,-30,NA
2020-04-27,100.82,-35,12
2020-04-28,117.67,-35,7
2020-04-29,110.36,-36,11
2020-04-30,114.11,-35,10
2020-05-01,130.35,-33,11
2020-05-02,127.97,-18,NA
2020-05-03,98.52,-25,NA
2020-05-04,122.48,-32,10
2020-05-05,118.86,-31,11
2020-05-06,121.46,-32,9
2020-05-07,127.15,-30,9
2020-05-08,137.7,-31,11
2020-05-09,136.38,-12,NA
2020-05-10,95.27,-19,NA
2020-05-11,NA,-30,9
2020-05-12,NA,-30,11
2020-05-13,126.09,-29,9
2020-05-14,136.95,-30,8
2020-05-15,157.7,-30,10
2020-05-16,121.99,-18,NA
2020-05-17,117.98,-22,NA
2020-05-18,137.53,-29,8
2020-05-19,143.77,-28,9
2020-05-20,147,-28,7
2020-05-21,154.15,-28,8
2020-05-22,192.01,-28,8
2020-05-23,175.95,-13,NA
2020-05-24,131.55,-22,NA
2020-05-25,122.18,-62,18
2020-05-26,145.17,-27,9
2020-05-27,145.39,-26,8
2020-05-28,160.39,-26,7
2020-05-29,180.87,-28,8
2020-05-30,178.1,-10,NA
2020-05-31,135.8,-15,NA
2020-06-01,137.49,-28,6
