date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,215.09,3,0
2020-02-16,151.81,3,0
2020-02-17,137.28,-10,2
2020-02-18,120.12,1,1
2020-02-19,119.8,-1,3
2020-02-20,120.06,-2,3
2020-02-21,159.4,-1,2
2020-02-22,177.47,4,0
2020-02-23,122.53,6,-1
2020-02-24,114.58,2,0
2020-02-25,117.48,0,1
2020-02-26,124.55,1,1
2020-02-27,136.49,2,-1
2020-02-28,179.43,4,-1
2020-02-29,202.96,6,-2
2020-03-01,144.82,8,-2
2020-03-02,136.73,5,-2
2020-03-03,136.37,3,0
2020-03-04,139.59,2,1
2020-03-05,143.73,-1,3
2020-03-06,201.15,5,-1
2020-03-07,238.2,6,-1
2020-03-08,173.2,5,-1
2020-03-09,167.95,3,-2
2020-03-10,166.88,2,0
2020-03-11,163.85,3,-1
2020-03-12,171.79,2,-2
2020-03-13,213.32,2,-1
2020-03-14,221.76,5,-1
2020-03-15,146,2,1
2020-03-16,129.44,-10,3
2020-03-17,117.38,-14,7
2020-03-18,109.38,-22,8
2020-03-19,110.8,-23,7
2020-03-20,116.84,-25,10
2020-03-21,94.92,-21,8
2020-03-22,64.15,-32,9
2020-03-23,73.96,-31,10
2020-03-24,67.94,-36,14
2020-03-25,74.87,-35,12
2020-03-26,78.11,-35,11
2020-03-27,88.85,-34,12
2020-03-28,78.39,-31,9
2020-03-29,59.51,-39,8
2020-03-30,68.35,-35,10
2020-03-31,64.05,-38,13
2020-04-01,63.82,-40,14
2020-04-02,64.15,-40,13
2020-04-03,69.54,-40,14
2020-04-04,57.62,-38,11
2020-04-05,44.84,-44,10
2020-04-06,65.4,-39,12
2020-04-07,63.42,-42,14
2020-04-08,62.92,-43,15
2020-04-09,65.02,-44,14
2020-04-10,70.46,-49,17
2020-04-11,57.41,-41,12
2020-04-12,36.91,-50,11
2020-04-13,60.8,-46,16
2020-04-14,69.5,-41,13
2020-04-15,69.33,-43,15
2020-04-16,76,-40,12
2020-04-17,84.71,-41,14
2020-04-18,71.01,-37,11
2020-04-19,52.82,-43,10
2020-04-20,72.37,-40,14
2020-04-21,81.86,-39,12
2020-04-22,82.06,-39,12
2020-04-23,79.22,-40,14
2020-04-24,92.77,-39,14
2020-04-25,88.61,-35,10
2020-04-26,71.46,-39,8
2020-04-27,90.3,-36,10
2020-04-28,91.59,-38,6
2020-04-29,93.31,-38,11
2020-04-30,90.86,-41,14
2020-05-01,126.7,-36,11
2020-05-02,139.48,-30,7
2020-05-03,128.1,-32,6
2020-05-04,133.73,-32,8
2020-05-05,124.65,-33,10
2020-05-06,129.97,-34,10
2020-05-07,141.11,-33,9
2020-05-08,166.62,-32,11
2020-05-09,180.07,-25,6
2020-05-10,131.43,-26,4
2020-05-11,NA,-29,7
2020-05-12,NA,-29,8
2020-05-13,162.96,-30,9
2020-05-14,184.03,-29,5
