date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,124.13,-8,NA
2020-02-16,92.5,-6,NA
2020-02-17,133.23,-20,6
2020-02-18,121.19,-1,1
2020-02-19,114.21,2,0
2020-02-20,131.93,-2,0
2020-02-21,149.7,2,1
2020-02-22,154.55,1,NA
2020-02-23,84.45,-3,NA
2020-02-24,112.26,1,1
2020-02-25,119.06,0,1
2020-02-26,116.98,2,-1
2020-02-27,121.36,-1,0
2020-02-28,159.62,2,-1
2020-02-29,132.37,-1,NA
2020-03-01,93.28,-4,NA
2020-03-02,115.42,0,1
2020-03-03,125.56,3,-2
2020-03-04,122.4,5,-1
2020-03-05,131.72,2,-2
2020-03-06,140.77,0,-1
2020-03-07,144.93,7,NA
2020-03-08,98.14,1,NA
2020-03-09,114.69,4,1
2020-03-10,133.8,4,-1
2020-03-11,111.44,3,0
2020-03-12,109.53,1,0
2020-03-13,124.22,-2,2
2020-03-14,106.02,6,NA
2020-03-15,72.62,-2,NA
2020-03-16,94.54,-1,3
2020-03-17,92.42,-15,6
2020-03-18,90.68,-20,8
2020-03-19,86.31,-21,10
2020-03-20,98.22,-23,11
2020-03-21,69.24,8,NA
2020-03-22,56.37,-24,NA
2020-03-23,74.09,-27,11
2020-03-24,79.55,-30,13
2020-03-25,88.73,-32,11
2020-03-26,91.42,-33,13
2020-03-27,94.76,-34,NA
2020-03-28,78.64,-19,NA
2020-03-29,66.72,-24,NA
2020-03-30,80.37,-28,12
2020-03-31,81.15,-30,12
2020-04-01,90.68,-31,11
2020-04-02,82.5,-31,12
2020-04-03,85.18,-37,NA
2020-04-04,81.67,-15,NA
2020-04-05,56.89,-21,NA
2020-04-06,83.23,-29,11
2020-04-07,87.56,-31,12
2020-04-08,94.11,-31,11
2020-04-09,96.92,-32,13
2020-04-10,97.23,-44,NA
2020-04-11,88.34,-16,NA
2020-04-12,54.85,-24,NA
2020-04-13,83.84,-25,12
2020-04-14,95.67,-27,12
2020-04-15,96.27,-30,10
2020-04-16,111.83,-31,12
2020-04-17,120.71,-29,14
2020-04-18,107.32,1,NA
2020-04-19,70.88,-19,NA
2020-04-20,103.38,-26,9
2020-04-21,116.03,-27,8
2020-04-22,97.14,-29,12
2020-04-23,108.88,-30,10
2020-04-24,110.31,-28,12
2020-04-25,115.47,-3,NA
2020-04-26,78.47,-17,NA
2020-04-27,104.55,-24,9
2020-04-28,118.89,-26,3
2020-04-29,114.3,-27,9
2020-04-30,112.74,-28,9
2020-05-01,128.08,-25,8
2020-05-02,125.39,-6,NA
2020-05-03,89.3,-10,NA
2020-05-04,110.05,-23,8
2020-05-05,127.64,-24,8
2020-05-06,137,-23,8
2020-05-07,126.08,-26,9
2020-05-08,145.75,-26,9
2020-05-09,133.1,-3,NA
2020-05-10,83.93,-8,NA
2020-05-11,NA,-22,7
2020-05-12,NA,-23,11
2020-05-13,128.16,-24,7
2020-05-14,134.06,-23,5
2020-05-15,151.65,-24,9
2020-05-16,136.92,3,NA
2020-05-17,97.96,-10,NA
2020-05-18,139.43,-23,7
2020-05-19,140.68,-22,6
2020-05-20,150.04,-24,7
2020-05-21,162.35,-26,7
2020-05-22,164.38,-27,9
2020-05-23,166.64,-5,NA
2020-05-24,126.78,-13,NA
2020-05-25,134.66,-62,NA
2020-05-26,153.34,-23,7
2020-05-27,148.92,-23,6
2020-05-28,157.15,-24,7
2020-05-29,173.48,-22,6
2020-05-30,168.11,0,NA
2020-05-31,116.29,-8,NA
2020-06-01,153.08,-22,6
2020-06-02,156.02,-24,6
2020-06-03,153.21,-22,7
2020-06-04,152.86,-24,6
2020-06-05,161.18,-23,5
2020-06-06,161.05,-2,NA
2020-06-07,116.72,-7,NA
2020-06-08,138.04,-22,8
2020-06-09,162.65,-23,6
2020-06-10,170.84,-23,6
2020-06-11,168.24,-24,5
2020-06-12,200.35,-25,5
2020-06-13,189.43,1,NA
2020-06-14,133.75,-6,NA
2020-06-15,176.86,-23,5
2020-06-16,160.57,-22,6
2020-06-17,163.95,-22,6
2020-06-18,162.26,-24,6
2020-06-19,203.99,-25,6
2020-06-20,170.58,3,NA
2020-06-21,128.03,-6,NA
2020-06-22,163.82,-24,8
2020-06-23,165.55,-24,7
2020-06-24,157.71,-24,6
2020-06-25,181.15,-25,6
2020-06-26,183.88,-25,6
2020-06-27,173.31,0,NA
2020-06-28,132.32,-11,NA
2020-06-29,158.8,-25,6
2020-06-30,162.82,-24,6
2020-07-01,150.78,-25,6
2020-07-02,181.02,-31,7
2020-07-03,182.76,-55,NA
2020-07-04,151.13,-24,NA
2020-07-05,140.9,-18,NA
2020-07-06,165.03,-27,5
2020-07-07,157.97,-29,7
2020-07-08,157.54,-28,7
2020-07-09,166.9,-30,8
2020-07-10,195.32,-29,7
2020-07-11,176.82,-7,NA
2020-07-12,127.43,-12,NA
2020-07-13,173.01,-28,6
2020-07-14,160.49,-29,7
2020-07-15,164.73,-29,7
2020-07-16,174,-28,7
2020-07-17,198.31,-31,8
2020-07-18,171.92,-9,NA
2020-07-19,137.35,-18,NA
2020-07-20,166.51,-29,7
2020-07-21,166.12,-29,7
2020-07-22,174.91,-29,6
2020-07-23,169.76,-29,7
2020-07-24,214.56,-32,8
2020-07-25,178.38,-9,NA
2020-07-26,140.16,-17,NA
2020-07-27,164.51,-31,7
2020-07-28,162.74,-29,7
2020-07-29,156.33,-31,8
2020-07-30,172.01,-31,5
2020-07-31,182.97,-33,8
2020-08-01,182.37,-11,NA
2020-08-02,142.68,-21,NA
2020-08-03,160.88,-29,5
2020-08-04,172.05,-31,7
2020-08-05,161.01,-32,6
2020-08-06,170.67,-33,6
2020-08-07,217.33,-33,7
2020-08-08,177.34,-17,NA
2020-08-09,136.22,-17,NA
2020-08-10,159.4,-30,6
2020-08-11,164.64,-30,7
2020-08-12,170.02,-29,7
2020-08-13,171.06,-29,7
2020-08-14,207.37,-29,5
2020-08-15,174.61,-12,NA
2020-08-16,133.1,-17,NA
2020-08-17,151.86,NA,5
2020-08-18,151.47,NA,5
2020-08-19,160.92,NA,5
2020-08-20,173.05,NA,5
2020-08-21,219.19,NA,6
2020-08-24,166.77,NA,3
2020-08-25,161.7,NA,4
2020-08-26,138.82,NA,4
2020-08-27,134.58,NA,6
2020-08-28,168.93,NA,4
2020-08-31,158.54,NA,4
2020-09-01,148.74,NA,5
2020-09-02,161.18,NA,6
2020-09-03,184.1,NA,4
2020-09-04,219.5,NA,4
2020-09-08,154.2,NA,3
2020-09-09,159.36,NA,2
2020-09-10,177.25,NA,2
2020-09-11,187.61,-26,1
